000004,0.779,Susah,Tunisia,36.17N,9.94E
1797-09-01,12.431,5.091,Sutton Coldfield,United Kingdom,52.24N,2.63W
1797-10-01,8.100999999999999,2.9019999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1797-11-01,5.28,3.408,Sutton Coldfield,United Kingdom,52.24N,2.63W
1797-12-01,4.9639999999999995,3.87,Sutton Coldfield,United Kingdom,52.24N,2.63W
1798-01-01,4.031000000000001,2.207,Sutton Coldfield,United Kingdom,52.24N,2.63W
1798-02-01,3.951,2.465,Sutton Coldfield,United Kingdom,52.24N,2.63W
1798-03-01,5.22,2.03,Sutton Coldfield,United Kingdom,52.24N,2.63W
1798-04-01,10.129,1.791,Sutton Coldfield,United Kingdom,52.24N,2.63W
1798-05-01,12.487,5.727,Sutton Coldfield,United Kingdom,52.24N,2.63W
1798-06-01,16.347,2.764,Sutton Coldfield,United Kingdom,52.24N,2.63W
1798-07-01,16.267,3.3169999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1798-08-01,16.169,6.449,Sutton Coldfield,United Kingdom,52.24N,2.63W
1798-09-01,12.892999999999999,3.5780000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1798-10-01,9.117,2.81,Sutton Coldfield,United Kingdom,52.24N,2.63W
1798-11-01,4.513999999999999,3.905,Sutton Coldfield,United Kingdom,52.24N,2.63W
1798-12-01,1.9530000000000003,2.77,Sutton Coldfield,United Kingdom,52.24N,2.63W
1799-01-01,1.425,2.9330000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1799-02-01,2.949,3.2760000000000002,Sutton Coldfield,United Kingdom,52.24N,2.63W
1799-03-01,3.2739999999999996,3.245,Sutton Coldfield,United Kingdom,52.24N,2.63W
1799-04-01,5.1720000000000015,5.46,Sutton Coldfield,United Kingdom,52.24N,2.63W
1799-05-01,9.607000000000001,2.963,Sutton Coldfield,United Kingdom,52.24N,2.63W
1799-06-01,13.392999999999999,4.1339999999999995,Sutton Coldfield,United Kingdom,52.24N,2.63W
1799-07-01,15.072,3.591,Sutton Coldfield,United Kingdom,52.24N,2.63W
1799-08-01,14.1,1.829,Sutton Coldfield,United Kingdom,52.24N,2.63W
1799-09-01,12.350999999999999,3.273,Sutton Coldfield,United Kingdom,52.24N,2.63W
1799-10-01,7.946000000000001,2.477,Sutton Coldfield,United Kingdom,52.24N,2.63W
1799-11-01,5.2410000000000005,3.057,Sutton Coldfield,United Kingdom,52.24N,2.63W
1799-12-01,0.7770000000000001,1.8530000000000002,Sutton Coldfield,United Kingdom,52.24N,2.63W
1800-01-01,2.8360000000000003,2.3169999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1800-02-01,2.1420000000000003,5.11,Sutton Coldfield,United Kingdom,52.24N,2.63W
1800-03-01,3.733,4.657,Sutton Coldfield,United Kingdom,52.24N,2.63W
1800-04-01,9.097999999999999,2.7310000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1800-05-01,12.034,1.474,Sutton Coldfield,United Kingdom,52.24N,2.63W
1800-06-01,12.707,2.1830000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1800-07-01,16.506,1.604,Sutton Coldfield,United Kingdom,52.24N,2.63W
1800-08-01,16.541,2.379,Sutton Coldfield,United Kingdom,52.24N,2.63W
1800-09-01,13.264,2.398,Sutton Coldfield,United Kingdom,52.24N,2.63W
1800-10-01,8.543,2.32,Sutton Coldfield,United Kingdom,52.24N,2.63W
1800-11-01,5.362,2.399,Sutton Coldfield,United Kingdom,52.24N,2.63W
1800-12-01,3.218,2.765,Sutton Coldfield,United Kingdom,52.24N,2.63W
1801-01-01,4.309,1.5090000000000001,Sutton Coldfield,United Kingdom,52.24N,2.63W
1801-02-01,4.006,1.193,Sutton Coldfield,United Kingdom,52.24N,2.63W
1801-03-01,6.582999999999999,1.33,Sutton Coldfield,United Kingdom,52.24N,2.63W
1801-04-01,7.735,1.9769999999999999,Sutton Coldfield,United Kingdom,52.24N,2.63W
1801-05-01,11.588,2.124,Sutton Coldfield,United Kingdom,52.24N,2.63W
1801-06-01,14.126,2.37,Sutton Coldfield,United Kingdom,52.24N,2.63W
1801-07-01,15.241,4.574,Sutton Coldfield,United Kingdom,52.24N,2.63W
1801-08-01,16.435000000000002,2.325,Sutton Coldfield,United Kingdom,52.24N,2.63W
1801-09-01,13.796,1.771,Sutton Coldfield,United Kingdom,52.24N,2.63W
1801-10-01,9.67,2.066,Sutton Coldfield,United Kingdom,52.24N,2.63W
1801-11-01,4.705,1.7630000000000001,Sutton Coldfield,United Kingdom,52.24N,2.63W
1801-12-01,2.28,5.38,Sutton Coldfield,United Kingdom,52.24N,2.63W
1802-01-01,1.338,2.248,Sutton Coldfield,United Kingdom,52.24N,2.63W
1802-02-01,3.735,1.8869999999999998,Sutton Coldfield,United Kingdom,52.24N,2.63W
1802-03-01,5.49,2.9130000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1802-04-01,8.474,2.008,Sutton Coldfield,United Kingdom,52.24N,2.63W
1802-05-01,10.652000000000001,2.407,Sutton Coldfield,United Kingdom,52.24N,2.63W
1802-06-01,13.985,2.778,Sutton Coldfield,United Kingdom,52.24N,2.63W
1802-07-01,14.29,2.384,Sutton Coldfield,United Kingdom,52.24N,2.63W
1802-08-01,16.887999999999998,1.868,Sutton Coldfield,United Kingdom,52.24N,2.63W
1802-09-01,13.56,3.597,Sutton Coldfield,United Kingdom,52.24N,2.63W
1802-10-01,9.489999999999998,3.885,Sutton Coldfield,United Kingdom,52.24N,2.63W
1802-11-01,5.593,2.5860000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1802-12-01,3.682,2.529,Sutton Coldfield,United Kingdom,52.24N,2.63W
1803-01-01,1.235,4.071000000000001,Sutton Coldfield,United Kingdom,52.24N,2.63W
1803-02-01,2.475,3.33,Sutton Coldfield,United Kingdom,52.24N,2.63W
1803-03-01,5.561,3.1519999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1803-04-01,8.634,2.9789999999999996,Sutton Coldfield,United Kingdom,52.24N,2.63W
1803-05-01,10.016,2.023,Sutton Coldfield,United Kingdom,52.24N,2.63W
1803-06-01,13.489,1.893,Sutton Coldfield,United Kingdom,52.24N,2.63W
1803-07-01,17.076,1.93,Sutton Coldfield,United Kingdom,52.24N,2.63W
1803-08-01,15.630999999999998,2.423,Sutton Coldfield,United Kingdom,52.24N,2.63W
1803-09-01,10.874,1.3419999999999999,Sutton Coldfield,United Kingdom,52.24N,2.63W
1803-10-01,8.463,3.2569999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1803-11-01,4.838,2.98,Sutton Coldfield,United Kingdom,52.24N,2.63W
1803-12-01,3.926,3.985,Sutton Coldfield,United Kingdom,52.24N,2.63W
1804-01-01,5.734,5.984,Sutton Coldfield,United Kingdom,52.24N,2.63W
1804-02-01,2.69,2.6180000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1804-03-01,4.523,4.612,Sutton Coldfield,United Kingdom,52.24N,2.63W
1804-04-01,6.3130000000000015,2.662,Sutton Coldfield,United Kingdom,52.24N,2.63W
1804-05-01,12.942,1.151,Sutton Coldfield,United Kingdom,52.24N,2.63W
1804-06-01,15.565999999999999,1.53,Sutton Coldfield,United Kingdom,52.24N,2.63W
1804-07-01,15.142999999999999,3.7680000000000002,Sutton Coldfield,United Kingdom,52.24N,2.63W
1804-08-01,14.812999999999999,2.283,Sutton Coldfield,United Kingdom,52.24N,2.63W
1804-09-01,13.712000000000002,4.82,Sutton Coldfield,United Kingdom,52.24N,2.63W
1804-10-01,9.579,2.283,Sutton Coldfield,United Kingdom,52.24N,2.63W
1804-11-01,5.9110000000000005,4.695,Sutton Coldfield,United Kingdom,52.24N,2.63W
1804-12-01,1.6780000000000004,4.566,Sutton Coldfield,United Kingdom,52.24N,2.63W
1805-01-01,1.6269999999999998,2.536,Sutton Coldfield,United Kingdom,52.24N,2.63W
1805-02-01,3.59,2.8789999999999996,Sutton Coldfield,United Kingdom,52.24N,2.63W
1805-03-01,5.7620000000000005,1.6569999999999998,Sutton Coldfield,United Kingdom,52.24N,2.63W
1805-04-01,7.251,3.8689999999999998,Sutton Coldfield,United Kingdom,52.24N,2.63W
1805-05-01,9.933,1.568,Sutton Coldfield,United Kingdom,52.24N,2.63W
1805-06-01,12.868,2.444,Sutton Coldfield,United Kingdom,52.24N,2.63W
1805-07-01,15.353,2.225,Sutton Coldfield,United Kingdom,52.24N,2.63W
1805-08-01,15.885,2.739,Sutton Coldfield,United Kingdom,52.24N,2.63W
1805-09-01,13.876,3.4989999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1805-10-01,7.4129999999999985,2.648,Sutton Coldfield,United Kingdom,52.24N,2.63W
1805-11-01,4.383000000000001,3.1310000000000002,Sutton Coldfield,United Kingdom,52.24N,2.63W
1805-12-01,3.2090000000000005,1.713,Sutton Coldfield,United Kingdom,52.24N,2.63W
1806-01-01,3.725,2.154,Sutton Coldfield,United Kingdom,52.24N,2.63W
1806-02-01,4.293,4.225,Sutton Coldfield,United Kingdom,52.24N,2.63W
1806-03-01,4.6419999999999995,2.8930000000000002,Sutton Coldfield,United Kingdom,52.24N,2.63W
1806-04-01,5.8420000000000005,4.003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1806-05-01,11.874,2.68,Sutton Coldfield,United Kingdom,52.24N,2.63W
1806-06-01,14.605,1.9709999999999999,Sutton Coldfield,United Kingdom,52.24N,2.63W
1806-07-01,15.51,1.693,Sutton Coldfield,United Kingdom,52.24N,2.63W
1806-08-01,15.445,2.42,Sutton Coldfield,United Kingdom,52.24N,2.63W
1806-09-01,12.936,2.589,Sutton Coldfield,United Kingdom,52.24N,2.63W
1806-10-01,9.25,1.287,Sutton Coldfield,United Kingdom,52.24N,2.63W
1806-11-01,7.072,1.683,Sutton Coldfield,United Kingdom,52.24N,2.63W
1806-12-01,6.276,3.234,Sutton Coldfield,United Kingdom,52.24N,2.63W
1807-01-01,2.4610000000000003,2.4290000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1807-02-01,3.7289999999999996,5.25,Sutton Coldfield,United Kingdom,52.24N,2.63W
1807-03-01,2.73,5.263,Sutton Coldfield,United Kingdom,52.24N,2.63W
1807-04-01,7.1240000000000006,2.4459999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1807-05-01,11.633,1.8359999999999999,Sutton Coldfield,United Kingdom,52.24N,2.63W
1807-06-01,13.658,1.6019999999999999,Sutton Coldfield,United Kingdom,52.24N,2.63W
1807-07-01,16.909000000000002,3.697,Sutton Coldfield,United Kingdom,52.24N,2.63W
1807-08-01,16.746000000000002,2.917,Sutton Coldfield,United Kingdom,52.24N,2.63W
1807-09-01,11.042000000000002,1.4240000000000002,Sutton Coldfield,United Kingdom,52.24N,2.63W
1807-10-01,10.372,1.5530000000000002,Sutton Coldfield,United Kingdom,52.24N,2.63W
1807-11-01,3.1180000000000003,2.8139999999999996,Sutton Coldfield,United Kingdom,52.24N,2.63W
1807-12-01,2.197,1.956,Sutton Coldfield,United Kingdom,52.24N,2.63W
1808-01-01,2.386,3.02,Sutton Coldfield,United Kingdom,52.24N,2.63W
1808-02-01,2.407,2.367,Sutton Coldfield,United Kingdom,52.24N,2.63W
1808-03-01,2.947,6.034,Sutton Coldfield,United Kingdom,52.24N,2.63W
1808-04-01,5.606,1.8119999999999998,Sutton Coldfield,United Kingdom,52.24N,2.63W
1808-05-01,13.579,4.298,Sutton Coldfield,United Kingdom,52.24N,2.63W
1808-06-01,14.16,1.7,Sutton Coldfield,United Kingdom,52.24N,2.63W
1808-07-01,17.997,1.544,Sutton Coldfield,United Kingdom,52.24N,2.63W
1808-08-01,16.116,2.176,Sutton Coldfield,United Kingdom,52.24N,2.63W
1808-09-01,12.252,4.018,Sutton Coldfield,United Kingdom,52.24N,2.63W
1808-10-01,6.597999999999999,1.93,Sutton Coldfield,United Kingdom,52.24N,2.63W
1808-11-01,5.5680000000000005,2.5269999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1808-12-01,1.7590000000000003,2.133,Sutton Coldfield,United Kingdom,52.24N,2.63W
1809-01-01,1.419,4.632,Sutton Coldfield,United Kingdom,52.24N,2.63W
1809-02-01,5.7940000000000005,3.408,Sutton Coldfield,United Kingdom,52.24N,2.63W
1809-03-01,5.635,3.76,Sutton Coldfield,United Kingdom,52.24N,2.63W
1809-04-01,4.852,5.444,Sutton Coldfield,United Kingdom,52.24N,2.63W
1809-05-01,12.501,2.947,Sutton Coldfield,United Kingdom,52.24N,2.63W
1809-06-01,13.235,2.34,Sutton Coldfield,United Kingdom,52.24N,2.63W
1809-07-01,14.540999999999999,1.85,Sutton Coldfield,United Kingdom,52.24N,2.63W
1809-08-01,14.536,1.375,Sutton Coldfield,United Kingdom,52.24N,2.63W
1809-09-01,11.895999999999999,3.182,Sutton Coldfield,United Kingdom,52.24N,2.63W
1809-10-01,9.171,5.7410000000000005,Sutton Coldfield,United Kingdom,52.24N,2.63W
1809-11-01,4.074,3.384,Sutton Coldfield,United Kingdom,52.24N,2.63W
1809-12-01,3.763,4.9,Sutton Coldfield,United Kingdom,52.24N,2.63W
1810-01-01,1.269,6.4910000000000005,Sutton Coldfield,United Kingdom,52.24N,2.63W
1810-02-01,2.8930000000000002,5.227,Sutton Coldfield,United Kingdom,52.24N,2.63W
1810-03-01,5.006,2.687,Sutton Coldfield,United Kingdom,52.24N,2.63W
1810-04-01,7.68,4.261,Sutton Coldfield,United Kingdom,52.24N,2.63W
1810-05-01,9.236,2.992,Sutton Coldfield,United Kingdom,52.24N,2.63W
1810-06-01,14.081,3.728,Sutton Coldfield,United Kingdom,52.24N,2.63W
1810-07-01,14.946000000000002,3.7319999999999998,Sutton Coldfield,United Kingdom,52.24N,2.63W
1810-08-01,14.838,2.738,Sutton Coldfield,United Kingdom,52.24N,2.63W
1810-09-01,13.546,1.44,Sutton Coldfield,United Kingdom,52.24N,2.63W
1810-10-01,8.942,4.706,Sutton Coldfield,United Kingdom,52.24N,2.63W
1810-11-01,5.24,3.36,Sutton Coldfield,United Kingdom,52.24N,2.63W
1810-12-01,3.535,4.238,Sutton Coldfield,United Kingdom,52.24N,2.63W
1811-01-01,0.7959999999999998,3.642,Sutton Coldfield,United Kingdom,52.24N,2.63W
1811-02-01,4.496,5.5089999999999995,Sutton Coldfield,United Kingdom,52.24N,2.63W
1811-03-01,6.877999999999999,3.1239999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1811-04-01,8.539,1.3330000000000002,Sutton Coldfield,United Kingdom,52.24N,2.63W
1811-05-01,12.743,3.6,Sutton Coldfield,United Kingdom,52.24N,2.63W
1811-06-01,14.292,4.052,Sutton Coldfield,United Kingdom,52.24N,2.63W
1811-07-01,15.67,3.076,Sutton Coldfield,United Kingdom,52.24N,2.63W
1811-08-01,14.492,4.7139999999999995,Sutton Coldfield,United Kingdom,52.24N,2.63W
1811-09-01,13.212000000000002,2.9330000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1811-10-01,11.278,5.062,Sutton Coldfield,United Kingdom,52.24N,2.63W
1811-11-01,7.184,5.992999999999999,Sutton Coldfield,United Kingdom,52.24N,2.63W
1811-12-01,3.256,3.656,Sutton Coldfield,United Kingdom,52.24N,2.63W
1812-01-01,2.332,2.97,Sutton Coldfield,United Kingdom,52.24N,2.63W
1812-02-01,5.004,0.97,Sutton Coldfield,United Kingdom,52.24N,2.63W
1812-03-01,3.5540000000000003,3.036,Sutton Coldfield,United Kingdom,52.24N,2.63W
1812-04-01,5.4190000000000005,3.16,Sutton Coldfield,United Kingdom,52.24N,2.63W
1812-05-01,11.227,2.949,Sutton Coldfield,United Kingdom,52.24N,2.63W
1812-06-01,13.319,1.391,Sutton Coldfield,United Kingdom,52.24N,2.63W
1812-07-01,14.304,2.562,Sutton Coldfield,United Kingdom,52.24N,2.63W
1812-08-01,14.579,5.154,Sutton Coldfield,United Kingdom,52.24N,2.63W
1812-09-01,12.79,1.006,Sutton Coldfield,United Kingdom,52.24N,2.63W
1812-10-01,8.854,4.046,Sutton Coldfield,United Kingdom,52.24N,2.63W
1812-11-01,4.593999999999999,3.687,Sutton Coldfield,United Kingdom,52.24N,2.63W
1812-12-01,1.3600000000000003,4.317,Sutton Coldfield,United Kingdom,52.24N,2.63W
1813-01-01,1.5490000000000002,4.946000000000001,Sutton Coldfield,United Kingdom,52.24N,2.63W
1813-02-01,5.377999999999999,1.966,Sutton Coldfield,United Kingdom,52.24N,2.63W
1813-03-01,6.093999999999999,8.953,Sutton Coldfield,United Kingdom,52.24N,2.63W
1813-04-01,7.624,1.224,Sutton Coldfield,United Kingdom,52.24N,2.63W
1813-05-01,11.835,6.4110000000000005,Sutton Coldfield,United Kingdom,52.24N,2.63W
1813-06-01,13.812000000000001,2.806,Sutton Coldfield,United Kingdom,52.24N,2.63W
1813-07-01,15.387,2.1590000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1813-08-01,14.731,1.2819999999999998,Sutton Coldfield,United Kingdom,52.24N,2.63W
1813-09-01,12.335,2.225,Sutton Coldfield,United Kingdom,52.24N,2.63W
1813-10-01,7.9369999999999985,1.501,Sutton Coldfield,United Kingdom,52.24N,2.63W
1813-11-01,4.397,2.494,Sutton Coldfield,United Kingdom,52.24N,2.63W
1813-12-01,2.8120000000000003,2.116,Sutton Coldfield,United Kingdom,52.24N,2.63W
1814-01-01,-2.2230000000000003,4.288,Sutton Coldfield,United Kingdom,52.24N,2.63W
1814-02-01,0.8890000000000002,1.5319999999999998,Sutton Coldfield,United Kingdom,52.24N,2.63W
1814-03-01,2.633,2.9589999999999996,Sutton Coldfield,United Kingdom,52.24N,2.63W
1814-04-01,8.913,1.349,Sutton Coldfield,United Kingdom,52.24N,2.63W
1814-05-01,9.212,1.82,Sutton Coldfield,United Kingdom,52.24N,2.63W
1814-06-01,12.663,1.681,Sutton Coldfield,United Kingdom,52.24N,2.63W
1814-07-01,15.599,2.638,Sutton Coldfield,United Kingdom,52.24N,2.63W
1814-08-01,14.537,1.663,Sutton Coldfield,United Kingdom,52.24N,2.63W
1814-09-01,12.312,2.1919999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1814-10-01,7.306999999999999,4.918,Sutton Coldfield,United Kingdom,52.24N,2.63W
1814-11-01,4.5440000000000005,6.925,Sutton Coldfield,United Kingdom,52.24N,2.63W
1814-12-01,3.898,8.564,Sutton Coldfield,United Kingdom,52.24N,2.63W
1815-01-01,-0.20000000000000015,2.551,Sutton Coldfield,United Kingdom,52.24N,2.63W
1815-02-01,5.2780000000000005,7.02,Sutton Coldfield,United Kingdom,52.24N,2.63W
1815-03-01,6.319,4.378,Sutton Coldfield,United Kingdom,52.24N,2.63W
1815-04-01,7.3,2.478,Sutton Coldfield,United Kingdom,52.24N,2.63W
1815-05-01,11.852,4.6739999999999995,Sutton Coldfield,United Kingdom,52.24N,2.63W
1815-06-01,13.692,4.046,Sutton Coldfield,United Kingdom,52.24N,2.63W
1815-07-01,14.792,3.565,Sutton Coldfield,United Kingdom,52.24N,2.63W
1815-08-01,14.815,3.082,Sutton Coldfield,United Kingdom,52.24N,2.63W
1815-09-01,12.544,2.1790000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1815-10-01,9.165,3.8789999999999996,Sutton Coldfield,United Kingdom,52.24N,2.63W
1815-11-01,3.646,2.04,Sutton Coldfield,United Kingdom,52.24N,2.63W
1815-12-01,1.893,2.992,Sutton Coldfield,United Kingdom,52.24N,2.63W
1816-01-01,2.505,5.04,Sutton Coldfield,United Kingdom,52.24N,2.63W
1816-02-01,1.867,2.171,Sutton Coldfield,United Kingdom,52.24N,2.63W
1816-03-01,3.838,2.436,Sutton Coldfield,United Kingdom,52.24N,2.63W
1816-04-01,6.409000000000002,5.598,Sutton Coldfield,United Kingdom,52.24N,2.63W
1816-05-01,9.845,2.6830000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1816-06-01,12.667,2.6039999999999996,Sutton Coldfield,United Kingdom,52.24N,2.63W
1816-07-01,13.6,2.276,Sutton Coldfield,United Kingdom,52.24N,2.63W
1816-08-01,13.419,0.972,Sutton Coldfield,United Kingdom,52.24N,2.63W
1816-09-01,11.565999999999999,1.839,Sutton Coldfield,United Kingdom,52.24N,2.63W
1816-10-01,8.843,7.132999999999999,Sutton Coldfield,United Kingdom,52.24N,2.63W
1816-11-01,3.635,8.187000000000001,Sutton Coldfield,United Kingdom,52.24N,2.63W
1816-12-01,2.624000000000001,2.457,Sutton Coldfield,United Kingdom,52.24N,2.63W
1817-01-01,4.199,5.716,Sutton Coldfield,United Kingdom,52.24N,2.63W
1817-02-01,5.9910000000000005,3.6510000000000002,Sutton Coldfield,United Kingdom,52.24N,2.63W
1817-03-01,5.118,3.5439999999999996,Sutton Coldfield,United Kingdom,52.24N,2.63W
1817-04-01,6.297999999999999,2.636,Sutton Coldfield,United Kingdom,52.24N,2.63W
1817-05-01,9.0,3.273,Sutton Coldfield,United Kingdom,52.24N,2.63W
1817-06-01,14.712,2.201,Sutton Coldfield,United Kingdom,52.24N,2.63W
1817-07-01,14.187,1.548,Sutton Coldfield,United Kingdom,52.24N,2.63W
1817-08-01,13.523,2.642,Sutton Coldfield,United Kingdom,52.24N,2.63W
1817-09-01,13.062,3.1519999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1817-10-01,5.954999999999999,3.373,Sutton Coldfield,United Kingdom,52.24N,2.63W
1817-11-01,7.784000000000002,2.403,Sutton Coldfield,United Kingdom,52.24N,2.63W
1817-12-01,1.7480000000000002,2.45,Sutton Coldfield,United Kingdom,52.24N,2.63W
1818-01-01,3.8789999999999996,4.203,Sutton Coldfield,United Kingdom,52.24N,2.63W
1818-02-01,2.438,1.556,Sutton Coldfield,United Kingdom,52.24N,2.63W
1818-03-01,4.1850000000000005,2.089,Sutton Coldfield,United Kingdom,52.24N,2.63W
1818-04-01,6.888,6.8420000000000005,Sutton Coldfield,United Kingdom,52.24N,2.63W
1818-05-01,11.175,3.895,Sutton Coldfield,United Kingdom,52.24N,2.63W
1818-06-01,16.214000000000002,5.138,Sutton Coldfield,United Kingdom,52.24N,2.63W
1818-07-01,17.750999999999998,2.943,Sutton Coldfield,United Kingdom,52.24N,2.63W
1818-08-01,15.377,1.635,Sutton Coldfield,United Kingdom,52.24N,2.63W
1818-09-01,12.890999999999998,3.097,Sutton Coldfield,United Kingdom,52.24N,2.63W
1818-10-01,10.484000000000002,2.6839999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1818-11-01,8.369,6.3839999999999995,Sutton Coldfield,United Kingdom,52.24N,2.63W
1818-12-01,2.966,2.575,Sutton Coldfield,United Kingdom,52.24N,2.63W
1819-01-01,4.022,3.383,Sutton Coldfield,United Kingdom,52.24N,2.63W
1819-02-01,3.7260000000000004,4.288,Sutton Coldfield,United Kingdom,52.24N,2.63W
1819-03-01,5.8629999999999995,7.597,Sutton Coldfield,United Kingdom,52.24N,2.63W
1819-04-01,8.144,1.403,Sutton Coldfield,United Kingdom,52.24N,2.63W
1819-05-01,11.545,1.885,Sutton Coldfield,United Kingdom,52.24N,2.63W
1819-06-01,13.687999999999999,1.905,Sutton Coldfield,United Kingdom,52.24N,2.63W
1819-07-01,16.485,1.3359999999999999,Sutton Coldfield,United Kingdom,52.24N,2.63W
1819-08-01,17.07,1.7790000000000001,Sutton Coldfield,United Kingdom,52.24N,2.63W
1819-09-01,13.218,1.42,Sutton Coldfield,United Kingdom,52.24N,2.63W
1819-10-01,8.546,2.2319999999999998,Sutton Coldfield,United Kingdom,52.24N,2.63W
1819-11-01,3.8369999999999997,2.497,Sutton Coldfield,United Kingdom,52.24N,2.63W
1819-12-01,1.6770000000000005,3.162,Sutton Coldfield,United Kingdom,52.24N,2.63W
1820-01-01,-0.3719999999999999,7.287000000000001,Sutton Coldfield,United Kingdom,52.24N,2.63W
1820-02-01,3.245,3.783,Sutton Coldfield,United Kingdom,52.24N,2.63W
1820-03-01,4.497,2.93,Sutton Coldfield,United Kingdom,52.24N,2.63W
1820-04-01,8.815,1.198,Sutton Coldfield,United Kingdom,52.24N,2.63W
1820-05-01,11.515999999999998,1.723,Sutton Coldfield,United Kingdom,52.24N,2.63W
1820-06-01,13.517999999999999,1.5959999999999999,Sutton Coldfield,United Kingdom,52.24N,2.63W
1820-07-01,15.625,2.7910000000000004,Sutton Coldfield,United Kingdom,52.24N,2.63W
1820-08-01,14.913,2.351,Sutton Coldfield,United Kingdom,52.24N,2.63W
1820-09-01,11.912,2.467,Sutton Coldfield,United Kingdom,52.24N,2.63W
1820-10-01,7.356,1.073,Sutton Coldfield,United Kingdom,52.24N,2.63W
1820-11-01,4.83,1.229,Sutton Coldfield,United Kingdom,52.24N,2.63W
1820-12-01,3.949,1.499,Sutton Coldfield,United Kingdom,52.24N,2.63W
1821-01-01,3.47,3.747,Sutton Coldfield,United Kingdom,52.24N,2.63W
1821-02-01,2.496,5.1,Sutton Coldfield,United Kingdom,52.24N,2.63W
1821-03-01,5.672999999999999,2.1069999999999998,Sutton Coldfield,United Kingdom,52.24N,2.63W
1821-04-01,9.338,2.549,Sutton Coldfield,United Kingdom,52.24N,2.63W
1821-05-01,9.717,1.92,Sutton Coldfield,United Kingdom,52.24N,2.63W
1821-06-01,12.495999999999999,3.3739999999999997,Sutton Coldfield,United Kingdom,52.24N,2.63W
1821-07-01,14.763,1.328,Sutton Coldfield,United Kingdom,52.24N,2.63W
1821-08-01,15.629,1.8030000000000002,Sutton Coldfield,United Kingdom,52.24N,2.63W
1821-09-01,14.155999999999999,1.6569999999999998,Sutton Coldfield,United Kingdom,52.24N,2.63W
1821-10-01,9.529,0.88,Sutton Coldfield,United Kingdom,52.24N,2.63W
1821-11-01,7.819000000000001,2.929,Sutton Coldfield,United Kingdom,52.24N,2.63W
1821-12-01,5.9750000000000005,1.5490000000000002,Sutton Coldfield,United Kingdom,52.24N,2.63W
1822-01-01,4.2330000000000005,3.214,Sutton Coldfield,United Kingdom,52.24N,2.63W
1822-02-01,5.901,2.299,Sutton Coldfield,United Kingdom,52.24N,2.63W
1822-03-01,7.909000000000002,1.77,Sutton Coldfield,United Kingdom,52.24N,2.63W
1822-04-01,8.126,1.48,Sutton Coldfield,United Kingdom,52.24N,2.63W
1822-05-01,12.665,1.776,Sutton Coldfield,United Kingdom,52.24N,2.63W
1822-06-01,16.774,1.621,Sutton Coldfield,United Kingdom,52.24N,2.63W
1822-07-01,15.955,1.3530000000000002,Sutton Coldfield,United Kingdom,52.24N,2.63W
1822-08-01,15.19,2.7739999999999996,Sutton Coldfield,United Kingdom,52.24N,2.63W
1822-09-01,12.087000000000002,2.1590000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1822-10-01,9.901,1.044,Sutton Coldfield,United Kingdom,52.24N,2.63W
1822-11-01,7.65,1.81,Sutton Coldfield,United Kingdom,52.24N,2.63W
1822-12-01,1.2760000000000002,2.87,Sutton Coldfield,United Kingdom,52.24N,2.63W
1823-01-01,-0.04400000000000004,1.825,Sutton Coldfield,United Kingdom,52.24N,2.63W
1823-02-01,3.13,2.553,Sutton Coldfield,United Kingdom,52.24N,2.63W
1823-03-01,5.041,2.381,Sutton Coldfield,United Kingdom,52.24N,2.63W
1823-04-01,6.42,2.9210000000000003,Sutton Coldfield,United Kingdom,52.24N,2.63W
1823-05-01,12.325,1.724,Sutton Coldfield,United Kingdom,52.24N,2.63W
1823-06-01,12.659,2.745,Sutton Coldfield,United Kingdom,52.24N,2.63W
1823-07-01,14.380999999999998,1.781,Sutton Coldfield,United Kingdom,52.24N,2.63W
