000004,0.779,Susah,Tunisia,36.17N,9.94E
1926-12-01,10.438,0.5489999999999999,Susah,Tunisia,36.17N,9.94E
1927-01-01,9.742,0.7020000000000001,Susah,Tunisia,36.17N,9.94E
1927-02-01,10.552,0.665,Susah,Tunisia,36.17N,9.94E
1927-03-01,13.695,0.605,Susah,Tunisia,36.17N,9.94E
1927-04-01,16.092,0.537,Susah,Tunisia,36.17N,9.94E
1927-05-01,21.169,0.396,Susah,Tunisia,36.17N,9.94E
1927-06-01,26.750999999999998,0.405,Susah,Tunisia,36.17N,9.94E
1927-07-01,28.674,0.731,Susah,Tunisia,36.17N,9.94E
1927-08-01,28.874000000000002,1.088,Susah,Tunisia,36.17N,9.94E
1927-09-01,25.483,0.311,Susah,Tunisia,36.17N,9.94E
1927-10-01,19.153,0.62,Susah,Tunisia,36.17N,9.94E
1927-11-01,16.814,0.456,Susah,Tunisia,36.17N,9.94E
1927-12-01,12.687000000000001,0.6859999999999999,Susah,Tunisia,36.17N,9.94E
1928-01-01,10.335,0.37,Susah,Tunisia,36.17N,9.94E
1928-02-01,11.123,0.355,Susah,Tunisia,36.17N,9.94E
1928-03-01,13.345,0.423,Susah,Tunisia,36.17N,9.94E
1928-04-01,16.837,0.32899999999999996,Susah,Tunisia,36.17N,9.94E
1928-05-01,18.957,0.221,Susah,Tunisia,36.17N,9.94E
1928-06-01,25.26,0.545,Susah,Tunisia,36.17N,9.94E
1928-07-01,28.184,0.424,Susah,Tunisia,36.17N,9.94E
1928-08-01,29.22,0.33399999999999996,Susah,Tunisia,36.17N,9.94E
1928-09-01,25.630000000000006,0.285,Susah,Tunisia,36.17N,9.94E
1928-10-01,21.116999999999997,0.20800000000000002,Susah,Tunisia,36.17N,9.94E
1928-11-01,14.743,0.315,Susah,Tunisia,36.17N,9.94E
1928-12-01,10.122,0.41700000000000004,Susah,Tunisia,36.17N,9.94E
1929-01-01,8.64,0.406,Susah,Tunisia,36.17N,9.94E
1929-02-01,8.954999999999998,0.479,Susah,Tunisia,36.17N,9.94E
1929-03-01,12.251,0.299,Susah,Tunisia,36.17N,9.94E
1929-04-01,16.058999999999994,0.294,Susah,Tunisia,36.17N,9.94E
1929-05-01,19.565,0.42100000000000004,Susah,Tunisia,36.17N,9.94E
1929-06-01,24.691999999999997,0.305,Susah,Tunisia,36.17N,9.94E
1929-07-01,27.701,0.21100000000000002,Susah,Tunisia,36.17N,9.94E
1929-08-01,26.503,0.625,Susah,Tunisia,36.17N,9.94E
1929-09-01,24.581999999999997,0.293,Susah,Tunisia,36.17N,9.94E
1929-10-01,19.125,0.444,Susah,Tunisia,36.17N,9.94E
1929-11-01,14.62,0.455,Susah,Tunisia,36.17N,9.94E
1929-12-01,11.679,0.44,Susah,Tunisia,36.17N,9.94E
1930-01-01,11.604,0.528,Susah,Tunisia,36.17N,9.94E
1930-02-01,10.654000000000002,0.7559999999999999,Susah,Tunisia,36.17N,9.94E
1930-03-01,14.460999999999999,0.34600000000000003,Susah,Tunisia,36.17N,9.94E
1930-04-01,15.87,0.359,Susah,Tunisia,36.17N,9.94E
1930-05-01,19.744,0.33899999999999997,Susah,Tunisia,36.17N,9.94E
1930-06-01,25.662,0.389,Susah,Tunisia,36.17N,9.94E
1930-07-01,28.456,0.813,Susah,Tunisia,36.17N,9.94E
1930-08-01,27.284000000000002,0.311,Susah,Tunisia,36.17N,9.94E
1930-09-01,24.153,0.414,Susah,Tunisia,36.17N,9.94E
1930-10-01,19.599,0.504,Susah,Tunisia,36.17N,9.94E
1930-11-01,16.517,0.726,Susah,Tunisia,36.17N,9.94E
1930-12-01,12.14,0.68,Susah,Tunisia,36.17N,9.94E
1931-01-01,10.796,0.375,Susah,Tunisia,36.17N,9.94E
1931-02-01,9.229,0.627,Susah,Tunisia,36.17N,9.94E
1931-03-01,15.527999999999999,0.48,Susah,Tunisia,36.17N,9.94E
