9999998,5.912000000000001,Cluj Napoca,Romania,47.42N,22.50E
1797-03-01,2.281,2.645,Cluj Napoca,Romania,47.42N,22.50E
1797-04-01,11.273,4.725,Cluj Napoca,Romania,47.42N,22.50E
1797-05-01,18.077,3.971,Cluj Napoca,Romania,47.42N,22.50E
1797-06-01,20.156,2.4459999999999997,Cluj Napoca,Romania,47.42N,22.50E
1797-07-01,22.033,2.2359999999999998,Cluj Napoca,Romania,47.42N,22.50E
1797-08-01,21.373,2.783,Cluj Napoca,Romania,47.42N,22.50E
1797-09-01,17.48,3.8510000000000004,Cluj Napoca,Romania,47.42N,22.50E
1797-10-01,10.970999999999998,2.085,Cluj Napoca,Romania,47.42N,22.50E
1797-11-01,3.888,3.4,Cluj Napoca,Romania,47.42N,22.50E
1797-12-01,-0.062,3.883,Cluj Napoca,Romania,47.42N,22.50E
1798-01-01,-1.972,1.8659999999999999,Cluj Napoca,Romania,47.42N,22.50E
1798-02-01,1.286,2.475,Cluj Napoca,Romania,47.42N,22.50E
1798-03-01,5.144,2.48,Cluj Napoca,Romania,47.42N,22.50E
1798-04-01,10.503,2.14,Cluj Napoca,Romania,47.42N,22.50E
1798-05-01,16.195999999999998,4.311,Cluj Napoca,Romania,47.42N,22.50E
1798-06-01,19.340999999999998,1.72,Cluj Napoca,Romania,47.42N,22.50E
1798-07-01,21.172,2.628,Cluj Napoca,Romania,47.42N,22.50E
1798-08-01,20.840999999999998,5.303,Cluj Napoca,Romania,47.42N,22.50E
1798-09-01,17.163999999999998,4.649,Cluj Napoca,Romania,47.42N,22.50E
1798-10-01,8.806000000000003,2.9730000000000003,Cluj Napoca,Romania,47.42N,22.50E
1798-11-01,2.647,3.358,Cluj Napoca,Romania,47.42N,22.50E
1798-12-01,-6.025,2.775,Cluj Napoca,Romania,47.42N,22.50E
1799-01-01,-8.423,2.838,Cluj Napoca,Romania,47.42N,22.50E
1799-02-01,-5.236000000000001,3.2230000000000003,Cluj Napoca,Romania,47.42N,22.50E
1799-03-01,1.436,2.784,Cluj Napoca,Romania,47.42N,22.50E
1799-04-01,9.446000000000002,4.518,Cluj Napoca,Romania,47.42N,22.50E
1799-05-01,14.912,1.825,Cluj Napoca,Romania,47.42N,22.50E
1799-06-01,17.634,3.096,Cluj Napoca,Romania,47.42N,22.50E
1799-07-01,19.877,2.4130000000000003,Cluj Napoca,Romania,47.42N,22.50E
1799-08-01,20.182,1.021,Cluj Napoca,Romania,47.42N,22.50E
1799-09-01,14.878,2.5269999999999997,Cluj Napoca,Romania,47.42N,22.50E
1799-10-01,10.327,1.541,Cluj Napoca,Romania,47.42N,22.50E
1799-11-01,4.16,2.592,Cluj Napoca,Romania,47.42N,22.50E
1799-12-01,-5.311,2.084,Cluj Napoca,Romania,47.42N,22.50E
1800-01-01,-3.5439999999999996,2.204,Cluj Napoca,Romania,47.42N,22.50E
1800-02-01,-1.4860000000000002,4.357,Cluj Napoca,Romania,47.42N,22.50E
1800-03-01,-1.069,3.6839999999999997,Cluj Napoca,Romania,47.42N,22.50E
1800-04-01,14.44,2.099,Cluj Napoca,Romania,47.42N,22.50E
1800-05-01,16.750999999999998,1.828,Cluj Napoca,Romania,47.42N,22.50E
1800-06-01,17.24,1.686,Cluj Napoca,Romania,47.42N,22.50E
1800-07-01,18.423,2.242,Cluj Napoca,Romania,47.42N,22.50E
1800-08-01,20.122,2.918,Cluj Napoca,Romania,47.42N,22.50E
1800-09-01,14.883,3.028,Cluj Napoca,Romania,47.42N,22.50E
1800-10-01,9.605,3.1239999999999997,Cluj Napoca,Romania,47.42N,22.50E
1800-11-01,5.53,3.1860000000000004,Cluj Napoca,Romania,47.42N,22.50E
1800-12-01,-0.7020000000000001,2.715,Cluj Napoca,Romania,47.42N,22.50E
1801-01-01,-1.7539999999999998,2.4459999999999997,Cluj Napoca,Romania,47.42N,22.50E
1801-02-01,-2.251,1.79,Cluj Napoca,Romania,47.42N,22.50E
1801-03-01,6.371,1.994,Cluj Napoca,Romania,47.42N,22.50E
1801-04-01,10.105,2.3930000000000002,Cluj Napoca,Romania,47.42N,22.50E
1801-05-01,18.463,2.641,Cluj Napoca,Romania,47.42N,22.50E
1801-06-01,17.465999999999998,2.145,Cluj Napoca,Romania,47.42N,22.50E
1801-07-01,20.738000000000003,3.345,Cluj Napoca,Romania,47.42N,22.50E
1801-08-01,17.987000000000005,2.12,Cluj Napoca,Romania,47.42N,22.50E
1801-09-01,16.689999999999998,2.248,Cluj Napoca,Romania,47.42N,22.50E
1801-10-01,11.197000000000001,1.565,Cluj Napoca,Romania,47.42N,22.50E
1801-11-01,5.945,1.883,Cluj Napoca,Romania,47.42N,22.50E
1801-12-01,0.427,5.17,Cluj Napoca,Romania,47.42N,22.50E
1802-01-01,-2.945,2.577,Cluj Napoca,Romania,47.42N,22.50E
1802-02-01,-0.5010000000000001,2.01,Cluj Napoca,Romania,47.42N,22.50E
1802-03-01,5.251,2.875,Cluj Napoca,Romania,47.42N,22.50E
1802-04-01,10.234,2.344,Cluj Napoca,Romania,47.42N,22.50E
1802-05-01,14.144,2.5069999999999997,Cluj Napoca,Romania,47.42N,22.50E
1802-06-01,19.174,1.8869999999999998,Cluj Napoca,Romania,47.42N,22.50E
1802-07-01,21.668000000000003,2.094,Cluj Napoca,Romania,47.42N,22.50E
1802-08-01,21.519,2.1919999999999997,Cluj Napoca,Romania,47.42N,22.50E
1802-09-01,15.375,3.909,Cluj Napoca,Romania,47.42N,22.50E
1802-10-01,12.360999999999999,3.658,Cluj Napoca,Romania,47.42N,22.50E
1802-11-01,4.732,2.333,Cluj Napoca,Romania,47.42N,22.50E
1802-12-01,0.329,2.555,Cluj Napoca,Romania,47.42N,22.50E
1803-01-01,-8.584999999999999,3.6180000000000003,Cluj Napoca,Romania,47.42N,22.50E
1803-02-01,-4.894,3.471,Cluj Napoca,Romania,47.42N,22.50E
1803-03-01,2.7230000000000003,3.505,Cluj Napoca,Romania,47.42N,22.50E
1803-04-01,12.392,2.5780000000000003,Cluj Napoca,Romania,47.42N,22.50E
1803-05-01,14.939,2.6839999999999997,Cluj Napoca,Romania,47.42N,22.50E
1803-06-01,17.726,1.6369999999999998,Cluj Napoca,Romania,47.42N,22.50E
1803-07-01,20.914,1.4609999999999999,Cluj Napoca,Romania,47.42N,22.50E
1803-08-01,20.590999999999998,2.477,Cluj Napoca,Romania,47.42N,22.50E
1803-09-01,13.83,1.4380000000000002,Cluj Napoca,Romania,47.42N,22.50E
1803-10-01,8.82,3.25,Cluj Napoca,Romania,47.42N,22.50E
1803-11-01,4.548,2.638,Cluj Napoca,Romania,47.42N,22.50E
