00000002,3.29,Nefteyugansk,Russia,61.88N,73.02E
1881-09-01,2.072,1.329,Nefteyugansk,Russia,61.88N,73.02E
1881-10-01,-3.636,1.171,Nefteyugansk,Russia,61.88N,73.02E
1881-11-01,-15.117,2.778,Nefteyugansk,Russia,61.88N,73.02E
1881-12-01,-19.147000000000002,4.147,Nefteyugansk,Russia,61.88N,73.02E
1882-01-01,-20.245,2.033,Nefteyugansk,Russia,61.88N,73.02E
1882-02-01,-13.950999999999999,3.4739999999999998,Nefteyugansk,Russia,61.88N,73.02E
1882-03-01,-9.127,1.6,Nefteyugansk,Russia,61.88N,73.02E
1882-04-01,-7.416,2.661,Nefteyugansk,Russia,61.88N,73.02E
1882-05-01,3.281,1.136,Nefteyugansk,Russia,61.88N,73.02E
1882-06-01,9.387,1.505,Nefteyugansk,Russia,61.88N,73.02E
1882-07-01,14.545,1.002,Nefteyugansk,Russia,61.88N,73.02E
1882-08-01,12.394,1.919,Nefteyugansk,Russia,61.88N,73.02E
1882-09-01,4.743,1.453,Nefteyugansk,Russia,61.88N,73.02E
1882-10-01,-8.994,1.797,Nefteyugansk,Russia,61.88N,73.02E
1882-11-01,-14.704,0.956,Nefteyugansk,Russia,61.88N,73.02E
1882-12-01,-26.683000000000003,1.1840000000000002,Nefteyugansk,Russia,61.88N,73.02E
1883-01-01,-25.288,1.44,Nefteyugansk,Russia,61.88N,73.02E
1883-02-01,-19.086,2.519,Nefteyugansk,Russia,61.88N,73.02E
1883-03-01,-10.313,1.31,Nefteyugansk,Russia,61.88N,73.02E
1883-04-01,-6.234,0.9420000000000001,Nefteyugansk,Russia,61.88N,73.02E
1883-05-01,0.9410000000000004,1.5930000000000002,Nefteyugansk,Russia,61.88N,73.02E
1883-06-01,9.331,1.006,Nefteyugansk,Russia,61.88N,73.02E
1883-07-01,16.448,0.9420000000000001,Nefteyugansk,Russia,61.88N,73.02E
1883-08-01,12.52,0.614,Nefteyugansk,Russia,61.88N,73.02E
1883-09-01,5.615,0.807,Nefteyugansk,Russia,61.88N,73.02E
1883-10-01,-3.99,1.265,Nefteyugansk,Russia,61.88N,73.02E
1883-11-01,-15.046,0.922,Nefteyugansk,Russia,61.88N,73.02E
1883-12-01,-16.959999999999994,2.01,Nefteyugansk,Russia,61.88N,73.02E
1884-01-01,-21.163,1.5219999999999998,Nefteyugansk,Russia,61.88N,73.02E
1884-02-01,-20.697,0.888,Nefteyugansk,Russia,61.88N,73.02E
1884-03-01,-16.351,0.868,Nefteyugansk,Russia,61.88N,73.02E
1884-04-01,-10.300999999999998,0.8059999999999999,Nefteyugansk,Russia,61.88N,73.02E
1884-05-01,1.793,1.732,Nefteyugansk,Russia,61.88N,73.02E
1884-06-01,8.62,1.444,Nefteyugansk,Russia,61.88N,73.02E
