00000002,3.29,Nefteyugansk,Russia,61.88N,73.02E
1941-01-01,25.546,0.26,Negombo,Sri Lanka,7.23N,80.27E
1941-02-01,26.583000000000002,0.251,Negombo,Sri Lanka,7.23N,80.27E
1941-03-01,27.379,0.28,Negombo,Sri Lanka,7.23N,80.27E
1941-04-01,27.884,0.19899999999999998,Negombo,Sri Lanka,7.23N,80.27E
1941-05-01,27.517,0.133,Negombo,Sri Lanka,7.23N,80.27E
1941-06-01,26.391,0.18600000000000003,Negombo,Sri Lanka,7.23N,80.27E
1941-07-01,26.491,0.273,Negombo,Sri Lanka,7.23N,80.27E
1941-08-01,26.585,0.239,Negombo,Sri Lanka,7.23N,80.27E
1941-09-01,26.401,0.258,Negombo,Sri Lanka,7.23N,80.27E
1941-10-01,26.291999999999998,0.22,Negombo,Sri Lanka,7.23N,80.27E
1941-11-01,25.758000000000003,0.247,Negombo,Sri Lanka,7.23N,80.27E
1941-12-01,25.13,0.34600000000000003,Negombo,Sri Lanka,7.23N,80.27E
1942-01-01,25.314,0.26,Negombo,Sri Lanka,7.23N,80.27E
1942-02-01,26.671,0.365,Negombo,Sri Lanka,7.23N,80.27E
1942-03-01,27.231,0.163,Negombo,Sri Lanka,7.23N,80.27E
1942-04-01,27.141,0.23,Negombo,Sri Lanka,7.23N,80.27E
1942-05-01,27.396,0.275,Negombo,Sri Lanka,7.23N,80.27E
1942-06-01,26.396,0.212,Negombo,Sri Lanka,7.23N,80.27E
1942-07-01,26.134,0.20199999999999999,Negombo,Sri Lanka,7.23N,80.27E
1942-08-01,26.127,0.151,Negombo,Sri Lanka,7.23N,80.27E
1942-09-01,26.406,0.27399999999999997,Negombo,Sri Lanka,7.23N,80.27E
1942-10-01,25.743,0.214,Negombo,Sri Lanka,7.23N,80.27E
1942-11-01,25.368,0.25,Negombo,Sri Lanka,7.23N,80.27E
1942-12-01,24.961,0.299,Negombo,Sri Lanka,7.23N,80.27E
1943-01-01,25.185,0.39299999999999996,Negombo,Sri Lanka,7.23N,80.27E
1943-02-01,25.638,0.223,Negombo,Sri Lanka,7.23N,80.27E
1943-03-01,26.707,0.273,Negombo,Sri Lanka,7.23N,80.27E
1943-04-01,26.781999999999996,0.315,Negombo,Sri Lanka,7.23N,80.27E
1943-05-01,26.389,0.306,Negombo,Sri Lanka,7.23N,80.27E
1943-06-01,25.715,0.201,Negombo,Sri Lanka,7.23N,80.27E
1943-07-01,25.574,0.247,Negombo,Sri Lanka,7.23N,80.27E
1943-08-01,25.711,0.17,Negombo,Sri Lanka,7.23N,80.27E
1943-09-01,26.125,0.313,Negombo,Sri Lanka,7.23N,80.27E
1943-10-01,25.363000000000003,0.22399999999999998,Negombo,Sri Lanka,7.23N,80.27E
1943-11-01,25.048,0.233,Negombo,Sri Lanka,7.23N,80.27E
1943-12-01,24.78,0.289,Negombo,Sri Lanka,7.23N,80.27E
1944-01-01,24.855,0.3,Negombo,Sri Lanka,7.23N,80.27E
1944-02-01,25.839000000000002,0.25,Negombo,Sri Lanka,7.23N,80.27E
1944-03-01,26.531,0.318,Negombo,Sri Lanka,7.23N,80.27E
1944-04-01,26.898000000000003,0.278,Negombo,Sri Lanka,7.23N,80.27E
1944-05-01,26.924,0.28600000000000003,Negombo,Sri Lanka,7.23N,80.27E
1944-06-01,26.269,0.256,Negombo,Sri Lanka,7.23N,80.27E
1944-07-01,26.238000000000003,0.327,Negombo,Sri Lanka,7.23N,80.27E
1944-08-01,26.525,0.319,Negombo,Sri Lanka,7.23N,80.27E
1944-09-01,26.326999999999998,0.268,Negombo,Sri Lanka,7.23N,80.27E
1944-10-01,25.78,0.442,Negombo,Sri Lanka,7.23N,80.27E
1944-11-01,25.289,0.292,Negombo,Sri Lanka,7.23N,80.27E
1944-12-01,24.948,0.25,Negombo,Sri Lanka,7.23N,80.27E
1945-01-01,24.677,0.354,Negombo,Sri Lanka,7.23N,80.27E
1945-02-01,26.055999999999997,0.505,Negombo,Sri Lanka,7.23N,80.27E
1945-03-01,26.825,0.331,Negombo,Sri Lanka,7.23N,80.27E
1945-04-01,27.143,0.242,Negombo,Sri Lanka,7.23N,80.27E
1945-05-01,27.445,0.359,Negombo,Sri Lanka,7.23N,80.27E
1945-06-01,26.581999999999997,0.276,Negombo,Sri Lanka,7.23N,80.27E
1945-07-01,26.205,0.44299999999999995,Negombo,Sri Lanka,7.23N,80.27E
1945-08-01,26.351999999999997,0.247,Negombo,Sri Lanka,7.23N,80.27E
1945-09-01,26.561999999999998,0.25,Negombo,Sri Lanka,7.23N,80.27E
1945-10-01,25.54,0.242,Negombo,Sri Lanka,7.23N,80.27E
1945-11-01,25.276,0.24600000000000002,Negombo,Sri Lanka,7.23N,80.27E
1945-12-01,24.35,0.214,Negombo,Sri Lanka,7.23N,80.27E
1946-01-01,24.383000000000003,0.39,Negombo,Sri Lanka,7.23N,80.27E
1946-02-01,26.121,0.293,Negombo,Sri Lanka,7.23N,80.27E
1946-03-01,26.846,0.281,Negombo,Sri Lanka,7.23N,80.27E
1946-04-01,27.101999999999997,0.19699999999999998,Negombo,Sri Lanka,7.23N,80.27E
1946-05-01,27.549,0.168,Negombo,Sri Lanka,7.23N,80.27E
1946-06-01,26.729000000000006,0.19899999999999998,Negombo,Sri Lanka,7.23N,80.27E
1946-07-01,26.351999999999997,0.25,Negombo,Sri Lanka,7.23N,80.27E
1946-08-01,26.451999999999998,0.26,Negombo,Sri Lanka,7.23N,80.27E
1946-09-01,26.248,0.179,Negombo,Sri Lanka,7.23N,80.27E
1946-10-01,25.629,0.113,Negombo,Sri Lanka,7.23N,80.27E
1946-11-01,25.381,0.215,Negombo,Sri Lanka,7.23N,80.27E
1946-12-01,25.083000000000002,0.215,Negombo,Sri Lanka,7.23N,80.27E
1947-01-01,25.375999999999998,0.21899999999999997,Negombo,Sri Lanka,7.23N,80.27E
1947-02-01,25.814,0.268,Negombo,Sri Lanka,7.23N,80.27E
1947-03-01,27.039,0.316,Negombo,Sri Lanka,7.23N,80.27E
1947-04-01,27.153,0.228,Negombo,Sri Lanka,7.23N,80.27E
1947-05-01,27.191999999999997,0.19899999999999998,Negombo,Sri Lanka,7.23N,80.27E
1947-06-01,26.541,0.292,Negombo,Sri Lanka,7.23N,80.27E
1947-07-01,26.465999999999998,0.244,Negombo,Sri Lanka,7.23N,80.27E
1947-08-01,26.057,0.17,Negombo,Sri Lanka,7.23N,80.27E
1947-09-01,26.086,0.18100000000000002,Negombo,Sri Lanka,7.23N,80.27E
1947-10-01,25.355999999999998,0.10300000000000001,Negombo,Sri Lanka,7.23N,80.27E
1947-11-01,25.438000000000002,0.266,Negombo,Sri Lanka,7.23N,80.27E
1947-12-01,24.565,0.195,Negombo,Sri Lanka,7.23N,80.27E
1948-01-01,25.445999999999998,0.201,Negombo,Sri Lanka,7.23N,80.27E
1948-02-01,26.25,0.237,Negombo,Sri Lanka,7.23N,80.27E
1948-03-01,27.235,0.39,Negombo,Sri Lanka,7.23N,80.27E
1948-04-01,27.123,0.214,Negombo,Sri Lanka,7.23N,80.27E
1948-05-01,27.338,0.183,Negombo,Sri Lanka,7.23N,80.27E
1948-06-01,26.448,0.264,Negombo,Sri Lanka,7.23N,80.27E
1948-07-01,26.212,0.205,Negombo,Sri Lanka,7.23N,80.27E
1948-08-01,26.232,0.231,Negombo,Sri Lanka,7.23N,80.27E
1948-09-01,26.528,0.14400000000000002,Negombo,Sri Lanka,7.23N,80.27E
1948-10-01,25.863000000000003,0.149,Negombo,Sri Lanka,7.23N,80.27E
1948-11-01,25.6,0.24100000000000002,Negombo,Sri Lanka,7.23N,80.27E
1948-12-01,24.867,0.3,Negombo,Sri Lanka,7.23N,80.27E
1949-01-01,24.905,0.441,Negombo,Sri Lanka,7.23N,80.27E
1949-02-01,25.322,0.28800000000000003,Negombo,Sri Lanka,7.23N,80.27E
1949-03-01,27.22,0.40299999999999997,Negombo,Sri Lanka,7.23N,80.27E
1949-04-01,26.883000000000006,0.276,Negombo,Sri Lanka,7.23N,80.27E
1949-05-01,26.874000000000002,0.185,Negombo,Sri Lanka,7.23N,80.27E
1949-06-01,26.232000000000006,0.154,Negombo,Sri Lanka,7.23N,80.27E
1949-07-01,26.065,0.22699999999999998,Negombo,Sri Lanka,7.23N,80.27E
1949-08-01,26.275,0.239,Negombo,Sri Lanka,7.23N,80.27E
1949-09-01,26.424000000000003,0.322,Negombo,Sri Lanka,7.23N,80.27E
1949-10-01,25.989,0.23,Negombo,Sri Lanka,7.23N,80.27E
1949-11-01,25.365,0.34,Negombo,Sri Lanka,7.23N,80.27E
1949-12-01,24.528000000000002,0.267,Negombo,Sri Lanka,7.23N,80.27E
1950-01-01,24.581999999999997,0.297,Negombo,Sri Lanka,7.23N,80.27E
1950-02-01,26.073,0.18100000000000002,Negombo,Sri Lanka,7.23N,80.27E
1950-03-01,27.125,0.303,Negombo,Sri Lanka,7.23N,80.27E
1950-04-01,26.935,0.38299999999999995,Negombo,Sri Lanka,7.23N,80.27E
1950-05-01,27.449,0.37,Negombo,Sri Lanka,7.23N,80.27E
1950-06-01,26.178,0.22899999999999998,Negombo,Sri Lanka,7.23N,80.27E
1950-07-01,25.881999999999998,0.28,Negombo,Sri Lanka,7.23N,80.27E
1950-08-01,26.03,0.301,Negombo,Sri Lanka,7.23N,80.27E
1950-09-01,26.121,0.19699999999999998,Negombo,Sri Lanka,7.23N,80.27E
1950-10-01,25.125,0.23199999999999998,Negombo,Sri Lanka,7.23N,80.27E
1950-11-01,25.244,0.337,Negombo,Sri Lanka,7.23N,80.27E
1950-12-01,24.494,0.258,Negombo,Sri Lanka,7.23N,80.27E
1951-01-01,24.778,0.46,Negombo,Sri Lanka,7.23N,80.27E
1951-02-01,25.077,0.341,Negombo,Sri Lanka,7.23N,80.27E
1951-03-01,26.905,0.17,Negombo,Sri Lanka,7.23N,80.27E
1951-04-01,26.860000000000007,0.203,Negombo,Sri Lanka,7.23N,80.27E
1951-05-01,26.974,0.198,Negombo,Sri Lanka,7.23N,80.27E
1951-06-01,25.877,0.401,Negombo,Sri Lanka,7.23N,80.27E
1951-07-01,25.820999999999998,0.282,Negombo,Sri Lanka,7.23N,80.27E
1951-08-01,26.596999999999998,0.244,Negombo,Sri Lanka,7.23N,80.27E
1951-09-01,26.362,0.313,Negombo,Sri Lanka,7.23N,80.27E
1951-10-01,26.092,0.282,Negombo,Sri Lanka,7.23N,80.27E
1951-11-01,25.625,0.354,Negombo,Sri Lanka,7.23N,80.27E
1951-12-01,24.938000000000002,0.33,Negombo,Sri Lanka,7.23N,80.27E
1952-01-01,25.095,0.308,Negombo,Sri Lanka,7.23N,80.27E
1952-02-01,26.331,0.275,Negombo,Sri Lanka,7.23N,80.27E
1952-03-01,27.093000000000004,0.156,Negombo,Sri Lanka,7.23N,80.27E
1952-04-01,27.146,0.209,Negombo,Sri Lanka,7.23N,80.27E
1952-05-01,27.217,0.314,Negombo,Sri Lanka,7.23N,80.27E
1952-06-01,26.519,0.249,Negombo,Sri Lanka,7.23N,80.27E
1952-07-01,26.198,0.32,Negombo,Sri Lanka,7.23N,80.27E
1952-08-01,26.299,0.272,Negombo,Sri Lanka,7.23N,80.27E
1952-09-01,26.623,0.192,Negombo,Sri Lanka,7.23N,80.27E
1952-10-01,25.816,0.18899999999999997,Negombo,Sri Lanka,7.23N,80.27E
1952-11-01,25.304,0.18600000000000003,Negombo,Sri Lanka,7.23N,80.27E
1952-12-01,25.103,0.191,Negombo,Sri Lanka,7.23N,80.27E
1953-01-01,24.967,0.433,Negombo,Sri Lanka,7.23N,80.27E
1953-02-01,25.73,0.278,Negombo,Sri Lanka,7.23N,80.27E
1953-03-01,27.188000000000002,0.179,Negombo,Sri Lanka,7.23N,80.27E
1953-04-01,26.916999999999998,0.304,Negombo,Sri Lanka,7.23N,80.27E
1953-05-01,27.833000000000002,0.364,Negombo,Sri Lanka,7.23N,80.27E
1953-06-01,27.125999999999998,0.26,Negombo,Sri Lanka,7.23N,80.27E
1953-07-01,25.590999999999998,0.289,Negombo,Sri Lanka,7.23N,80.27E
1953-08-01,26.621,0.249,Negombo,Sri Lanka,7.23N,80.27E
1953-09-01,26.331999999999997,0.29100000000000004,Negombo,Sri Lanka,7.23N,80.27E
1953-10-01,25.79,0.20199999999999999,Negombo,Sri Lanka,7.23N,80.27E
1953-11-01,25.234,0.203,Negombo,Sri Lanka,7.23N,80.27E
1953-12-01,25.052,0.27,Negombo,Sri Lanka,7.23N,80.27E
1954-01-01,25.416,0.285,Negombo,Sri Lanka,7.23N,80.27E
1954-02-01,26.115,0.315,Negombo,Sri Lanka,7.23N,80.27E
1954-03-01,26.805,0.48700000000000004,Negombo,Sri Lanka,7.23N,80.27E
1954-04-01,27.116000000000003,0.20800000000000002,Negombo,Sri Lanka,7.23N,80.27E
1954-05-01,27.096,0.28300000000000003,Negombo,Sri Lanka,7.23N,80.27E
1954-06-01,26.491,0.301,Negombo,Sri Lanka,7.23N,80.27E
1954-07-01,25.873,0.165,Negombo,Sri Lanka,7.23N,80.27E
1954-08-01,25.916,0.252,Negombo,Sri Lanka,7.23N,80.27E
1954-09-01,26.176,0.314,Negombo,Sri Lanka,7.23N,80.27E
1954-10-01,25.246,0.254,Negombo,Sri Lanka,7.23N,80.27E
1954-11-01,24.982,0.24,Negombo,Sri Lanka,7.23N,80.27E
1954-12-01,24.834,0.41700000000000004,Negombo,Sri Lanka,7.23N,80.27E
1955-01-01,25.203000000000003,0.155,Negombo,Sri Lanka,7.23N,80.27E
1955-02-01,25.888,0.431,Negombo,Sri Lanka,7.23N,80.27E
1955-03-01,26.873,0.532,Negombo,Sri Lanka,7.23N,80.27E
1955-04-01,26.842,0.27,Negombo,Sri Lanka,7.23N,80.27E
1955-05-01,26.428,0.237,Negombo,Sri Lanka,7.23N,80.27E
1955-06-01,25.601000000000006,0.225,Negombo,Sri Lanka,7.23N,80.27E
1955-07-01,25.724,0.163,Negombo,Sri Lanka,7.23N,80.27E
1955-08-01,26.139,0.331,Negombo,Sri Lanka,7.23N,80.27E
1955-09-01,25.953000000000007,0.233,Negombo,Sri Lanka,7.23N,80.27E
1955-10-01,25.878,0.27899999999999997,Negombo,Sri Lanka,7.23N,80.27E
1955-11-01,25.208,0.423,Negombo,Sri Lanka,7.23N,80.27E
1955-12-01,24.426,0.27899999999999997,Negombo,Sri Lanka,7.23N,80.27E
1956-01-01,24.695999999999998,0.281,Negombo,Sri Lanka,7.23N,80.27E
1956-02-01,25.32,0.414,Negombo,Sri Lanka,7.23N,80.27E
1956-03-01,26.924,0.456,Negombo,Sri Lanka,7.23N,80.27E
1956-04-01,27.359,0.555,Negombo,Sri Lanka,7.23N,80.27E
1956-05-01,27.0,0.385,Negombo,Sri Lanka,7.23N,80.27E
1956-06-01,25.791999999999998,0.252,Negombo,Sri Lanka,7.23N,80.27E
1956-07-01,25.743000000000002,0.17800000000000002,Negombo,Sri Lanka,7.23N,80.27E
1956-08-01,25.68,0.222,Negombo,Sri Lanka,7.23N,80.27E
1956-09-01,25.866000000000003,0.249,Negombo,Sri Lanka,7.23N,80.27E
1956-10-01,25.444000000000003,0.42100000000000004,Negombo,Sri Lanka,7.23N,80.27E
1956-11-01,25.473000000000003,0.48,Negombo,Sri Lanka,7.23N,80.27E
1956-12-01,24.661,0.445,Negombo,Sri Lanka,7.23N,80.27E
1957-01-01,24.844,0.289,Negombo,Sri Lanka,7.23N,80.27E
1957-02-01,25.708000000000002,0.41600000000000004,Negombo,Sri Lanka,7.23N,80.27E
1957-03-01,26.695,0.434,Negombo,Sri Lanka,7.23N,80.27E
1957-04-01,27.419,0.49200000000000005,Negombo,Sri Lanka,7.23N,80.27E
1957-05-01,26.96,0.188,Negombo,Sri Lanka,7.23N,80.27E
1957-06-01,26.384,0.446,Negombo,Sri Lanka,7.23N,80.27E
1957-07-01,26.106,0.38,Negombo,Sri Lanka,7.23N,80.27E
1957-08-01,26.239,0.6779999999999999,Negombo,Sri Lanka,7.23N,80.27E
1957-09-01,26.523000000000003,0.556,Negombo,Sri Lanka,7.23N,80.27E
1957-10-01,25.91,0.503,Negombo,Sri Lanka,7.23N,80.27E
1957-11-01,25.65,0.363,Negombo,Sri Lanka,7.23N,80.27E
1957-12-01,25.059,0.41600000000000004,Negombo,Sri Lanka,7.23N,80.27E
1958-01-01,25.811,0.294,Negombo,Sri Lanka,7.23N,80.27E
1958-02-01,26.243000000000002,0.45399999999999996,Negombo,Sri Lanka,7.23N,80.27E
1958-03-01,27.271,0.375,Negombo,Sri Lanka,7.23N,80.27E
1958-04-01,27.405,0.337,Negombo,Sri Lanka,7.23N,80.27E
1958-05-01,27.156999999999996,0.373,Negombo,Sri Lanka,7.23N,80.27E
1958-06-01,26.691000000000006,0.273,Negombo,Sri Lanka,7.23N,80.27E
1958-07-01,26.715,0.516,Negombo,Sri Lanka,7.23N,80.27E
1958-08-01,26.051,0.32299999999999995,Negombo,Sri Lanka,7.23N,80.27E
1958-09-01,26.674000000000003,0.23199999999999998,Negombo,Sri Lanka,7.23N,80.27E
1958-10-01,25.87,0.16899999999999998,Negombo,Sri Lanka,7.23N,80.27E
1958-11-01,25.674,0.27699999999999997,Negombo,Sri Lanka,7.23N,80.27E
1958-12-01,25.416,0.16899999999999998,Negombo,Sri Lanka,7.23N,80.27E
1959-01-01,25.72,0.385,Negombo,Sri Lanka,7.23N,80.27E
1959-02-01,26.378,0.449,Negombo,Sri Lanka,7.23N,80.27E
1959-03-01,27.273000000000003,0.415,Negombo,Sri Lanka,7.23N,80.27E
1959-04-01,27.308000000000003,0.41200000000000003,Negombo,Sri Lanka,7.23N,80.27E
1959-05-01,27.176,0.152,Negombo,Sri Lanka,7.23N,80.27E
1959-06-01,26.086,0.22399999999999998,Negombo,Sri Lanka,7.23N,80.27E
1959-07-01,26.128,0.309,Negombo,Sri Lanka,7.23N,80.27E
1959-08-01,26.295,0.265,Negombo,Sri Lanka,7.23N,80.27E
1959-09-01,26.241000000000003,0.371,Negombo,Sri Lanka,7.23N,80.27E
1959-10-01,25.916,0.22,Negombo,Sri Lanka,7.23N,80.27E
1959-11-01,25.566999999999997,0.146,Negombo,Sri Lanka,7.23N,80.27E
1959-12-01,25.175,0.318,Negombo,Sri Lanka,7.23N,80.27E
1960-01-01,25.355,0.266,Negombo,Sri Lanka,7.23N,80.27E
1960-02-01,25.636,0.3,Negombo,Sri Lanka,7.23N,80.27E
1960-03-01,26.804000000000002,0.275,Negombo,Sri Lanka,7.23N,80.27E
1960-04-01,26.94,0.228,Negombo,Sri Lanka,7.23N,80.27E
1960-05-01,26.654,0.366,Negombo,Sri Lanka,7.23N,80.27E
1960-06-01,26.521,0.27699999999999997,Negombo,Sri Lanka,7.23N,80.27E
1960-07-01,25.752,0.243,Negombo,Sri Lanka,7.23N,80.27E
1960-08-01,26.265,0.363,Negombo,Sri Lanka,7.23N,80.27E
1960-09-01,26.041999999999998,0.212,Negombo,Sri Lanka,7.23N,80.27E
1960-10-01,25.768,0.469,Negombo,Sri Lanka,7.23N,80.27E
1960-11-01,25.101,0.373,Negombo,Sri Lanka,7.23N,80.27E
1960-12-01,25.29,0.191,Negombo,Sri Lanka,7.23N,80.27E
1961-01-01,25.479,0.36700000000000005,Negombo,Sri Lanka,7.23N,80.27E
1961-02-01,25.62,0.287,Negombo,Sri Lanka,7.23N,80.27E
1961-03-01,27.081,0.239,Negombo,Sri Lanka,7.23N,80.27E
1961-04-01,27.166999999999998,0.504,Negombo,Sri Lanka,7.23N,80.27E
1961-05-01,26.729,0.28,Negombo,Sri Lanka,7.23N,80.27E
1961-06-01,25.924,0.483,Negombo,Sri Lanka,7.23N,80.27E
1961-07-01,25.745,0.156,Negombo,Sri Lanka,7.23N,80.27E
1961-08-01,26.115,0.23,Negombo,Sri Lanka,7.23N,80.27E
1961-09-01,25.913,0.256,Negombo,Sri Lanka,7.23N,80.27E
1961-10-01,25.756,0.415,Negombo,Sri Lanka,7.23N,80.27E
1961-11-01,25.46,0.2,Negombo,Sri Lanka,7.23N,80.27E
1961-12-01,24.919,0.162,Negombo,Sri Lanka,7.23N,80.27E
1962-01-01,24.891,0.38799999999999996,Negombo,Sri Lanka,7.23N,80.27E
1962-02-01,26.176,0.217,Negombo,Sri Lanka,7.23N,80.27E
1962-03-01,26.772,0.203,Negombo,Sri Lanka,7.23N,80.27E
1962-04-01,27.191999999999997,0.326,Negombo,Sri Lanka,7.23N,80.27E
1962-05-01,26.843000000000004,0.16899999999999998,Negombo,Sri Lanka,7.23N,80.27E
1962-06-01,26.4,0.537,Negombo,Sri Lanka,7.23N,80.27E
1962-07-01,26.129,0.221,Negombo,Sri Lanka,7.23N,80.27E
1962-08-01,26.179,0.284,Negombo,Sri Lanka,7.23N,80.27E
1962-09-01,26.121,0.195,Negombo,Sri Lanka,7.23N,80.27E
1962-10-01,25.601,0.38799999999999996,Negombo,Sri Lanka,7.23N,80.27E
1962-11-01,25.369,0.187,Negombo,Sri Lanka,7.23N,80.27E
1962-12-01,25.125,0.265,Negombo,Sri Lanka,7.23N,80.27E
1963-01-01,24.862,0.307,Negombo,Sri Lanka,7.23N,80.27E
1963-02-01,25.815,0.158,Negombo,Sri Lanka,7.23N,80.27E
1963-03-01,26.751,0.223,Negombo,Sri Lanka,7.23N,80.27E
1963-04-01,26.997,0.212,Negombo,Sri Lanka,7.23N,80.27E
1963-05-01,27.177,0.363,Negombo,Sri Lanka,7.23N,80.27E
1963-06-01,26.424000000000003,0.326,Negombo,Sri Lanka,7.23N,80.27E
1963-07-01,25.982,0.371,Negombo,Sri Lanka,7.23N,80.27E
1963-08-01,26.646,0.2,Negombo,Sri Lanka,7.23N,80.27E
1963-09-01,26.441999999999997,0.32,Negombo,Sri Lanka,7.23N,80.27E
1963-10-01,25.429,0.243,Negombo,Sri Lanka,7.23N,80.27E
1963-11-01,25.451,0.28,Negombo,Sri Lanka,7.23N,80.27E
1963-12-01,25.182,0.322,Negombo,Sri Lanka,7.23N,80.27E
1964-01-01,25.37,0.309,Negombo,Sri Lanka,7.23N,80.27E
1964-02-01,26.449,0.223,Negombo,Sri Lanka,7.23N,80.27E
1964-03-01,27.219,0.158,Negombo,Sri Lanka,7.23N,80.27E
1964-04-01,27.621,0.201,Negombo,Sri Lanka,7.23N,80.27E
1964-05-01,27.611,0.33799999999999997,Negombo,Sri Lanka,7.23N,80.27E
1964-06-01,26.544,0.244,Negombo,Sri Lanka,7.23N,80.27E
1964-07-01,25.864,0.335,Negombo,Sri Lanka,7.23N,80.27E
1964-08-01,25.964,0.40700000000000003,Negombo,Sri Lanka,7.23N,80.27E
1964-09-01,26.113000000000003,0.201,Negombo,Sri Lanka,7.23N,80.27E
1964-10-01,25.636999999999997,0.35,Negombo,Sri Lanka,7.23N,80.27E
1964-11-01,25.194000000000003,0.369,Negombo,Sri Lanka,7.23N,80.27E
1964-12-01,24.728,0.239,Negombo,Sri Lanka,7.23N,80.27E
1965-01-01,25.068,0.32899999999999996,Negombo,Sri Lanka,7.23N,80.27E
1965-02-01,25.811999999999998,0.18100000000000002,Negombo,Sri Lanka,7.23N,80.27E
1965-03-01,26.739,0.2,Negombo,Sri Lanka,7.23N,80.27E
1965-04-01,26.896,0.14800000000000002,Negombo,Sri Lanka,7.23N,80.27E
1965-05-01,26.625,0.293,Negombo,Sri Lanka,7.23N,80.27E
1965-06-01,26.43,0.308,Negombo,Sri Lanka,7.23N,80.27E
1965-07-01,26.285,0.326,Negombo,Sri Lanka,7.23N,80.27E
1965-08-01,26.035,0.305,Negombo,Sri Lanka,7.23N,80.27E
1965-09-01,26.365,0.273,Negombo,Sri Lanka,7.23N,80.27E
1965-10-01,25.767,0.414,Negombo,Sri Lanka,7.23N,80.27E
1965-11-01,25.819000000000003,0.337,Negombo,Sri Lanka,7.23N,80.27E
1965-12-01,25.139,0.297,Negombo,Sri Lanka,7.23N,80.27E
1966-01-01,25.633000000000003,0.24,Negombo,Sri Lanka,7.23N,80.27E
1966-02-01,26.671,0.111,Negombo,Sri Lanka,7.23N,80.27E
1966-03-01,27.379,0.212,Negombo,Sri Lanka,7.23N,80.27E
1966-04-01,27.389000000000006,0.226,Negombo,Sri Lanka,7.23N,80.27E
1966-05-01,27.56,0.273,Negombo,Sri Lanka,7.23N,80.27E
1966-06-01,26.281,0.369,Negombo,Sri Lanka,7.23N,80.27E
1966-07-01,26.445999999999998,0.3,Negombo,Sri Lanka,7.23N,80.27E
1966-08-01,26.778,0.243,Negombo,Sri Lanka,7.23N,80.27E
1966-09-01,26.479000000000006,0.48,Negombo,Sri Lanka,7.23N,80.27E
1966-10-01,25.546999999999997,0.214,Negombo,Sri Lanka,7.23N,80.27E
1966-11-01,25.743,0.19,Negombo,Sri Lanka,7.23N,80.27E
1966-12-01,25.234,0.126,Negombo,Sri Lanka,7.23N,80.27E
1967-01-01,25.005,0.192,Negombo,Sri Lanka,7.23N,80.27E
1967-02-01,25.68,0.237,Negombo,Sri Lanka,7.23N,80.27E
1967-03-01,26.938000000000002,0.235,Negombo,Sri Lanka,7.23N,80.27E
1967-04-01,27.28,0.154,Negombo,Sri Lanka,7.23N,80.27E
1967-05-01,27.090999999999998,0.301,Negombo,Sri Lanka,7.23N,80.27E
1967-06-01,26.339,0.14400000000000002,Negombo,Sri Lanka,7.23N,80.27E
1967-07-01,26.037,0.289,Negombo,Sri Lanka,7.23N,80.27E
1967-08-01,26.243,0.262,Negombo,Sri Lanka,7.23N,80.27E
1967-09-01,26.176,0.32,Negombo,Sri Lanka,7.23N,80.27E
1967-10-01,25.424,0.247,Negombo,Sri Lanka,7.23N,80.27E
1967-11-01,25.326,0.235,Negombo,Sri Lanka,7.23N,80.27E
1967-12-01,25.083000000000002,0.212,Negombo,Sri Lanka,7.23N,80.27E
1968-01-01,24.998,0.258,Negombo,Sri Lanka,7.23N,80.27E
1968-02-01,25.796999999999997,0.272,Negombo,Sri Lanka,7.23N,80.27E
1968-03-01,27.154,0.319,Negombo,Sri Lanka,7.23N,80.27E
1968-04-01,26.932,0.163,Negombo,Sri Lanka,7.23N,80.27E
1968-05-01,27.144000000000002,0.335,Negombo,Sri Lanka,7.23N,80.27E
1968-06-01,26.418000000000006,0.289,Negombo,Sri Lanka,7.23N,80.27E
1968-07-01,25.693,0.34700000000000003,Negombo,Sri Lanka,7.23N,80.27E
1968-08-01,26.276,0.28300000000000003,Negombo,Sri Lanka,7.23N,80.27E
1968-09-01,26.154,0.18600000000000003,Negombo,Sri Lanka,7.23N,80.27E
1968-10-01,25.965,0.258,Negombo,Sri Lanka,7.23N,80.27E
1968-11-01,25.415,0.218,Negombo,Sri Lanka,7.23N,80.27E
1968-12-01,25.141,0.196,Negombo,Sri Lanka,7.23N,80.27E
1969-01-01,25.346999999999998,0.327,Negombo,Sri Lanka,7.23N,80.27E
1969-02-01,26.255,0.273,Negombo,Sri Lanka,7.23N,80.27E
1969-03-01,27.766,0.18899999999999997,Negombo,Sri Lanka,7.23N,80.27E
1969-04-01,27.919,0.235,Negombo,Sri Lanka,7.23N,80.27E
1969-05-01,27.34,0.105,Negombo,Sri Lanka,7.23N,80.27E
1969-06-01,26.679,0.33299999999999996,Negombo,Sri Lanka,7.23N,80.27E
1969-07-01,26.322,0.248,Negombo,Sri Lanka,7.23N,80.27E
1969-08-01,26.084,0.384,Negombo,Sri Lanka,7.23N,80.27E
1969-09-01,26.733,0.198,Negombo,Sri Lanka,7.23N,80.27E
1969-10-01,25.73,0.19699999999999998,Negombo,Sri Lanka,7.23N,80.27E
1969-11-01,25.691,0.192,Negombo,Sri Lanka,7.23N,80.27E
1969-12-01,25.284000000000002,0.221,Negombo,Sri Lanka,7.23N,80.27E
1970-01-01,25.355,0.159,Negombo,Sri Lanka,7.23N,80.27E
