000000000002,0.405,Chimalhuacán,Mexico,20.09N,98.96W
1941-01-01,12.316,0.278,Chimalhuacán,Mexico,20.09N,98.96W
1941-02-01,13.709000000000001,0.586,Chimalhuacán,Mexico,20.09N,98.96W
1941-03-01,15.456,0.613,Chimalhuacán,Mexico,20.09N,98.96W
1941-04-01,18.284000000000002,0.233,Chimalhuacán,Mexico,20.09N,98.96W
1941-05-01,18.048,0.38799999999999996,Chimalhuacán,Mexico,20.09N,98.96W
1941-06-01,18.646,0.375,Chimalhuacán,Mexico,20.09N,98.96W
1941-07-01,17.643,0.21899999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1941-08-01,18.083,0.125,Chimalhuacán,Mexico,20.09N,98.96W
1941-09-01,17.226,0.316,Chimalhuacán,Mexico,20.09N,98.96W
1941-10-01,16.477999999999998,0.34700000000000003,Chimalhuacán,Mexico,20.09N,98.96W
1941-11-01,14.434000000000001,0.239,Chimalhuacán,Mexico,20.09N,98.96W
1941-12-01,13.486,0.46299999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1942-01-01,12.162,0.48,Chimalhuacán,Mexico,20.09N,98.96W
1942-02-01,15.069,0.59,Chimalhuacán,Mexico,20.09N,98.96W
1942-03-01,16.03,0.501,Chimalhuacán,Mexico,20.09N,98.96W
1942-04-01,17.985,0.7140000000000001,Chimalhuacán,Mexico,20.09N,98.96W
1942-05-01,19.644000000000002,0.46799999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1942-06-01,18.768,0.32799999999999996,Chimalhuacán,Mexico,20.09N,98.96W
1942-07-01,17.496000000000002,0.348,Chimalhuacán,Mexico,20.09N,98.96W
1942-08-01,17.288999999999998,0.39299999999999996,Chimalhuacán,Mexico,20.09N,98.96W
1942-09-01,16.538,0.231,Chimalhuacán,Mexico,20.09N,98.96W
1942-10-01,16.155,0.185,Chimalhuacán,Mexico,20.09N,98.96W
1942-11-01,14.064,0.384,Chimalhuacán,Mexico,20.09N,98.96W
1942-12-01,12.935,0.485,Chimalhuacán,Mexico,20.09N,98.96W
1943-01-01,12.616,0.48100000000000004,Chimalhuacán,Mexico,20.09N,98.96W
1943-02-01,13.101,0.583,Chimalhuacán,Mexico,20.09N,98.96W
1943-03-01,15.579,0.96,Chimalhuacán,Mexico,20.09N,98.96W
1943-04-01,17.422,0.7979999999999999,Chimalhuacán,Mexico,20.09N,98.96W
1943-05-01,19.126,0.12,Chimalhuacán,Mexico,20.09N,98.96W
1943-06-01,17.494,0.171,Chimalhuacán,Mexico,20.09N,98.96W
1943-07-01,18.148,0.491,Chimalhuacán,Mexico,20.09N,98.96W
1943-08-01,18.102,0.33899999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1943-09-01,17.761,0.358,Chimalhuacán,Mexico,20.09N,98.96W
1943-10-01,15.169,0.42100000000000004,Chimalhuacán,Mexico,20.09N,98.96W
