,,Raigarh,India,21.70N,83.94E
1875-04-01,31.59,0.597,Raigarh,India,21.70N,83.94E
1875-05-01,32.482,0.396,Raigarh,India,21.70N,83.94E
1875-06-01,30.139000000000006,1.651,Raigarh,India,21.70N,83.94E
1875-07-01,27.191999999999997,0.7509999999999999,Raigarh,India,21.70N,83.94E
1875-08-01,26.75,0.39,Raigarh,India,21.70N,83.94E
1875-09-01,27.049,0.48200000000000004,Raigarh,India,21.70N,83.94E
1875-10-01,25.171999999999997,0.545,Raigarh,India,21.70N,83.94E
1875-11-01,21.345,0.34299999999999997,Raigarh,India,21.70N,83.94E
1875-12-01,19.65,0.395,Raigarh,India,21.70N,83.94E
1876-01-01,19.608,0.865,Raigarh,India,21.70N,83.94E
1876-02-01,22.356,1.14,Raigarh,India,21.70N,83.94E
1876-03-01,27.31,1.7009999999999998,Raigarh,India,21.70N,83.94E
1876-04-01,31.331,1.025,Raigarh,India,21.70N,83.94E
1876-05-01,33.79,1.359,Raigarh,India,21.70N,83.94E
1876-06-01,32.018,0.72,Raigarh,India,21.70N,83.94E
1876-07-01,27.498,0.775,Raigarh,India,21.70N,83.94E
1876-08-01,27.146,0.8809999999999999,Raigarh,India,21.70N,83.94E
1876-09-01,26.955,0.687,Raigarh,India,21.70N,83.94E
1876-10-01,24.678,0.674,Raigarh,India,21.70N,83.94E
1876-11-01,21.473000000000006,1.085,Raigarh,India,21.70N,83.94E
1876-12-01,18.206,1.2009999999999998,Raigarh,India,21.70N,83.94E
1877-01-01,19.443,1.568,Raigarh,India,21.70N,83.94E
1877-02-01,20.364,1.6059999999999999,Raigarh,India,21.70N,83.94E
1877-03-01,26.656,0.568,Raigarh,India,21.70N,83.94E
1877-04-01,29.068,1.367,Raigarh,India,21.70N,83.94E
1877-05-01,31.788,1.0979999999999999,Raigarh,India,21.70N,83.94E
1877-06-01,31.303,1.807,Raigarh,India,21.70N,83.94E
1877-07-01,28.581,0.655,Raigarh,India,21.70N,83.94E
1877-08-01,27.456999999999997,0.743,Raigarh,India,21.70N,83.94E
1877-09-01,28.168000000000003,0.425,Raigarh,India,21.70N,83.94E
1877-10-01,26.031999999999996,0.78,Raigarh,India,21.70N,83.94E
1877-11-01,23.281,1.01,Raigarh,India,21.70N,83.94E
1877-12-01,20.851,2.001,Raigarh,India,21.70N,83.94E
1878-01-01,19.931,1.726,Raigarh,India,21.70N,83.94E
1878-02-01,24.136,1.03,Raigarh,India,21.70N,83.94E
1878-03-01,27.868000000000002,0.975,Raigarh,India,21.70N,83.94E
1878-04-01,31.226999999999997,0.799,Raigarh,India,21.70N,83.94E
1878-05-01,31.781,0.486,Raigarh,India,21.70N,83.94E
1878-06-01,33.739000000000004,1.865,Raigarh,India,21.70N,83.94E
