33.018,1.1079999999999999,Khairpur,Pakistan,28.13N,68.18E
1892-11-01,20.024,0.769,Khairpur,Pakistan,28.13N,68.18E
1892-12-01,15.091,0.56,Khairpur,Pakistan,28.13N,68.18E
1893-01-01,13.923,0.609,Khairpur,Pakistan,28.13N,68.18E
1893-02-01,12.613,0.866,Khairpur,Pakistan,28.13N,68.18E
1893-03-01,22.031,0.611,Khairpur,Pakistan,28.13N,68.18E
1893-04-01,29.827,0.9159999999999999,Khairpur,Pakistan,28.13N,68.18E
1893-05-01,34.03,0.457,Khairpur,Pakistan,28.13N,68.18E
1893-06-01,35.334,0.713,Khairpur,Pakistan,28.13N,68.18E
1893-07-01,33.185,0.45399999999999996,Khairpur,Pakistan,28.13N,68.18E
1893-08-01,32.506,1.09,Khairpur,Pakistan,28.13N,68.18E
1893-09-01,31.108,0.43700000000000006,Khairpur,Pakistan,28.13N,68.18E
1893-10-01,26.184,0.8170000000000001,Khairpur,Pakistan,28.13N,68.18E
1893-11-01,19.814,0.507,Khairpur,Pakistan,28.13N,68.18E
1893-12-01,16.985,0.792,Khairpur,Pakistan,28.13N,68.18E
1894-01-01,13.262,1.031,Khairpur,Pakistan,28.13N,68.18E
1894-02-01,16.852999999999998,0.579,Khairpur,Pakistan,28.13N,68.18E
1894-03-01,22.86,0.7759999999999999,Khairpur,Pakistan,28.13N,68.18E
1894-04-01,29.377,1.0390000000000001,Khairpur,Pakistan,28.13N,68.18E
1894-05-01,34.17,0.5820000000000001,Khairpur,Pakistan,28.13N,68.18E
1894-06-01,35.885,0.484,Khairpur,Pakistan,28.13N,68.18E
1894-07-01,33.231,0.33399999999999996,Khairpur,Pakistan,28.13N,68.18E
1894-08-01,32.177,1.168,Khairpur,Pakistan,28.13N,68.18E
1894-09-01,31.143,0.494,Khairpur,Pakistan,28.13N,68.18E
1894-10-01,26.124000000000002,0.643,Khairpur,Pakistan,28.13N,68.18E
1894-11-01,20.866999999999997,1.4380000000000002,Khairpur,Pakistan,28.13N,68.18E
1894-12-01,14.964,0.507,Khairpur,Pakistan,28.13N,68.18E
1895-01-01,12.695,1.3840000000000001,Khairpur,Pakistan,28.13N,68.18E
1895-02-01,18.456,0.927,Khairpur,Pakistan,28.13N,68.18E
1895-03-01,23.513,0.639,Khairpur,Pakistan,28.13N,68.18E
1895-04-01,30.247,1.054,Khairpur,Pakistan,28.13N,68.18E
1895-05-01,35.527,1.079,Khairpur,Pakistan,28.13N,68.18E
1895-06-01,36.322,0.429,Khairpur,Pakistan,28.13N,68.18E
1895-07-01,34.650999999999996,0.935,Khairpur,Pakistan,28.13N,68.18E
1895-08-01,32.144,0.598,Khairpur,Pakistan,28.13N,68.18E
1895-09-01,30.516,1.062,Khairpur,Pakistan,28.13N,68.18E
1895-10-01,26.891,0.423,Khairpur,Pakistan,28.13N,68.18E
1895-11-01,22.093000000000004,0.934,Khairpur,Pakistan,28.13N,68.18E
1895-12-01,16.625999999999998,0.436,Khairpur,Pakistan,28.13N,68.18E
1896-01-01,16.588,0.966,Khairpur,Pakistan,28.13N,68.18E
1896-02-01,17.833,0.757,Khairpur,Pakistan,28.13N,68.18E
1896-03-01,24.379,0.581,Khairpur,Pakistan,28.13N,68.18E
1896-04-01,30.148000000000003,1.3119999999999998,Khairpur,Pakistan,28.13N,68.18E
1896-05-01,35.025,0.313,Khairpur,Pakistan,28.13N,68.18E
1896-06-01,36.953,0.273,Khairpur,Pakistan,28.13N,68.18E
1896-07-01,34.937000000000005,0.812,Khairpur,Pakistan,28.13N,68.18E
1896-08-01,32.913000000000004,0.583,Khairpur,Pakistan,28.13N,68.18E
1896-09-01,31.014,0.521,Khairpur,Pakistan,28.13N,68.18E
1896-10-01,26.467,0.7490000000000001,Khairpur,Pakistan,28.13N,68.18E
1896-11-01,21.433000000000003,1.538,Khairpur,Pakistan,28.13N,68.18E
1896-12-01,14.927,0.616,Khairpur,Pakistan,28.13N,68.18E
1897-01-01,14.075,1.254,Khairpur,Pakistan,28.13N,68.18E
1897-02-01,16.705,0.491,Khairpur,Pakistan,28.13N,68.18E
1897-03-01,22.484,0.546,Khairpur,Pakistan,28.13N,68.18E
1897-04-01,28.323,0.542,Khairpur,Pakistan,28.13N,68.18E
1897-05-01,35.099000000000004,0.596,Khairpur,Pakistan,28.13N,68.18E
1897-06-01,36.302,1.032,Khairpur,Pakistan,28.13N,68.18E
1897-07-01,34.988,0.78,Khairpur,Pakistan,28.13N,68.18E
1897-08-01,32.804,0.903,Khairpur,Pakistan,28.13N,68.18E
1897-09-01,31.236,0.599,Khairpur,Pakistan,28.13N,68.18E
1897-10-01,26.145,1.012,Khairpur,Pakistan,28.13N,68.18E
1897-11-01,22.204,1.232,Khairpur,Pakistan,28.13N,68.18E
1897-12-01,16.910999999999998,0.591,Khairpur,Pakistan,28.13N,68.18E
1898-01-01,16.532,1.0270000000000001,Khairpur,Pakistan,28.13N,68.18E
1898-02-01,17.776,1.141,Khairpur,Pakistan,28.13N,68.18E
1898-03-01,23.168000000000003,0.935,Khairpur,Pakistan,28.13N,68.18E
1898-04-01,30.877,0.44799999999999995,Khairpur,Pakistan,28.13N,68.18E
1898-05-01,34.046,0.469,Khairpur,Pakistan,28.13N,68.18E
1898-06-01,36.89,0.667,Khairpur,Pakistan,28.13N,68.18E
1898-07-01,34.480000000000004,0.354,Khairpur,Pakistan,28.13N,68.18E
1898-08-01,32.788000000000004,1.248,Khairpur,Pakistan,28.13N,68.18E
1898-09-01,31.455,0.40299999999999997,Khairpur,Pakistan,28.13N,68.18E
1898-10-01,27.281999999999996,0.902,Khairpur,Pakistan,28.13N,68.18E
1898-11-01,20.847,0.753,Khairpur,Pakistan,28.13N,68.18E
1898-12-01,14.917000000000002,0.83,Khairpur,Pakistan,28.13N,68.18E
1899-01-01,12.855,0.633,Khairpur,Pakistan,28.13N,68.18E
1899-02-01,18.224,0.604,Khairpur,Pakistan,28.13N,68.18E
1899-03-01,24.535,0.528,Khairpur,Pakistan,28.13N,68.18E
1899-04-01,29.489,0.8340000000000001,Khairpur,Pakistan,28.13N,68.18E
1899-05-01,35.078,0.345,Khairpur,Pakistan,28.13N,68.18E
1899-06-01,35.892,0.767,Khairpur,Pakistan,28.13N,68.18E
1899-07-01,34.677,1.202,Khairpur,Pakistan,28.13N,68.18E
1899-08-01,33.174,1.5019999999999998,Khairpur,Pakistan,28.13N,68.18E
1899-09-01,31.25,0.703,Khairpur,Pakistan,28.13N,68.18E
1899-10-01,26.836,0.8,Khairpur,Pakistan,28.13N,68.18E
1899-11-01,22.116,1.112,Khairpur,Pakistan,28.13N,68.18E
1899-12-01,18.35,1.084,Khairpur,Pakistan,28.13N,68.18E
1900-01-01,12.855,0.823,Khairpur,Pakistan,28.13N,68.18E
1900-02-01,17.773,1.57,Khairpur,Pakistan,28.13N,68.18E
1900-03-01,25.953000000000003,1.2830000000000001,Khairpur,Pakistan,28.13N,68.18E
1900-04-01,29.074,0.534,Khairpur,Pakistan,28.13N,68.18E
1900-05-01,34.096,0.455,Khairpur,Pakistan,28.13N,68.18E
1900-06-01,37.004,0.787,Khairpur,Pakistan,28.13N,68.18E
1900-07-01,35.848,0.836,Khairpur,Pakistan,28.13N,68.18E
1900-08-01,33.736999999999995,0.517,Khairpur,Pakistan,28.13N,68.18E
1900-09-01,32.344,1.2830000000000001,Khairpur,Pakistan,28.13N,68.18E
1900-10-01,26.761,0.455,Khairpur,Pakistan,28.13N,68.18E
1900-11-01,22.916,1.369,Khairpur,Pakistan,28.13N,68.18E
1900-12-01,15.380999999999998,0.883,Khairpur,Pakistan,28.13N,68.18E
1901-01-01,13.921,0.757,Khairpur,Pakistan,28.13N,68.18E
1901-02-01,14.899000000000001,0.7,Khairpur,Pakistan,28.13N,68.18E
1901-03-01,24.764,0.8390000000000001,Khairpur,Pakistan,28.13N,68.18E
1901-04-01,28.535,1.65,Khairpur,Pakistan,28.13N,68.18E
1901-05-01,34.343,0.387,Khairpur,Pakistan,28.13N,68.18E
1901-06-01,36.431,0.77,Khairpur,Pakistan,28.13N,68.18E
1901-07-01,35.149,0.609,Khairpur,Pakistan,28.13N,68.18E
1901-08-01,33.370000000000005,0.316,Khairpur,Pakistan,28.13N,68.18E
1901-09-01,31.044,0.602,Khairpur,Pakistan,28.13N,68.18E
1901-10-01,27.964000000000002,0.40700000000000003,Khairpur,Pakistan,28.13N,68.18E
1901-11-01,21.345,0.64,Khairpur,Pakistan,28.13N,68.18E
1901-12-01,16.235,0.578,Khairpur,Pakistan,28.13N,68.18E
1902-01-01,15.651,0.752,Khairpur,Pakistan,28.13N,68.18E
1902-02-01,18.269000000000002,0.768,Khairpur,Pakistan,28.13N,68.18E
1902-03-01,25.95,1.197,Khairpur,Pakistan,28.13N,68.18E
1902-04-01,30.513,0.695,Khairpur,Pakistan,28.13N,68.18E
1902-05-01,35.242,0.757,Khairpur,Pakistan,28.13N,68.18E
1902-06-01,35.462999999999994,0.569,Khairpur,Pakistan,28.13N,68.18E
1902-07-01,35.624,0.391,Khairpur,Pakistan,28.13N,68.18E
1902-08-01,33.690000000000005,0.423,Khairpur,Pakistan,28.13N,68.18E
1902-09-01,31.482,0.28,Khairpur,Pakistan,28.13N,68.18E
1902-10-01,27.85,0.594,Khairpur,Pakistan,28.13N,68.18E
1902-11-01,22.078000000000003,0.48,Khairpur,Pakistan,28.13N,68.18E
1902-12-01,15.895,1.085,Khairpur,Pakistan,28.13N,68.18E
1903-01-01,12.927,0.9640000000000001,Khairpur,Pakistan,28.13N,68.18E
1903-02-01,17.049999999999994,0.406,Khairpur,Pakistan,28.13N,68.18E
1903-03-01,20.553,0.6,Khairpur,Pakistan,28.13N,68.18E
1903-04-01,26.726,0.7509999999999999,Khairpur,Pakistan,28.13N,68.18E
1903-05-01,33.608000000000004,0.816,Khairpur,Pakistan,28.13N,68.18E
1903-06-01,36.864000000000004,0.708,Khairpur,Pakistan,28.13N,68.18E
1903-07-01,34.792,1.216,Khairpur,Pakistan,28.13N,68.18E
1903-08-01,33.685,0.85,Khairpur,Pakistan,28.13N,68.18E
1903-09-01,32.076,0.574,Khairpur,Pakistan,28.13N,68.18E
1903-10-01,27.813000000000002,0.5379999999999999,Khairpur,Pakistan,28.13N,68.18E
1903-11-01,21.087,2.174,Khairpur,Pakistan,28.13N,68.18E
1903-12-01,14.716,0.517,Khairpur,Pakistan,28.13N,68.18E
1904-01-01,13.92,1.735,Khairpur,Pakistan,28.13N,68.18E
1904-02-01,18.396,1.161,Khairpur,Pakistan,28.13N,68.18E
1904-03-01,22.212,0.491,Khairpur,Pakistan,28.13N,68.18E
1904-04-01,30.469,0.637,Khairpur,Pakistan,28.13N,68.18E
1904-05-01,35.010999999999996,0.61,Khairpur,Pakistan,28.13N,68.18E
1904-06-01,35.992,0.631,Khairpur,Pakistan,28.13N,68.18E
1904-07-01,34.367000000000004,0.9890000000000001,Khairpur,Pakistan,28.13N,68.18E
1904-08-01,33.084,0.7490000000000001,Khairpur,Pakistan,28.13N,68.18E
1904-09-01,31.186,0.897,Khairpur,Pakistan,28.13N,68.18E
1904-10-01,27.095,0.337,Khairpur,Pakistan,28.13N,68.18E
1904-11-01,22.4,0.812,Khairpur,Pakistan,28.13N,68.18E
1904-12-01,16.340999999999998,0.536,Khairpur,Pakistan,28.13N,68.18E
1905-01-01,12.453,0.716,Khairpur,Pakistan,28.13N,68.18E
1905-02-01,12.922,0.573,Khairpur,Pakistan,28.13N,68.18E
1905-03-01,20.352999999999998,0.319,Khairpur,Pakistan,28.13N,68.18E
1905-04-01,28.261,0.33799999999999997,Khairpur,Pakistan,28.13N,68.18E
1905-05-01,35.76,0.449,Khairpur,Pakistan,28.13N,68.18E
1905-06-01,35.918,0.986,Khairpur,Pakistan,28.13N,68.18E
1905-07-01,35.332,0.805,Khairpur,Pakistan,28.13N,68.18E
1905-08-01,33.39,1.117,Khairpur,Pakistan,28.13N,68.18E
1905-09-01,31.378,1.419,Khairpur,Pakistan,28.13N,68.18E
1905-10-01,27.365,0.337,Khairpur,Pakistan,28.13N,68.18E
1905-11-01,22.365,0.6859999999999999,Khairpur,Pakistan,28.13N,68.18E
1905-12-01,16.082,0.484,Khairpur,Pakistan,28.13N,68.18E
1906-01-01,13.686,0.45399999999999996,Khairpur,Pakistan,28.13N,68.18E
1906-02-01,14.552,0.743,Khairpur,Pakistan,28.13N,68.18E
1906-03-01,20.919,0.45399999999999996,Khairpur,Pakistan,28.13N,68.18E
1906-04-01,28.116,0.38,Khairpur,Pakistan,28.13N,68.18E
1906-05-01,35.349000000000004,0.682,Khairpur,Pakistan,28.13N,68.18E
1906-06-01,35.60599999999999,0.6920000000000001,Khairpur,Pakistan,28.13N,68.18E
1906-07-01,35.41600000000001,0.48700000000000004,Khairpur,Pakistan,28.13N,68.18E
1906-08-01,33.214,1.168,Khairpur,Pakistan,28.13N,68.18E
1906-09-01,31.526,0.511,Khairpur,Pakistan,28.13N,68.18E
1906-10-01,27.677,0.542,Khairpur,Pakistan,28.13N,68.18E
1906-11-01,22.878,0.47700000000000004,Khairpur,Pakistan,28.13N,68.18E
1906-12-01,17.361,0.573,Khairpur,Pakistan,28.13N,68.18E
1907-01-01,17.119,0.7120000000000001,Khairpur,Pakistan,28.13N,68.18E
1907-02-01,15.895,0.537,Khairpur,Pakistan,28.13N,68.18E
1907-03-01,22.331999999999997,0.366,Khairpur,Pakistan,28.13N,68.18E
1907-04-01,28.502,0.29,Khairpur,Pakistan,28.13N,68.18E
1907-05-01,32.739000000000004,0.895,Khairpur,Pakistan,28.13N,68.18E
1907-06-01,34.634,1.351,Khairpur,Pakistan,28.13N,68.18E
