999997,0.253,Bettiah,India,26.52N,84.18E
1944-05-01,32.677,0.389,Bettiah,India,26.52N,84.18E
1944-06-01,31.041,0.289,Bettiah,India,26.52N,84.18E
1944-07-01,29.366000000000003,0.38799999999999996,Bettiah,India,26.52N,84.18E
1944-08-01,28.97,0.294,Bettiah,India,26.52N,84.18E
1944-09-01,28.436999999999998,0.401,Bettiah,India,26.52N,84.18E
1944-10-01,25.275,0.27399999999999997,Bettiah,India,26.52N,84.18E
1944-11-01,20.941999999999997,0.517,Bettiah,India,26.52N,84.18E
1944-12-01,17.487000000000002,0.708,Bettiah,India,26.52N,84.18E
1945-01-01,14.488,0.266,Bettiah,India,26.52N,84.18E
1945-02-01,16.959999999999994,0.524,Bettiah,India,26.52N,84.18E
1945-03-01,24.096,0.524,Bettiah,India,26.52N,84.18E
1945-04-01,27.070999999999998,0.33299999999999996,Bettiah,India,26.52N,84.18E
1945-05-01,30.714000000000002,0.564,Bettiah,India,26.52N,84.18E
1945-06-01,31.897,0.456,Bettiah,India,26.52N,84.18E
1945-07-01,29.98,0.255,Bettiah,India,26.52N,84.18E
1945-08-01,29.468000000000004,0.294,Bettiah,India,26.52N,84.18E
1945-09-01,28.666,0.187,Bettiah,India,26.52N,84.18E
1945-10-01,24.761999999999997,0.228,Bettiah,India,26.52N,84.18E
1945-11-01,20.477,0.46,Bettiah,India,26.52N,84.18E
1945-12-01,15.066000000000004,0.42100000000000004,Bettiah,India,26.52N,84.18E
1946-01-01,15.844000000000001,0.331,Bettiah,India,26.52N,84.18E
1946-02-01,19.815,0.31,Bettiah,India,26.52N,84.18E
1946-03-01,23.675,0.473,Bettiah,India,26.52N,84.18E
1946-04-01,27.283,0.41100000000000003,Bettiah,India,26.52N,84.18E
1946-05-01,29.843000000000004,0.6709999999999999,Bettiah,India,26.52N,84.18E
1946-06-01,30.42,0.33,Bettiah,India,26.52N,84.18E
1946-07-01,28.982000000000006,0.284,Bettiah,India,26.52N,84.18E
1946-08-01,29.395,0.24600000000000002,Bettiah,India,26.52N,84.18E
1946-09-01,28.711,0.15,Bettiah,India,26.52N,84.18E
1946-10-01,25.777,0.19699999999999998,Bettiah,India,26.52N,84.18E
1946-11-01,20.968000000000004,0.39899999999999997,Bettiah,India,26.52N,84.18E
1946-12-01,17.473000000000006,0.625,Bettiah,India,26.52N,84.18E
1947-01-01,15.282,0.342,Bettiah,India,26.52N,84.18E
1947-02-01,18.533,0.405,Bettiah,India,26.52N,84.18E
1947-03-01,24.478,0.254,Bettiah,India,26.52N,84.18E
1947-04-01,29.718000000000004,0.191,Bettiah,India,26.52N,84.18E
1947-05-01,31.430999999999997,0.33399999999999996,Bettiah,India,26.52N,84.18E
1947-06-01,32.376,0.39299999999999996,Bettiah,India,26.52N,84.18E
1947-07-01,29.4,0.33299999999999996,Bettiah,India,26.52N,84.18E
1947-08-01,29.143,0.317,Bettiah,India,26.52N,84.18E
1947-09-01,28.965999999999998,0.159,Bettiah,India,26.52N,84.18E
1947-10-01,25.743000000000002,0.402,Bettiah,India,26.52N,84.18E
1947-11-01,21.374000000000002,0.467,Bettiah,India,26.52N,84.18E
1947-12-01,16.994000000000003,0.37799999999999995,Bettiah,India,26.52N,84.18E
1948-01-01,16.134,0.385,Bettiah,India,26.52N,84.18E
1948-02-01,18.272000000000002,0.271,Bettiah,India,26.52N,84.18E
1948-03-01,23.687,0.32799999999999996,Bettiah,India,26.52N,84.18E
1948-04-01,29.781999999999996,0.226,Bettiah,India,26.52N,84.18E
1948-05-01,31.156,0.735,Bettiah,India,26.52N,84.18E
1948-06-01,32.497,0.598,Bettiah,India,26.52N,84.18E
1948-07-01,28.895000000000003,0.325,Bettiah,India,26.52N,84.18E
1948-08-01,28.881999999999998,0.259,Bettiah,India,26.52N,84.18E
1948-09-01,28.463,0.261,Bettiah,India,26.52N,84.18E
1948-10-01,25.614,0.226,Bettiah,India,26.52N,84.18E
1948-11-01,21.148000000000003,0.45899999999999996,Bettiah,India,26.52N,84.18E
1948-12-01,16.116000000000003,0.318,Bettiah,India,26.52N,84.18E
1949-01-01,16.487000000000002,0.317,Bettiah,India,26.52N,84.18E
1949-02-01,17.991,0.259,Bettiah,India,26.52N,84.18E
1949-03-01,24.266,0.364,Bettiah,India,26.52N,84.18E
1949-04-01,28.12,0.368,Bettiah,India,26.52N,84.18E
1949-05-01,29.851999999999997,0.44,Bettiah,India,26.52N,84.18E
1949-06-01,31.295,0.423,Bettiah,India,26.52N,84.18E
1949-07-01,29.245,0.27699999999999997,Bettiah,India,26.52N,84.18E
1949-08-01,28.862,0.258,Bettiah,India,26.52N,84.18E
1949-09-01,28.75,0.337,Bettiah,India,26.52N,84.18E
1949-10-01,26.95,0.196,Bettiah,India,26.52N,84.18E
1949-11-01,19.687,0.509,Bettiah,India,26.52N,84.18E
1949-12-01,15.091,0.377,Bettiah,India,26.52N,84.18E
1950-01-01,16.073,0.387,Bettiah,India,26.52N,84.18E
1950-02-01,17.436999999999998,0.237,Bettiah,India,26.52N,84.18E
1950-03-01,22.96,0.327,Bettiah,India,26.52N,84.18E
1950-04-01,28.212,0.39299999999999996,Bettiah,India,26.52N,84.18E
1950-05-01,31.506,0.281,Bettiah,India,26.52N,84.18E
1950-06-01,30.389,0.298,Bettiah,India,26.52N,84.18E
1950-07-01,29.35,0.45899999999999996,Bettiah,India,26.52N,84.18E
1950-08-01,28.511000000000006,0.251,Bettiah,India,26.52N,84.18E
1950-09-01,28.471999999999998,0.171,Bettiah,India,26.52N,84.18E
1950-10-01,25.88,0.364,Bettiah,India,26.52N,84.18E
1950-11-01,20.492,0.39,Bettiah,India,26.52N,84.18E
1950-12-01,16.5,0.207,Bettiah,India,26.52N,84.18E
1951-01-01,14.822,0.465,Bettiah,India,26.52N,84.18E
1951-02-01,18.482,0.623,Bettiah,India,26.52N,84.18E
1951-03-01,24.086,0.395,Bettiah,India,26.52N,84.18E
1951-04-01,27.873,0.593,Bettiah,India,26.52N,84.18E
1951-05-01,31.698,0.397,Bettiah,India,26.52N,84.18E
1951-06-01,31.531,0.48,Bettiah,India,26.52N,84.18E
1951-07-01,29.290000000000006,0.479,Bettiah,India,26.52N,84.18E
1951-08-01,29.633000000000006,0.47,Bettiah,India,26.52N,84.18E
1951-09-01,28.954,0.376,Bettiah,India,26.52N,84.18E
1951-10-01,27.76,0.6629999999999999,Bettiah,India,26.52N,84.18E
1951-11-01,22.138,0.516,Bettiah,India,26.52N,84.18E
1951-12-01,16.781000000000002,0.41600000000000004,Bettiah,India,26.52N,84.18E
1952-01-01,16.709,0.33899999999999997,Bettiah,India,26.52N,84.18E
1952-02-01,20.164,0.483,Bettiah,India,26.52N,84.18E
1952-03-01,23.028000000000002,0.429,Bettiah,India,26.52N,84.18E
1952-04-01,28.941999999999997,0.616,Bettiah,India,26.52N,84.18E
1952-05-01,31.294,0.37,Bettiah,India,26.52N,84.18E
1952-06-01,31.057,0.312,Bettiah,India,26.52N,84.18E
1952-07-01,29.55,0.209,Bettiah,India,26.52N,84.18E
1952-08-01,28.925,0.192,Bettiah,India,26.52N,84.18E
1952-09-01,28.642,0.192,Bettiah,India,26.52N,84.18E
1952-10-01,26.671,0.17300000000000001,Bettiah,India,26.52N,84.18E
1952-11-01,21.363000000000003,0.48100000000000004,Bettiah,India,26.52N,84.18E
1952-12-01,16.781000000000002,0.47,Bettiah,India,26.52N,84.18E
1953-01-01,15.065,0.529,Bettiah,India,26.52N,84.18E
1953-02-01,19.632,0.226,Bettiah,India,26.52N,84.18E
1953-03-01,26.492,0.513,Bettiah,India,26.52N,84.18E
1953-04-01,29.413,0.309,Bettiah,India,26.52N,84.18E
1953-05-01,31.95,0.613,Bettiah,India,26.52N,84.18E
1953-06-01,31.14,0.816,Bettiah,India,26.52N,84.18E
1953-07-01,28.607000000000006,0.6779999999999999,Bettiah,India,26.52N,84.18E
1953-08-01,29.267,0.222,Bettiah,India,26.52N,84.18E
1953-09-01,28.598000000000003,0.34299999999999997,Bettiah,India,26.52N,84.18E
1953-10-01,25.82,0.48700000000000004,Bettiah,India,26.52N,84.18E
1953-11-01,20.807,0.747,Bettiah,India,26.52N,84.18E
1953-12-01,18.304,0.5,Bettiah,India,26.52N,84.18E
1954-01-01,14.707,0.29600000000000004,Bettiah,India,26.52N,84.18E
1954-02-01,20.265,0.364,Bettiah,India,26.52N,84.18E
1954-03-01,24.138,1.234,Bettiah,India,26.52N,84.18E
1954-04-01,30.423,0.509,Bettiah,India,26.52N,84.18E
1954-05-01,32.419000000000004,0.382,Bettiah,India,26.52N,84.18E
1954-06-01,30.95,0.28800000000000003,Bettiah,India,26.52N,84.18E
1954-07-01,29.362,0.489,Bettiah,India,26.52N,84.18E
1954-08-01,29.048,0.324,Bettiah,India,26.52N,84.18E
1954-09-01,29.084,0.37,Bettiah,India,26.52N,84.18E
1954-10-01,24.929000000000002,0.415,Bettiah,India,26.52N,84.18E
1954-11-01,19.814,0.9359999999999999,Bettiah,India,26.52N,84.18E
1954-12-01,16.246000000000002,0.33299999999999996,Bettiah,India,26.52N,84.18E
1955-01-01,15.368,0.267,Bettiah,India,26.52N,84.18E
1955-02-01,18.07,0.54,Bettiah,India,26.52N,84.18E
1955-03-01,25.523000000000003,0.5,Bettiah,India,26.52N,84.18E
1955-04-01,27.747,0.174,Bettiah,India,26.52N,84.18E
1955-05-01,31.601,0.38299999999999995,Bettiah,India,26.52N,84.18E
1955-06-01,30.802,0.631,Bettiah,India,26.52N,84.18E
1955-07-01,28.459000000000003,0.74,Bettiah,India,26.52N,84.18E
1955-08-01,28.684,0.57,Bettiah,India,26.52N,84.18E
1955-09-01,28.538,0.551,Bettiah,India,26.52N,84.18E
1955-10-01,25.846,0.366,Bettiah,India,26.52N,84.18E
1955-11-01,21.355,0.608,Bettiah,India,26.52N,84.18E
1955-12-01,16.616000000000003,0.23800000000000002,Bettiah,India,26.52N,84.18E
1956-01-01,15.569,0.235,Bettiah,India,26.52N,84.18E
1956-02-01,18.104,0.9640000000000001,Bettiah,India,26.52N,84.18E
1956-03-01,24.537,0.67,Bettiah,India,26.52N,84.18E
1956-04-01,29.801,0.37,Bettiah,India,26.52N,84.18E
1956-05-01,31.984,0.6990000000000001,Bettiah,India,26.52N,84.18E
1956-06-01,29.395,0.542,Bettiah,India,26.52N,84.18E
1956-07-01,29.211,0.248,Bettiah,India,26.52N,84.18E
1956-08-01,28.906,0.249,Bettiah,India,26.52N,84.18E
1956-09-01,28.031999999999996,1.053,Bettiah,India,26.52N,84.18E
1956-10-01,25.644000000000002,0.263,Bettiah,India,26.52N,84.18E
1956-11-01,20.186,0.8009999999999999,Bettiah,India,26.52N,84.18E
1956-12-01,16.392000000000003,0.997,Bettiah,India,26.52N,84.18E
1957-01-01,15.604,0.7390000000000001,Bettiah,India,26.52N,84.18E
1957-02-01,17.026,0.758,Bettiah,India,26.52N,84.18E
1957-03-01,22.552,0.616,Bettiah,India,26.52N,84.18E
1957-04-01,28.572000000000006,0.43700000000000006,Bettiah,India,26.52N,84.18E
1957-05-01,32.468,0.466,Bettiah,India,26.52N,84.18E
1957-06-01,31.706,0.528,Bettiah,India,26.52N,84.18E
1957-07-01,29.448,0.535,Bettiah,India,26.52N,84.18E
1957-08-01,29.355999999999998,0.773,Bettiah,India,26.52N,84.18E
1957-09-01,28.975,0.54,Bettiah,India,26.52N,84.18E
1957-10-01,26.279,0.556,Bettiah,India,26.52N,84.18E
1957-11-01,21.341,0.41100000000000003,Bettiah,India,26.52N,84.18E
1957-12-01,17.346,0.21100000000000002,Bettiah,India,26.52N,84.18E
1958-01-01,16.881,0.344,Bettiah,India,26.52N,84.18E
1958-02-01,18.728,0.504,Bettiah,India,26.52N,84.18E
1958-03-01,25.052,0.474,Bettiah,India,26.52N,84.18E
1958-04-01,30.406,0.625,Bettiah,India,26.52N,84.18E
1958-05-01,32.334,0.38799999999999996,Bettiah,India,26.52N,84.18E
1958-06-01,32.797,0.38799999999999996,Bettiah,India,26.52N,84.18E
1958-07-01,29.826,0.369,Bettiah,India,26.52N,84.18E
1958-08-01,28.686999999999998,0.466,Bettiah,India,26.52N,84.18E
1958-09-01,29.148000000000003,0.262,Bettiah,India,26.52N,84.18E
1958-10-01,26.785,0.507,Bettiah,India,26.52N,84.18E
1958-11-01,21.874000000000002,0.385,Bettiah,India,26.52N,84.18E
1958-12-01,17.454,0.34,Bettiah,India,26.52N,84.18E
1959-01-01,15.789000000000001,0.528,Bettiah,India,26.52N,84.18E
1959-02-01,17.755999999999997,0.611,Bettiah,India,26.52N,84.18E
1959-03-01,24.423000000000002,0.318,Bettiah,India,26.52N,84.18E
1959-04-01,29.36,0.369,Bettiah,India,26.52N,84.18E
1959-05-01,31.513,0.319,Bettiah,India,26.52N,84.18E
1959-06-01,31.43,0.424,Bettiah,India,26.52N,84.18E
1959-07-01,29.671999999999997,0.424,Bettiah,India,26.52N,84.18E
1959-08-01,29.281,0.366,Bettiah,India,26.52N,84.18E
1959-09-01,28.783,0.374,Bettiah,India,26.52N,84.18E
1959-10-01,26.161,0.737,Bettiah,India,26.52N,84.18E
1959-11-01,21.294,0.38299999999999995,Bettiah,India,26.52N,84.18E
1959-12-01,17.090999999999998,0.546,Bettiah,India,26.52N,84.18E
1960-01-01,15.353,0.7709999999999999,Bettiah,India,26.52N,84.18E
1960-02-01,20.122,0.813,Bettiah,India,26.52N,84.18E
1960-03-01,23.175,0.503,Bettiah,India,26.52N,84.18E
1960-04-01,29.1,0.7879999999999999,Bettiah,India,26.52N,84.18E
1960-05-01,31.686999999999998,0.532,Bettiah,India,26.52N,84.18E
1960-06-01,32.03,0.6,Bettiah,India,26.52N,84.18E
1960-07-01,29.276999999999997,0.325,Bettiah,India,26.52N,84.18E
1960-08-01,29.538,0.341,Bettiah,India,26.52N,84.18E
1960-09-01,28.859,0.326,Bettiah,India,26.52N,84.18E
1960-10-01,26.101999999999997,0.462,Bettiah,India,26.52N,84.18E
1960-11-01,20.518,0.342,Bettiah,India,26.52N,84.18E
1960-12-01,17.227999999999998,0.82,Bettiah,India,26.52N,84.18E
1961-01-01,15.964,0.204,Bettiah,India,26.52N,84.18E
1961-02-01,17.134999999999998,0.381,Bettiah,India,26.52N,84.18E
1961-03-01,24.886999999999997,0.6609999999999999,Bettiah,India,26.52N,84.18E
1961-04-01,29.514000000000006,0.552,Bettiah,India,26.52N,84.18E
1961-05-01,32.062,0.479,Bettiah,India,26.52N,84.18E
1961-06-01,30.564,0.884,Bettiah,India,26.52N,84.18E
1961-07-01,29.642000000000003,0.55,Bettiah,India,26.52N,84.18E
1961-08-01,29.143,0.6729999999999999,Bettiah,India,26.52N,84.18E
1961-09-01,28.983,0.312,Bettiah,India,26.52N,84.18E
1961-10-01,25.797,0.505,Bettiah,India,26.52N,84.18E
1961-11-01,20.184,0.48,Bettiah,India,26.52N,84.18E
1961-12-01,14.179000000000002,0.71,Bettiah,India,26.52N,84.18E
1962-01-01,14.056,0.56,Bettiah,India,26.52N,84.18E
1962-02-01,18.344,0.56,Bettiah,India,26.52N,84.18E
1962-03-01,23.658,0.665,Bettiah,India,26.52N,84.18E
1962-04-01,28.85,0.23800000000000002,Bettiah,India,26.52N,84.18E
1962-05-01,31.149,0.461,Bettiah,India,26.52N,84.18E
1962-06-01,30.914,1.321,Bettiah,India,26.52N,84.18E
1962-07-01,30.026000000000003,1.014,Bettiah,India,26.52N,84.18E
1962-08-01,28.805,0.431,Bettiah,India,26.52N,84.18E
1962-09-01,28.519,0.557,Bettiah,India,26.52N,84.18E
1962-10-01,25.336,0.204,Bettiah,India,26.52N,84.18E
1962-11-01,21.074,0.266,Bettiah,India,26.52N,84.18E
1962-12-01,16.679000000000002,0.361,Bettiah,India,26.52N,84.18E
1963-01-01,14.540999999999999,0.737,Bettiah,India,26.52N,84.18E
1963-02-01,19.304000000000002,0.65,Bettiah,India,26.52N,84.18E
1963-03-01,23.525,0.379,Bettiah,India,26.52N,84.18E
1963-04-01,28.014000000000006,0.336,Bettiah,India,26.52N,84.18E
1963-05-01,30.018,0.365,Bettiah,India,26.52N,84.18E
1963-06-01,30.816999999999997,0.341,Bettiah,India,26.52N,84.18E
1963-07-01,29.416999999999998,0.35600000000000004,Bettiah,India,26.52N,84.18E
1963-08-01,29.288,0.41600000000000004,Bettiah,India,26.52N,84.18E
1963-09-01,28.747,0.39,Bettiah,India,26.52N,84.18E
1963-10-01,26.349,0.201,Bettiah,India,26.52N,84.18E
1963-11-01,21.88,0.507,Bettiah,India,26.52N,84.18E
1963-12-01,17.320999999999998,0.527,Bettiah,India,26.52N,84.18E
1964-01-01,15.35,0.45399999999999996,Bettiah,India,26.52N,84.18E
1964-02-01,18.211,0.523,Bettiah,India,26.52N,84.18E
1964-03-01,25.334,0.46799999999999997,Bettiah,India,26.52N,84.18E
1964-04-01,29.441000000000006,0.655,Bettiah,India,26.52N,84.18E
1964-05-01,29.855,0.542,Bettiah,India,26.52N,84.18E
1964-06-01,31.654,0.606,Bettiah,India,26.52N,84.18E
1964-07-01,28.519,0.326,Bettiah,India,26.52N,84.18E
1964-08-01,29.299,0.42,Bettiah,India,26.52N,84.18E
1964-09-01,28.666999999999998,0.313,Bettiah,India,26.52N,84.18E
1964-10-01,27.115,0.506,Bettiah,India,26.52N,84.18E
1964-11-01,21.09,0.493,Bettiah,India,26.52N,84.18E
1964-12-01,16.844,0.386,Bettiah,India,26.52N,84.18E
1965-01-01,16.248,0.355,Bettiah,India,26.52N,84.18E
1965-02-01,18.182000000000002,0.5589999999999999,Bettiah,India,26.52N,84.18E
1965-03-01,22.644000000000002,0.505,Bettiah,India,26.52N,84.18E
1965-04-01,27.694000000000006,0.376,Bettiah,India,26.52N,84.18E
1965-05-01,31.261,1.053,Bettiah,India,26.52N,84.18E
1965-06-01,32.405,0.9259999999999999,Bettiah,India,26.52N,84.18E
1965-07-01,29.17,0.579,Bettiah,India,26.52N,84.18E
1965-08-01,28.874,0.7090000000000001,Bettiah,India,26.52N,84.18E
1965-09-01,28.506999999999998,0.11599999999999999,Bettiah,India,26.52N,84.18E
1965-10-01,25.953000000000003,0.292,Bettiah,India,26.52N,84.18E
1965-11-01,21.44,0.40399999999999997,Bettiah,India,26.52N,84.18E
1965-12-01,15.981000000000002,0.509,Bettiah,India,26.52N,84.18E
1966-01-01,15.585,1.1320000000000001,Bettiah,India,26.52N,84.18E
1966-02-01,19.965,0.535,Bettiah,India,26.52N,84.18E
1966-03-01,24.406,0.593,Bettiah,India,26.52N,84.18E
1966-04-01,29.704,0.33799999999999997,Bettiah,India,26.52N,84.18E
1966-05-01,31.676,0.541,Bettiah,India,26.52N,84.18E
1966-06-01,31.730999999999998,0.883,Bettiah,India,26.52N,84.18E
1966-07-01,30.180999999999997,0.779,Bettiah,India,26.52N,84.18E
1966-08-01,29.11,0.47100000000000003,Bettiah,India,26.52N,84.18E
1966-09-01,29.111,0.36,Bettiah,India,26.52N,84.18E
1966-10-01,25.992,0.433,Bettiah,India,26.52N,84.18E
1966-11-01,22.299,0.41600000000000004,Bettiah,India,26.52N,84.18E
1966-12-01,16.566000000000006,1.25,Bettiah,India,26.52N,84.18E
1967-01-01,15.399,0.679,Bettiah,India,26.52N,84.18E
1967-02-01,19.856,0.675,Bettiah,India,26.52N,84.18E
1967-03-01,22.846,0.292,Bettiah,India,26.52N,84.18E
1967-04-01,27.684,0.523,Bettiah,India,26.52N,84.18E
1967-05-01,31.151,0.537,Bettiah,India,26.52N,84.18E
1967-06-01,32.049,0.545,Bettiah,India,26.52N,84.18E
1967-07-01,29.679,0.392,Bettiah,India,26.52N,84.18E
1967-08-01,28.906,0.337,Bettiah,India,26.52N,84.18E
1967-09-01,28.750999999999998,0.348,Bettiah,India,26.52N,84.18E
1967-10-01,25.426,0.263,Bettiah,India,26.52N,84.18E
1967-11-01,20.325,0.461,Bettiah,India,26.52N,84.18E
1967-12-01,17.434,0.27399999999999997,Bettiah,India,26.52N,84.18E
1968-01-01,14.748,0.462,Bettiah,India,26.52N,84.18E
1968-02-01,17.319000000000003,0.387,Bettiah,India,26.52N,84.18E
1968-03-01,23.592,0.304,Bettiah,India,26.52N,84.18E
1968-04-01,28.129,0.665,Bettiah,India,26.52N,84.18E
1968-05-01,31.113000000000003,0.88,Bettiah,India,26.52N,84.18E
1968-06-01,29.732,0.8540000000000001,Bettiah,India,26.52N,84.18E
1968-07-01,28.879,0.311,Bettiah,India,26.52N,84.18E
1968-08-01,29.026,0.369,Bettiah,India,26.52N,84.18E
1968-09-01,29.619,0.63,Bettiah,India,26.52N,84.18E
1968-10-01,25.278000000000002,0.37799999999999995,Bettiah,India,26.52N,84.18E
1968-11-01,21.212,0.5820000000000001,Bettiah,India,26.52N,84.18E
1968-12-01,16.942999999999998,1.002,Bettiah,India,26.52N,84.18E
1969-01-01,15.571,0.449,Bettiah,India,26.52N,84.18E
1969-02-01,19.532,0.48700000000000004,Bettiah,India,26.52N,84.18E
1969-03-01,25.756,0.191,Bettiah,India,26.52N,84.18E
1969-04-01,29.375,0.746,Bettiah,India,26.52N,84.18E
1969-05-01,30.375999999999998,0.436,Bettiah,India,26.52N,84.18E
1969-06-01,31.416999999999998,1.072,Bettiah,India,26.52N,84.18E
1969-07-01,29.316000000000006,0.469,Bettiah,India,26.52N,84.18E
1969-08-01,28.717,0.5429999999999999,Bettiah,India,26.52N,84.18E
1969-09-01,28.416,0.297,Bettiah,India,26.52N,84.18E
1969-10-01,26.334,0.387,Bettiah,India,26.52N,84.18E
1969-11-01,22.521,0.5529999999999999,Bettiah,India,26.52N,84.18E
1969-12-01,17.125,0.968,Bettiah,India,26.52N,84.18E
1970-01-01,16.019000000000002,0.436,Bettiah,India,26.52N,84.18E
1970-02-01,17.894000000000002,0.625,Bettiah,India,26.52N,84.18E
1970-03-01,23.858,0.49,Bettiah,India,26.52N,84.18E
1970-04-01,29.480999999999998,0.147,Bettiah,India,26.52N,84.18E
1970-05-01,31.479,0.529,Bettiah,India,26.52N,84.18E
1970-06-01,30.023000000000003,0.337,Bettiah,India,26.52N,84.18E
1970-07-01,29.31,0.284,Bettiah,India,26.52N,84.18E
1970-08-01,29.338,0.49,Bettiah,India,26.52N,84.18E
1970-09-01,28.701,0.319,Bettiah,India,26.52N,84.18E
1970-10-01,26.583000000000002,0.33899999999999997,Bettiah,India,26.52N,84.18E
1970-11-01,20.967,0.743,Bettiah,India,26.52N,84.18E
1970-12-01,16.776,0.18600000000000003,Bettiah,India,26.52N,84.18E
1971-01-01,15.177,0.39799999999999996,Bettiah,India,26.52N,84.18E
1971-02-01,17.572,0.40399999999999997,Bettiah,India,26.52N,84.18E
1971-03-01,23.191,0.396,Bettiah,India,26.52N,84.18E
1971-04-01,27.484,0.39799999999999996,Bettiah,India,26.52N,84.18E
1971-05-01,28.862,0.77,Bettiah,India,26.52N,84.18E
1971-06-01,29.166999999999998,0.971,Bettiah,India,26.52N,84.18E
1971-07-01,28.408,0.515,Bettiah,India,26.52N,84.18E
1971-08-01,28.166,0.319,Bettiah,India,26.52N,84.18E
1971-09-01,28.526,0.306,Bettiah,India,26.52N,84.18E
1971-10-01,25.926,0.262,Bettiah,India,26.52N,84.18E
1971-11-01,20.689,0.753,Bettiah,India,26.52N,84.18E
1971-12-01,16.711000000000002,0.49700000000000005,Bettiah,India,26.52N,84.18E
1972-01-01,15.995999999999999,0.625,Bettiah,India,26.52N,84.18E
1972-02-01,17.137999999999998,0.518,Bettiah,India,26.52N,84.18E
1972-03-01,24.647,0.45399999999999996,Bettiah,India,26.52N,84.18E
1972-04-01,28.14,0.624,Bettiah,India,26.52N,84.18E
1972-05-01,32.266999999999996,0.638,Bettiah,India,26.52N,84.18E
1972-06-01,32.326,0.865,Bettiah,India,26.52N,84.18E
1972-07-01,30.139000000000006,0.5710000000000001,Bettiah,India,26.52N,84.18E
1972-08-01,28.955,0.361,Bettiah,India,26.52N,84.18E
1972-09-01,27.951,0.18,Bettiah,India,26.52N,84.18E
1972-10-01,25.199,0.408,Bettiah,India,26.52N,84.18E
1972-11-01,20.722,0.934,Bettiah,India,26.52N,84.18E
1972-12-01,17.105999999999998,0.385,Bettiah,India,26.52N,84.18E
1973-01-01,16.294,0.45399999999999996,Bettiah,India,26.52N,84.18E
1973-02-01,19.761,0.384,Bettiah,India,26.52N,84.18E
1973-03-01,24.27,1.195,Bettiah,India,26.52N,84.18E
1973-04-01,30.612,0.664,Bettiah,India,26.52N,84.18E
1973-05-01,30.843000000000004,1.304,Bettiah,India,26.52N,84.18E
1973-06-01,30.48,0.733,Bettiah,India,26.52N,84.18E
1973-07-01,29.888,0.5660000000000001,Bettiah,India,26.52N,84.18E
1973-08-01,28.905,0.257,Bettiah,India,26.52N,84.18E
1973-09-01,28.253,0.508,Bettiah,India,26.52N,84.18E
1973-10-01,26.01,0.5870000000000001,Bettiah,India,26.52N,84.18E
1973-11-01,21.281999999999996,0.9490000000000001,Bettiah,India,26.52N,84.18E
1973-12-01,16.137999999999998,0.41100000000000003,Bettiah,India,26.52N,84.18E
1974-01-01,15.442,0.762,Bettiah,India,26.52N,84.18E
1974-02-01,18.265,0.44799999999999995,Bettiah,India,26.52N,84.18E
1974-03-01,24.756,0.308,Bettiah,India,26.52N,84.18E
1974-04-01,30.154,0.276,Bettiah,India,26.52N,84.18E
1974-05-01,31.403000000000002,0.419,Bettiah,India,26.52N,84.18E
1974-06-01,31.573,0.499,Bettiah,India,26.52N,84.18E
1974-07-01,28.700000000000006,0.195,Bettiah,India,26.52N,84.18E
1974-08-01,29.013,0.256,Bettiah,India,26.52N,84.18E
1974-09-01,28.441999999999997,0.289,Bettiah,India,26.52N,84.18E
1974-10-01,27.455,0.242,Bettiah,India,26.52N,84.18E
1974-11-01,21.293000000000003,0.375,Bettiah,India,26.52N,84.18E
1974-12-01,15.578,0.423,Bettiah,India,26.52N,84.18E
1975-01-01,14.815999999999999,0.384,Bettiah,India,26.52N,84.18E
1975-02-01,18.348,0.368,Bettiah,India,26.52N,84.18E
1975-03-01,23.927,0.326,Bettiah,India,26.52N,84.18E
1975-04-01,29.803,0.256,Bettiah,India,26.52N,84.18E
1975-05-01,32.004,0.5539999999999999,Bettiah,India,26.52N,84.18E
1975-06-01,31.625,0.8420000000000001,Bettiah,India,26.52N,84.18E
1975-07-01,28.47,0.22399999999999998,Bettiah,India,26.52N,84.18E
1975-08-01,28.995,0.475,Bettiah,India,26.52N,84.18E
1975-09-01,28.377,0.32299999999999995,Bettiah,India,26.52N,84.18E
1975-10-01,27.496,0.345,Bettiah,India,26.52N,84.18E
1975-11-01,20.117,0.5760000000000001,Bettiah,India,26.52N,84.18E
1975-12-01,16.207,0.23,Bettiah,India,26.52N,84.18E
1976-01-01,15.753,0.45799999999999996,Bettiah,India,26.52N,84.18E
1976-02-01,19.186,0.541,Bettiah,India,26.52N,84.18E
1976-03-01,24.487,0.37200000000000005,Bettiah,India,26.52N,84.18E
1976-04-01,28.776999999999997,0.37200000000000005,Bettiah,India,26.52N,84.18E
1976-05-01,30.491999999999997,0.5489999999999999,Bettiah,India,26.52N,84.18E
1976-06-01,30.795,0.475,Bettiah,India,26.52N,84.18E
1976-07-01,29.244000000000003,0.386,Bettiah,India,26.52N,84.18E
1976-08-01,28.521,0.217,Bettiah,India,26.52N,84.18E
1976-09-01,28.151999999999997,0.361,Bettiah,India,26.52N,84.18E
1976-10-01,26.081,0.64,Bettiah,India,26.52N,84.18E
1976-11-01,22.792,0.469,Bettiah,India,26.52N,84.18E
1976-12-01,16.587000000000003,0.73,Bettiah,India,26.52N,84.18E
1977-01-01,15.318,0.461,Bettiah,India,26.52N,84.18E
1977-02-01,19.178,0.78,Bettiah,India,26.52N,84.18E
1977-03-01,25.619,0.46799999999999997,Bettiah,India,26.52N,84.18E
