999997,0.956,Majalaya,Indonesia,7.23S,107.84E
1873-09-01,24.539,1.013,Majalaya,Indonesia,7.23S,107.84E
1873-10-01,24.54,1.1,Majalaya,Indonesia,7.23S,107.84E
1873-11-01,24.833,0.537,Majalaya,Indonesia,7.23S,107.84E
1873-12-01,24.035,0.75,Majalaya,Indonesia,7.23S,107.84E
1874-01-01,23.656999999999996,1.695,Majalaya,Indonesia,7.23S,107.84E
1874-02-01,23.831,1.117,Majalaya,Indonesia,7.23S,107.84E
1874-03-01,23.964000000000002,1.591,Majalaya,Indonesia,7.23S,107.84E
1874-04-01,24.236,1.084,Majalaya,Indonesia,7.23S,107.84E
1874-05-01,24.578000000000003,0.662,Majalaya,Indonesia,7.23S,107.84E
1874-06-01,23.916,0.981,Majalaya,Indonesia,7.23S,107.84E
1874-07-01,23.349,0.977,Majalaya,Indonesia,7.23S,107.84E
1874-08-01,23.975,1.195,Majalaya,Indonesia,7.23S,107.84E
1874-09-01,24.36,0.887,Majalaya,Indonesia,7.23S,107.84E
1874-10-01,24.862,0.945,Majalaya,Indonesia,7.23S,107.84E
1874-11-01,24.361,0.732,Majalaya,Indonesia,7.23S,107.84E
1874-12-01,23.92,0.596,Majalaya,Indonesia,7.23S,107.84E
1875-01-01,23.324,0.7190000000000001,Majalaya,Indonesia,7.23S,107.84E
1875-02-01,23.924,1.101,Majalaya,Indonesia,7.23S,107.84E
1875-03-01,23.676,0.779,Majalaya,Indonesia,7.23S,107.84E
1875-04-01,24.059,0.763,Majalaya,Indonesia,7.23S,107.84E
1875-05-01,24.403000000000002,0.635,Majalaya,Indonesia,7.23S,107.84E
1875-06-01,24.145,1.11,Majalaya,Indonesia,7.23S,107.84E
1875-07-01,23.614,0.97,Majalaya,Indonesia,7.23S,107.84E
1875-08-01,24.089,0.568,Majalaya,Indonesia,7.23S,107.84E
1875-09-01,25.116,1.05,Majalaya,Indonesia,7.23S,107.84E
