358,0.163,Leghorn,Italy,44.20N,11.18E
1995-09-01,16.512999999999998,0.425,Leghorn,Italy,44.20N,11.18E
1995-10-01,14.323,0.807,Leghorn,Italy,44.20N,11.18E
1995-11-01,7.5939999999999985,0.38299999999999995,Leghorn,Italy,44.20N,11.18E
1995-12-01,4.865,0.594,Leghorn,Italy,44.20N,11.18E
1996-01-01,4.7589999999999995,0.41200000000000003,Leghorn,Italy,44.20N,11.18E
1996-02-01,3.3120000000000003,0.17,Leghorn,Italy,44.20N,11.18E
1996-03-01,6.075,0.308,Leghorn,Italy,44.20N,11.18E
1996-04-01,11.34,0.22399999999999998,Leghorn,Italy,44.20N,11.18E
1996-05-01,15.93,0.192,Leghorn,Italy,44.20N,11.18E
1996-06-01,20.562,0.276,Leghorn,Italy,44.20N,11.18E
1996-07-01,21.613000000000003,0.198,Leghorn,Italy,44.20N,11.18E
1996-08-01,21.431,0.23,Leghorn,Italy,44.20N,11.18E
1996-09-01,15.345,0.47600000000000003,Leghorn,Italy,44.20N,11.18E
1996-10-01,12.604,0.225,Leghorn,Italy,44.20N,11.18E
1996-11-01,9.21,0.47200000000000003,Leghorn,Italy,44.20N,11.18E
1996-12-01,4.331,0.375,Leghorn,Italy,44.20N,11.18E
1997-01-01,4.7799999999999985,0.33899999999999997,Leghorn,Italy,44.20N,11.18E
1997-02-01,6.206,0.265,Leghorn,Italy,44.20N,11.18E
1997-03-01,9.566,0.49,Leghorn,Italy,44.20N,11.18E
1997-04-01,9.656,0.40399999999999997,Leghorn,Italy,44.20N,11.18E
1997-05-01,16.438000000000002,0.355,Leghorn,Italy,44.20N,11.18E
1997-06-01,19.876,0.38299999999999995,Leghorn,Italy,44.20N,11.18E
1997-07-01,22.068,0.35,Leghorn,Italy,44.20N,11.18E
1997-08-01,22.679000000000002,0.305,Leghorn,Italy,44.20N,11.18E
1997-09-01,19.922,0.361,Leghorn,Italy,44.20N,11.18E
1997-10-01,13.475,0.436,Leghorn,Italy,44.20N,11.18E
1997-11-01,8.561,0.318,Leghorn,Italy,44.20N,11.18E
1997-12-01,4.97,0.17,Leghorn,Italy,44.20N,11.18E
1998-01-01,4.513,0.282,Leghorn,Italy,44.20N,11.18E
1998-02-01,6.937,0.728,Leghorn,Italy,44.20N,11.18E
1998-03-01,7.4670000000000005,0.375,Leghorn,Italy,44.20N,11.18E
1998-04-01,10.975999999999999,0.486,Leghorn,Italy,44.20N,11.18E
1998-05-01,16.143,0.341,Leghorn,Italy,44.20N,11.18E
1998-06-01,21.144000000000002,0.294,Leghorn,Italy,44.20N,11.18E
1998-07-01,23.93,0.42200000000000004,Leghorn,Italy,44.20N,11.18E
1998-08-01,24.029,0.16699999999999998,Leghorn,Italy,44.20N,11.18E
1998-09-01,18.009,0.387,Leghorn,Italy,44.20N,11.18E
1998-10-01,13.222,0.27899999999999997,Leghorn,Italy,44.20N,11.18E
1998-11-01,6.744,0.551,Leghorn,Italy,44.20N,11.18E
1998-12-01,2.764,0.465,Leghorn,Italy,44.20N,11.18E
1999-01-01,3.9610000000000003,0.601,Leghorn,Italy,44.20N,11.18E
1999-02-01,3.5389999999999997,0.514,Leghorn,Italy,44.20N,11.18E
1999-03-01,8.267000000000001,0.535,Leghorn,Italy,44.20N,11.18E
1999-04-01,11.302,0.275,Leghorn,Italy,44.20N,11.18E
1999-05-01,17.511,0.379,Leghorn,Italy,44.20N,11.18E
1999-06-01,20.414,0.247,Leghorn,Italy,44.20N,11.18E
1999-07-01,23.131,0.353,Leghorn,Italy,44.20N,11.18E
1999-08-01,23.219,0.255,Leghorn,Italy,44.20N,11.18E
1999-09-01,19.723000000000006,0.49700000000000005,Leghorn,Italy,44.20N,11.18E
1999-10-01,13.948,0.162,Leghorn,Italy,44.20N,11.18E
1999-11-01,7.1389999999999985,0.306,Leghorn,Italy,44.20N,11.18E
1999-12-01,3.931,0.34,Leghorn,Italy,44.20N,11.18E
2000-01-01,2.434,0.29600000000000004,Leghorn,Italy,44.20N,11.18E
2000-02-01,5.723,0.42700000000000005,Leghorn,Italy,44.20N,11.18E
2000-03-01,8.683,0.349,Leghorn,Italy,44.20N,11.18E
2000-04-01,12.158,0.319,Leghorn,Italy,44.20N,11.18E
2000-05-01,17.93,0.28800000000000003,Leghorn,Italy,44.20N,11.18E
2000-06-01,21.673000000000002,0.341,Leghorn,Italy,44.20N,11.18E
2000-07-01,21.607,0.35,Leghorn,Italy,44.20N,11.18E
2000-08-01,23.727,0.365,Leghorn,Italy,44.20N,11.18E
2000-09-01,18.857000000000006,0.142,Leghorn,Italy,44.20N,11.18E
2000-10-01,14.043,0.289,Leghorn,Italy,44.20N,11.18E
2000-11-01,9.68,0.728,Leghorn,Italy,44.20N,11.18E
2000-12-01,6.307,0.251,Leghorn,Italy,44.20N,11.18E
2001-01-01,5.151999999999999,0.5579999999999999,Leghorn,Italy,44.20N,11.18E
2001-02-01,5.7379999999999995,0.27,Leghorn,Italy,44.20N,11.18E
2001-03-01,10.366,0.207,Leghorn,Italy,44.20N,11.18E
2001-04-01,10.277999999999999,0.203,Leghorn,Italy,44.20N,11.18E
2001-05-01,17.609,0.396,Leghorn,Italy,44.20N,11.18E
2001-06-01,20.138,0.221,Leghorn,Italy,44.20N,11.18E
2001-07-01,22.866999999999997,0.17800000000000002,Leghorn,Italy,44.20N,11.18E
2001-08-01,24.351,0.344,Leghorn,Italy,44.20N,11.18E
2001-09-01,16.21,0.385,Leghorn,Italy,44.20N,11.18E
2001-10-01,15.867,0.37200000000000005,Leghorn,Italy,44.20N,11.18E
2001-11-01,7.182,0.263,Leghorn,Italy,44.20N,11.18E
2001-12-01,2.041,0.5920000000000001,Leghorn,Italy,44.20N,11.18E
2002-01-01,2.412,0.7959999999999999,Leghorn,Italy,44.20N,11.18E
2002-02-01,6.4,0.341,Leghorn,Italy,44.20N,11.18E
2002-03-01,9.432,0.327,Leghorn,Italy,44.20N,11.18E
2002-04-01,11.144,0.155,Leghorn,Italy,44.20N,11.18E
2002-05-01,16.310000000000002,0.292,Leghorn,Italy,44.20N,11.18E
2002-06-01,21.963,0.315,Leghorn,Italy,44.20N,11.18E
2002-07-01,22.226999999999997,0.233,Leghorn,Italy,44.20N,11.18E
2002-08-01,21.55,0.359,Leghorn,Italy,44.20N,11.18E
2002-09-01,16.949,0.36700000000000005,Leghorn,Italy,44.20N,11.18E
2002-10-01,13.649,0.308,Leghorn,Italy,44.20N,11.18E
2002-11-01,10.887,0.738,Leghorn,Italy,44.20N,11.18E
2002-12-01,5.822,0.5820000000000001,Leghorn,Italy,44.20N,11.18E
2003-01-01,3.314,0.46,Leghorn,Italy,44.20N,11.18E
2003-02-01,2.201,0.895,Leghorn,Italy,44.20N,11.18E
2003-03-01,8.402999999999999,0.396,Leghorn,Italy,44.20N,11.18E
2003-04-01,10.499,0.293,Leghorn,Italy,44.20N,11.18E
2003-05-01,18.340999999999998,0.523,Leghorn,Italy,44.20N,11.18E
2003-06-01,24.542,0.461,Leghorn,Italy,44.20N,11.18E
2003-07-01,24.89,0.599,Leghorn,Italy,44.20N,11.18E
2003-08-01,26.741,0.34700000000000003,Leghorn,Italy,44.20N,11.18E
2003-09-01,18.309,0.418,Leghorn,Italy,44.20N,11.18E
2003-10-01,12.126,0.5539999999999999,Leghorn,Italy,44.20N,11.18E
2003-11-01,9.516,0.382,Leghorn,Italy,44.20N,11.18E
2003-12-01,5.0920000000000005,0.389,Leghorn,Italy,44.20N,11.18E
2004-01-01,3.179,0.207,Leghorn,Italy,44.20N,11.18E
2004-02-01,4.91,0.611,Leghorn,Italy,44.20N,11.18E
2004-03-01,6.989,0.17,Leghorn,Italy,44.20N,11.18E
2004-04-01,10.963,0.361,Leghorn,Italy,44.20N,11.18E
2004-05-01,14.314,0.14300000000000002,Leghorn,Italy,44.20N,11.18E
2004-06-01,20.303,0.287,Leghorn,Italy,44.20N,11.18E
2004-07-01,22.748,0.254,Leghorn,Italy,44.20N,11.18E
2004-08-01,23.026,0.294,Leghorn,Italy,44.20N,11.18E
2004-09-01,18.862,0.191,Leghorn,Italy,44.20N,11.18E
2004-10-01,15.227,0.273,Leghorn,Italy,44.20N,11.18E
2004-11-01,8.699,0.122,Leghorn,Italy,44.20N,11.18E
2004-12-01,5.57,0.316,Leghorn,Italy,44.20N,11.18E
2005-01-01,2.5610000000000004,0.426,Leghorn,Italy,44.20N,11.18E
2005-02-01,2.093,0.44799999999999995,Leghorn,Italy,44.20N,11.18E
2005-03-01,7.271,0.36700000000000005,Leghorn,Italy,44.20N,11.18E
2005-04-01,10.554,0.191,Leghorn,Italy,44.20N,11.18E
2005-05-01,17.089000000000002,0.321,Leghorn,Italy,44.20N,11.18E
2005-06-01,21.281,0.311,Leghorn,Italy,44.20N,11.18E
2005-07-01,23.14,0.311,Leghorn,Italy,44.20N,11.18E
2005-08-01,20.8,0.389,Leghorn,Italy,44.20N,11.18E
2005-09-01,18.35,0.43799999999999994,Leghorn,Italy,44.20N,11.18E
2005-10-01,13.158,0.623,Leghorn,Italy,44.20N,11.18E
2005-11-01,7.6610000000000005,0.276,Leghorn,Italy,44.20N,11.18E
2005-12-01,2.943,0.271,Leghorn,Italy,44.20N,11.18E
2006-01-01,1.852,0.507,Leghorn,Italy,44.20N,11.18E
2006-02-01,4.1560000000000015,0.299,Leghorn,Italy,44.20N,11.18E
2006-03-01,6.733,0.431,Leghorn,Italy,44.20N,11.18E
2006-04-01,11.805,0.488,Leghorn,Italy,44.20N,11.18E
2006-05-01,16.165,0.54,Leghorn,Italy,44.20N,11.18E
2006-06-01,20.601,0.41600000000000004,Leghorn,Italy,44.20N,11.18E
2006-07-01,24.715,0.38,Leghorn,Italy,44.20N,11.18E
2006-08-01,20.663,0.43200000000000005,Leghorn,Italy,44.20N,11.18E
2006-09-01,19.579,0.292,Leghorn,Italy,44.20N,11.18E
2006-10-01,14.979,0.59,Leghorn,Italy,44.20N,11.18E
2006-11-01,9.466000000000001,0.364,Leghorn,Italy,44.20N,11.18E
2006-12-01,5.876,0.322,Leghorn,Italy,44.20N,11.18E
2007-01-01,6.204,0.33,Leghorn,Italy,44.20N,11.18E
2007-02-01,7.066000000000002,0.284,Leghorn,Italy,44.20N,11.18E
2007-03-01,8.956,0.368,Leghorn,Italy,44.20N,11.18E
2007-04-01,13.975,0.506,Leghorn,Italy,44.20N,11.18E
2007-05-01,17.430999999999997,0.27899999999999997,Leghorn,Italy,44.20N,11.18E
2007-06-01,20.588,0.301,Leghorn,Italy,44.20N,11.18E
2007-07-01,23.561,0.47200000000000003,Leghorn,Italy,44.20N,11.18E
2007-08-01,21.709,0.377,Leghorn,Italy,44.20N,11.18E
2007-09-01,17.284000000000002,0.34299999999999997,Leghorn,Italy,44.20N,11.18E
2007-10-01,12.992,0.22399999999999998,Leghorn,Italy,44.20N,11.18E
2007-11-01,7.255,0.36,Leghorn,Italy,44.20N,11.18E
2007-12-01,3.569,0.385,Leghorn,Italy,44.20N,11.18E
2008-01-01,5.4479999999999995,0.41100000000000003,Leghorn,Italy,44.20N,11.18E
2008-02-01,5.3340000000000005,0.42,Leghorn,Italy,44.20N,11.18E
2008-03-01,8.046,0.485,Leghorn,Italy,44.20N,11.18E
2008-04-01,11.030999999999999,0.14400000000000002,Leghorn,Italy,44.20N,11.18E
2008-05-01,16.245,0.37,Leghorn,Italy,44.20N,11.18E
2008-06-01,20.518,0.336,Leghorn,Italy,44.20N,11.18E
2008-07-01,23.008000000000003,0.32899999999999996,Leghorn,Italy,44.20N,11.18E
2008-08-01,23.267,0.41,Leghorn,Italy,44.20N,11.18E
2008-09-01,17.565,0.369,Leghorn,Italy,44.20N,11.18E
2008-10-01,14.482,0.49,Leghorn,Italy,44.20N,11.18E
2008-11-01,8.767000000000001,0.5479999999999999,Leghorn,Italy,44.20N,11.18E
2008-12-01,4.194,0.537,Leghorn,Italy,44.20N,11.18E
2009-01-01,3.123,0.462,Leghorn,Italy,44.20N,11.18E
2009-02-01,4.433,0.8059999999999999,Leghorn,Italy,44.20N,11.18E
2009-03-01,8.214,0.39,Leghorn,Italy,44.20N,11.18E
2009-04-01,12.22,0.375,Leghorn,Italy,44.20N,11.18E
2009-05-01,18.439,0.375,Leghorn,Italy,44.20N,11.18E
2009-06-01,20.315,0.23800000000000002,Leghorn,Italy,44.20N,11.18E
2009-07-01,23.421999999999997,0.29600000000000004,Leghorn,Italy,44.20N,11.18E
2009-08-01,24.582,0.23,Leghorn,Italy,44.20N,11.18E
2009-09-01,19.752,0.684,Leghorn,Italy,44.20N,11.18E
2009-10-01,13.186,0.23600000000000002,Leghorn,Italy,44.20N,11.18E
2009-11-01,9.624,0.376,Leghorn,Italy,44.20N,11.18E
2009-12-01,3.865,0.539,Leghorn,Italy,44.20N,11.18E
2010-01-01,2.316,0.528,Leghorn,Italy,44.20N,11.18E
2010-02-01,4.404,0.574,Leghorn,Italy,44.20N,11.18E
2010-03-01,7.084,0.327,Leghorn,Italy,44.20N,11.18E
2010-04-01,11.582,0.34700000000000003,Leghorn,Italy,44.20N,11.18E
2010-05-01,15.269,0.24600000000000002,Leghorn,Italy,44.20N,11.18E
2010-06-01,20.088,0.255,Leghorn,Italy,44.20N,11.18E
2010-07-01,24.318,0.444,Leghorn,Italy,44.20N,11.18E
2010-08-01,21.898000000000003,0.332,Leghorn,Italy,44.20N,11.18E
2010-09-01,17.599,0.252,Leghorn,Italy,44.20N,11.18E
2010-10-01,12.100999999999999,0.207,Leghorn,Italy,44.20N,11.18E
2010-11-01,8.952,0.368,Leghorn,Italy,44.20N,11.18E
2010-12-01,2.9810000000000003,0.462,Leghorn,Italy,44.20N,11.18E
2011-01-01,3.38,0.4,Leghorn,Italy,44.20N,11.18E
2011-02-01,5.0600000000000005,0.322,Leghorn,Italy,44.20N,11.18E
2011-03-01,7.718,0.33899999999999997,Leghorn,Italy,44.20N,11.18E
2011-04-01,13.315,0.28,Leghorn,Italy,44.20N,11.18E
2011-05-01,17.507,0.53,Leghorn,Italy,44.20N,11.18E
2011-06-01,20.735,0.32299999999999995,Leghorn,Italy,44.20N,11.18E
2011-07-01,22.06,0.209,Leghorn,Italy,44.20N,11.18E
2011-08-01,24.305,0.228,Leghorn,Italy,44.20N,11.18E
2011-09-01,21.250999999999998,0.17300000000000001,Leghorn,Italy,44.20N,11.18E
2011-10-01,13.239,0.244,Leghorn,Italy,44.20N,11.18E
2011-11-01,8.224,0.48700000000000004,Leghorn,Italy,44.20N,11.18E
2011-12-01,5.542999999999999,0.591,Leghorn,Italy,44.20N,11.18E
2012-01-01,3.064,0.542,Leghorn,Italy,44.20N,11.18E
2012-02-01,1.4500000000000002,0.33899999999999997,Leghorn,Italy,44.20N,11.18E
2012-03-01,10.599,0.316,Leghorn,Italy,44.20N,11.18E
2012-04-01,11.345,0.391,Leghorn,Italy,44.20N,11.18E
2012-05-01,15.685,0.337,Leghorn,Italy,44.20N,11.18E
2012-06-01,21.209,0.42,Leghorn,Italy,44.20N,11.18E
2012-07-01,24.043000000000003,0.624,Leghorn,Italy,44.20N,11.18E
2012-08-01,24.446,0.539,Leghorn,Italy,44.20N,11.18E
2012-09-01,18.942999999999998,0.44799999999999995,Leghorn,Italy,44.20N,11.18E
2012-10-01,14.040999999999999,0.8340000000000001,Leghorn,Italy,44.20N,11.18E
2012-11-01,10.057,0.6709999999999999,Leghorn,Italy,44.20N,11.18E
2012-12-01,4.102,0.784,Leghorn,Italy,44.20N,11.18E
2013-01-01,4.188,0.36200000000000004,Leghorn,Italy,44.20N,11.18E
2013-02-01,3.4190000000000005,1.047,Leghorn,Italy,44.20N,11.18E
2013-03-01,7.178999999999999,0.406,Leghorn,Italy,44.20N,11.18E
2013-04-01,11.934,0.645,Leghorn,Italy,44.20N,11.18E
2013-05-01,14.957,0.447,Leghorn,Italy,44.20N,11.18E
2013-06-01,19.861,0.903,Leghorn,Italy,44.20N,11.18E
2013-07-01,23.899,0.62,Leghorn,Italy,44.20N,11.18E
2013-08-01,23.133000000000003,1.0959999999999999,Leghorn,Italy,44.20N,11.18E
2013-09-01,,,Leghorn,Italy,44.20N,11.18E
1743-11-01,4.494,1.7,Legnica,Poland,50.63N,16.48E
1743-12-01,,,Legnica,Poland,50.63N,16.48E
1744-01-01,,,Legnica,Poland,50.63N,16.48E
1744-02-01,,,Legnica,Poland,50.63N,16.48E
1744-03-01,,,Legnica,Poland,50.63N,16.48E
1744-04-01,8.309,2.6439999999999997,Legnica,Poland,50.63N,16.48E
1744-05-01,11.037,1.401,Legnica,Poland,50.63N,16.48E
1744-06-01,13.725,1.409,Legnica,Poland,50.63N,16.48E
1744-07-01,16.047,1.423,Legnica,Poland,50.63N,16.48E
1744-08-01,,,Legnica,Poland,50.63N,16.48E
1744-09-01,12.717,1.515,Legnica,Poland,50.63N,16.48E
1744-10-01,7.813,1.618,Legnica,Poland,50.63N,16.48E
1744-11-01,3.46,1.402,Legnica,Poland,50.63N,16.48E
1744-12-01,-1.399,1.7690000000000001,Legnica,Poland,50.63N,16.48E
1745-01-01,-4.663,1.797,Legnica,Poland,50.63N,16.48E
1745-02-01,-3.3289999999999997,1.614,Legnica,Poland,50.63N,16.48E
1745-03-01,0.4649999999999999,1.3130000000000002,Legnica,Poland,50.63N,16.48E
1745-04-01,5.9369999999999985,1.29,Legnica,Poland,50.63N,16.48E
1745-05-01,,,Legnica,Poland,50.63N,16.48E
1745-06-01,,,Legnica,Poland,50.63N,16.48E
1745-07-01,,,Legnica,Poland,50.63N,16.48E
1745-08-01,,,Legnica,Poland,50.63N,16.48E
1745-09-01,,,Legnica,Poland,50.63N,16.48E
1745-10-01,,,Legnica,Poland,50.63N,16.48E
1745-11-01,,,Legnica,Poland,50.63N,16.48E
1745-12-01,,,Legnica,Poland,50.63N,16.48E
1746-01-01,,,Legnica,Poland,50.63N,16.48E
1746-02-01,,,Legnica,Poland,50.63N,16.48E
1746-03-01,,,Legnica,Poland,50.63N,16.48E
1746-04-01,,,Legnica,Poland,50.63N,16.48E
1746-05-01,,,Legnica,Poland,50.63N,16.48E
1746-06-01,,,Legnica,Poland,50.63N,16.48E
1746-07-01,,,Legnica,Poland,50.63N,16.48E
1746-08-01,,,Legnica,Poland,50.63N,16.48E
1746-09-01,,,Legnica,Poland,50.63N,16.48E
1746-10-01,,,Legnica,Poland,50.63N,16.48E
1746-11-01,,,Legnica,Poland,50.63N,16.48E
1746-12-01,,,Legnica,Poland,50.63N,16.48E
1747-01-01,,,Legnica,Poland,50.63N,16.48E
1747-02-01,,,Legnica,Poland,50.63N,16.48E
1747-03-01,,,Legnica,Poland,50.63N,16.48E
1747-04-01,,,Legnica,Poland,50.63N,16.48E
1747-05-01,,,Legnica,Poland,50.63N,16.48E
1747-06-01,,,Legnica,Poland,50.63N,16.48E
1747-07-01,,,Legnica,Poland,50.63N,16.48E
1747-08-01,,,Legnica,Poland,50.63N,16.48E
1747-09-01,,,Legnica,Poland,50.63N,16.48E
1747-10-01,,,Legnica,Poland,50.63N,16.48E
1747-11-01,,,Legnica,Poland,50.63N,16.48E
1747-12-01,,,Legnica,Poland,50.63N,16.48E
1748-01-01,,,Legnica,Poland,50.63N,16.48E
1748-02-01,,,Legnica,Poland,50.63N,16.48E
1748-03-01,,,Legnica,Poland,50.63N,16.48E
1748-04-01,,,Legnica,Poland,50.63N,16.48E
1748-05-01,,,Legnica,Poland,50.63N,16.48E
1748-06-01,,,Legnica,Poland,50.63N,16.48E
1748-07-01,,,Legnica,Poland,50.63N,16.48E
1748-08-01,,,Legnica,Poland,50.63N,16.48E
1748-09-01,,,Legnica,Poland,50.63N,16.48E
1748-10-01,,,Legnica,Poland,50.63N,16.48E
1748-11-01,,,Legnica,Poland,50.63N,16.48E
1748-12-01,,,Legnica,Poland,50.63N,16.48E
1749-01-01,,,Legnica,Poland,50.63N,16.48E
1749-02-01,,,Legnica,Poland,50.63N,16.48E
1749-03-01,,,Legnica,Poland,50.63N,16.48E
1749-04-01,,,Legnica,Poland,50.63N,16.48E
1749-05-01,,,Legnica,Poland,50.63N,16.48E
1749-06-01,,,Legnica,Poland,50.63N,16.48E
1749-07-01,,,Legnica,Poland,50.63N,16.48E
1749-08-01,,,Legnica,Poland,50.63N,16.48E
1749-09-01,,,Legnica,Poland,50.63N,16.48E
1749-10-01,,,Legnica,Poland,50.63N,16.48E
1749-11-01,,,Legnica,Poland,50.63N,16.48E
1749-12-01,,,Legnica,Poland,50.63N,16.48E
1750-01-01,-1.515,1.45,Legnica,Poland,50.63N,16.48E
1750-02-01,1.3869999999999998,2.134,Legnica,Poland,50.63N,16.48E
1750-03-01,4.781000000000001,2.6260000000000003,Legnica,Poland,50.63N,16.48E
1750-04-01,7.3870000000000005,1.133,Legnica,Poland,50.63N,16.48E
1750-05-01,11.675,1.483,Legnica,Poland,50.63N,16.48E
1750-06-01,15.3,1.306,Legnica,Poland,50.63N,16.48E
1750-07-01,18.142,1.2930000000000001,Legnica,Poland,50.63N,16.48E
1750-08-01,16.625,1.021,Legnica,Poland,50.63N,16.48E
1750-09-01,12.399000000000001,1.2009999999999998,Legnica,Poland,50.63N,16.48E
1750-10-01,5.266,1.385,Legnica,Poland,50.63N,16.48E
1750-11-01,,,Legnica,Poland,50.63N,16.48E
1750-12-01,-1.834,1.795,Legnica,Poland,50.63N,16.48E
1751-01-01,-3.1919999999999997,1.8630000000000002,Legnica,Poland,50.63N,16.48E
1751-02-01,-4.439,2.313,Legnica,Poland,50.63N,16.48E
1751-03-01,3.84,1.735,Legnica,Poland,50.63N,16.48E
1751-04-01,5.675,1.207,Legnica,Poland,50.63N,16.48E
1751-05-01,,,Legnica,Poland,50.63N,16.48E
1751-06-01,16.109,1.579,Legnica,Poland,50.63N,16.48E
1751-07-01,17.474999999999998,1.127,Legnica,Poland,50.63N,16.48E
1751-08-01,17.367,0.987,Legnica,Poland,50.63N,16.48E
1751-09-01,12.085,0.991,Legnica,Poland,50.63N,16.48E
1751-10-01,,,Legnica,Poland,50.63N,16.48E
1751-11-01,,,Legnica,Poland,50.63N,16.48E
1751-12-01,,,Legnica,Poland,50.63N,16.48E
1752-01-01,-3.54,2.549,Legnica,Poland,50.63N,16.48E
1752-02-01,,,Legnica,Poland,50.63N,16.48E
1752-03-01,3.165,1.82,Legnica,Poland,50.63N,16.48E
1752-04-01,6.760999999999999,2.096,Legnica,Poland,50.63N,16.48E
1752-05-01,,,Legnica,Poland,50.63N,16.48E
1752-06-01,,,Legnica,Poland,50.63N,16.48E
1752-07-01,,,Legnica,Poland,50.63N,16.48E
1752-08-01,,,Legnica,Poland,50.63N,16.48E
1752-09-01,,,Legnica,Poland,50.63N,16.48E
1752-10-01,7.901,1.714,Legnica,Poland,50.63N,16.48E
1752-11-01,4.34,1.379,Legnica,Poland,50.63N,16.48E
1752-12-01,0.28500000000000003,1.6019999999999999,Legnica,Poland,50.63N,16.48E
1753-01-01,-4.503,7.568,Legnica,Poland,50.63N,16.48E
1753-02-01,-2.526,3.377,Legnica,Poland,50.63N,16.48E
1753-03-01,3.591,3.167,Legnica,Poland,50.63N,16.48E
1753-04-01,7.614,6.754,Legnica,Poland,50.63N,16.48E
1753-05-01,12.177,1.896,Legnica,Poland,50.63N,16.48E
1753-06-01,16.303,2.9010000000000002,Legnica,Poland,50.63N,16.48E
1753-07-01,17.434,2.044,Legnica,Poland,50.63N,16.48E
1753-08-01,15.889,7.191,Legnica,Poland,50.63N,16.48E
1753-09-01,13.39,1.5030000000000001,Legnica,Poland,50.63N,16.48E
1753-10-01,8.64,1.979,Legnica,Poland,50.63N,16.48E
1753-11-01,1.7950000000000002,3.0869999999999997,Legnica,Poland,50.63N,16.48E
1753-12-01,-3.732,4.184,Legnica,Poland,50.63N,16.48E
1754-01-01,-3.795,2.456,Legnica,Poland,50.63N,16.48E
1754-02-01,-3.945,4.729,Legnica,Poland,50.63N,16.48E
1754-03-01,-0.7140000000000001,3.805,Legnica,Poland,50.63N,16.48E
1754-04-01,7.0139999999999985,7.602,Legnica,Poland,50.63N,16.48E
1754-05-01,12.965,3.532,Legnica,Poland,50.63N,16.48E
1754-06-01,15.953,1.355,Legnica,Poland,50.63N,16.48E
1754-07-01,16.023,2.911,Legnica,Poland,50.63N,16.48E
1754-08-01,16.176000000000002,4.9,Legnica,Poland,50.63N,16.48E
1754-09-01,12.372,3.6189999999999998,Legnica,Poland,50.63N,16.48E
1754-10-01,8.99,2.008,Legnica,Poland,50.63N,16.48E
1754-11-01,3.498,1.7469999999999999,Legnica,Poland,50.63N,16.48E
1754-12-01,-0.6719999999999999,2.585,Legnica,Poland,50.63N,16.48E
1755-01-01,-7.9220000000000015,5.688,Legnica,Poland,50.63N,16.48E
1755-02-01,-6.9350000000000005,4.812,Legnica,Poland,50.63N,16.48E
1755-03-01,1.0829999999999995,4.739,Legnica,Poland,50.63N,16.48E
1755-04-01,9.513,4.607,Legnica,Poland,50.63N,16.48E
1755-05-01,12.468,2.9010000000000002,Legnica,Poland,50.63N,16.48E
1755-06-01,17.934,3.802,Legnica,Poland,50.63N,16.48E
1755-07-01,17.523,2.051,Legnica,Poland,50.63N,16.48E
1755-08-01,15.547,3.391,Legnica,Poland,50.63N,16.48E
1755-09-01,12.08,1.2990000000000002,Legnica,Poland,50.63N,16.48E
1755-10-01,7.467,7.6339999999999995,Legnica,Poland,50.63N,16.48E
1755-11-01,2.718,7.776,Legnica,Poland,50.63N,16.48E
1755-12-01,-0.15999999999999998,8.318999999999999,Legnica,Poland,50.63N,16.48E
1756-01-01,-0.0860000000000003,5.74,Legnica,Poland,50.63N,16.48E
1756-02-01,1.1069999999999998,4.583,Legnica,Poland,50.63N,16.48E
1756-03-01,2.914,7.577999999999999,Legnica,Poland,50.63N,16.48E
1756-04-01,6.598,2.524,Legnica,Poland,50.63N,16.48E
1756-05-01,11.936,6.09,Legnica,Poland,50.63N,16.48E
1756-06-01,18.199,4.007,Legnica,Poland,50.63N,16.48E
1756-07-01,18.22,2.459,Legnica,Poland,50.63N,16.48E
1756-08-01,15.735,9.738999999999999,Legnica,Poland,50.63N,16.48E
1756-09-01,14.181,3.725,Legnica,Poland,50.63N,16.48E
1756-10-01,7.896,3.63,Legnica,Poland,50.63N,16.48E
1756-11-01,0.9660000000000002,4.716,Legnica,Poland,50.63N,16.48E
1756-12-01,-3.052,2.608,Legnica,Poland,50.63N,16.48E
1757-01-01,-4.5489999999999995,3.52,Legnica,Poland,50.63N,16.48E
1757-02-01,-0.15700000000000006,5.152,Legnica,Poland,50.63N,16.48E
1757-03-01,2.583,4.58,Legnica,Poland,50.63N,16.48E
1757-04-01,8.2,6.76,Legnica,Poland,50.63N,16.48E
1757-05-01,12.104000000000001,3.833,Legnica,Poland,50.63N,16.48E
1757-06-01,18.004,4.29,Legnica,Poland,50.63N,16.48E
1757-07-01,20.913,7.007000000000001,Legnica,Poland,50.63N,16.48E
1757-08-01,17.223000000000006,4.82,Legnica,Poland,50.63N,16.48E
1757-09-01,11.936,8.645,Legnica,Poland,50.63N,16.48E
1757-10-01,3.867,11.569,Legnica,Poland,50.63N,16.48E
1757-11-01,3.1710000000000003,5.362,Legnica,Poland,50.63N,16.48E
1757-12-01,-3.1630000000000003,10.769,Legnica,Poland,50.63N,16.48E
1758-01-01,-6.944000000000001,1.601,Legnica,Poland,50.63N,16.48E
1758-02-01,-2.5250000000000004,3.469,Legnica,Poland,50.63N,16.48E
1758-03-01,1.6469999999999998,4.857,Legnica,Poland,50.63N,16.48E
1758-04-01,5.746,8.646,Legnica,Poland,50.63N,16.48E
1758-05-01,12.915,5.937,Legnica,Poland,50.63N,16.48E
1758-06-01,16.42,5.7410000000000005,Legnica,Poland,50.63N,16.48E
1758-07-01,15.806,8.88,Legnica,Poland,50.63N,16.48E
