4,4.599,Baranagar,India,23.31N,88.25E
1934-09-01,29.206999999999997,0.154,Barasat,India,23.31N,88.25E
1934-10-01,26.836,0.247,Barasat,India,23.31N,88.25E
1934-11-01,22.250999999999998,0.293,Barasat,India,23.31N,88.25E
1934-12-01,19.31,0.20199999999999999,Barasat,India,23.31N,88.25E
1935-01-01,17.830000000000005,0.32899999999999996,Barasat,India,23.31N,88.25E
1935-02-01,21.857,0.33799999999999997,Barasat,India,23.31N,88.25E
1935-03-01,26.96,0.359,Barasat,India,23.31N,88.25E
1935-04-01,29.281999999999996,0.284,Barasat,India,23.31N,88.25E
1935-05-01,32.468,0.395,Barasat,India,23.31N,88.25E
1935-06-01,30.843000000000004,0.466,Barasat,India,23.31N,88.25E
1935-07-01,29.346999999999998,0.215,Barasat,India,23.31N,88.25E
1935-08-01,28.52,0.19899999999999998,Barasat,India,23.31N,88.25E
1935-09-01,28.929000000000002,0.14300000000000002,Barasat,India,23.31N,88.25E
1935-10-01,27.283,0.28,Barasat,India,23.31N,88.25E
1935-11-01,23.043000000000003,0.235,Barasat,India,23.31N,88.25E
1935-12-01,18.975,0.282,Barasat,India,23.31N,88.25E
1936-01-01,18.051,0.522,Barasat,India,23.31N,88.25E
1936-02-01,21.389,0.299,Barasat,India,23.31N,88.25E
1936-03-01,27.39,0.306,Barasat,India,23.31N,88.25E
1936-04-01,30.628,0.285,Barasat,India,23.31N,88.25E
1936-05-01,29.642,0.28800000000000003,Barasat,India,23.31N,88.25E
1936-06-01,28.954,0.237,Barasat,India,23.31N,88.25E
1936-07-01,29.048000000000002,0.166,Barasat,India,23.31N,88.25E
1936-08-01,29.091,0.223,Barasat,India,23.31N,88.25E
1936-09-01,28.475,0.18600000000000003,Barasat,India,23.31N,88.25E
1936-10-01,26.865,0.095,Barasat,India,23.31N,88.25E
1936-11-01,23.677,0.16,Barasat,India,23.31N,88.25E
1936-12-01,19.648,0.193,Barasat,India,23.31N,88.25E
1937-01-01,17.223000000000006,0.257,Barasat,India,23.31N,88.25E
1937-02-01,21.147,0.33399999999999996,Barasat,India,23.31N,88.25E
1937-03-01,25.912000000000006,0.353,Barasat,India,23.31N,88.25E
1937-04-01,29.874000000000002,0.348,Barasat,India,23.31N,88.25E
1937-05-01,30.43,0.266,Barasat,India,23.31N,88.25E
1937-06-01,29.808000000000003,0.192,Barasat,India,23.31N,88.25E
1937-07-01,29.322,0.127,Barasat,India,23.31N,88.25E
1937-08-01,28.798000000000002,0.147,Barasat,India,23.31N,88.25E
1937-09-01,28.866,0.135,Barasat,India,23.31N,88.25E
1937-10-01,26.772,0.26,Barasat,India,23.31N,88.25E
1937-11-01,22.9,0.313,Barasat,India,23.31N,88.25E
1937-12-01,18.615,0.297,Barasat,India,23.31N,88.25E
1938-01-01,19.899,0.335,Barasat,India,23.31N,88.25E
1938-02-01,20.133,0.37,Barasat,India,23.31N,88.25E
1938-03-01,28.563,0.284,Barasat,India,23.31N,88.25E
1938-04-01,31.614,0.519,Barasat,India,23.31N,88.25E
1938-05-01,29.305999999999997,0.531,Barasat,India,23.31N,88.25E
1938-06-01,29.291,0.235,Barasat,India,23.31N,88.25E
1938-07-01,29.081,0.15,Barasat,India,23.31N,88.25E
1938-08-01,28.722,0.2,Barasat,India,23.31N,88.25E
1938-09-01,29.312,0.191,Barasat,India,23.31N,88.25E
1938-10-01,27.568,0.217,Barasat,India,23.31N,88.25E
1938-11-01,22.416999999999998,0.27899999999999997,Barasat,India,23.31N,88.25E
1938-12-01,18.735000000000007,0.363,Barasat,India,23.31N,88.25E
1939-01-01,19.476000000000006,0.276,Barasat,India,23.31N,88.25E
1939-02-01,22.446,0.302,Barasat,India,23.31N,88.25E
1939-03-01,26.304,0.23600000000000002,Barasat,India,23.31N,88.25E
1939-04-01,31.459,0.349,Barasat,India,23.31N,88.25E
1939-05-01,31.243,0.24,Barasat,India,23.31N,88.25E
1939-06-01,30.112,0.24100000000000002,Barasat,India,23.31N,88.25E
1939-07-01,28.822,0.22699999999999998,Barasat,India,23.31N,88.25E
1939-08-01,28.565,0.201,Barasat,India,23.31N,88.25E
1939-09-01,28.783,0.115,Barasat,India,23.31N,88.25E
1939-10-01,27.279,0.198,Barasat,India,23.31N,88.25E
1939-11-01,23.377,0.16399999999999998,Barasat,India,23.31N,88.25E
1939-12-01,19.581,0.242,Barasat,India,23.31N,88.25E
1940-01-01,18.219,0.235,Barasat,India,23.31N,88.25E
1940-02-01,21.28,0.212,Barasat,India,23.31N,88.25E
1940-03-01,25.114,0.188,Barasat,India,23.31N,88.25E
1940-04-01,30.19,0.23199999999999998,Barasat,India,23.31N,88.25E
1940-05-01,30.651,0.091,Barasat,India,23.31N,88.25E
1940-06-01,30.416,0.325,Barasat,India,23.31N,88.25E
1940-07-01,28.958000000000002,0.055999999999999994,Barasat,India,23.31N,88.25E
1940-08-01,28.872,0.162,Barasat,India,23.31N,88.25E
1940-09-01,29.0,0.243,Barasat,India,23.31N,88.25E
1940-10-01,27.666,0.258,Barasat,India,23.31N,88.25E
1940-11-01,24.78,0.363,Barasat,India,23.31N,88.25E
1940-12-01,19.48,0.259,Barasat,India,23.31N,88.25E
1941-01-01,19.109,0.368,Barasat,India,23.31N,88.25E
1941-02-01,21.829,0.35100000000000003,Barasat,India,23.31N,88.25E
1941-03-01,28.55,0.305,Barasat,India,23.31N,88.25E
1941-04-01,31.253,0.371,Barasat,India,23.31N,88.25E
1941-05-01,30.92,0.303,Barasat,India,23.31N,88.25E
1941-06-01,29.733,0.21100000000000002,Barasat,India,23.31N,88.25E
1941-07-01,29.19,0.22399999999999998,Barasat,India,23.31N,88.25E
1941-08-01,29.381,0.147,Barasat,India,23.31N,88.25E
1941-09-01,29.162,0.22399999999999998,Barasat,India,23.31N,88.25E
1941-10-01,26.802,0.16699999999999998,Barasat,India,23.31N,88.25E
1941-11-01,22.936,0.2,Barasat,India,23.31N,88.25E
1941-12-01,20.437,0.263,Barasat,India,23.31N,88.25E
1942-01-01,18.930999999999997,0.28,Barasat,India,23.31N,88.25E
1942-02-01,21.493000000000002,0.344,Barasat,India,23.31N,88.25E
1942-03-01,27.329,0.451,Barasat,India,23.31N,88.25E
1942-04-01,29.69,0.341,Barasat,India,23.31N,88.25E
1942-05-01,32.013000000000005,0.41100000000000003,Barasat,India,23.31N,88.25E
1942-06-01,31.316,0.34700000000000003,Barasat,India,23.31N,88.25E
1942-07-01,29.344,0.18,Barasat,India,23.31N,88.25E
1942-08-01,28.479,0.24,Barasat,India,23.31N,88.25E
1942-09-01,28.214000000000002,0.14300000000000002,Barasat,India,23.31N,88.25E
1942-10-01,27.155,0.267,Barasat,India,23.31N,88.25E
1942-11-01,24.215,0.429,Barasat,India,23.31N,88.25E
1942-12-01,19.47,0.275,Barasat,India,23.31N,88.25E
1943-01-01,20.227,0.267,Barasat,India,23.31N,88.25E
1943-02-01,20.164,0.316,Barasat,India,23.31N,88.25E
1943-03-01,26.621,0.28,Barasat,India,23.31N,88.25E
1943-04-01,28.318,0.185,Barasat,India,23.31N,88.25E
1943-05-01,31.127,0.22699999999999998,Barasat,India,23.31N,88.25E
1943-06-01,29.735,0.322,Barasat,India,23.31N,88.25E
1943-07-01,28.71,0.212,Barasat,India,23.31N,88.25E
1943-08-01,28.697,0.14400000000000002,Barasat,India,23.31N,88.25E
1943-09-01,29.046,0.253,Barasat,India,23.31N,88.25E
1943-10-01,27.837,0.275,Barasat,India,23.31N,88.25E
1943-11-01,23.569000000000003,0.574,Barasat,India,23.31N,88.25E
1943-12-01,20.583,0.375,Barasat,India,23.31N,88.25E
1944-01-01,19.053,0.327,Barasat,India,23.31N,88.25E
1944-02-01,21.221,0.278,Barasat,India,23.31N,88.25E
1944-03-01,26.006999999999998,0.22399999999999998,Barasat,India,23.31N,88.25E
1944-04-01,28.318,0.205,Barasat,India,23.31N,88.25E
1944-05-01,32.269,0.41,Barasat,India,23.31N,88.25E
1944-06-01,31.048000000000002,0.256,Barasat,India,23.31N,88.25E
1944-07-01,28.744,0.313,Barasat,India,23.31N,88.25E
1944-08-01,28.765,0.27699999999999997,Barasat,India,23.31N,88.25E
1944-09-01,29.186,0.24,Barasat,India,23.31N,88.25E
1944-10-01,26.829,0.249,Barasat,India,23.31N,88.25E
1944-11-01,22.947,0.375,Barasat,India,23.31N,88.25E
1944-12-01,20.467,0.39299999999999996,Barasat,India,23.31N,88.25E
1945-01-01,18.086,0.309,Barasat,India,23.31N,88.25E
1945-02-01,20.836,0.314,Barasat,India,23.31N,88.25E
1945-03-01,27.598000000000006,0.209,Barasat,India,23.31N,88.25E
1945-04-01,28.908,0.27,Barasat,India,23.31N,88.25E
1945-05-01,30.38,0.317,Barasat,India,23.31N,88.25E
1945-06-01,30.33,0.32299999999999995,Barasat,India,23.31N,88.25E
1945-07-01,29.265,0.327,Barasat,India,23.31N,88.25E
1945-08-01,29.371,0.233,Barasat,India,23.31N,88.25E
1945-09-01,29.054000000000002,0.252,Barasat,India,23.31N,88.25E
1945-10-01,26.513,0.19899999999999998,Barasat,India,23.31N,88.25E
1945-11-01,22.936999999999998,0.276,Barasat,India,23.31N,88.25E
1945-12-01,18.500999999999998,0.231,Barasat,India,23.31N,88.25E
1946-01-01,19.01,0.41100000000000003,Barasat,India,23.31N,88.25E
1946-02-01,23.3,0.204,Barasat,India,23.31N,88.25E
1946-03-01,26.868,0.449,Barasat,India,23.31N,88.25E
1946-04-01,27.447,0.34299999999999997,Barasat,India,23.31N,88.25E
1946-05-01,30.014,0.17600000000000002,Barasat,India,23.31N,88.25E
1946-06-01,29.863000000000003,0.28800000000000003,Barasat,India,23.31N,88.25E
1946-07-01,28.829,0.2,Barasat,India,23.31N,88.25E
1946-08-01,28.987,0.183,Barasat,India,23.31N,88.25E
1946-09-01,28.831,0.212,Barasat,India,23.31N,88.25E
1946-10-01,26.645,0.348,Barasat,India,23.31N,88.25E
1946-11-01,23.891,0.47700000000000004,Barasat,India,23.31N,88.25E
1946-12-01,19.915000000000006,0.26,Barasat,India,23.31N,88.25E
1947-01-01,18.986,0.345,Barasat,India,23.31N,88.25E
1947-02-01,21.469,0.43200000000000005,Barasat,India,23.31N,88.25E
1947-03-01,27.039,0.256,Barasat,India,23.31N,88.25E
1947-04-01,31.436,0.363,Barasat,India,23.31N,88.25E
1947-05-01,31.094,0.36,Barasat,India,23.31N,88.25E
1947-06-01,30.576,0.266,Barasat,India,23.31N,88.25E
1947-07-01,29.15,0.09,Barasat,India,23.31N,88.25E
1947-08-01,28.976,0.228,Barasat,India,23.31N,88.25E
1947-09-01,28.903000000000002,0.055999999999999994,Barasat,India,23.31N,88.25E
1947-10-01,26.895,0.179,Barasat,India,23.31N,88.25E
1947-11-01,23.552,0.292,Barasat,India,23.31N,88.25E
1947-12-01,19.784,0.151,Barasat,India,23.31N,88.25E
1948-01-01,19.770000000000003,0.32,Barasat,India,23.31N,88.25E
1948-02-01,21.832,0.335,Barasat,India,23.31N,88.25E
1948-03-01,26.176,0.289,Barasat,India,23.31N,88.25E
1948-04-01,29.906999999999996,0.262,Barasat,India,23.31N,88.25E
1948-05-01,30.205,0.175,Barasat,India,23.31N,88.25E
1948-06-01,30.579,0.152,Barasat,India,23.31N,88.25E
1948-07-01,29.011,0.302,Barasat,India,23.31N,88.25E
1948-08-01,28.773000000000003,0.271,Barasat,India,23.31N,88.25E
1948-09-01,28.816,0.147,Barasat,India,23.31N,88.25E
1948-10-01,27.209,0.20600000000000002,Barasat,India,23.31N,88.25E
1948-11-01,23.92,0.078,Barasat,India,23.31N,88.25E
1948-12-01,18.782,0.163,Barasat,India,23.31N,88.25E
1949-01-01,19.402,0.248,Barasat,India,23.31N,88.25E
1949-02-01,21.233,0.281,Barasat,India,23.31N,88.25E
1949-03-01,27.070999999999998,0.364,Barasat,India,23.31N,88.25E
1949-04-01,28.117,0.155,Barasat,India,23.31N,88.25E
1949-05-01,29.017,0.515,Barasat,India,23.31N,88.25E
1949-06-01,30.146,0.267,Barasat,India,23.31N,88.25E
1949-07-01,29.054000000000002,0.11599999999999999,Barasat,India,23.31N,88.25E
1949-08-01,28.95,0.161,Barasat,India,23.31N,88.25E
1949-09-01,29.065,0.21100000000000002,Barasat,India,23.31N,88.25E
1949-10-01,28.018,0.145,Barasat,India,23.31N,88.25E
1949-11-01,22.234,0.27399999999999997,Barasat,India,23.31N,88.25E
1949-12-01,18.177,0.37200000000000005,Barasat,India,23.31N,88.25E
1950-01-01,19.262999999999998,0.345,Barasat,India,23.31N,88.25E
1950-02-01,21.457,0.18,Barasat,India,23.31N,88.25E
1950-03-01,26.337000000000003,0.302,Barasat,India,23.31N,88.25E
1950-04-01,30.515,0.418,Barasat,India,23.31N,88.25E
1950-05-01,31.057,0.235,Barasat,India,23.31N,88.25E
1950-06-01,29.781999999999996,0.2,Barasat,India,23.31N,88.25E
1950-07-01,28.930999999999997,0.16399999999999998,Barasat,India,23.31N,88.25E
1950-08-01,28.559,0.175,Barasat,India,23.31N,88.25E
1950-09-01,29.084,0.092,Barasat,India,23.31N,88.25E
1950-10-01,26.938000000000002,0.157,Barasat,India,23.31N,88.25E
1950-11-01,22.458000000000002,0.423,Barasat,India,23.31N,88.25E
1950-12-01,19.535999999999998,0.32799999999999996,Barasat,India,23.31N,88.25E
1951-01-01,18.304,0.198,Barasat,India,23.31N,88.25E
1951-02-01,21.944000000000003,0.272,Barasat,India,23.31N,88.25E
1951-03-01,26.871,0.188,Barasat,India,23.31N,88.25E
1951-04-01,30.185,0.381,Barasat,India,23.31N,88.25E
1951-05-01,31.488000000000003,0.431,Barasat,India,23.31N,88.25E
1951-06-01,30.399,0.546,Barasat,India,23.31N,88.25E
1951-07-01,29.125,0.23800000000000002,Barasat,India,23.31N,88.25E
1951-08-01,29.38,0.28800000000000003,Barasat,India,23.31N,88.25E
1951-09-01,29.456999999999997,0.335,Barasat,India,23.31N,88.25E
1951-10-01,28.49,0.22699999999999998,Barasat,India,23.31N,88.25E
1951-11-01,23.936,0.513,Barasat,India,23.31N,88.25E
1951-12-01,20.303,0.509,Barasat,India,23.31N,88.25E
1952-01-01,19.903,0.33399999999999996,Barasat,India,23.31N,88.25E
1952-02-01,23.326,0.247,Barasat,India,23.31N,88.25E
1952-03-01,25.894,0.42700000000000005,Barasat,India,23.31N,88.25E
1952-04-01,29.312,0.158,Barasat,India,23.31N,88.25E
1952-05-01,30.275,0.20199999999999999,Barasat,India,23.31N,88.25E
1952-06-01,30.445,0.149,Barasat,India,23.31N,88.25E
1952-07-01,28.822,0.20800000000000002,Barasat,India,23.31N,88.25E
1952-08-01,28.985,0.185,Barasat,India,23.31N,88.25E
1952-09-01,28.976,0.276,Barasat,India,23.31N,88.25E
1952-10-01,27.451,0.139,Barasat,India,23.31N,88.25E
1952-11-01,23.721999999999998,0.311,Barasat,India,23.31N,88.25E
1952-12-01,19.567,0.19699999999999998,Barasat,India,23.31N,88.25E
1953-01-01,18.408,0.191,Barasat,India,23.31N,88.25E
1953-02-01,22.96,0.252,Barasat,India,23.31N,88.25E
1953-03-01,28.785,0.278,Barasat,India,23.31N,88.25E
1953-04-01,31.071,0.28600000000000003,Barasat,India,23.31N,88.25E
1953-05-01,31.491,0.19699999999999998,Barasat,India,23.31N,88.25E
1953-06-01,29.838,0.252,Barasat,India,23.31N,88.25E
1953-07-01,28.954,0.249,Barasat,India,23.31N,88.25E
1953-08-01,29.024,0.132,Barasat,India,23.31N,88.25E
1953-09-01,28.77,0.094,Barasat,India,23.31N,88.25E
1953-10-01,27.337,0.195,Barasat,India,23.31N,88.25E
1953-11-01,23.199,0.12,Barasat,India,23.31N,88.25E
1953-12-01,21.052,0.19399999999999998,Barasat,India,23.31N,88.25E
1954-01-01,17.956000000000003,0.29,Barasat,India,23.31N,88.25E
1954-02-01,23.671,0.268,Barasat,India,23.31N,88.25E
1954-03-01,27.320999999999998,0.355,Barasat,India,23.31N,88.25E
1954-04-01,32.037,0.32799999999999996,Barasat,India,23.31N,88.25E
1954-05-01,31.684,0.26899999999999996,Barasat,India,23.31N,88.25E
1954-06-01,29.228,0.33399999999999996,Barasat,India,23.31N,88.25E
1954-07-01,29.196,0.342,Barasat,India,23.31N,88.25E
1954-08-01,29.098000000000003,0.212,Barasat,India,23.31N,88.25E
1954-09-01,29.07,0.275,Barasat,India,23.31N,88.25E
1954-10-01,26.509,0.289,Barasat,India,23.31N,88.25E
1954-11-01,22.037,0.212,Barasat,India,23.31N,88.25E
1954-12-01,19.631,0.23199999999999998,Barasat,India,23.31N,88.25E
1955-01-01,18.795,0.264,Barasat,India,23.31N,88.25E
1955-02-01,21.632,0.32899999999999996,Barasat,India,23.31N,88.25E
1955-03-01,27.951999999999998,0.183,Barasat,India,23.31N,88.25E
1955-04-01,29.81,0.354,Barasat,India,23.31N,88.25E
1955-05-01,31.669,0.374,Barasat,India,23.31N,88.25E
1955-06-01,30.104,0.237,Barasat,India,23.31N,88.25E
1955-07-01,28.808000000000003,0.267,Barasat,India,23.31N,88.25E
1955-08-01,28.673000000000002,0.205,Barasat,India,23.31N,88.25E
1955-09-01,29.075,0.18100000000000002,Barasat,India,23.31N,88.25E
1955-10-01,27.423000000000002,0.23,Barasat,India,23.31N,88.25E
1955-11-01,23.471,0.314,Barasat,India,23.31N,88.25E
1955-12-01,19.171000000000006,0.195,Barasat,India,23.31N,88.25E
1956-01-01,19.342,0.223,Barasat,India,23.31N,88.25E
1956-02-01,20.802,0.225,Barasat,India,23.31N,88.25E
1956-03-01,27.308000000000003,0.257,Barasat,India,23.31N,88.25E
1956-04-01,30.674,0.26899999999999996,Barasat,India,23.31N,88.25E
1956-05-01,30.914,0.379,Barasat,India,23.31N,88.25E
1956-06-01,28.473000000000003,0.192,Barasat,India,23.31N,88.25E
1956-07-01,28.756,0.215,Barasat,India,23.31N,88.25E
1956-08-01,28.867,0.249,Barasat,India,23.31N,88.25E
1956-09-01,28.456999999999997,0.20600000000000002,Barasat,India,23.31N,88.25E
1956-10-01,27.191999999999997,0.154,Barasat,India,23.31N,88.25E
1956-11-01,22.915,0.349,Barasat,India,23.31N,88.25E
1956-12-01,20.000999999999998,0.358,Barasat,India,23.31N,88.25E
1957-01-01,19.514000000000006,0.40299999999999997,Barasat,India,23.31N,88.25E
1957-02-01,20.854,0.37799999999999995,Barasat,India,23.31N,88.25E
1957-03-01,25.758000000000006,0.392,Barasat,India,23.31N,88.25E
1957-04-01,30.62,0.396,Barasat,India,23.31N,88.25E
1957-05-01,32.815,0.429,Barasat,India,23.31N,88.25E
1957-06-01,31.025,0.331,Barasat,India,23.31N,88.25E
1957-07-01,28.949,0.317,Barasat,India,23.31N,88.25E
1957-08-01,29.482,0.741,Barasat,India,23.31N,88.25E
1957-09-01,29.26,0.541,Barasat,India,23.31N,88.25E
1957-10-01,27.629,0.272,Barasat,India,23.31N,88.25E
1957-11-01,23.357,0.415,Barasat,India,23.31N,88.25E
1957-12-01,20.236,0.32799999999999996,Barasat,India,23.31N,88.25E
1958-01-01,20.776999999999997,0.308,Barasat,India,23.31N,88.25E
1958-02-01,22.21,0.35700000000000004,Barasat,India,23.31N,88.25E
1958-03-01,27.531999999999996,0.536,Barasat,India,23.31N,88.25E
1958-04-01,30.96,0.49,Barasat,India,23.31N,88.25E
1958-05-01,31.998,0.556,Barasat,India,23.31N,88.25E
1958-06-01,31.859,0.363,Barasat,India,23.31N,88.25E
1958-07-01,29.535999999999998,0.45,Barasat,India,23.31N,88.25E
1958-08-01,29.053,0.295,Barasat,India,23.31N,88.25E
1958-09-01,29.224,0.18100000000000002,Barasat,India,23.31N,88.25E
1958-10-01,28.073,0.39399999999999996,Barasat,India,23.31N,88.25E
1958-11-01,24.345,0.28300000000000003,Barasat,India,23.31N,88.25E
1958-12-01,20.682,0.28600000000000003,Barasat,India,23.31N,88.25E
1959-01-01,19.630000000000006,0.29600000000000004,Barasat,India,23.31N,88.25E
1959-02-01,21.284000000000002,0.382,Barasat,India,23.31N,88.25E
1959-03-01,26.82,0.452,Barasat,India,23.31N,88.25E
1959-04-01,30.623,0.254,Barasat,India,23.31N,88.25E
1959-05-01,31.386,0.28300000000000003,Barasat,India,23.31N,88.25E
1959-06-01,30.026999999999997,0.245,Barasat,India,23.31N,88.25E
1959-07-01,29.116999999999997,0.42100000000000004,Barasat,India,23.31N,88.25E
1959-08-01,28.915,0.281,Barasat,India,23.31N,88.25E
1959-09-01,28.439,0.308,Barasat,India,23.31N,88.25E
1959-10-01,26.955,0.644,Barasat,India,23.31N,88.25E
1959-11-01,22.861,0.264,Barasat,India,23.31N,88.25E
1959-12-01,19.563,0.175,Barasat,India,23.31N,88.25E
1960-01-01,18.725,0.301,Barasat,India,23.31N,88.25E
1960-02-01,23.434,0.467,Barasat,India,23.31N,88.25E
1960-03-01,25.880000000000006,0.235,Barasat,India,23.31N,88.25E
1960-04-01,31.516,0.312,Barasat,India,23.31N,88.25E
1960-05-01,31.666999999999998,0.423,Barasat,India,23.31N,88.25E
1960-06-01,30.677,0.541,Barasat,India,23.31N,88.25E
1960-07-01,28.616999999999997,0.272,Barasat,India,23.31N,88.25E
1960-08-01,29.37,0.266,Barasat,India,23.31N,88.25E
1960-09-01,28.917,0.231,Barasat,India,23.31N,88.25E
1960-10-01,27.561,0.154,Barasat,India,23.31N,88.25E
1960-11-01,22.743000000000002,0.27899999999999997,Barasat,India,23.31N,88.25E
1960-12-01,19.971,0.27,Barasat,India,23.31N,88.25E
1961-01-01,19.664,0.217,Barasat,India,23.31N,88.25E
1961-02-01,20.183,0.27899999999999997,Barasat,India,23.31N,88.25E
1961-03-01,28.186,0.318,Barasat,India,23.31N,88.25E
1961-04-01,31.04,0.342,Barasat,India,23.31N,88.25E
1961-05-01,31.409000000000002,0.455,Barasat,India,23.31N,88.25E
1961-06-01,29.84,0.451,Barasat,India,23.31N,88.25E
1961-07-01,29.051,0.322,Barasat,India,23.31N,88.25E
1961-08-01,29.197,0.19399999999999998,Barasat,India,23.31N,88.25E
1961-09-01,28.833000000000002,0.11699999999999999,Barasat,India,23.31N,88.25E
1961-10-01,27.113000000000003,0.327,Barasat,India,23.31N,88.25E
1961-11-01,22.496,0.175,Barasat,India,23.31N,88.25E
1961-12-01,17.532,0.133,Barasat,India,23.31N,88.25E
1962-01-01,17.71,0.28,Barasat,India,23.31N,88.25E
1962-02-01,22.052,0.375,Barasat,India,23.31N,88.25E
1962-03-01,26.803,0.331,Barasat,India,23.31N,88.25E
1962-04-01,30.105,0.24,Barasat,India,23.31N,88.25E
1962-05-01,30.671,0.385,Barasat,India,23.31N,88.25E
1962-06-01,29.868000000000002,0.708,Barasat,India,23.31N,88.25E
1962-07-01,29.750999999999998,0.318,Barasat,India,23.31N,88.25E
1962-08-01,28.914,0.253,Barasat,India,23.31N,88.25E
1962-09-01,29.071,0.321,Barasat,India,23.31N,88.25E
1962-10-01,26.633000000000003,0.451,Barasat,India,23.31N,88.25E
1962-11-01,23.061,0.434,Barasat,India,23.31N,88.25E
1962-12-01,19.566000000000006,0.451,Barasat,India,23.31N,88.25E
1963-01-01,18.194000000000006,0.303,Barasat,India,23.31N,88.25E
1963-02-01,23.238000000000003,0.309,Barasat,India,23.31N,88.25E
1963-03-01,26.790000000000006,0.17800000000000002,Barasat,India,23.31N,88.25E
1963-04-01,29.269000000000002,0.19399999999999998,Barasat,India,23.31N,88.25E
1963-05-01,29.574,0.457,Barasat,India,23.31N,88.25E
1963-06-01,29.842,0.294,Barasat,India,23.31N,88.25E
1963-07-01,29.235,0.25,Barasat,India,23.31N,88.25E
1963-08-01,29.277,0.171,Barasat,India,23.31N,88.25E
1963-09-01,29.255,0.387,Barasat,India,23.31N,88.25E
1963-10-01,27.52,0.365,Barasat,India,23.31N,88.25E
1963-11-01,23.945999999999998,0.38799999999999996,Barasat,India,23.31N,88.25E
1963-12-01,20.099,0.292,Barasat,India,23.31N,88.25E
1964-01-01,19.105999999999998,0.193,Barasat,India,23.31N,88.25E
1964-02-01,22.64,0.428,Barasat,India,23.31N,88.25E
1964-03-01,28.226000000000006,0.315,Barasat,India,23.31N,88.25E
1964-04-01,30.011,0.355,Barasat,India,23.31N,88.25E
1964-05-01,30.456,0.39,Barasat,India,23.31N,88.25E
1964-06-01,30.74,0.39399999999999996,Barasat,India,23.31N,88.25E
1964-07-01,28.392,0.19699999999999998,Barasat,India,23.31N,88.25E
1964-08-01,29.125,0.26899999999999996,Barasat,India,23.31N,88.25E
1964-09-01,29.136999999999997,0.132,Barasat,India,23.31N,88.25E
1964-10-01,27.726,0.315,Barasat,India,23.31N,88.25E
1964-11-01,23.767,0.191,Barasat,India,23.31N,88.25E
1964-12-01,20.117,0.159,Barasat,India,23.31N,88.25E
1965-01-01,19.56,0.395,Barasat,India,23.31N,88.25E
1965-02-01,21.945,0.278,Barasat,India,23.31N,88.25E
1965-03-01,25.64,0.322,Barasat,India,23.31N,88.25E
1965-04-01,29.633000000000003,0.33299999999999996,Barasat,India,23.31N,88.25E
1965-05-01,31.366,0.581,Barasat,India,23.31N,88.25E
1965-06-01,30.828000000000003,0.42,Barasat,India,23.31N,88.25E
1965-07-01,28.805,0.14400000000000002,Barasat,India,23.31N,88.25E
1965-08-01,28.541,0.337,Barasat,India,23.31N,88.25E
1965-09-01,28.854,0.188,Barasat,India,23.31N,88.25E
1965-10-01,27.322,0.348,Barasat,India,23.31N,88.25E
1965-11-01,24.011,0.29,Barasat,India,23.31N,88.25E
1965-12-01,19.380000000000006,0.43200000000000005,Barasat,India,23.31N,88.25E
1966-01-01,18.929,0.373,Barasat,India,23.31N,88.25E
1966-02-01,23.406,0.355,Barasat,India,23.31N,88.25E
1966-03-01,27.213,0.376,Barasat,India,23.31N,88.25E
1966-04-01,31.14,0.314,Barasat,India,23.31N,88.25E
1966-05-01,32.305,0.35600000000000004,Barasat,India,23.31N,88.25E
1966-06-01,30.197,0.614,Barasat,India,23.31N,88.25E
1966-07-01,29.554000000000002,0.233,Barasat,India,23.31N,88.25E
1966-08-01,29.134,0.326,Barasat,India,23.31N,88.25E
1966-09-01,28.908,0.518,Barasat,India,23.31N,88.25E
1966-10-01,26.913,0.6509999999999999,Barasat,India,23.31N,88.25E
1966-11-01,24.343000000000004,0.263,Barasat,India,23.31N,88.25E
1966-12-01,19.264000000000006,0.40399999999999997,Barasat,India,23.31N,88.25E
1967-01-01,19.135,0.544,Barasat,India,23.31N,88.25E
1967-02-01,22.96,0.322,Barasat,India,23.31N,88.25E
1967-03-01,25.741000000000003,0.24100000000000002,Barasat,India,23.31N,88.25E
1967-04-01,28.779,0.24,Barasat,India,23.31N,88.25E
1967-05-01,31.131,0.386,Barasat,India,23.31N,88.25E
1967-06-01,30.739,0.23,Barasat,India,23.31N,88.25E
1967-07-01,29.318,0.33799999999999997,Barasat,India,23.31N,88.25E
1967-08-01,28.847,0.26899999999999996,Barasat,India,23.31N,88.25E
1967-09-01,28.689,0.166,Barasat,India,23.31N,88.25E
1967-10-01,27.009,0.2,Barasat,India,23.31N,88.25E
1967-11-01,22.634,0.51,Barasat,India,23.31N,88.25E
1967-12-01,20.820999999999998,0.256,Barasat,India,23.31N,88.25E
1968-01-01,18.89,0.308,Barasat,India,23.31N,88.25E
1968-02-01,21.096,0.331,Barasat,India,23.31N,88.25E
1968-03-01,26.935,0.303,Barasat,India,23.31N,88.25E
1968-04-01,29.84,0.289,Barasat,India,23.31N,88.25E
1968-05-01,31.554,0.316,Barasat,India,23.31N,88.25E
1968-06-01,28.671,0.35200000000000004,Barasat,India,23.31N,88.25E
1968-07-01,28.901,0.431,Barasat,India,23.31N,88.25E
1968-08-01,28.9,0.28600000000000003,Barasat,India,23.31N,88.25E
1968-09-01,29.666,0.154,Barasat,India,23.31N,88.25E
