4,4.599,Baranagar,India,23.31N,88.25E
1824-09-01,28.531,1.5730000000000002,Baranagar,India,23.31N,88.25E
1824-10-01,25.659000000000002,1.584,Baranagar,India,23.31N,88.25E
1824-11-01,23.276999999999997,1.795,Baranagar,India,23.31N,88.25E
1824-12-01,20.831999999999997,2.499,Baranagar,India,23.31N,88.25E
1825-01-01,19.072000000000006,2.43,Baranagar,India,23.31N,88.25E
1825-02-01,21.823,1.784,Baranagar,India,23.31N,88.25E
1825-03-01,26.607000000000006,2.2430000000000003,Baranagar,India,23.31N,88.25E
1825-04-01,30.259,2.4090000000000003,Baranagar,India,23.31N,88.25E
1825-05-01,30.412,1.581,Baranagar,India,23.31N,88.25E
1825-06-01,30.155,1.411,Baranagar,India,23.31N,88.25E
1825-07-01,28.881,2.043,Baranagar,India,23.31N,88.25E
1825-08-01,28.15,1.889,Baranagar,India,23.31N,88.25E
1825-09-01,27.741999999999997,1.5519999999999998,Baranagar,India,23.31N,88.25E
1825-10-01,25.953000000000003,1.736,Baranagar,India,23.31N,88.25E
1825-11-01,23.741999999999997,1.828,Baranagar,India,23.31N,88.25E
1825-12-01,19.066000000000006,1.469,Baranagar,India,23.31N,88.25E
1826-01-01,18.570999999999998,1.685,Baranagar,India,23.31N,88.25E
1826-02-01,20.519000000000002,2.048,Baranagar,India,23.31N,88.25E
1826-03-01,26.662000000000006,1.8940000000000001,Baranagar,India,23.31N,88.25E
1826-04-01,30.011999999999997,2.575,Baranagar,India,23.31N,88.25E
1826-05-01,31.389,1.7009999999999998,Baranagar,India,23.31N,88.25E
1826-06-01,29.338,2.224,Baranagar,India,23.31N,88.25E
1826-07-01,29.191999999999997,1.288,Baranagar,India,23.31N,88.25E
1826-08-01,27.957,1.287,Baranagar,India,23.31N,88.25E
1826-09-01,27.772,1.8330000000000002,Baranagar,India,23.31N,88.25E
1826-10-01,26.376,2.07,Baranagar,India,23.31N,88.25E
1826-11-01,23.824,1.4480000000000002,Baranagar,India,23.31N,88.25E
1826-12-01,20.648000000000003,2.265,Baranagar,India,23.31N,88.25E
1827-01-01,19.611,2.5989999999999998,Baranagar,India,23.31N,88.25E
1827-02-01,22.19,1.669,Baranagar,India,23.31N,88.25E
1827-03-01,27.200000000000006,2.1790000000000003,Baranagar,India,23.31N,88.25E
1827-04-01,30.517,2.9419999999999997,Baranagar,India,23.31N,88.25E
1827-05-01,30.663,2.36,Baranagar,India,23.31N,88.25E
1827-06-01,29.930999999999997,2.063,Baranagar,India,23.31N,88.25E
1827-07-01,29.349,1.347,Baranagar,India,23.31N,88.25E
