03,0.321,Brunswick,Germany,52.24N,10.51E
1816-03-01,4.51,3.012,Brussels,Belgium,50.63N,3.80E
1816-04-01,8.908999999999999,5.221,Brussels,Belgium,50.63N,3.80E
1816-05-01,11.729,2.356,Brussels,Belgium,50.63N,3.80E
1816-06-01,13.963,2.134,Brussels,Belgium,50.63N,3.80E
1816-07-01,15.527,2.861,Brussels,Belgium,50.63N,3.80E
1816-08-01,15.018999999999998,1.204,Brussels,Belgium,50.63N,3.80E
1816-09-01,13.142999999999999,1.435,Brussels,Belgium,50.63N,3.80E
1816-10-01,9.906,7.577000000000001,Brussels,Belgium,50.63N,3.80E
1816-11-01,3.104,8.273,Brussels,Belgium,50.63N,3.80E
1816-12-01,2.437,1.932,Brussels,Belgium,50.63N,3.80E
1817-01-01,4.189,5.751,Brussels,Belgium,50.63N,3.80E
1817-02-01,5.848000000000001,3.323,Brussels,Belgium,50.63N,3.80E
1817-03-01,5.348,3.315,Brussels,Belgium,50.63N,3.80E
1817-04-01,6.397,3.035,Brussels,Belgium,50.63N,3.80E
1817-05-01,11.748,3.017,Brussels,Belgium,50.63N,3.80E
1817-06-01,17.467,1.896,Brussels,Belgium,50.63N,3.80E
1817-07-01,16.428,1.3430000000000002,Brussels,Belgium,50.63N,3.80E
1817-08-01,15.791999999999998,2.577,Brussels,Belgium,50.63N,3.80E
1817-09-01,15.669,3.2439999999999998,Brussels,Belgium,50.63N,3.80E
1817-10-01,6.547999999999999,3.639,Brussels,Belgium,50.63N,3.80E
1817-11-01,7.896,2.523,Brussels,Belgium,50.63N,3.80E
1817-12-01,1.802,2.5780000000000003,Brussels,Belgium,50.63N,3.80E
1818-01-01,3.7760000000000002,4.239,Brussels,Belgium,50.63N,3.80E
1818-02-01,2.5660000000000003,1.921,Brussels,Belgium,50.63N,3.80E
1818-03-01,5.369,2.454,Brussels,Belgium,50.63N,3.80E
1818-04-01,9.816,7.171,Brussels,Belgium,50.63N,3.80E
1818-05-01,13.082,4.213,Brussels,Belgium,50.63N,3.80E
1818-06-01,18.298,5.406000000000001,Brussels,Belgium,50.63N,3.80E
1818-07-01,19.418,4.08,Brussels,Belgium,50.63N,3.80E
1818-08-01,17.308,1.831,Brussels,Belgium,50.63N,3.80E
1818-09-01,14.805,2.8139999999999996,Brussels,Belgium,50.63N,3.80E
1818-10-01,10.263,2.7460000000000004,Brussels,Belgium,50.63N,3.80E
1818-11-01,7.646,6.337000000000001,Brussels,Belgium,50.63N,3.80E
1818-12-01,0.738,2.4019999999999997,Brussels,Belgium,50.63N,3.80E
1819-01-01,3.872,3.167,Brussels,Belgium,50.63N,3.80E
1819-02-01,4.417,4.138,Brussels,Belgium,50.63N,3.80E
1819-03-01,5.727,7.909,Brussels,Belgium,50.63N,3.80E
1819-04-01,10.354,1.67,Brussels,Belgium,50.63N,3.80E
1819-05-01,14.594,2.3930000000000002,Brussels,Belgium,50.63N,3.80E
1819-06-01,16.180999999999994,1.865,Brussels,Belgium,50.63N,3.80E
1819-07-01,19.094,0.78,Brussels,Belgium,50.63N,3.80E
1819-08-01,18.764,1.494,Brussels,Belgium,50.63N,3.80E
1819-09-01,15.269,1.239,Brussels,Belgium,50.63N,3.80E
1819-10-01,9.607000000000001,1.8430000000000002,Brussels,Belgium,50.63N,3.80E
1819-11-01,3.767,2.295,Brussels,Belgium,50.63N,3.80E
1819-12-01,1.7299999999999998,2.824,Brussels,Belgium,50.63N,3.80E
1820-01-01,-1.7009999999999998,8.452,Brussels,Belgium,50.63N,3.80E
1820-02-01,2.5460000000000003,3.6430000000000002,Brussels,Belgium,50.63N,3.80E
1820-03-01,3.984,3.009,Brussels,Belgium,50.63N,3.80E
1820-04-01,10.677,1.3880000000000001,Brussels,Belgium,50.63N,3.80E
1820-05-01,13.948,2.182,Brussels,Belgium,50.63N,3.80E
1820-06-01,15.114,1.0270000000000001,Brussels,Belgium,50.63N,3.80E
1820-07-01,17.563000000000002,3.75,Brussels,Belgium,50.63N,3.80E
1820-08-01,17.945999999999994,2.867,Brussels,Belgium,50.63N,3.80E
1820-09-01,13.469,1.94,Brussels,Belgium,50.63N,3.80E
1820-10-01,8.640999999999998,1.073,Brussels,Belgium,50.63N,3.80E
1820-11-01,3.5609999999999995,0.884,Brussels,Belgium,50.63N,3.80E
1820-12-01,2.0889999999999995,2.094,Brussels,Belgium,50.63N,3.80E
1821-01-01,2.609,4.256,Brussels,Belgium,50.63N,3.80E
1821-02-01,0.8800000000000003,5.682,Brussels,Belgium,50.63N,3.80E
1821-03-01,6.372999999999999,1.96,Brussels,Belgium,50.63N,3.80E
1821-04-01,11.347999999999999,2.365,Brussels,Belgium,50.63N,3.80E
1821-05-01,11.42,1.3969999999999998,Brussels,Belgium,50.63N,3.80E
1821-06-01,14.026,3.2319999999999998,Brussels,Belgium,50.63N,3.80E
1821-07-01,15.956,2.303,Brussels,Belgium,50.63N,3.80E
1821-08-01,17.918999999999997,1.473,Brussels,Belgium,50.63N,3.80E
1821-09-01,15.668,1.63,Brussels,Belgium,50.63N,3.80E
1821-10-01,9.77,0.6990000000000001,Brussels,Belgium,50.63N,3.80E
1821-11-01,8.236,2.792,Brussels,Belgium,50.63N,3.80E
1821-12-01,6.2780000000000005,2.465,Brussels,Belgium,50.63N,3.80E
1822-01-01,3.6839999999999997,2.45,Brussels,Belgium,50.63N,3.80E
1822-02-01,5.6560000000000015,1.899,Brussels,Belgium,50.63N,3.80E
1822-03-01,8.802,1.374,Brussels,Belgium,50.63N,3.80E
1822-04-01,10.166,1.2919999999999998,Brussels,Belgium,50.63N,3.80E
1822-05-01,15.716,2.213,Brussels,Belgium,50.63N,3.80E
1822-06-01,19.409000000000002,1.746,Brussels,Belgium,50.63N,3.80E
1822-07-01,17.866,0.904,Brussels,Belgium,50.63N,3.80E
1822-08-01,17.22,2.883,Brussels,Belgium,50.63N,3.80E
1822-09-01,13.692,1.8359999999999999,Brussels,Belgium,50.63N,3.80E
1822-10-01,11.579999999999998,1.3159999999999998,Brussels,Belgium,50.63N,3.80E
1822-11-01,8.244,1.827,Brussels,Belgium,50.63N,3.80E
1822-12-01,-1.1079999999999999,3.971,Brussels,Belgium,50.63N,3.80E
1823-01-01,-2.506,1.585,Brussels,Belgium,50.63N,3.80E
1823-02-01,3.989,2.577,Brussels,Belgium,50.63N,3.80E
1823-03-01,5.976,2.149,Brussels,Belgium,50.63N,3.80E
1823-04-01,7.864000000000001,3.247,Brussels,Belgium,50.63N,3.80E
1823-05-01,14.421,1.943,Brussels,Belgium,50.63N,3.80E
1823-06-01,14.368,2.675,Brussels,Belgium,50.63N,3.80E
1823-07-01,16.496000000000002,1.359,Brussels,Belgium,50.63N,3.80E
1823-08-01,17.845,1.925,Brussels,Belgium,50.63N,3.80E
1823-09-01,14.522,1.709,Brussels,Belgium,50.63N,3.80E
1823-10-01,9.171,1.893,Brussels,Belgium,50.63N,3.80E
1823-11-01,5.345,4.311,Brussels,Belgium,50.63N,3.80E
1823-12-01,4.6530000000000005,1.155,Brussels,Belgium,50.63N,3.80E
1824-01-01,2.335,1.1320000000000001,Brussels,Belgium,50.63N,3.80E
1824-02-01,4.096,2.968,Brussels,Belgium,50.63N,3.80E
1824-03-01,4.7410000000000005,1.649,Brussels,Belgium,50.63N,3.80E
1824-04-01,7.754,2.63,Brussels,Belgium,50.63N,3.80E
1824-05-01,11.905,1.771,Brussels,Belgium,50.63N,3.80E
1824-06-01,15.684000000000001,3.4589999999999996,Brussels,Belgium,50.63N,3.80E
1824-07-01,17.685000000000006,5.03,Brussels,Belgium,50.63N,3.80E
1824-08-01,17.267,2.872,Brussels,Belgium,50.63N,3.80E
1824-09-01,15.709,2.3819999999999997,Brussels,Belgium,50.63N,3.80E
1824-10-01,10.032,1.442,Brussels,Belgium,50.63N,3.80E
1824-11-01,7.774999999999999,2.035,Brussels,Belgium,50.63N,3.80E
1824-12-01,5.632999999999999,4.2139999999999995,Brussels,Belgium,50.63N,3.80E
1825-01-01,3.333,2.44,Brussels,Belgium,50.63N,3.80E
1825-02-01,3.5,2.084,Brussels,Belgium,50.63N,3.80E
1825-03-01,4.1530000000000005,3.013,Brussels,Belgium,50.63N,3.80E
1825-04-01,10.039,3.2239999999999998,Brussels,Belgium,50.63N,3.80E
1825-05-01,13.415999999999999,0.674,Brussels,Belgium,50.63N,3.80E
1825-06-01,16.275,0.563,Brussels,Belgium,50.63N,3.80E
1825-07-01,18.756,3.074,Brussels,Belgium,50.63N,3.80E
1825-08-01,17.587,2.9019999999999997,Brussels,Belgium,50.63N,3.80E
1825-09-01,16.323,2.235,Brussels,Belgium,50.63N,3.80E
1825-10-01,10.964,2.1430000000000002,Brussels,Belgium,50.63N,3.80E
1825-11-01,6.523,2.549,Brussels,Belgium,50.63N,3.80E
1825-12-01,5.072,0.8420000000000001,Brussels,Belgium,50.63N,3.80E
1826-01-01,-2.1430000000000002,1.9969999999999999,Brussels,Belgium,50.63N,3.80E
1826-02-01,4.941000000000002,1.9069999999999998,Brussels,Belgium,50.63N,3.80E
1826-03-01,6.297000000000001,1.9480000000000002,Brussels,Belgium,50.63N,3.80E
1826-04-01,9.16,3.867,Brussels,Belgium,50.63N,3.80E
1826-05-01,12.515999999999998,2.773,Brussels,Belgium,50.63N,3.80E
1826-06-01,17.506999999999998,2.5789999999999997,Brussels,Belgium,50.63N,3.80E
1826-07-01,19.683,1.5190000000000001,Brussels,Belgium,50.63N,3.80E
1826-08-01,19.651,1.453,Brussels,Belgium,50.63N,3.80E
1826-09-01,15.481,3.2119999999999997,Brussels,Belgium,50.63N,3.80E
1826-10-01,11.499,3.7489999999999997,Brussels,Belgium,50.63N,3.80E
1826-11-01,5.273,1.2590000000000001,Brussels,Belgium,50.63N,3.80E
1826-12-01,4.598,2.199,Brussels,Belgium,50.63N,3.80E
1827-01-01,-0.5819999999999999,4.272,Brussels,Belgium,50.63N,3.80E
1827-02-01,-1.787,1.307,Brussels,Belgium,50.63N,3.80E
1827-03-01,6.3260000000000005,2.353,Brussels,Belgium,50.63N,3.80E
1827-04-01,10.187,4.522,Brussels,Belgium,50.63N,3.80E
1827-05-01,13.838,3.3689999999999998,Brussels,Belgium,50.63N,3.80E
1827-06-01,16.098,2.155,Brussels,Belgium,50.63N,3.80E
1827-07-01,18.386,1.719,Brussels,Belgium,50.63N,3.80E
1827-08-01,16.819000000000003,2.256,Brussels,Belgium,50.63N,3.80E
1827-09-01,14.843,0.937,Brussels,Belgium,50.63N,3.80E
1827-10-01,11.053999999999998,1.056,Brussels,Belgium,50.63N,3.80E
1827-11-01,4.329,0.9329999999999999,Brussels,Belgium,50.63N,3.80E
1827-12-01,6.093,4.0760000000000005,Brussels,Belgium,50.63N,3.80E
1828-01-01,3.572,2.9339999999999997,Brussels,Belgium,50.63N,3.80E
1828-02-01,3.4970000000000003,2.576,Brussels,Belgium,50.63N,3.80E
1828-03-01,6.402,2.6919999999999997,Brussels,Belgium,50.63N,3.80E
1828-04-01,9.773,2.591,Brussels,Belgium,50.63N,3.80E
1828-05-01,14.145,3.322,Brussels,Belgium,50.63N,3.80E
1828-06-01,17.153,2.9619999999999997,Brussels,Belgium,50.63N,3.80E
1828-07-01,18.195,1.973,Brussels,Belgium,50.63N,3.80E
1828-08-01,16.215,2.8089999999999997,Brussels,Belgium,50.63N,3.80E
1828-09-01,15.02,1.095,Brussels,Belgium,50.63N,3.80E
1828-10-01,10.035,1.74,Brussels,Belgium,50.63N,3.80E
1828-11-01,6.029,1.9069999999999998,Brussels,Belgium,50.63N,3.80E
1828-12-01,5.236000000000001,3.028,Brussels,Belgium,50.63N,3.80E
1829-01-01,-2.552,1.73,Brussels,Belgium,50.63N,3.80E
1829-02-01,1.2340000000000002,3.665,Brussels,Belgium,50.63N,3.80E
1829-03-01,4.45,2.039,Brussels,Belgium,50.63N,3.80E
1829-04-01,8.658999999999999,1.891,Brussels,Belgium,50.63N,3.80E
1829-05-01,14.020999999999999,4.212,Brussels,Belgium,50.63N,3.80E
1829-06-01,16.441,2.8819999999999997,Brussels,Belgium,50.63N,3.80E
1829-07-01,17.298000000000002,2.048,Brussels,Belgium,50.63N,3.80E
1829-08-01,15.745,2.1830000000000003,Brussels,Belgium,50.63N,3.80E
1829-09-01,12.948,2.396,Brussels,Belgium,50.63N,3.80E
1829-10-01,8.825999999999997,2.406,Brussels,Belgium,50.63N,3.80E
1829-11-01,3.427,3.403,Brussels,Belgium,50.63N,3.80E
1829-12-01,-3.4650000000000003,5.26,Brussels,Belgium,50.63N,3.80E
1830-01-01,-2.877,3.4019999999999997,Brussels,Belgium,50.63N,3.80E
1830-02-01,-0.5049999999999999,1.655,Brussels,Belgium,50.63N,3.80E
1830-03-01,7.507999999999999,1.119,Brussels,Belgium,50.63N,3.80E
1830-04-01,10.729,1.82,Brussels,Belgium,50.63N,3.80E
1830-05-01,14.084000000000001,1.4609999999999999,Brussels,Belgium,50.63N,3.80E
1830-06-01,15.2,3.8110000000000004,Brussels,Belgium,50.63N,3.80E
1830-07-01,18.282,2.434,Brussels,Belgium,50.63N,3.80E
1830-08-01,16.317999999999998,3.133,Brussels,Belgium,50.63N,3.80E
1830-09-01,12.925999999999998,3.472,Brussels,Belgium,50.63N,3.80E
1830-10-01,9.57,3.734,Brussels,Belgium,50.63N,3.80E
1830-11-01,6.625,2.186,Brussels,Belgium,50.63N,3.80E
1830-12-01,1.2029999999999998,2.359,Brussels,Belgium,50.63N,3.80E
1831-01-01,0.4470000000000001,3.208,Brussels,Belgium,50.63N,3.80E
1831-02-01,4.412,5.962999999999999,Brussels,Belgium,50.63N,3.80E
1831-03-01,7.195,4.506,Brussels,Belgium,50.63N,3.80E
1831-04-01,10.917,1.401,Brussels,Belgium,50.63N,3.80E
1831-05-01,13.414,3.7260000000000004,Brussels,Belgium,50.63N,3.80E
1831-06-01,16.128,2.6,Brussels,Belgium,50.63N,3.80E
1831-07-01,18.07,1.734,Brussels,Belgium,50.63N,3.80E
1831-08-01,17.706,1.9769999999999999,Brussels,Belgium,50.63N,3.80E
1831-09-01,13.907,1.9969999999999999,Brussels,Belgium,50.63N,3.80E
1831-10-01,13.276,1.661,Brussels,Belgium,50.63N,3.80E
1831-11-01,5.606999999999998,5.992999999999999,Brussels,Belgium,50.63N,3.80E
1831-12-01,4.68,4.371,Brussels,Belgium,50.63N,3.80E
1832-01-01,0.7090000000000001,2.366,Brussels,Belgium,50.63N,3.80E
1832-02-01,2.1580000000000004,2.517,Brussels,Belgium,50.63N,3.80E
1832-03-01,4.828,2.153,Brussels,Belgium,50.63N,3.80E
1832-04-01,9.514,3.697,Brussels,Belgium,50.63N,3.80E
1832-05-01,11.946000000000002,2.54,Brussels,Belgium,50.63N,3.80E
1832-06-01,15.627,2.199,Brussels,Belgium,50.63N,3.80E
1832-07-01,16.814,3.063,Brussels,Belgium,50.63N,3.80E
1832-08-01,17.482999999999997,2.234,Brussels,Belgium,50.63N,3.80E
1832-09-01,13.812999999999999,3.056,Brussels,Belgium,50.63N,3.80E
1832-10-01,9.975,2.2319999999999998,Brussels,Belgium,50.63N,3.80E
1832-11-01,4.984,0.934,Brussels,Belgium,50.63N,3.80E
1832-12-01,3.281,5.239,Brussels,Belgium,50.63N,3.80E
1833-01-01,-1.919,3.583,Brussels,Belgium,50.63N,3.80E
1833-02-01,5.747999999999999,2.045,Brussels,Belgium,50.63N,3.80E
1833-03-01,3.455,2.984,Brussels,Belgium,50.63N,3.80E
1833-04-01,8.422,2.281,Brussels,Belgium,50.63N,3.80E
1833-05-01,16.473,1.584,Brussels,Belgium,50.63N,3.80E
1833-06-01,17.166999999999998,2.31,Brussels,Belgium,50.63N,3.80E
1833-07-01,16.968,1.7990000000000002,Brussels,Belgium,50.63N,3.80E
1833-08-01,15.143,1.876,Brussels,Belgium,50.63N,3.80E
1833-09-01,13.293,1.1640000000000001,Brussels,Belgium,50.63N,3.80E
1833-10-01,10.124,1.594,Brussels,Belgium,50.63N,3.80E
1833-11-01,5.478,1.486,Brussels,Belgium,50.63N,3.80E
1833-12-01,6.221,3.025,Brussels,Belgium,50.63N,3.80E
1834-01-01,6.417999999999999,2.7039999999999997,Brussels,Belgium,50.63N,3.80E
1834-02-01,3.3689999999999998,3.197,Brussels,Belgium,50.63N,3.80E
1834-03-01,6.393,2.379,Brussels,Belgium,50.63N,3.80E
1834-04-01,8.195,2.988,Brussels,Belgium,50.63N,3.80E
1834-05-01,15.491,1.473,Brussels,Belgium,50.63N,3.80E
1834-06-01,17.352999999999998,3.015,Brussels,Belgium,50.63N,3.80E
1834-07-01,20.307,2.0140000000000002,Brussels,Belgium,50.63N,3.80E
1834-08-01,19.318,1.8969999999999998,Brussels,Belgium,50.63N,3.80E
1834-09-01,16.573,3.3339999999999996,Brussels,Belgium,50.63N,3.80E
1834-10-01,11.041,1.675,Brussels,Belgium,50.63N,3.80E
1834-11-01,5.996,2.6260000000000003,Brussels,Belgium,50.63N,3.80E
1834-12-01,3.929,1.7590000000000001,Brussels,Belgium,50.63N,3.80E
1835-01-01,2.6489999999999996,2.315,Brussels,Belgium,50.63N,3.80E
1835-02-01,5.08,2.123,Brussels,Belgium,50.63N,3.80E
1835-03-01,5.32,2.028,Brussels,Belgium,50.63N,3.80E
1835-04-01,8.556000000000001,2.6010000000000004,Brussels,Belgium,50.63N,3.80E
1835-05-01,12.495999999999999,1.3319999999999999,Brussels,Belgium,50.63N,3.80E
1835-06-01,16.695,2.129,Brussels,Belgium,50.63N,3.80E
1835-07-01,19.012999999999998,1.9609999999999999,Brussels,Belgium,50.63N,3.80E
1835-08-01,18.162,1.087,Brussels,Belgium,50.63N,3.80E
1835-09-01,15.159,1.692,Brussels,Belgium,50.63N,3.80E
1835-10-01,9.228,1.304,Brussels,Belgium,50.63N,3.80E
1835-11-01,4.285,1.671,Brussels,Belgium,50.63N,3.80E
1835-12-01,0.8769999999999998,1.94,Brussels,Belgium,50.63N,3.80E
1836-01-01,1.7280000000000002,1.371,Brussels,Belgium,50.63N,3.80E
1836-02-01,2.603,2.359,Brussels,Belgium,50.63N,3.80E
1836-03-01,8.25,0.929,Brussels,Belgium,50.63N,3.80E
1836-04-01,8.024000000000001,1.014,Brussels,Belgium,50.63N,3.80E
1836-05-01,11.578,1.75,Brussels,Belgium,50.63N,3.80E
1836-06-01,17.102999999999998,1.341,Brussels,Belgium,50.63N,3.80E
1836-07-01,17.927,1.825,Brussels,Belgium,50.63N,3.80E
1836-08-01,17.229,1.834,Brussels,Belgium,50.63N,3.80E
1836-09-01,13.424,2.7510000000000003,Brussels,Belgium,50.63N,3.80E
1836-10-01,10.639000000000001,5.58,Brussels,Belgium,50.63N,3.80E
1836-11-01,5.976,2.051,Brussels,Belgium,50.63N,3.80E
1836-12-01,3.655,2.9960000000000004,Brussels,Belgium,50.63N,3.80E
1837-01-01,1.76,3.052,Brussels,Belgium,50.63N,3.80E
1837-02-01,3.909,1.8559999999999999,Brussels,Belgium,50.63N,3.80E
1837-03-01,2.396,2.157,Brussels,Belgium,50.63N,3.80E
1837-04-01,5.562,1.507,Brussels,Belgium,50.63N,3.80E
1837-05-01,10.873,1.679,Brussels,Belgium,50.63N,3.80E
1837-06-01,16.865,2.024,Brussels,Belgium,50.63N,3.80E
1837-07-01,17.414,1.364,Brussels,Belgium,50.63N,3.80E
1837-08-01,18.786,1.439,Brussels,Belgium,50.63N,3.80E
1837-09-01,13.669,1.189,Brussels,Belgium,50.63N,3.80E
1837-10-01,10.861,2.841,Brussels,Belgium,50.63N,3.80E
1837-11-01,5.17,2.4090000000000003,Brussels,Belgium,50.63N,3.80E
1837-12-01,3.599,4.448,Brussels,Belgium,50.63N,3.80E
1838-01-01,-5.4110000000000005,2.943,Brussels,Belgium,50.63N,3.80E
1838-02-01,-0.125,1.2930000000000001,Brussels,Belgium,50.63N,3.80E
1838-03-01,5.571000000000001,1.6130000000000002,Brussels,Belgium,50.63N,3.80E
1838-04-01,6.662000000000001,1.633,Brussels,Belgium,50.63N,3.80E
1838-05-01,13.197,0.835,Brussels,Belgium,50.63N,3.80E
1838-06-01,15.803999999999998,1.6780000000000002,Brussels,Belgium,50.63N,3.80E
1838-07-01,17.59,4.061,Brussels,Belgium,50.63N,3.80E
1838-08-01,16.404999999999998,3.804,Brussels,Belgium,50.63N,3.80E
1838-09-01,14.806,1.54,Brussels,Belgium,50.63N,3.80E
1838-10-01,10.388,4.06,Brussels,Belgium,50.63N,3.80E
1838-11-01,5.432,2.825,Brussels,Belgium,50.63N,3.80E
1838-12-01,2.009,2.592,Brussels,Belgium,50.63N,3.80E
1839-01-01,1.675,1.8319999999999999,Brussels,Belgium,50.63N,3.80E
1839-02-01,3.285,1.931,Brussels,Belgium,50.63N,3.80E
1839-03-01,4.41,1.0290000000000001,Brussels,Belgium,50.63N,3.80E
1839-04-01,6.385,2.019,Brussels,Belgium,50.63N,3.80E
1839-05-01,12.395999999999999,0.44,Brussels,Belgium,50.63N,3.80E
1839-06-01,17.657,1.214,Brussels,Belgium,50.63N,3.80E
1839-07-01,17.973,3.4810000000000003,Brussels,Belgium,50.63N,3.80E
1839-08-01,16.253,2.6439999999999997,Brussels,Belgium,50.63N,3.80E
1839-09-01,14.885000000000002,1.413,Brussels,Belgium,50.63N,3.80E
1839-10-01,10.463,1.726,Brussels,Belgium,50.63N,3.80E
1839-11-01,7.167000000000001,2.115,Brussels,Belgium,50.63N,3.80E
1839-12-01,4.332,1.744,Brussels,Belgium,50.63N,3.80E
1840-01-01,2.415,2.363,Brussels,Belgium,50.63N,3.80E
1840-02-01,2.5570000000000004,2.233,Brussels,Belgium,50.63N,3.80E
1840-03-01,2.838,0.843,Brussels,Belgium,50.63N,3.80E
1840-04-01,10.696,2.7560000000000002,Brussels,Belgium,50.63N,3.80E
1840-05-01,13.414,1.568,Brussels,Belgium,50.63N,3.80E
1840-06-01,16.294999999999998,1.435,Brussels,Belgium,50.63N,3.80E
1840-07-01,15.972,1.359,Brussels,Belgium,50.63N,3.80E
1840-08-01,17.796,1.34,Brussels,Belgium,50.63N,3.80E
1840-09-01,13.9,1.381,Brussels,Belgium,50.63N,3.80E
1840-10-01,8.308,2.182,Brussels,Belgium,50.63N,3.80E
1840-11-01,6.7620000000000005,3.2089999999999996,Brussels,Belgium,50.63N,3.80E
1840-12-01,-2.5420000000000003,2.168,Brussels,Belgium,50.63N,3.80E
1841-01-01,0.377,2.509,Brussels,Belgium,50.63N,3.80E
1841-02-01,0.5820000000000003,1.319,Brussels,Belgium,50.63N,3.80E
1841-03-01,8.084,4.243,Brussels,Belgium,50.63N,3.80E
1841-04-01,9.54,2.314,Brussels,Belgium,50.63N,3.80E
1841-05-01,16.327,1.07,Brussels,Belgium,50.63N,3.80E
1841-06-01,14.607000000000001,1.053,Brussels,Belgium,50.63N,3.80E
1841-07-01,15.18,1.291,Brussels,Belgium,50.63N,3.80E
1841-08-01,17.029999999999998,1.526,Brussels,Belgium,50.63N,3.80E
1841-09-01,16.512,0.929,Brussels,Belgium,50.63N,3.80E
1841-10-01,10.212,1.127,Brussels,Belgium,50.63N,3.80E
1841-11-01,5.845,0.693,Brussels,Belgium,50.63N,3.80E
1841-12-01,4.217,2.276,Brussels,Belgium,50.63N,3.80E
1842-01-01,-1.861,1.9669999999999999,Brussels,Belgium,50.63N,3.80E
1842-02-01,3.3169999999999997,2.0380000000000003,Brussels,Belgium,50.63N,3.80E
1842-03-01,6.635,2.331,Brussels,Belgium,50.63N,3.80E
1842-04-01,8.186,2.0069999999999997,Brussels,Belgium,50.63N,3.80E
1842-05-01,13.931,1.209,Brussels,Belgium,50.63N,3.80E
1842-06-01,17.491999999999994,1.262,Brussels,Belgium,50.63N,3.80E
1842-07-01,16.964000000000002,1.1059999999999999,Brussels,Belgium,50.63N,3.80E
1842-08-01,20.694000000000003,1.344,Brussels,Belgium,50.63N,3.80E
1842-09-01,14.409,1.258,Brussels,Belgium,50.63N,3.80E
1842-10-01,7.514999999999999,1.238,Brussels,Belgium,50.63N,3.80E
1842-11-01,3.815,1.83,Brussels,Belgium,50.63N,3.80E
1842-12-01,3.73,1.5,Brussels,Belgium,50.63N,3.80E
1843-01-01,2.678,1.651,Brussels,Belgium,50.63N,3.80E
1843-02-01,2.455,1.814,Brussels,Belgium,50.63N,3.80E
1843-03-01,6.053999999999999,1.5030000000000001,Brussels,Belgium,50.63N,3.80E
1843-04-01,9.226,1.1540000000000001,Brussels,Belgium,50.63N,3.80E
1843-05-01,12.54,0.943,Brussels,Belgium,50.63N,3.80E
1843-06-01,14.453,1.47,Brussels,Belgium,50.63N,3.80E
1843-07-01,16.725,1.038,Brussels,Belgium,50.63N,3.80E
1843-08-01,18.193,1.8869999999999998,Brussels,Belgium,50.63N,3.80E
1843-09-01,15.519,0.336,Brussels,Belgium,50.63N,3.80E
1843-10-01,9.795,1.614,Brussels,Belgium,50.63N,3.80E
1843-11-01,6.244999999999999,0.316,Brussels,Belgium,50.63N,3.80E
1843-12-01,4.363,2.991,Brussels,Belgium,50.63N,3.80E
1844-01-01,1.608,0.93,Brussels,Belgium,50.63N,3.80E
1844-02-01,1.2960000000000005,1.214,Brussels,Belgium,50.63N,3.80E
1844-03-01,5.102,2.274,Brussels,Belgium,50.63N,3.80E
1844-04-01,11.282,1.107,Brussels,Belgium,50.63N,3.80E
1844-05-01,12.407,1.1159999999999999,Brussels,Belgium,50.63N,3.80E
1844-06-01,16.479,0.805,Brussels,Belgium,50.63N,3.80E
1844-07-01,16.282,1.038,Brussels,Belgium,50.63N,3.80E
1844-08-01,14.925,2.9560000000000004,Brussels,Belgium,50.63N,3.80E
1844-09-01,14.863,0.823,Brussels,Belgium,50.63N,3.80E
1844-10-01,9.728,0.763,Brussels,Belgium,50.63N,3.80E
1844-11-01,6.18,0.7190000000000001,Brussels,Belgium,50.63N,3.80E
1844-12-01,-1.7239999999999998,1.229,Brussels,Belgium,50.63N,3.80E
1845-01-01,1.83,1.815,Brussels,Belgium,50.63N,3.80E
1845-02-01,-2.372,3.114,Brussels,Belgium,50.63N,3.80E
1845-03-01,-0.18100000000000005,0.768,Brussels,Belgium,50.63N,3.80E
1845-04-01,9.622,1.3090000000000002,Brussels,Belgium,50.63N,3.80E
1845-05-01,10.706,1.54,Brussels,Belgium,50.63N,3.80E
1845-06-01,17.213,1.44,Brussels,Belgium,50.63N,3.80E
1845-07-01,17.225,1.09,Brussels,Belgium,50.63N,3.80E
1845-08-01,15.130999999999998,0.993,Brussels,Belgium,50.63N,3.80E
1845-09-01,13.407,1.419,Brussels,Belgium,50.63N,3.80E
1845-10-01,10.164,1.176,Brussels,Belgium,50.63N,3.80E
1845-11-01,7.178,1.199,Brussels,Belgium,50.63N,3.80E
1845-12-01,4.458,2.26,Brussels,Belgium,50.63N,3.80E
1846-01-01,4.662,2.053,Brussels,Belgium,50.63N,3.80E
1846-02-01,6.17,1.58,Brussels,Belgium,50.63N,3.80E
1846-03-01,7.039,1.589,Brussels,Belgium,50.63N,3.80E
1846-04-01,9.468,1.4769999999999999,Brussels,Belgium,50.63N,3.80E
1846-05-01,13.507,1.83,Brussels,Belgium,50.63N,3.80E
1846-06-01,19.707,1.835,Brussels,Belgium,50.63N,3.80E
1846-07-01,19.59,2.3040000000000003,Brussels,Belgium,50.63N,3.80E
1846-08-01,19.819000000000003,1.681,Brussels,Belgium,50.63N,3.80E
1846-09-01,16.77,1.9409999999999998,Brussels,Belgium,50.63N,3.80E
1846-10-01,10.864999999999998,0.919,Brussels,Belgium,50.63N,3.80E
1846-11-01,5.0779999999999985,1.9080000000000001,Brussels,Belgium,50.63N,3.80E
1846-12-01,-1.9020000000000008,0.757,Brussels,Belgium,50.63N,3.80E
1847-01-01,0.016999999999999904,6.025,Brussels,Belgium,50.63N,3.80E
