03,0.321,Brunswick,Germany,52.24N,10.51E
1937-02-01,2.314,0.436,Brunswick,Germany,52.24N,10.51E
1937-03-01,2.89,0.332,Brunswick,Germany,52.24N,10.51E
1937-04-01,8.474,0.213,Brunswick,Germany,52.24N,10.51E
1937-05-01,15.22,0.273,Brunswick,Germany,52.24N,10.51E
1937-06-01,16.645,0.345,Brunswick,Germany,52.24N,10.51E
1937-07-01,17.371,0.168,Brunswick,Germany,52.24N,10.51E
1937-08-01,17.826999999999995,0.21600000000000003,Brunswick,Germany,52.24N,10.51E
1937-09-01,14.243,0.215,Brunswick,Germany,52.24N,10.51E
1937-10-01,10.249,0.26,Brunswick,Germany,52.24N,10.51E
1937-11-01,3.718,0.314,Brunswick,Germany,52.24N,10.51E
1937-12-01,-0.0950000000000002,0.332,Brunswick,Germany,52.24N,10.51E
1938-01-01,2.111,0.426,Brunswick,Germany,52.24N,10.51E
1938-02-01,1.702,0.17300000000000001,Brunswick,Germany,52.24N,10.51E
1938-03-01,7.846,0.298,Brunswick,Germany,52.24N,10.51E
1938-04-01,5.726,0.5589999999999999,Brunswick,Germany,52.24N,10.51E
1938-05-01,11.5,0.45899999999999996,Brunswick,Germany,52.24N,10.51E
1938-06-01,16.201,0.298,Brunswick,Germany,52.24N,10.51E
1938-07-01,17.293,0.327,Brunswick,Germany,52.24N,10.51E
1938-08-01,19.186,0.39399999999999996,Brunswick,Germany,52.24N,10.51E
1938-09-01,15.039000000000001,0.243,Brunswick,Germany,52.24N,10.51E
1938-10-01,9.096,0.39299999999999996,Brunswick,Germany,52.24N,10.51E
1938-11-01,7.8130000000000015,0.39399999999999996,Brunswick,Germany,52.24N,10.51E
1938-12-01,-1.415,0.387,Brunswick,Germany,52.24N,10.51E
1939-01-01,2.983,0.444,Brunswick,Germany,52.24N,10.51E
1939-02-01,2.6510000000000002,0.215,Brunswick,Germany,52.24N,10.51E
1939-03-01,2.569,0.34600000000000003,Brunswick,Germany,52.24N,10.51E
1939-04-01,8.76,0.152,Brunswick,Germany,52.24N,10.51E
1939-05-01,11.029000000000002,0.43,Brunswick,Germany,52.24N,10.51E
1939-06-01,17.019000000000002,0.308,Brunswick,Germany,52.24N,10.51E
1939-07-01,17.901,0.44799999999999995,Brunswick,Germany,52.24N,10.51E
1939-08-01,18.625,0.47,Brunswick,Germany,52.24N,10.51E
1939-09-01,14.363,0.19,Brunswick,Germany,52.24N,10.51E
1939-10-01,6.266000000000001,0.24600000000000002,Brunswick,Germany,52.24N,10.51E
1939-11-01,5.69,0.217,Brunswick,Germany,52.24N,10.51E
1939-12-01,-1.0540000000000005,0.33799999999999997,Brunswick,Germany,52.24N,10.51E
1940-01-01,-9.392000000000001,0.596,Brunswick,Germany,52.24N,10.51E
1940-02-01,-5.5779999999999985,0.534,Brunswick,Germany,52.24N,10.51E
1940-03-01,2.957,0.314,Brunswick,Germany,52.24N,10.51E
1940-04-01,8.044,0.33799999999999997,Brunswick,Germany,52.24N,10.51E
1940-05-01,12.496,0.231,Brunswick,Germany,52.24N,10.51E
1940-06-01,16.937,0.278,Brunswick,Germany,52.24N,10.51E
1940-07-01,16.432000000000002,0.297,Brunswick,Germany,52.24N,10.51E
1940-08-01,14.875,0.397,Brunswick,Germany,52.24N,10.51E
1940-09-01,12.493,0.342,Brunswick,Germany,52.24N,10.51E
1940-10-01,7.455000000000001,0.318,Brunswick,Germany,52.24N,10.51E
1940-11-01,5.8900000000000015,0.32,Brunswick,Germany,52.24N,10.51E
1940-12-01,-1.983,0.122,Brunswick,Germany,52.24N,10.51E
1941-01-01,-5.6339999999999995,0.361,Brunswick,Germany,52.24N,10.51E
