9999999999998,0.318,Ulyanovsk,Russia,53.84N,47.73E
2010-11-01,1.885,0.183,Ulyanovsk,Russia,53.84N,47.73E
2010-12-01,-7.084,0.14300000000000002,Ulyanovsk,Russia,53.84N,47.73E
2011-01-01,-12.708,0.344,Ulyanovsk,Russia,53.84N,47.73E
2011-02-01,-17.4,0.307,Ulyanovsk,Russia,53.84N,47.73E
2011-03-01,-6.6179999999999986,0.17600000000000002,Ulyanovsk,Russia,53.84N,47.73E
2011-04-01,4.319000000000001,0.252,Ulyanovsk,Russia,53.84N,47.73E
2011-05-01,14.49,0.18100000000000002,Ulyanovsk,Russia,53.84N,47.73E
2011-06-01,17.371000000000002,0.179,Ulyanovsk,Russia,53.84N,47.73E
2011-07-01,23.271,0.162,Ulyanovsk,Russia,53.84N,47.73E
2011-08-01,18.602,0.207,Ulyanovsk,Russia,53.84N,47.73E
2011-09-01,12.169,0.14400000000000002,Ulyanovsk,Russia,53.84N,47.73E
2011-10-01,5.662000000000001,0.19,Ulyanovsk,Russia,53.84N,47.73E
2011-11-01,-4.7620000000000005,0.247,Ulyanovsk,Russia,53.84N,47.73E
2011-12-01,-6.823,0.32899999999999996,Ulyanovsk,Russia,53.84N,47.73E
2012-01-01,-11.078,0.325,Ulyanovsk,Russia,53.84N,47.73E
2012-02-01,-15.64,0.254,Ulyanovsk,Russia,53.84N,47.73E
2012-03-01,-6.067,0.188,Ulyanovsk,Russia,53.84N,47.73E
2012-04-01,10.694,0.44799999999999995,Ulyanovsk,Russia,53.84N,47.73E
2012-05-01,16.215,0.287,Ulyanovsk,Russia,53.84N,47.73E
2012-06-01,19.722,0.345,Ulyanovsk,Russia,53.84N,47.73E
2012-07-01,20.886,0.278,Ulyanovsk,Russia,53.84N,47.73E
2012-08-01,19.976000000000006,0.366,Ulyanovsk,Russia,53.84N,47.73E
2012-09-01,12.655,0.26,Ulyanovsk,Russia,53.84N,47.73E
2012-10-01,6.865,0.573,Ulyanovsk,Russia,53.84N,47.73E
2012-11-01,-0.42200000000000015,0.615,Ulyanovsk,Russia,53.84N,47.73E
2012-12-01,-11.499,1.617,Ulyanovsk,Russia,53.84N,47.73E
2013-01-01,-12.081,0.9329999999999999,Ulyanovsk,Russia,53.84N,47.73E
2013-02-01,-8.854,0.526,Ulyanovsk,Russia,53.84N,47.73E
