1,0.515,Jind,India,29.74N,75.69E
1896-06-01,24.405,0.632,Jinhua,China,29.74N,120.00E
1896-07-01,27.131,0.605,Jinhua,China,29.74N,120.00E
1896-08-01,27.408,0.623,Jinhua,China,29.74N,120.00E
1896-09-01,23.268,0.6829999999999999,Jinhua,China,29.74N,120.00E
1896-10-01,17.507,0.7,Jinhua,China,29.74N,120.00E
1896-11-01,12.855,0.889,Jinhua,China,29.74N,120.00E
1896-12-01,5.585,1.013,Jinhua,China,29.74N,120.00E
1897-01-01,4.993,1.104,Jinhua,China,29.74N,120.00E
1897-02-01,2.635,1.26,Jinhua,China,29.74N,120.00E
1897-03-01,9.305,1.805,Jinhua,China,29.74N,120.00E
1897-04-01,13.911,0.863,Jinhua,China,29.74N,120.00E
1897-05-01,20.108,1.315,Jinhua,China,29.74N,120.00E
1897-06-01,24.19,0.624,Jinhua,China,29.74N,120.00E
1897-07-01,27.361,0.506,Jinhua,China,29.74N,120.00E
1897-08-01,27.41,0.966,Jinhua,China,29.74N,120.00E
1897-09-01,23.111,1.115,Jinhua,China,29.74N,120.00E
1897-10-01,17.541,0.6759999999999999,Jinhua,China,29.74N,120.00E
1897-11-01,12.473,0.745,Jinhua,China,29.74N,120.00E
1897-12-01,4.847,0.975,Jinhua,China,29.74N,120.00E
1898-01-01,4.55,1.135,Jinhua,China,29.74N,120.00E
1898-02-01,7.081,0.7959999999999999,Jinhua,China,29.74N,120.00E
1898-03-01,9.344,2.021,Jinhua,China,29.74N,120.00E
1898-04-01,14.085,0.7120000000000001,Jinhua,China,29.74N,120.00E
1898-05-01,20.726999999999997,1.0490000000000002,Jinhua,China,29.74N,120.00E
1898-06-01,24.36,0.532,Jinhua,China,29.74N,120.00E
1898-07-01,28.219,1.92,Jinhua,China,29.74N,120.00E
1898-08-01,27.162,0.772,Jinhua,China,29.74N,120.00E
1898-09-01,23.524,0.384,Jinhua,China,29.74N,120.00E
1898-10-01,17.334,0.84,Jinhua,China,29.74N,120.00E
1898-11-01,12.404000000000002,0.7,Jinhua,China,29.74N,120.00E
1898-12-01,5.631,1.205,Jinhua,China,29.74N,120.00E
1899-01-01,3.466,0.893,Jinhua,China,29.74N,120.00E
1899-02-01,5.571000000000001,0.547,Jinhua,China,29.74N,120.00E
1899-03-01,9.92,0.54,Jinhua,China,29.74N,120.00E
1899-04-01,14.72,0.863,Jinhua,China,29.74N,120.00E
1899-05-01,19.680000000000003,0.883,Jinhua,China,29.74N,120.00E
1899-06-01,24.401,1.172,Jinhua,China,29.74N,120.00E
1899-07-01,27.660999999999998,0.39299999999999996,Jinhua,China,29.74N,120.00E
1899-08-01,26.645,1.05,Jinhua,China,29.74N,120.00E
1899-09-01,22.128,1.6119999999999999,Jinhua,China,29.74N,120.00E
1899-10-01,15.409,0.995,Jinhua,China,29.74N,120.00E
1899-11-01,10.419,0.7170000000000001,Jinhua,China,29.74N,120.00E
1899-12-01,8.451,0.664,Jinhua,China,29.74N,120.00E
1900-01-01,2.281,0.845,Jinhua,China,29.74N,120.00E
1900-02-01,4.353,0.556,Jinhua,China,29.74N,120.00E
1900-03-01,8.982999999999999,0.473,Jinhua,China,29.74N,120.00E
1900-04-01,15.394,1.008,Jinhua,China,29.74N,120.00E
1900-05-01,20.493,1.364,Jinhua,China,29.74N,120.00E
1900-06-01,23.399,0.816,Jinhua,China,29.74N,120.00E
1900-07-01,27.601,0.733,Jinhua,China,29.74N,120.00E
1900-08-01,27.502,0.41,Jinhua,China,29.74N,120.00E
1900-09-01,22.927000000000003,0.825,Jinhua,China,29.74N,120.00E
1900-10-01,17.593,0.593,Jinhua,China,29.74N,120.00E
1900-11-01,11.95,0.47,Jinhua,China,29.74N,120.00E
1900-12-01,6.886,0.547,Jinhua,China,29.74N,120.00E
1901-01-01,5.428,0.46,Jinhua,China,29.74N,120.00E
1901-02-01,1.6920000000000002,0.442,Jinhua,China,29.74N,120.00E
1901-03-01,9.055,0.445,Jinhua,China,29.74N,120.00E
1901-04-01,15.517000000000001,0.667,Jinhua,China,29.74N,120.00E
1901-05-01,19.245,0.436,Jinhua,China,29.74N,120.00E
1901-06-01,23.461,0.85,Jinhua,China,29.74N,120.00E
1901-07-01,26.405,0.847,Jinhua,China,29.74N,120.00E
1901-08-01,26.73,0.516,Jinhua,China,29.74N,120.00E
1901-09-01,22.153,0.797,Jinhua,China,29.74N,120.00E
1901-10-01,17.314,0.71,Jinhua,China,29.74N,120.00E
1901-11-01,11.021999999999998,0.7040000000000001,Jinhua,China,29.74N,120.00E
1901-12-01,5.737,0.705,Jinhua,China,29.74N,120.00E
1902-01-01,5.689,0.845,Jinhua,China,29.74N,120.00E
1902-02-01,4.8069999999999995,0.9079999999999999,Jinhua,China,29.74N,120.00E
1902-03-01,11.47,0.474,Jinhua,China,29.74N,120.00E
1902-04-01,15.158,0.578,Jinhua,China,29.74N,120.00E
1902-05-01,20.461,0.602,Jinhua,China,29.74N,120.00E
1902-06-01,23.696,0.69,Jinhua,China,29.74N,120.00E
1902-07-01,27.198,0.57,Jinhua,China,29.74N,120.00E
1902-08-01,26.47,0.488,Jinhua,China,29.74N,120.00E
1902-09-01,21.880000000000006,0.5489999999999999,Jinhua,China,29.74N,120.00E
1902-10-01,17.371000000000002,0.627,Jinhua,China,29.74N,120.00E
1902-11-01,13.501,0.564,Jinhua,China,29.74N,120.00E
1902-12-01,7.108,0.669,Jinhua,China,29.74N,120.00E
1903-01-01,3.201,0.882,Jinhua,China,29.74N,120.00E
1903-02-01,4.582,0.9209999999999999,Jinhua,China,29.74N,120.00E
1903-03-01,10.53,0.774,Jinhua,China,29.74N,120.00E
1903-04-01,15.119000000000002,1.0659999999999998,Jinhua,China,29.74N,120.00E
1903-05-01,19.445999999999998,0.434,Jinhua,China,29.74N,120.00E
1903-06-01,23.439,1.121,Jinhua,China,29.74N,120.00E
1903-07-01,26.496,1.102,Jinhua,China,29.74N,120.00E
1903-08-01,27.101999999999997,0.907,Jinhua,China,29.74N,120.00E
1903-09-01,23.029,0.409,Jinhua,China,29.74N,120.00E
1903-10-01,17.203,0.6940000000000001,Jinhua,China,29.74N,120.00E
1903-11-01,10.578,0.573,Jinhua,China,29.74N,120.00E
1903-12-01,5.3,0.95,Jinhua,China,29.74N,120.00E
1904-01-01,3.6319999999999997,0.741,Jinhua,China,29.74N,120.00E
1904-02-01,6.99,1.137,Jinhua,China,29.74N,120.00E
1904-03-01,9.196,0.569,Jinhua,China,29.74N,120.00E
1904-04-01,15.075,0.78,Jinhua,China,29.74N,120.00E
1904-05-01,19.352999999999998,0.594,Jinhua,China,29.74N,120.00E
1904-06-01,24.182,0.452,Jinhua,China,29.74N,120.00E
1904-07-01,26.773000000000003,0.436,Jinhua,China,29.74N,120.00E
1904-08-01,26.434,0.9079999999999999,Jinhua,China,29.74N,120.00E
1904-09-01,22.639000000000006,0.7879999999999999,Jinhua,China,29.74N,120.00E
1904-10-01,17.038,0.322,Jinhua,China,29.74N,120.00E
1904-11-01,10.479000000000001,0.6509999999999999,Jinhua,China,29.74N,120.00E
1904-12-01,5.042999999999998,0.948,Jinhua,China,29.74N,120.00E
1905-01-01,6.205,0.628,Jinhua,China,29.74N,120.00E
1905-02-01,2.205,1.599,Jinhua,China,29.74N,120.00E
1905-03-01,7.409,1.084,Jinhua,China,29.74N,120.00E
1905-04-01,12.75,0.742,Jinhua,China,29.74N,120.00E
1905-05-01,19.714,0.516,Jinhua,China,29.74N,120.00E
1905-06-01,24.695,0.502,Jinhua,China,29.74N,120.00E
1905-07-01,27.969,0.833,Jinhua,China,29.74N,120.00E
1905-08-01,26.186,0.47100000000000003,Jinhua,China,29.74N,120.00E
1905-09-01,23.072000000000006,1.0,Jinhua,China,29.74N,120.00E
1905-10-01,16.637999999999998,0.512,Jinhua,China,29.74N,120.00E
1905-11-01,11.072000000000001,0.9570000000000001,Jinhua,China,29.74N,120.00E
1905-12-01,7.317,0.397,Jinhua,China,29.74N,120.00E
1906-01-01,3.715,0.386,Jinhua,China,29.74N,120.00E
1906-02-01,3.998,0.6509999999999999,Jinhua,China,29.74N,120.00E
1906-03-01,8.972000000000001,0.431,Jinhua,China,29.74N,120.00E
1906-04-01,15.009,0.49,Jinhua,China,29.74N,120.00E
1906-05-01,19.823,0.738,Jinhua,China,29.74N,120.00E
1906-06-01,24.483,0.62,Jinhua,China,29.74N,120.00E
1906-07-01,27.385,0.396,Jinhua,China,29.74N,120.00E
1906-08-01,27.098000000000006,0.436,Jinhua,China,29.74N,120.00E
1906-09-01,22.982000000000006,0.321,Jinhua,China,29.74N,120.00E
1906-10-01,16.846,0.32899999999999996,Jinhua,China,29.74N,120.00E
1906-11-01,10.311,0.16399999999999998,Jinhua,China,29.74N,120.00E
1906-12-01,6.278,1.008,Jinhua,China,29.74N,120.00E
1907-01-01,5.229,0.515,Jinhua,China,29.74N,120.00E
1907-02-01,3.214,1.615,Jinhua,China,29.74N,120.00E
1907-03-01,8.306000000000001,1.162,Jinhua,China,29.74N,120.00E
1907-04-01,14.366,0.381,Jinhua,China,29.74N,120.00E
1907-05-01,20.32,0.665,Jinhua,China,29.74N,120.00E
1907-06-01,23.115,0.583,Jinhua,China,29.74N,120.00E
1907-07-01,25.534000000000002,0.75,Jinhua,China,29.74N,120.00E
1907-08-01,27.531,0.517,Jinhua,China,29.74N,120.00E
1907-09-01,22.276999999999997,0.68,Jinhua,China,29.74N,120.00E
1907-10-01,18.211,0.175,Jinhua,China,29.74N,120.00E
1907-11-01,11.832999999999998,0.363,Jinhua,China,29.74N,120.00E
1907-12-01,6.441,0.326,Jinhua,China,29.74N,120.00E
1908-01-01,4.709,0.526,Jinhua,China,29.74N,120.00E
1908-02-01,4.231,0.515,Jinhua,China,29.74N,120.00E
1908-03-01,8.557,0.728,Jinhua,China,29.74N,120.00E
1908-04-01,13.204,0.627,Jinhua,China,29.74N,120.00E
1908-05-01,19.950000000000006,0.561,Jinhua,China,29.74N,120.00E
1908-06-01,23.991,0.41200000000000003,Jinhua,China,29.74N,120.00E
1908-07-01,27.546999999999997,0.728,Jinhua,China,29.74N,120.00E
1908-08-01,27.124,0.552,Jinhua,China,29.74N,120.00E
1908-09-01,22.89,0.34600000000000003,Jinhua,China,29.74N,120.00E
1908-10-01,17.648,0.258,Jinhua,China,29.74N,120.00E
1908-11-01,11.124,0.614,Jinhua,China,29.74N,120.00E
1908-12-01,7.526999999999999,0.6809999999999999,Jinhua,China,29.74N,120.00E
1909-01-01,3.758,0.8420000000000001,Jinhua,China,29.74N,120.00E
1909-02-01,5.2139999999999995,0.307,Jinhua,China,29.74N,120.00E
1909-03-01,8.1,0.904,Jinhua,China,29.74N,120.00E
1909-04-01,15.505999999999998,0.32799999999999996,Jinhua,China,29.74N,120.00E
1909-05-01,19.817,0.546,Jinhua,China,29.74N,120.00E
1909-06-01,23.168000000000003,1.022,Jinhua,China,29.74N,120.00E
1909-07-01,28.068,0.6609999999999999,Jinhua,China,29.74N,120.00E
1909-08-01,27.605999999999998,0.521,Jinhua,China,29.74N,120.00E
1909-09-01,24.364,0.812,Jinhua,China,29.74N,120.00E
1909-10-01,17.772000000000006,0.6,Jinhua,China,29.74N,120.00E
1909-11-01,11.890999999999998,0.691,Jinhua,China,29.74N,120.00E
1909-12-01,5.659,0.29600000000000004,Jinhua,China,29.74N,120.00E
1910-01-01,3.823,0.462,Jinhua,China,29.74N,120.00E
1910-02-01,3.605,1.026,Jinhua,China,29.74N,120.00E
1910-03-01,9.062999999999999,0.434,Jinhua,China,29.74N,120.00E
1910-04-01,13.370999999999999,0.541,Jinhua,China,29.74N,120.00E
1910-05-01,18.909,0.7170000000000001,Jinhua,China,29.74N,120.00E
1910-06-01,24.665,0.415,Jinhua,China,29.74N,120.00E
1910-07-01,28.035999999999998,0.515,Jinhua,China,29.74N,120.00E
1910-08-01,27.198,0.275,Jinhua,China,29.74N,120.00E
1910-09-01,22.566999999999997,0.307,Jinhua,China,29.74N,120.00E
1910-10-01,16.868000000000002,0.252,Jinhua,China,29.74N,120.00E
1910-11-01,11.807,0.569,Jinhua,China,29.74N,120.00E
1910-12-01,4.301,0.718,Jinhua,China,29.74N,120.00E
1911-01-01,3.5269999999999997,0.35,Jinhua,China,29.74N,120.00E
1911-02-01,5.067,0.48200000000000004,Jinhua,China,29.74N,120.00E
1911-03-01,9.49,0.39899999999999997,Jinhua,China,29.74N,120.00E
1911-04-01,15.148,1.318,Jinhua,China,29.74N,120.00E
1911-05-01,18.833,0.7020000000000001,Jinhua,China,29.74N,120.00E
1911-06-01,23.357,1.213,Jinhua,China,29.74N,120.00E
1911-07-01,26.78,1.891,Jinhua,China,29.74N,120.00E
1911-08-01,26.711,0.551,Jinhua,China,29.74N,120.00E
1911-09-01,23.913,0.32299999999999995,Jinhua,China,29.74N,120.00E
1911-10-01,16.256,0.47,Jinhua,China,29.74N,120.00E
1911-11-01,11.321,0.37200000000000005,Jinhua,China,29.74N,120.00E
1911-12-01,5.8119999999999985,0.521,Jinhua,China,29.74N,120.00E
1912-01-01,3.073,0.7440000000000001,Jinhua,China,29.74N,120.00E
1912-02-01,7.1080000000000005,0.978,Jinhua,China,29.74N,120.00E
1912-03-01,8.854,1.051,Jinhua,China,29.74N,120.00E
1912-04-01,15.942,0.584,Jinhua,China,29.74N,120.00E
1912-05-01,20.422,0.456,Jinhua,China,29.74N,120.00E
1912-06-01,24.791,0.544,Jinhua,China,29.74N,120.00E
1912-07-01,27.660999999999998,0.299,Jinhua,China,29.74N,120.00E
1912-08-01,26.505000000000006,0.696,Jinhua,China,29.74N,120.00E
1912-09-01,21.64,0.83,Jinhua,China,29.74N,120.00E
1912-10-01,16.709,0.373,Jinhua,China,29.74N,120.00E
1912-11-01,9.861,0.37,Jinhua,China,29.74N,120.00E
1912-12-01,5.274,0.6559999999999999,Jinhua,China,29.74N,120.00E
1913-01-01,3.77,0.5710000000000001,Jinhua,China,29.74N,120.00E
1913-02-01,4.923,0.38799999999999996,Jinhua,China,29.74N,120.00E
1913-03-01,8.334999999999999,0.627,Jinhua,China,29.74N,120.00E
1913-04-01,14.297,1.149,Jinhua,China,29.74N,120.00E
1913-05-01,19.35,0.444,Jinhua,China,29.74N,120.00E
1913-06-01,24.264,0.415,Jinhua,China,29.74N,120.00E
1913-07-01,26.491999999999997,0.193,Jinhua,China,29.74N,120.00E
1913-08-01,27.784,0.441,Jinhua,China,29.74N,120.00E
1913-09-01,22.153,1.561,Jinhua,China,29.74N,120.00E
1913-10-01,17.180999999999997,0.452,Jinhua,China,29.74N,120.00E
1913-11-01,11.595999999999998,0.385,Jinhua,China,29.74N,120.00E
1913-12-01,4.884,0.727,Jinhua,China,29.74N,120.00E
1914-01-01,5.556,0.677,Jinhua,China,29.74N,120.00E
1914-02-01,6.857,0.467,Jinhua,China,29.74N,120.00E
1914-03-01,11.035,0.392,Jinhua,China,29.74N,120.00E
1914-04-01,14.918,0.523,Jinhua,China,29.74N,120.00E
1914-05-01,19.308,0.838,Jinhua,China,29.74N,120.00E
1914-06-01,24.668000000000003,0.31,Jinhua,China,29.74N,120.00E
1914-07-01,29.212,0.779,Jinhua,China,29.74N,120.00E
1914-08-01,27.454,0.48700000000000004,Jinhua,China,29.74N,120.00E
1914-09-01,22.295,0.389,Jinhua,China,29.74N,120.00E
1914-10-01,17.932000000000006,0.536,Jinhua,China,29.74N,120.00E
1914-11-01,12.184000000000001,0.77,Jinhua,China,29.74N,120.00E
1914-12-01,6.31,0.873,Jinhua,China,29.74N,120.00E
1915-01-01,4.137,0.386,Jinhua,China,29.74N,120.00E
1915-02-01,5.513999999999999,0.727,Jinhua,China,29.74N,120.00E
1915-03-01,9.402000000000001,0.997,Jinhua,China,29.74N,120.00E
1915-04-01,14.081,0.649,Jinhua,China,29.74N,120.00E
1915-05-01,20.391,1.1079999999999999,Jinhua,China,29.74N,120.00E
1915-06-01,24.588,0.42,Jinhua,China,29.74N,120.00E
1915-07-01,27.636999999999997,0.316,Jinhua,China,29.74N,120.00E
1915-08-01,27.188,0.48700000000000004,Jinhua,China,29.74N,120.00E
1915-09-01,22.467,0.34299999999999997,Jinhua,China,29.74N,120.00E
1915-10-01,18.874,0.493,Jinhua,China,29.74N,120.00E
1915-11-01,12.738,0.54,Jinhua,China,29.74N,120.00E
1915-12-01,7.379,0.313,Jinhua,China,29.74N,120.00E
1916-01-01,5.006,0.371,Jinhua,China,29.74N,120.00E
1916-02-01,5.244,0.452,Jinhua,China,29.74N,120.00E
1916-03-01,8.308,0.614,Jinhua,China,29.74N,120.00E
1916-04-01,15.477,0.488,Jinhua,China,29.74N,120.00E
1916-05-01,20.131,0.389,Jinhua,China,29.74N,120.00E
1916-06-01,24.388,0.35100000000000003,Jinhua,China,29.74N,120.00E
1916-07-01,26.929,0.52,Jinhua,China,29.74N,120.00E
1916-08-01,26.419,0.49200000000000005,Jinhua,China,29.74N,120.00E
1916-09-01,23.485000000000007,0.816,Jinhua,China,29.74N,120.00E
1916-10-01,16.782,0.32299999999999995,Jinhua,China,29.74N,120.00E
1916-11-01,11.611,0.242,Jinhua,China,29.74N,120.00E
1916-12-01,5.6160000000000005,0.721,Jinhua,China,29.74N,120.00E
1917-01-01,0.973,1.111,Jinhua,China,29.74N,120.00E
1917-02-01,4.504,0.685,Jinhua,China,29.74N,120.00E
1917-03-01,8.282,0.3,Jinhua,China,29.74N,120.00E
1917-04-01,15.286,0.34299999999999997,Jinhua,China,29.74N,120.00E
1917-05-01,19.266,0.47200000000000003,Jinhua,China,29.74N,120.00E
1917-06-01,24.257,0.292,Jinhua,China,29.74N,120.00E
1917-07-01,27.199,0.447,Jinhua,China,29.74N,120.00E
1917-08-01,27.263,0.321,Jinhua,China,29.74N,120.00E
1917-09-01,24.154,0.9590000000000001,Jinhua,China,29.74N,120.00E
1917-10-01,16.907,0.301,Jinhua,China,29.74N,120.00E
1917-11-01,9.789,1.001,Jinhua,China,29.74N,120.00E
1917-12-01,3.4130000000000003,0.401,Jinhua,China,29.74N,120.00E
1918-01-01,1.037,0.45399999999999996,Jinhua,China,29.74N,120.00E
1918-02-01,5.385,0.465,Jinhua,China,29.74N,120.00E
1918-03-01,9.12,0.341,Jinhua,China,29.74N,120.00E
1918-04-01,14.882,0.36700000000000005,Jinhua,China,29.74N,120.00E
1918-05-01,19.634,0.627,Jinhua,China,29.74N,120.00E
1918-06-01,23.526999999999997,0.5660000000000001,Jinhua,China,29.74N,120.00E
1918-07-01,26.963,0.225,Jinhua,China,29.74N,120.00E
1918-08-01,27.259,1.0090000000000001,Jinhua,China,29.74N,120.00E
1918-09-01,22.755000000000006,0.332,Jinhua,China,29.74N,120.00E
1918-10-01,17.392,0.207,Jinhua,China,29.74N,120.00E
1918-11-01,11.243,0.306,Jinhua,China,29.74N,120.00E
1918-12-01,6.9110000000000005,0.34,Jinhua,China,29.74N,120.00E
1919-01-01,3.3960000000000004,0.804,Jinhua,China,29.74N,120.00E
1919-02-01,4.947,0.541,Jinhua,China,29.74N,120.00E
1919-03-01,10.958,0.486,Jinhua,China,29.74N,120.00E
1919-04-01,16.695,1.209,Jinhua,China,29.74N,120.00E
1919-05-01,20.948,0.637,Jinhua,China,29.74N,120.00E
1919-06-01,25.018,0.349,Jinhua,China,29.74N,120.00E
1919-07-01,26.725,0.522,Jinhua,China,29.74N,120.00E
1919-08-01,27.425,0.387,Jinhua,China,29.74N,120.00E
1919-09-01,21.944000000000006,0.248,Jinhua,China,29.74N,120.00E
1919-10-01,16.858,0.49700000000000005,Jinhua,China,29.74N,120.00E
1919-11-01,11.009,0.305,Jinhua,China,29.74N,120.00E
1919-12-01,5.346,0.534,Jinhua,China,29.74N,120.00E
1920-01-01,4.086,0.701,Jinhua,China,29.74N,120.00E
1920-02-01,3.4810000000000003,0.915,Jinhua,China,29.74N,120.00E
1920-03-01,8.979,0.46399999999999997,Jinhua,China,29.74N,120.00E
1920-04-01,14.122,0.557,Jinhua,China,29.74N,120.00E
1920-05-01,19.563,0.675,Jinhua,China,29.74N,120.00E
1920-06-01,23.775,0.493,Jinhua,China,29.74N,120.00E
1920-07-01,27.474,0.353,Jinhua,China,29.74N,120.00E
1920-08-01,27.377,0.188,Jinhua,China,29.74N,120.00E
1920-09-01,23.936,0.677,Jinhua,China,29.74N,120.00E
1920-10-01,17.599,0.45299999999999996,Jinhua,China,29.74N,120.00E
1920-11-01,13.082,0.361,Jinhua,China,29.74N,120.00E
1920-12-01,7.877999999999999,1.008,Jinhua,China,29.74N,120.00E
1921-01-01,3.877,0.598,Jinhua,China,29.74N,120.00E
1921-02-01,6.311,0.436,Jinhua,China,29.74N,120.00E
1921-03-01,9.309,0.365,Jinhua,China,29.74N,120.00E
1921-04-01,14.794,0.741,Jinhua,China,29.74N,120.00E
1921-05-01,19.852999999999998,0.298,Jinhua,China,29.74N,120.00E
1921-06-01,22.991999999999997,0.374,Jinhua,China,29.74N,120.00E
1921-07-01,27.875999999999998,0.8270000000000001,Jinhua,China,29.74N,120.00E
1921-08-01,26.995,0.397,Jinhua,China,29.74N,120.00E
1921-09-01,21.631,0.27399999999999997,Jinhua,China,29.74N,120.00E
1921-10-01,15.982,0.382,Jinhua,China,29.74N,120.00E
1921-11-01,11.421,0.61,Jinhua,China,29.74N,120.00E
1921-12-01,7.039,0.76,Jinhua,China,29.74N,120.00E
1922-01-01,4.037,1.9409999999999998,Jinhua,China,29.74N,120.00E
1922-02-01,6.6560000000000015,0.8420000000000001,Jinhua,China,29.74N,120.00E
1922-03-01,10.033,0.5710000000000001,Jinhua,China,29.74N,120.00E
1922-04-01,15.525,0.273,Jinhua,China,29.74N,120.00E
1922-05-01,20.102,0.418,Jinhua,China,29.74N,120.00E
1922-06-01,24.598000000000003,0.26899999999999996,Jinhua,China,29.74N,120.00E
1922-07-01,27.791999999999998,0.40700000000000003,Jinhua,China,29.74N,120.00E
1922-08-01,27.586,0.373,Jinhua,China,29.74N,120.00E
1922-09-01,22.849,0.428,Jinhua,China,29.74N,120.00E
1922-10-01,17.397000000000002,0.442,Jinhua,China,29.74N,120.00E
1922-11-01,10.997,0.368,Jinhua,China,29.74N,120.00E
1922-12-01,5.893,0.261,Jinhua,China,29.74N,120.00E
1923-01-01,3.4160000000000004,0.263,Jinhua,China,29.74N,120.00E
1923-02-01,4.0950000000000015,0.392,Jinhua,China,29.74N,120.00E
1923-03-01,11.241,0.408,Jinhua,China,29.74N,120.00E
1923-04-01,14.825,0.366,Jinhua,China,29.74N,120.00E
1923-05-01,20.475,0.405,Jinhua,China,29.74N,120.00E
1923-06-01,23.97,0.22699999999999998,Jinhua,China,29.74N,120.00E
1923-07-01,26.862,0.45799999999999996,Jinhua,China,29.74N,120.00E
1923-08-01,27.78,0.4,Jinhua,China,29.74N,120.00E
1923-09-01,22.605999999999998,0.345,Jinhua,China,29.74N,120.00E
1923-10-01,16.848000000000006,0.217,Jinhua,China,29.74N,120.00E
1923-11-01,12.492,0.851,Jinhua,China,29.74N,120.00E
1923-12-01,6.4529999999999985,0.43,Jinhua,China,29.74N,120.00E
1924-01-01,4.813,0.36700000000000005,Jinhua,China,29.74N,120.00E
1924-02-01,5.021,0.359,Jinhua,China,29.74N,120.00E
1924-03-01,7.696000000000001,0.419,Jinhua,China,29.74N,120.00E
1924-04-01,16.192,0.41600000000000004,Jinhua,China,29.74N,120.00E
1924-05-01,19.554,1.0390000000000001,Jinhua,China,29.74N,120.00E
1924-06-01,23.398000000000003,0.583,Jinhua,China,29.74N,120.00E
1924-07-01,28.016,0.19,Jinhua,China,29.74N,120.00E
1924-08-01,27.585,0.848,Jinhua,China,29.74N,120.00E
1924-09-01,23.186999999999998,0.21100000000000002,Jinhua,China,29.74N,120.00E
1924-10-01,17.567,0.187,Jinhua,China,29.74N,120.00E
1924-11-01,10.368,0.27899999999999997,Jinhua,China,29.74N,120.00E
1924-12-01,6.009,0.473,Jinhua,China,29.74N,120.00E
1925-01-01,2.674,0.606,Jinhua,China,29.74N,120.00E
1925-02-01,3.717,0.373,Jinhua,China,29.74N,120.00E
1925-03-01,9.794,0.551,Jinhua,China,29.74N,120.00E
1925-04-01,13.379000000000001,0.39799999999999996,Jinhua,China,29.74N,120.00E
1925-05-01,20.569000000000006,0.43200000000000005,Jinhua,China,29.74N,120.00E
1925-06-01,25.49,0.6970000000000001,Jinhua,China,29.74N,120.00E
1925-07-01,27.293000000000003,0.434,Jinhua,China,29.74N,120.00E
1925-08-01,27.000999999999998,0.44799999999999995,Jinhua,China,29.74N,120.00E
1925-09-01,22.613000000000003,1.03,Jinhua,China,29.74N,120.00E
1925-10-01,17.489,0.431,Jinhua,China,29.74N,120.00E
1925-11-01,13.028,0.499,Jinhua,China,29.74N,120.00E
1925-12-01,5.8,0.381,Jinhua,China,29.74N,120.00E
1926-01-01,4.174,0.47100000000000003,Jinhua,China,29.74N,120.00E
1926-02-01,5.222,0.556,Jinhua,China,29.74N,120.00E
1926-03-01,10.167,0.474,Jinhua,China,29.74N,120.00E
1926-04-01,15.039000000000001,0.6509999999999999,Jinhua,China,29.74N,120.00E
1926-05-01,21.691000000000006,0.679,Jinhua,China,29.74N,120.00E
1926-06-01,22.715,0.638,Jinhua,China,29.74N,120.00E
1926-07-01,27.955,0.812,Jinhua,China,29.74N,120.00E
1926-08-01,28.781,0.414,Jinhua,China,29.74N,120.00E
1926-09-01,24.259,0.284,Jinhua,China,29.74N,120.00E
1926-10-01,16.21,0.39299999999999996,Jinhua,China,29.74N,120.00E
1926-11-01,12.026,0.34700000000000003,Jinhua,China,29.74N,120.00E
1926-12-01,5.478,0.816,Jinhua,China,29.74N,120.00E
1927-01-01,4.103,1.014,Jinhua,China,29.74N,120.00E
1927-02-01,4.703,0.475,Jinhua,China,29.74N,120.00E
1927-03-01,8.288,0.524,Jinhua,China,29.74N,120.00E
1927-04-01,14.994000000000002,1.041,Jinhua,China,29.74N,120.00E
1927-05-01,19.91,0.38299999999999995,Jinhua,China,29.74N,120.00E
1927-06-01,24.143,0.498,Jinhua,China,29.74N,120.00E
1927-07-01,28.245,0.767,Jinhua,China,29.74N,120.00E
1927-08-01,28.081,0.41600000000000004,Jinhua,China,29.74N,120.00E
1927-09-01,22.9,0.637,Jinhua,China,29.74N,120.00E
1927-10-01,17.062,0.259,Jinhua,China,29.74N,120.00E
1927-11-01,13.186,0.256,Jinhua,China,29.74N,120.00E
1927-12-01,8.009,1.054,Jinhua,China,29.74N,120.00E
1928-01-01,4.398,0.601,Jinhua,China,29.74N,120.00E
1928-02-01,5.099,0.35700000000000004,Jinhua,China,29.74N,120.00E
1928-03-01,10.197000000000001,0.34700000000000003,Jinhua,China,29.74N,120.00E
1928-04-01,16.017,0.33299999999999996,Jinhua,China,29.74N,120.00E
1928-05-01,21.115,0.8390000000000001,Jinhua,China,29.74N,120.00E
1928-06-01,23.736,0.902,Jinhua,China,29.74N,120.00E
1928-07-01,28.08,0.9790000000000001,Jinhua,China,29.74N,120.00E
1928-08-01,26.217,0.8740000000000001,Jinhua,China,29.74N,120.00E
1928-09-01,23.014000000000006,0.306,Jinhua,China,29.74N,120.00E
1928-10-01,16.764,0.622,Jinhua,China,29.74N,120.00E
1928-11-01,11.922,0.305,Jinhua,China,29.74N,120.00E
1928-12-01,6.805,0.7240000000000001,Jinhua,China,29.74N,120.00E
1929-01-01,3.795,0.505,Jinhua,China,29.74N,120.00E
1929-02-01,4.631,0.47600000000000003,Jinhua,China,29.74N,120.00E
1929-03-01,9.963,0.43200000000000005,Jinhua,China,29.74N,120.00E
1929-04-01,15.880999999999998,0.48200000000000004,Jinhua,China,29.74N,120.00E
1929-05-01,20.537000000000006,0.67,Jinhua,China,29.74N,120.00E
1929-06-01,24.574,1.06,Jinhua,China,29.74N,120.00E
