1,0.515,Jind,India,29.74N,75.69E
1983-12-01,14.473,0.522,Jind,India,29.74N,75.69E
1984-01-01,12.184,0.396,Jind,India,29.74N,75.69E
1984-02-01,14.373,0.361,Jind,India,29.74N,75.69E
1984-03-01,23.564,0.386,Jind,India,29.74N,75.69E
1984-04-01,28.115,0.45799999999999996,Jind,India,29.74N,75.69E
1984-05-01,35.518,0.39,Jind,India,29.74N,75.69E
1984-06-01,35.319,0.8270000000000001,Jind,India,29.74N,75.69E
1984-07-01,31.241,0.43200000000000005,Jind,India,29.74N,75.69E
1984-08-01,30.595,0.24,Jind,India,29.74N,75.69E
1984-09-01,28.576,0.191,Jind,India,29.74N,75.69E
1984-10-01,24.825,0.20800000000000002,Jind,India,29.74N,75.69E
1984-11-01,19.086,0.409,Jind,India,29.74N,75.69E
1984-12-01,14.319,0.49700000000000005,Jind,India,29.74N,75.69E
1985-01-01,13.133,0.31,Jind,India,29.74N,75.69E
1985-02-01,17.144000000000002,0.516,Jind,India,29.74N,75.69E
1985-03-01,24.011999999999997,0.436,Jind,India,29.74N,75.69E
1985-04-01,28.366999999999997,0.764,Jind,India,29.74N,75.69E
1985-05-01,34.145,0.634,Jind,India,29.74N,75.69E
1985-06-01,34.629000000000005,0.8390000000000001,Jind,India,29.74N,75.69E
1985-07-01,31.208,0.395,Jind,India,29.74N,75.69E
1985-08-01,31.038,0.43200000000000005,Jind,India,29.74N,75.69E
1985-09-01,29.916,0.41100000000000003,Jind,India,29.74N,75.69E
1985-10-01,24.507,0.44,Jind,India,29.74N,75.69E
1985-11-01,19.930999999999997,0.527,Jind,India,29.74N,75.69E
1985-12-01,15.515999999999998,0.479,Jind,India,29.74N,75.69E
1986-01-01,13.039000000000001,0.306,Jind,India,29.74N,75.69E
1986-02-01,15.729,0.301,Jind,India,29.74N,75.69E
1986-03-01,21.416,0.493,Jind,India,29.74N,75.69E
1986-04-01,27.732,0.415,Jind,India,29.74N,75.69E
1986-05-01,31.041,0.867,Jind,India,29.74N,75.69E
1986-06-01,34.14,0.555,Jind,India,29.74N,75.69E
1986-07-01,31.229,0.276,Jind,India,29.74N,75.69E
1986-08-01,30.971,0.337,Jind,India,29.74N,75.69E
1986-09-01,29.774,0.369,Jind,India,29.74N,75.69E
1986-10-01,25.366999999999997,0.28300000000000003,Jind,India,29.74N,75.69E
1986-11-01,20.62,0.526,Jind,India,29.74N,75.69E
1986-12-01,13.489,0.341,Jind,India,29.74N,75.69E
1987-01-01,14.142000000000001,0.28,Jind,India,29.74N,75.69E
1987-02-01,17.654,0.204,Jind,India,29.74N,75.69E
1987-03-01,22.555,0.491,Jind,India,29.74N,75.69E
1987-04-01,28.854,0.609,Jind,India,29.74N,75.69E
1987-05-01,29.683,0.539,Jind,India,29.74N,75.69E
1987-06-01,34.949000000000005,0.257,Jind,India,29.74N,75.69E
1987-07-01,34.723,0.9470000000000001,Jind,India,29.74N,75.69E
1987-08-01,32.765,0.564,Jind,India,29.74N,75.69E
1987-09-01,31.744,0.648,Jind,India,29.74N,75.69E
1987-10-01,26.926,0.32799999999999996,Jind,India,29.74N,75.69E
