,23.428,1.442,Udupi,India,13.66N,75.14E
1858-09-01,23.686999999999998,0.948,Udupi,India,13.66N,75.14E
1858-10-01,24.135,1.215,Udupi,India,13.66N,75.14E
1858-11-01,24.703000000000003,1.379,Udupi,India,13.66N,75.14E
1858-12-01,23.612,1.591,Udupi,India,13.66N,75.14E
1859-01-01,24.142,1.256,Udupi,India,13.66N,75.14E
1859-02-01,25.465999999999998,1.206,Udupi,India,13.66N,75.14E
1859-03-01,27.783,1.4069999999999998,Udupi,India,13.66N,75.14E
1859-04-01,28.743000000000002,1.723,Udupi,India,13.66N,75.14E
1859-05-01,27.764000000000006,1.189,Udupi,India,13.66N,75.14E
1859-06-01,24.952,1.229,Udupi,India,13.66N,75.14E
1859-07-01,23.082,1.1,Udupi,India,13.66N,75.14E
1859-08-01,23.008000000000003,1.014,Udupi,India,13.66N,75.14E
1859-09-01,23.45,0.917,Udupi,India,13.66N,75.14E
1859-10-01,24.141,1.222,Udupi,India,13.66N,75.14E
1859-11-01,24.212,1.587,Udupi,India,13.66N,75.14E
1859-12-01,23.805000000000003,1.5730000000000002,Udupi,India,13.66N,75.14E
1860-01-01,23.64,1.3,Udupi,India,13.66N,75.14E
1860-02-01,25.003,1.273,Udupi,India,13.66N,75.14E
1860-03-01,26.641,1.8940000000000001,Udupi,India,13.66N,75.14E
1860-04-01,28.429000000000002,1.1840000000000002,Udupi,India,13.66N,75.14E
1860-05-01,27.539,1.2109999999999999,Udupi,India,13.66N,75.14E
1860-06-01,25.11,1.093,Udupi,India,13.66N,75.14E
1860-07-01,23.543000000000003,1.024,Udupi,India,13.66N,75.14E
1860-08-01,23.574,1.197,Udupi,India,13.66N,75.14E
1860-09-01,24.147,1.136,Udupi,India,13.66N,75.14E
1860-10-01,24.088,1.0959999999999999,Udupi,India,13.66N,75.14E
1860-11-01,24.132,1.249,Udupi,India,13.66N,75.14E
1860-12-01,22.678,1.413,Udupi,India,13.66N,75.14E
1861-01-01,22.999,1.8419999999999999,Udupi,India,13.66N,75.14E
1861-02-01,24.693,1.138,Udupi,India,13.66N,75.14E
1861-03-01,27.238000000000003,1.236,Udupi,India,13.66N,75.14E
1861-04-01,28.036,1.413,Udupi,India,13.66N,75.14E
1861-05-01,27.211,1.273,Udupi,India,13.66N,75.14E
1861-06-01,24.653000000000002,1.6780000000000002,Udupi,India,13.66N,75.14E
1861-07-01,23.106,1.4709999999999999,Udupi,India,13.66N,75.14E
1861-08-01,23.156,1.29,Udupi,India,13.66N,75.14E
1861-09-01,23.649,0.935,Udupi,India,13.66N,75.14E
1861-10-01,23.946,0.992,Udupi,India,13.66N,75.14E
1861-11-01,24.273000000000003,1.518,Udupi,India,13.66N,75.14E
1861-12-01,23.485000000000007,1.633,Udupi,India,13.66N,75.14E
1862-01-01,23.094,1.531,Udupi,India,13.66N,75.14E
1862-02-01,24.127,1.295,Udupi,India,13.66N,75.14E
1862-03-01,26.929,1.177,Udupi,India,13.66N,75.14E
1862-04-01,,,Udupi,India,13.66N,75.14E
1862-05-01,,,Udupi,India,13.66N,75.14E
1862-06-01,,,Udupi,India,13.66N,75.14E
1862-07-01,,,Udupi,India,13.66N,75.14E
