,23.428,1.442,Udupi,India,13.66N,75.14E
1830-09-01,9.472000000000001,2.784,Ufa,Russia,55.45N,56.69E
1830-10-01,1.489,3.593,Ufa,Russia,55.45N,56.69E
1830-11-01,-3.5839999999999996,2.525,Ufa,Russia,55.45N,56.69E
1830-12-01,-8.357000000000001,2.815,Ufa,Russia,55.45N,56.69E
1831-01-01,-15.069,3.2460000000000004,Ufa,Russia,55.45N,56.69E
1831-02-01,-11.517000000000001,4.825,Ufa,Russia,55.45N,56.69E
1831-03-01,-7.693,3.8489999999999998,Ufa,Russia,55.45N,56.69E
1831-04-01,2.063,2.0669999999999997,Ufa,Russia,55.45N,56.69E
1831-05-01,11.200999999999999,3.392,Ufa,Russia,55.45N,56.69E
1831-06-01,14.564999999999998,2.7710000000000004,Ufa,Russia,55.45N,56.69E
1831-07-01,16.543,1.6019999999999999,Ufa,Russia,55.45N,56.69E
1831-08-01,13.307,2.061,Ufa,Russia,55.45N,56.69E
1831-09-01,7.829,2.059,Ufa,Russia,55.45N,56.69E
1831-10-01,-0.9090000000000004,1.806,Ufa,Russia,55.45N,56.69E
1831-11-01,-5.715,6.147,Ufa,Russia,55.45N,56.69E
1831-12-01,-11.999,2.3080000000000003,Ufa,Russia,55.45N,56.69E
1832-01-01,-17.942,1.4909999999999999,Ufa,Russia,55.45N,56.69E
1832-02-01,-11.496,1.2570000000000001,Ufa,Russia,55.45N,56.69E
1832-03-01,-8.652999999999999,3.553,Ufa,Russia,55.45N,56.69E
1832-04-01,0.12400000000000012,3.633,Ufa,Russia,55.45N,56.69E
1832-05-01,12.209000000000001,1.936,Ufa,Russia,55.45N,56.69E
1832-06-01,14.439999999999998,1.848,Ufa,Russia,55.45N,56.69E
1832-07-01,20.029,6.189,Ufa,Russia,55.45N,56.69E
1832-08-01,14.099,2.697,Ufa,Russia,55.45N,56.69E
1832-09-01,10.181000000000001,3.7460000000000004,Ufa,Russia,55.45N,56.69E
1832-10-01,1.4669999999999999,1.788,Ufa,Russia,55.45N,56.69E
1832-11-01,-10.544,1.808,Ufa,Russia,55.45N,56.69E
1832-12-01,-16.643,6.377999999999999,Ufa,Russia,55.45N,56.69E
1833-01-01,-16.756,3.927,Ufa,Russia,55.45N,56.69E
1833-02-01,-12.877,3.4619999999999997,Ufa,Russia,55.45N,56.69E
1833-03-01,-9.18,4.065,Ufa,Russia,55.45N,56.69E
1833-04-01,2.513,2.509,Ufa,Russia,55.45N,56.69E
1833-05-01,6.8519999999999985,1.7690000000000001,Ufa,Russia,55.45N,56.69E
1833-06-01,17.593,4.012,Ufa,Russia,55.45N,56.69E
1833-07-01,18.325,2.2159999999999997,Ufa,Russia,55.45N,56.69E
1833-08-01,15.284,2.988,Ufa,Russia,55.45N,56.69E
1833-09-01,8.277000000000001,1.6980000000000002,Ufa,Russia,55.45N,56.69E
1833-10-01,1.072,2.124,Ufa,Russia,55.45N,56.69E
1833-11-01,-0.6719999999999997,2.5610000000000004,Ufa,Russia,55.45N,56.69E
1833-12-01,-13.449000000000002,2.615,Ufa,Russia,55.45N,56.69E
1834-01-01,-20.647,1.8430000000000002,Ufa,Russia,55.45N,56.69E
1834-02-01,-17.458,3.4789999999999996,Ufa,Russia,55.45N,56.69E
1834-03-01,-4.863,2.383,Ufa,Russia,55.45N,56.69E
1834-04-01,-0.22299999999999984,1.7719999999999998,Ufa,Russia,55.45N,56.69E
1834-05-01,9.292,1.308,Ufa,Russia,55.45N,56.69E
1834-06-01,15.259999999999998,2.544,Ufa,Russia,55.45N,56.69E
1834-07-01,15.681,1.499,Ufa,Russia,55.45N,56.69E
1834-08-01,16.124000000000002,1.175,Ufa,Russia,55.45N,56.69E
1834-09-01,9.477,2.171,Ufa,Russia,55.45N,56.69E
1834-10-01,3.963,1.445,Ufa,Russia,55.45N,56.69E
1834-11-01,-3.197,2.498,Ufa,Russia,55.45N,56.69E
1834-12-01,-10.213,1.6,Ufa,Russia,55.45N,56.69E
1835-01-01,-13.619000000000002,2.5140000000000002,Ufa,Russia,55.45N,56.69E
1835-02-01,-11.264000000000001,2.531,Ufa,Russia,55.45N,56.69E
1835-03-01,-6.004,1.926,Ufa,Russia,55.45N,56.69E
1835-04-01,2.4819999999999998,3.056,Ufa,Russia,55.45N,56.69E
1835-05-01,8.833,1.506,Ufa,Russia,55.45N,56.69E
1835-06-01,13.590999999999998,1.1540000000000001,Ufa,Russia,55.45N,56.69E
1835-07-01,16.064,2.97,Ufa,Russia,55.45N,56.69E
1835-08-01,12.81,1.2770000000000001,Ufa,Russia,55.45N,56.69E
1835-09-01,7.5619999999999985,1.288,Ufa,Russia,55.45N,56.69E
1835-10-01,2.434,1.626,Ufa,Russia,55.45N,56.69E
1835-11-01,-9.498,1.52,Ufa,Russia,55.45N,56.69E
1835-12-01,-18.211,2.9219999999999997,Ufa,Russia,55.45N,56.69E
1836-01-01,-13.02,1.41,Ufa,Russia,55.45N,56.69E
1836-02-01,-13.888,1.8940000000000001,Ufa,Russia,55.45N,56.69E
1836-03-01,-2.994,0.9390000000000001,Ufa,Russia,55.45N,56.69E
1836-04-01,3.66,1.011,Ufa,Russia,55.45N,56.69E
1836-05-01,8.736,1.689,Ufa,Russia,55.45N,56.69E
1836-06-01,14.444,1.225,Ufa,Russia,55.45N,56.69E
1836-07-01,15.694,1.632,Ufa,Russia,55.45N,56.69E
1836-08-01,14.505,1.097,Ufa,Russia,55.45N,56.69E
1836-09-01,8.965,1.7690000000000001,Ufa,Russia,55.45N,56.69E
1836-10-01,2.248,3.6489999999999996,Ufa,Russia,55.45N,56.69E
1836-11-01,-5.66,2.408,Ufa,Russia,55.45N,56.69E
1836-12-01,-12.842,3.048,Ufa,Russia,55.45N,56.69E
1837-01-01,-14.844000000000001,2.299,Ufa,Russia,55.45N,56.69E
1837-02-01,-14.713,3.3689999999999998,Ufa,Russia,55.45N,56.69E
1837-03-01,-6.957000000000001,2.47,Ufa,Russia,55.45N,56.69E
1837-04-01,0.335,1.7069999999999999,Ufa,Russia,55.45N,56.69E
1837-05-01,11.42,1.435,Ufa,Russia,55.45N,56.69E
1837-06-01,16.066,2.563,Ufa,Russia,55.45N,56.69E
1837-07-01,15.658,1.08,Ufa,Russia,55.45N,56.69E
1837-08-01,15.198,1.114,Ufa,Russia,55.45N,56.69E
1837-09-01,8.269,1.656,Ufa,Russia,55.45N,56.69E
1837-10-01,-0.3610000000000002,2.577,Ufa,Russia,55.45N,56.69E
1837-11-01,-6.1610000000000005,3.633,Ufa,Russia,55.45N,56.69E
1837-12-01,-16.795,4.729,Ufa,Russia,55.45N,56.69E
1838-01-01,-19.632,3.9360000000000004,Ufa,Russia,55.45N,56.69E
1838-02-01,-15.003,2.36,Ufa,Russia,55.45N,56.69E
1838-03-01,-9.801,1.423,Ufa,Russia,55.45N,56.69E
1838-04-01,3.324,0.898,Ufa,Russia,55.45N,56.69E
1838-05-01,11.682,1.347,Ufa,Russia,55.45N,56.69E
1838-06-01,14.682999999999998,0.9390000000000001,Ufa,Russia,55.45N,56.69E
1838-07-01,16.445,4.13,Ufa,Russia,55.45N,56.69E
1838-08-01,16.005,3.221,Ufa,Russia,55.45N,56.69E
1838-09-01,7.978,1.415,Ufa,Russia,55.45N,56.69E
1838-10-01,1.902,3.6310000000000002,Ufa,Russia,55.45N,56.69E
1838-11-01,-4.624,2.696,Ufa,Russia,55.45N,56.69E
1838-12-01,-12.139000000000001,3.4619999999999997,Ufa,Russia,55.45N,56.69E
1839-01-01,-10.265,1.6369999999999998,Ufa,Russia,55.45N,56.69E
1839-02-01,-12.318,2.0669999999999997,Ufa,Russia,55.45N,56.69E
1839-03-01,-11.078,1.177,Ufa,Russia,55.45N,56.69E
1839-04-01,0.54,1.929,Ufa,Russia,55.45N,56.69E
1839-05-01,12.509,1.412,Ufa,Russia,55.45N,56.69E
1839-06-01,16.04,0.845,Ufa,Russia,55.45N,56.69E
1839-07-01,19.574,3.142,Ufa,Russia,55.45N,56.69E
1839-08-01,18.127,2.6069999999999998,Ufa,Russia,55.45N,56.69E
1839-09-01,9.231,1.335,Ufa,Russia,55.45N,56.69E
1839-10-01,1.355,1.8319999999999999,Ufa,Russia,55.45N,56.69E
1839-11-01,-8.027999999999999,2.269,Ufa,Russia,55.45N,56.69E
1839-12-01,-21.416999999999998,1.452,Ufa,Russia,55.45N,56.69E
1840-01-01,-13.347000000000001,2.005,Ufa,Russia,55.45N,56.69E
1840-02-01,-18.684,2.105,Ufa,Russia,55.45N,56.69E
1840-03-01,-10.189,1.249,Ufa,Russia,55.45N,56.69E
1840-04-01,2.525,2.735,Ufa,Russia,55.45N,56.69E
1840-05-01,10.807,2.05,Ufa,Russia,55.45N,56.69E
1840-06-01,18.303,1.2919999999999998,Ufa,Russia,55.45N,56.69E
1840-07-01,19.206,1.561,Ufa,Russia,55.45N,56.69E
1840-08-01,15.620999999999999,1.338,Ufa,Russia,55.45N,56.69E
1840-09-01,7.965,1.5490000000000002,Ufa,Russia,55.45N,56.69E
1840-10-01,-0.7429999999999999,1.906,Ufa,Russia,55.45N,56.69E
1840-11-01,-8.068999999999999,3.1910000000000003,Ufa,Russia,55.45N,56.69E
1840-12-01,-15.797,2.5810000000000004,Ufa,Russia,55.45N,56.69E
1841-01-01,-15.744000000000002,2.414,Ufa,Russia,55.45N,56.69E
1841-02-01,-15.557,1.005,Ufa,Russia,55.45N,56.69E
1841-03-01,-9.68,3.444,Ufa,Russia,55.45N,56.69E
1841-04-01,1.081,1.841,Ufa,Russia,55.45N,56.69E
1841-05-01,10.807,1.3019999999999998,Ufa,Russia,55.45N,56.69E
1841-06-01,17.247999999999998,1.694,Ufa,Russia,55.45N,56.69E
1841-07-01,19.573,1.526,Ufa,Russia,55.45N,56.69E
1841-08-01,17.267,1.291,Ufa,Russia,55.45N,56.69E
1841-09-01,8.142000000000001,1.278,Ufa,Russia,55.45N,56.69E
1841-10-01,3.955,1.0070000000000001,Ufa,Russia,55.45N,56.69E
1841-11-01,-6.3279999999999985,0.831,Ufa,Russia,55.45N,56.69E
1841-12-01,-13.706,3.781,Ufa,Russia,55.45N,56.69E
1842-01-01,-13.86,1.3619999999999999,Ufa,Russia,55.45N,56.69E
1842-02-01,-9.924,1.456,Ufa,Russia,55.45N,56.69E
1842-03-01,-8.418,2.733,Ufa,Russia,55.45N,56.69E
1842-04-01,0.528,2.115,Ufa,Russia,55.45N,56.69E
1842-05-01,8.716000000000001,1.369,Ufa,Russia,55.45N,56.69E
1842-06-01,14.500999999999998,1.2229999999999999,Ufa,Russia,55.45N,56.69E
1842-07-01,19.375999999999998,1.8559999999999999,Ufa,Russia,55.45N,56.69E
1842-08-01,13.99,1.295,Ufa,Russia,55.45N,56.69E
1842-09-01,7.212000000000001,1.4480000000000002,Ufa,Russia,55.45N,56.69E
1842-10-01,0.762,1.354,Ufa,Russia,55.45N,56.69E
1842-11-01,-4.7330000000000005,2.064,Ufa,Russia,55.45N,56.69E
1842-12-01,-12.245999999999999,2.017,Ufa,Russia,55.45N,56.69E
1843-01-01,-11.477,2.27,Ufa,Russia,55.45N,56.69E
1843-02-01,-5.369999999999999,1.537,Ufa,Russia,55.45N,56.69E
1843-03-01,-5.5139999999999985,1.954,Ufa,Russia,55.45N,56.69E
1843-04-01,0.605,1.4409999999999998,Ufa,Russia,55.45N,56.69E
1843-05-01,11.022,0.948,Ufa,Russia,55.45N,56.69E
1843-06-01,18.057000000000002,1.459,Ufa,Russia,55.45N,56.69E
1843-07-01,18.910999999999998,1.155,Ufa,Russia,55.45N,56.69E
1843-08-01,12.412,1.86,Ufa,Russia,55.45N,56.69E
1843-09-01,11.58,0.9179999999999999,Ufa,Russia,55.45N,56.69E
1843-10-01,5.739,1.206,Ufa,Russia,55.45N,56.69E
1843-11-01,-6.986000000000001,0.9590000000000001,Ufa,Russia,55.45N,56.69E
1843-12-01,-11.619000000000002,2.983,Ufa,Russia,55.45N,56.69E
1844-01-01,-11.694,1.111,Ufa,Russia,55.45N,56.69E
1844-02-01,-13.116,1.232,Ufa,Russia,55.45N,56.69E
1844-03-01,-8.072000000000001,1.8230000000000002,Ufa,Russia,55.45N,56.69E
1844-04-01,-0.9500000000000002,1.587,Ufa,Russia,55.45N,56.69E
1844-05-01,12.311,1.6569999999999998,Ufa,Russia,55.45N,56.69E
1844-06-01,17.668,0.59,Ufa,Russia,55.45N,56.69E
1844-07-01,19.043,0.9079999999999999,Ufa,Russia,55.45N,56.69E
1844-08-01,14.547,3.037,Ufa,Russia,55.45N,56.69E
1844-09-01,9.473,1.052,Ufa,Russia,55.45N,56.69E
1844-10-01,0.835,0.5329999999999999,Ufa,Russia,55.45N,56.69E
1844-11-01,-11.691,0.621,Ufa,Russia,55.45N,56.69E
1844-12-01,-16.722,1.546,Ufa,Russia,55.45N,56.69E
1845-01-01,-12.964,1.669,Ufa,Russia,55.45N,56.69E
1845-02-01,-15.476,3.127,Ufa,Russia,55.45N,56.69E
1845-03-01,-9.113,1.0070000000000001,Ufa,Russia,55.45N,56.69E
1845-04-01,1.218,1.119,Ufa,Russia,55.45N,56.69E
1845-05-01,8.482000000000001,1.4680000000000002,Ufa,Russia,55.45N,56.69E
1845-06-01,15.832,1.494,Ufa,Russia,55.45N,56.69E
1845-07-01,17.469,1.276,Ufa,Russia,55.45N,56.69E
1845-08-01,15.825,1.172,Ufa,Russia,55.45N,56.69E
1845-09-01,10.328,1.026,Ufa,Russia,55.45N,56.69E
1845-10-01,1.013,0.9179999999999999,Ufa,Russia,55.45N,56.69E
1845-11-01,-4.6549999999999985,1.082,Ufa,Russia,55.45N,56.69E
1845-12-01,-14.732000000000001,2.222,Ufa,Russia,55.45N,56.69E
1846-01-01,-15.16,2.764,Ufa,Russia,55.45N,56.69E
1846-02-01,-10.54,1.756,Ufa,Russia,55.45N,56.69E
1846-03-01,-5.792999999999998,1.531,Ufa,Russia,55.45N,56.69E
1846-04-01,-0.125,1.4369999999999998,Ufa,Russia,55.45N,56.69E
1846-05-01,9.767000000000001,2.217,Ufa,Russia,55.45N,56.69E
1846-06-01,15.415,1.8,Ufa,Russia,55.45N,56.69E
1846-07-01,18.008,1.993,Ufa,Russia,55.45N,56.69E
1846-08-01,13.379,1.41,Ufa,Russia,55.45N,56.69E
1846-09-01,8.915,1.599,Ufa,Russia,55.45N,56.69E
1846-10-01,-0.802,0.561,Ufa,Russia,55.45N,56.69E
1846-11-01,-7.268,1.905,Ufa,Russia,55.45N,56.69E
1846-12-01,-10.414000000000001,0.973,Ufa,Russia,55.45N,56.69E
1847-01-01,-18.665,6.917000000000001,Ufa,Russia,55.45N,56.69E
1847-02-01,-12.015,1.103,Ufa,Russia,55.45N,56.69E
1847-03-01,-11.695,2.915,Ufa,Russia,55.45N,56.69E
1847-04-01,3.0210000000000004,0.9670000000000001,Ufa,Russia,55.45N,56.69E
1847-05-01,10.031,1.0490000000000002,Ufa,Russia,55.45N,56.69E
1847-06-01,15.348999999999998,2.153,Ufa,Russia,55.45N,56.69E
1847-07-01,18.653,1.3769999999999998,Ufa,Russia,55.45N,56.69E
1847-08-01,17.822,1.88,Ufa,Russia,55.45N,56.69E
1847-09-01,13.874,1.27,Ufa,Russia,55.45N,56.69E
1847-10-01,2.739,0.604,Ufa,Russia,55.45N,56.69E
1847-11-01,-3.937,0.5,Ufa,Russia,55.45N,56.69E
1847-12-01,-15.862,3.017,Ufa,Russia,55.45N,56.69E
1848-01-01,-20.839000000000002,1.686,Ufa,Russia,55.45N,56.69E
1848-02-01,-10.818,1.165,Ufa,Russia,55.45N,56.69E
1848-03-01,-6.654,1.901,Ufa,Russia,55.45N,56.69E
1848-04-01,5.465,0.877,Ufa,Russia,55.45N,56.69E
1848-05-01,10.386,1.443,Ufa,Russia,55.45N,56.69E
1848-06-01,15.775999999999998,2.375,Ufa,Russia,55.45N,56.69E
1848-07-01,20.225,2.2969999999999997,Ufa,Russia,55.45N,56.69E
1848-08-01,15.698,1.659,Ufa,Russia,55.45N,56.69E
1848-09-01,9.24,1.6269999999999998,Ufa,Russia,55.45N,56.69E
1848-10-01,0.6909999999999998,0.736,Ufa,Russia,55.45N,56.69E
1848-11-01,-6.865,1.67,Ufa,Russia,55.45N,56.69E
1848-12-01,-18.098,1.412,Ufa,Russia,55.45N,56.69E
1849-01-01,-14.632,1.17,Ufa,Russia,55.45N,56.69E
1849-02-01,-11.288,1.939,Ufa,Russia,55.45N,56.69E
1849-03-01,-5.7170000000000005,1.849,Ufa,Russia,55.45N,56.69E
1849-04-01,1.496,1.591,Ufa,Russia,55.45N,56.69E
1849-05-01,7.697,0.57,Ufa,Russia,55.45N,56.69E
1849-06-01,15.851,1.8019999999999998,Ufa,Russia,55.45N,56.69E
1849-07-01,20.309,0.9570000000000001,Ufa,Russia,55.45N,56.69E
1849-08-01,15.332,0.972,Ufa,Russia,55.45N,56.69E
1849-09-01,7.64,1.489,Ufa,Russia,55.45N,56.69E
1849-10-01,3.987,1.24,Ufa,Russia,55.45N,56.69E
1849-11-01,-5.604,1.97,Ufa,Russia,55.45N,56.69E
1849-12-01,-15.559,1.266,Ufa,Russia,55.45N,56.69E
1850-01-01,-23.936,2.154,Ufa,Russia,55.45N,56.69E
1850-02-01,-11.807,1.662,Ufa,Russia,55.45N,56.69E
1850-03-01,-7.350999999999999,3.199,Ufa,Russia,55.45N,56.69E
1850-04-01,1.82,1.864,Ufa,Russia,55.45N,56.69E
1850-05-01,9.457,0.9129999999999999,Ufa,Russia,55.45N,56.69E
1850-06-01,15.559000000000001,0.8240000000000001,Ufa,Russia,55.45N,56.69E
1850-07-01,18.472,1.034,Ufa,Russia,55.45N,56.69E
1850-08-01,15.697,1.732,Ufa,Russia,55.45N,56.69E
1850-09-01,9.487,1.369,Ufa,Russia,55.45N,56.69E
1850-10-01,-1.92,1.3940000000000001,Ufa,Russia,55.45N,56.69E
1850-11-01,-5.29,1.409,Ufa,Russia,55.45N,56.69E
1850-12-01,-10.776,1.472,Ufa,Russia,55.45N,56.69E
1851-01-01,-15.389000000000001,0.35700000000000004,Ufa,Russia,55.45N,56.69E
1851-02-01,-15.549000000000001,1.1520000000000001,Ufa,Russia,55.45N,56.69E
1851-03-01,-11.402000000000001,1.733,Ufa,Russia,55.45N,56.69E
1851-04-01,0.5379999999999998,2.623,Ufa,Russia,55.45N,56.69E
1851-05-01,12.056,1.496,Ufa,Russia,55.45N,56.69E
1851-06-01,18.138,1.165,Ufa,Russia,55.45N,56.69E
1851-07-01,17.366,1.7280000000000002,Ufa,Russia,55.45N,56.69E
1851-08-01,16.447,2.1919999999999997,Ufa,Russia,55.45N,56.69E
1851-09-01,14.62,1.073,Ufa,Russia,55.45N,56.69E
1851-10-01,1.62,2.1919999999999997,Ufa,Russia,55.45N,56.69E
1851-11-01,-1.71,1.123,Ufa,Russia,55.45N,56.69E
1851-12-01,-9.137,3.512,Ufa,Russia,55.45N,56.69E
1852-01-01,-16.067999999999998,2.667,Ufa,Russia,55.45N,56.69E
1852-02-01,-14.726,1.472,Ufa,Russia,55.45N,56.69E
1852-03-01,-7.295,1.22,Ufa,Russia,55.45N,56.69E
1852-04-01,2.37,1.484,Ufa,Russia,55.45N,56.69E
1852-05-01,12.869000000000002,0.736,Ufa,Russia,55.45N,56.69E
1852-06-01,14.691999999999998,1.571,Ufa,Russia,55.45N,56.69E
1852-07-01,15.509,2.04,Ufa,Russia,55.45N,56.69E
1852-08-01,15.198,1.2,Ufa,Russia,55.45N,56.69E
1852-09-01,10.49,1.275,Ufa,Russia,55.45N,56.69E
1852-10-01,0.216,1.073,Ufa,Russia,55.45N,56.69E
1852-11-01,-9.976,2.123,Ufa,Russia,55.45N,56.69E
1852-12-01,-10.71,1.393,Ufa,Russia,55.45N,56.69E
1853-01-01,-14.58,1.681,Ufa,Russia,55.45N,56.69E
1853-02-01,-12.702,1.173,Ufa,Russia,55.45N,56.69E
1853-03-01,-8.801,1.581,Ufa,Russia,55.45N,56.69E
1853-04-01,1.7790000000000001,1.71,Ufa,Russia,55.45N,56.69E
1853-05-01,11.959000000000001,0.631,Ufa,Russia,55.45N,56.69E
1853-06-01,13.730999999999998,1.189,Ufa,Russia,55.45N,56.69E
1853-07-01,19.131,1.195,Ufa,Russia,55.45N,56.69E
1853-08-01,18.604,0.679,Ufa,Russia,55.45N,56.69E
1853-09-01,8.545,0.595,Ufa,Russia,55.45N,56.69E
1853-10-01,2.103,0.809,Ufa,Russia,55.45N,56.69E
1853-11-01,-7.144,2.447,Ufa,Russia,55.45N,56.69E
1853-12-01,-13.431,2.182,Ufa,Russia,55.45N,56.69E
1854-01-01,-20.55,1.8530000000000002,Ufa,Russia,55.45N,56.69E
1854-02-01,-12.445,2.2230000000000003,Ufa,Russia,55.45N,56.69E
1854-03-01,-8.591999999999999,1.4340000000000002,Ufa,Russia,55.45N,56.69E
1854-04-01,0.5709999999999997,1.8969999999999998,Ufa,Russia,55.45N,56.69E
1854-05-01,13.122,1.218,Ufa,Russia,55.45N,56.69E
1854-06-01,16.145999999999994,1.048,Ufa,Russia,55.45N,56.69E
1854-07-01,19.408,0.935,Ufa,Russia,55.45N,56.69E
1854-08-01,16.118000000000002,1.306,Ufa,Russia,55.45N,56.69E
1854-09-01,11.550999999999998,1.36,Ufa,Russia,55.45N,56.69E
1854-10-01,4.963,1.248,Ufa,Russia,55.45N,56.69E
1854-11-01,-3.406,0.9009999999999999,Ufa,Russia,55.45N,56.69E
1854-12-01,-6.436,2.251,Ufa,Russia,55.45N,56.69E
1855-01-01,-13.6,1.963,Ufa,Russia,55.45N,56.69E
1855-02-01,-10.907,3.014,Ufa,Russia,55.45N,56.69E
1855-03-01,-8.715,1.382,Ufa,Russia,55.45N,56.69E
1855-04-01,5.3119999999999985,1.422,Ufa,Russia,55.45N,56.69E
1855-05-01,15.171,1.652,Ufa,Russia,55.45N,56.69E
1855-06-01,14.695999999999998,1.455,Ufa,Russia,55.45N,56.69E
1855-07-01,16.211000000000002,0.9129999999999999,Ufa,Russia,55.45N,56.69E
1855-08-01,16.387999999999998,0.777,Ufa,Russia,55.45N,56.69E
1855-09-01,8.273,0.609,Ufa,Russia,55.45N,56.69E
1855-10-01,2.947,1.334,Ufa,Russia,55.45N,56.69E
1855-11-01,-6.022,1.3359999999999999,Ufa,Russia,55.45N,56.69E
1855-12-01,-17.105,2.633,Ufa,Russia,55.45N,56.69E
1856-01-01,-10.949000000000002,0.9440000000000001,Ufa,Russia,55.45N,56.69E
1856-02-01,-13.549000000000001,2.029,Ufa,Russia,55.45N,56.69E
1856-03-01,-10.45,1.115,Ufa,Russia,55.45N,56.69E
1856-04-01,-0.20399999999999974,0.575,Ufa,Russia,55.45N,56.69E
1856-05-01,12.800999999999998,1.999,Ufa,Russia,55.45N,56.69E
1856-06-01,15.532999999999998,1.696,Ufa,Russia,55.45N,56.69E
1856-07-01,17.928,0.816,Ufa,Russia,55.45N,56.69E
1856-08-01,14.071000000000002,1.607,Ufa,Russia,55.45N,56.69E
1856-09-01,9.618,1.636,Ufa,Russia,55.45N,56.69E
1856-10-01,-2.2580000000000005,1.0190000000000001,Ufa,Russia,55.45N,56.69E
1856-11-01,-6.6339999999999995,1.102,Ufa,Russia,55.45N,56.69E
1856-12-01,-8.172,2.238,Ufa,Russia,55.45N,56.69E
1857-01-01,-12.484000000000002,1.236,Ufa,Russia,55.45N,56.69E
1857-02-01,-17.279,1.94,Ufa,Russia,55.45N,56.69E
1857-03-01,-5.731,1.781,Ufa,Russia,55.45N,56.69E
1857-04-01,0.758,0.7440000000000001,Ufa,Russia,55.45N,56.69E
1857-05-01,9.978,0.8440000000000001,Ufa,Russia,55.45N,56.69E
1857-06-01,14.049000000000001,0.7609999999999999,Ufa,Russia,55.45N,56.69E
1857-07-01,17.439,0.858,Ufa,Russia,55.45N,56.69E
1857-08-01,16.259,1.124,Ufa,Russia,55.45N,56.69E
1857-09-01,7.039,0.8740000000000001,Ufa,Russia,55.45N,56.69E
1857-10-01,-0.69,1.295,Ufa,Russia,55.45N,56.69E
1857-11-01,-9.059,0.9590000000000001,Ufa,Russia,55.45N,56.69E
1857-12-01,-14.378,1.001,Ufa,Russia,55.45N,56.69E
1858-01-01,-14.15,2.345,Ufa,Russia,55.45N,56.69E
1858-02-01,-14.283,1.76,Ufa,Russia,55.45N,56.69E
1858-03-01,-8.741999999999999,0.9490000000000001,Ufa,Russia,55.45N,56.69E
1858-04-01,3.7560000000000002,1.381,Ufa,Russia,55.45N,56.69E
1858-05-01,14.13,1.2590000000000001,Ufa,Russia,55.45N,56.69E
1858-06-01,14.88,1.579,Ufa,Russia,55.45N,56.69E
1858-07-01,18.519,1.227,Ufa,Russia,55.45N,56.69E
1858-08-01,12.099,1.0959999999999999,Ufa,Russia,55.45N,56.69E
1858-09-01,7.691,1.004,Ufa,Russia,55.45N,56.69E
1858-10-01,2.155,1.092,Ufa,Russia,55.45N,56.69E
1858-11-01,-8.545,1.496,Ufa,Russia,55.45N,56.69E
1858-12-01,-12.708,1.218,Ufa,Russia,55.45N,56.69E
1859-01-01,-14.811,1.415,Ufa,Russia,55.45N,56.69E
1859-02-01,-10.251,1.08,Ufa,Russia,55.45N,56.69E
1859-03-01,-8.059,0.963,Ufa,Russia,55.45N,56.69E
1859-04-01,6.276,0.809,Ufa,Russia,55.45N,56.69E
1859-05-01,10.592,0.8109999999999999,Ufa,Russia,55.45N,56.69E
1859-06-01,18.538,1.188,Ufa,Russia,55.45N,56.69E
1859-07-01,18.178,1.214,Ufa,Russia,55.45N,56.69E
1859-08-01,13.63,0.534,Ufa,Russia,55.45N,56.69E
1859-09-01,9.286,0.853,Ufa,Russia,55.45N,56.69E
1859-10-01,3.9360000000000004,1.0979999999999999,Ufa,Russia,55.45N,56.69E
1859-11-01,-4.032,1.5490000000000002,Ufa,Russia,55.45N,56.69E
1859-12-01,-9.955,2.05,Ufa,Russia,55.45N,56.69E
1860-01-01,-17.192999999999998,1.085,Ufa,Russia,55.45N,56.69E
1860-02-01,-14.698,0.971,Ufa,Russia,55.45N,56.69E
1860-03-01,-13.245,2.9189999999999996,Ufa,Russia,55.45N,56.69E
1860-04-01,2.99,1.361,Ufa,Russia,55.45N,56.69E
1860-05-01,11.904000000000002,0.564,Ufa,Russia,55.45N,56.69E
1860-06-01,15.816,0.857,Ufa,Russia,55.45N,56.69E
1860-07-01,18.499,1.1840000000000002,Ufa,Russia,55.45N,56.69E
1860-08-01,16.357,0.813,Ufa,Russia,55.45N,56.69E
1860-09-01,11.227,0.628,Ufa,Russia,55.45N,56.69E
1860-10-01,3.488,0.69,Ufa,Russia,55.45N,56.69E
1860-11-01,-8.763,0.685,Ufa,Russia,55.45N,56.69E
1860-12-01,-22.999,1.485,Ufa,Russia,55.45N,56.69E
1861-01-01,-18.588,2.557,Ufa,Russia,55.45N,56.69E
1861-02-01,-14.796,0.815,Ufa,Russia,55.45N,56.69E
1861-03-01,-6.037000000000001,0.593,Ufa,Russia,55.45N,56.69E
1861-04-01,-1.33,1.2429999999999999,Ufa,Russia,55.45N,56.69E
1861-05-01,14.209000000000001,0.871,Ufa,Russia,55.45N,56.69E
1861-06-01,12.884999999999998,1.854,Ufa,Russia,55.45N,56.69E
1861-07-01,19.362,1.444,Ufa,Russia,55.45N,56.69E
1861-08-01,16.877000000000002,0.555,Ufa,Russia,55.45N,56.69E
1861-09-01,10.235,0.45399999999999996,Ufa,Russia,55.45N,56.69E
1861-10-01,-0.995,0.7170000000000001,Ufa,Russia,55.45N,56.69E
1861-11-01,-6.769,3.725,Ufa,Russia,55.45N,56.69E
1861-12-01,-14.415,2.104,Ufa,Russia,55.45N,56.69E
1862-01-01,-18.029,1.27,Ufa,Russia,55.45N,56.69E
1862-02-01,-18.593,1.14,Ufa,Russia,55.45N,56.69E
