113,0.8390000000000001,Kuytun,China,44.20N,84.97E
1940-02-01,-15.217,1.297,Kuytun,China,44.20N,84.97E
1940-03-01,-2.73,0.7909999999999999,Kuytun,China,44.20N,84.97E
1940-04-01,8.506,0.5329999999999999,Kuytun,China,44.20N,84.97E
1940-05-01,13.390999999999998,0.445,Kuytun,China,44.20N,84.97E
1940-06-01,19.245,0.353,Kuytun,China,44.20N,84.97E
1940-07-01,21.729,0.365,Kuytun,China,44.20N,84.97E
1940-08-01,18.509,0.5489999999999999,Kuytun,China,44.20N,84.97E
1940-09-01,11.027999999999999,0.71,Kuytun,China,44.20N,84.97E
1940-10-01,5.468,0.8,Kuytun,China,44.20N,84.97E
1940-11-01,-6.3229999999999995,0.685,Kuytun,China,44.20N,84.97E
1940-12-01,-11.002,1.266,Kuytun,China,44.20N,84.97E
1941-01-01,-17.159000000000002,1.156,Kuytun,China,44.20N,84.97E
1941-02-01,-15.348999999999998,1.871,Kuytun,China,44.20N,84.97E
1941-03-01,-4.181,2.293,Kuytun,China,44.20N,84.97E
1941-04-01,8.979,0.544,Kuytun,China,44.20N,84.97E
1941-05-01,14.892999999999999,0.493,Kuytun,China,44.20N,84.97E
1941-06-01,20.633000000000006,0.542,Kuytun,China,44.20N,84.97E
1941-07-01,20.039,0.557,Kuytun,China,44.20N,84.97E
1941-08-01,19.727,0.371,Kuytun,China,44.20N,84.97E
1941-09-01,12.548,0.337,Kuytun,China,44.20N,84.97E
1941-10-01,6.7780000000000005,0.748,Kuytun,China,44.20N,84.97E
1941-11-01,-4.504,1.558,Kuytun,China,44.20N,84.97E
1941-12-01,-12.378,1.08,Kuytun,China,44.20N,84.97E
1942-01-01,-18.561,0.9079999999999999,Kuytun,China,44.20N,84.97E
1942-02-01,-22.069000000000003,1.6269999999999998,Kuytun,China,44.20N,84.97E
1942-03-01,-2.7710000000000004,1.0270000000000001,Kuytun,China,44.20N,84.97E
1942-04-01,6.831,0.479,Kuytun,China,44.20N,84.97E
1942-05-01,12.408,0.34700000000000003,Kuytun,China,44.20N,84.97E
1942-06-01,19.473000000000006,0.409,Kuytun,China,44.20N,84.97E
1942-07-01,20.464,0.282,Kuytun,China,44.20N,84.97E
1942-08-01,18.865,0.289,Kuytun,China,44.20N,84.97E
1942-09-01,13.594000000000001,0.379,Kuytun,China,44.20N,84.97E
1942-10-01,5.045,0.557,Kuytun,China,44.20N,84.97E
1942-11-01,-4.212,0.998,Kuytun,China,44.20N,84.97E
1942-12-01,-15.136,0.934,Kuytun,China,44.20N,84.97E
1943-01-01,-20.618,0.983,Kuytun,China,44.20N,84.97E
1943-02-01,-17.017,1.03,Kuytun,China,44.20N,84.97E
1943-03-01,-3.947,2.525,Kuytun,China,44.20N,84.97E
1943-04-01,8.668,2.039,Kuytun,China,44.20N,84.97E
1943-05-01,15.898,2.346,Kuytun,China,44.20N,84.97E
1943-06-01,18.201,1.42,Kuytun,China,44.20N,84.97E
1943-07-01,22.916,1.901,Kuytun,China,44.20N,84.97E
1943-08-01,21.33,1.351,Kuytun,China,44.20N,84.97E
1943-09-01,14.1,1.3519999999999999,Kuytun,China,44.20N,84.97E
1943-10-01,4.414,0.875,Kuytun,China,44.20N,84.97E
1943-11-01,-9.342,1.27,Kuytun,China,44.20N,84.97E
1943-12-01,-17.048000000000002,2.21,Kuytun,China,44.20N,84.97E
1944-01-01,-20.925,1.18,Kuytun,China,44.20N,84.97E
1944-02-01,-16.471999999999998,1.05,Kuytun,China,44.20N,84.97E
1944-03-01,0.6710000000000003,2.201,Kuytun,China,44.20N,84.97E
1944-04-01,7.8389999999999995,1.157,Kuytun,China,44.20N,84.97E
1944-05-01,14.524000000000001,0.33,Kuytun,China,44.20N,84.97E
1944-06-01,19.898000000000003,1.308,Kuytun,China,44.20N,84.97E
1944-07-01,22.314,1.389,Kuytun,China,44.20N,84.97E
1944-08-01,19.347,0.652,Kuytun,China,44.20N,84.97E
1944-09-01,12.25,0.494,Kuytun,China,44.20N,84.97E
1944-10-01,3.951,0.38,Kuytun,China,44.20N,84.97E
1944-11-01,-8.620000000000001,0.809,Kuytun,China,44.20N,84.97E
1944-12-01,-24.379,0.9890000000000001,Kuytun,China,44.20N,84.97E
1945-01-01,-21.412000000000006,2.504,Kuytun,China,44.20N,84.97E
1945-02-01,-21.109,2.38,Kuytun,China,44.20N,84.97E
1945-03-01,-7.250999999999999,1.143,Kuytun,China,44.20N,84.97E
1945-04-01,10.64,1.766,Kuytun,China,44.20N,84.97E
1945-05-01,17.337,0.914,Kuytun,China,44.20N,84.97E
1945-06-01,20.066000000000006,0.973,Kuytun,China,44.20N,84.97E
1945-07-01,20.785999999999998,0.638,Kuytun,China,44.20N,84.97E
1945-08-01,20.51,0.369,Kuytun,China,44.20N,84.97E
1945-09-01,13.306,0.386,Kuytun,China,44.20N,84.97E
1945-10-01,7.666,1.954,Kuytun,China,44.20N,84.97E
1945-11-01,-6.0729999999999995,0.773,Kuytun,China,44.20N,84.97E
1945-12-01,-14.690999999999999,1.575,Kuytun,China,44.20N,84.97E
1946-01-01,-17.891000000000005,1.122,Kuytun,China,44.20N,84.97E
1946-02-01,-12.123,1.239,Kuytun,China,44.20N,84.97E
1946-03-01,-8.339,0.853,Kuytun,China,44.20N,84.97E
1946-04-01,9.377,0.664,Kuytun,China,44.20N,84.97E
1946-05-01,13.062000000000001,0.585,Kuytun,China,44.20N,84.97E
1946-06-01,16.579,0.828,Kuytun,China,44.20N,84.97E
1946-07-01,20.191000000000006,0.379,Kuytun,China,44.20N,84.97E
1946-08-01,17.834,0.39299999999999996,Kuytun,China,44.20N,84.97E
1946-09-01,12.495,0.58,Kuytun,China,44.20N,84.97E
1946-10-01,7.252000000000001,1.281,Kuytun,China,44.20N,84.97E
1946-11-01,-6.974,1.071,Kuytun,China,44.20N,84.97E
1946-12-01,-18.982,1.165,Kuytun,China,44.20N,84.97E
1947-01-01,-20.863000000000003,0.778,Kuytun,China,44.20N,84.97E
1947-02-01,-18.154,0.6409999999999999,Kuytun,China,44.20N,84.97E
1947-03-01,-1.35,0.563,Kuytun,China,44.20N,84.97E
1947-04-01,9.941,0.7090000000000001,Kuytun,China,44.20N,84.97E
1947-05-01,13.722000000000001,0.52,Kuytun,China,44.20N,84.97E
1947-06-01,17.894000000000005,0.579,Kuytun,China,44.20N,84.97E
1947-07-01,19.649,0.308,Kuytun,China,44.20N,84.97E
1947-08-01,18.921,0.608,Kuytun,China,44.20N,84.97E
