113,0.8390000000000001,Kuytun,China,44.20N,84.97E
1887-03-01,20.78,1.2309999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1887-04-01,19.632,1.274,Kwekwe,Zimbabwe,18.48S,30.42E
1887-05-01,17.245,1.3359999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1887-06-01,14.894,1.217,Kwekwe,Zimbabwe,18.48S,30.42E
1887-07-01,14.894,1.357,Kwekwe,Zimbabwe,18.48S,30.42E
1887-08-01,16.961000000000002,1.452,Kwekwe,Zimbabwe,18.48S,30.42E
1887-09-01,20.726999999999997,1.3780000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1887-10-01,22.934,1.26,Kwekwe,Zimbabwe,18.48S,30.42E
1887-11-01,22.643,1.287,Kwekwe,Zimbabwe,18.48S,30.42E
1887-12-01,21.427,1.31,Kwekwe,Zimbabwe,18.48S,30.42E
1888-01-01,20.75,1.32,Kwekwe,Zimbabwe,18.48S,30.42E
1888-02-01,21.135,1.199,Kwekwe,Zimbabwe,18.48S,30.42E
1888-03-01,20.87,1.2819999999999998,Kwekwe,Zimbabwe,18.48S,30.42E
1888-04-01,19.755000000000006,1.3719999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1888-05-01,17.136,1.406,Kwekwe,Zimbabwe,18.48S,30.42E
1888-06-01,15.214,1.2429999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1888-07-01,15.033,1.335,Kwekwe,Zimbabwe,18.48S,30.42E
1888-08-01,17.810000000000006,1.4469999999999998,Kwekwe,Zimbabwe,18.48S,30.42E
1888-09-01,20.458,1.403,Kwekwe,Zimbabwe,18.48S,30.42E
1888-10-01,23.671999999999997,1.288,Kwekwe,Zimbabwe,18.48S,30.42E
1888-11-01,23.054000000000002,1.4280000000000002,Kwekwe,Zimbabwe,18.48S,30.42E
1888-12-01,21.936,1.1909999999999998,Kwekwe,Zimbabwe,18.48S,30.42E
1889-01-01,21.743000000000002,1.022,Kwekwe,Zimbabwe,18.48S,30.42E
1889-02-01,22.355,1.253,Kwekwe,Zimbabwe,18.48S,30.42E
1889-03-01,21.786,1.028,Kwekwe,Zimbabwe,18.48S,30.42E
1889-04-01,20.636000000000006,1.005,Kwekwe,Zimbabwe,18.48S,30.42E
1889-05-01,18.493,1.2670000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1889-06-01,15.851,0.9790000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1889-07-01,15.571,1.4,Kwekwe,Zimbabwe,18.48S,30.42E
1889-08-01,17.538,1.13,Kwekwe,Zimbabwe,18.48S,30.42E
1889-09-01,20.967,1.0170000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1889-10-01,22.61,1.122,Kwekwe,Zimbabwe,18.48S,30.42E
1889-11-01,22.939,1.3769999999999998,Kwekwe,Zimbabwe,18.48S,30.42E
1889-12-01,22.294,1.403,Kwekwe,Zimbabwe,18.48S,30.42E
1890-01-01,21.617,1.3780000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1890-02-01,21.523000000000003,1.4880000000000002,Kwekwe,Zimbabwe,18.48S,30.42E
1890-03-01,21.152,1.2770000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1890-04-01,19.169,1.01,Kwekwe,Zimbabwe,18.48S,30.42E
1890-05-01,16.497999999999998,1.16,Kwekwe,Zimbabwe,18.48S,30.42E
1890-06-01,15.254000000000001,1.2570000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1890-07-01,14.748,1.224,Kwekwe,Zimbabwe,18.48S,30.42E
1890-08-01,17.430999999999997,1.31,Kwekwe,Zimbabwe,18.48S,30.42E
1890-09-01,21.340999999999998,1.051,Kwekwe,Zimbabwe,18.48S,30.42E
1890-10-01,21.99,1.171,Kwekwe,Zimbabwe,18.48S,30.42E
1890-11-01,22.434,1.167,Kwekwe,Zimbabwe,18.48S,30.42E
1890-12-01,21.214000000000002,1.213,Kwekwe,Zimbabwe,18.48S,30.42E
1891-01-01,20.953000000000003,1.199,Kwekwe,Zimbabwe,18.48S,30.42E
1891-02-01,21.226999999999997,1.131,Kwekwe,Zimbabwe,18.48S,30.42E
1891-03-01,20.821,1.117,Kwekwe,Zimbabwe,18.48S,30.42E
1891-04-01,20.262,1.094,Kwekwe,Zimbabwe,18.48S,30.42E
1891-05-01,17.488,1.075,Kwekwe,Zimbabwe,18.48S,30.42E
1891-06-01,15.258,1.081,Kwekwe,Zimbabwe,18.48S,30.42E
1891-07-01,15.604000000000001,1.226,Kwekwe,Zimbabwe,18.48S,30.42E
1891-08-01,16.91,1.092,Kwekwe,Zimbabwe,18.48S,30.42E
1891-09-01,20.718000000000004,1.001,Kwekwe,Zimbabwe,18.48S,30.42E
1891-10-01,22.515,1.051,Kwekwe,Zimbabwe,18.48S,30.42E
1891-11-01,22.808000000000003,1.13,Kwekwe,Zimbabwe,18.48S,30.42E
1891-12-01,21.249000000000002,1.033,Kwekwe,Zimbabwe,18.48S,30.42E
1892-01-01,21.878,1.381,Kwekwe,Zimbabwe,18.48S,30.42E
1892-02-01,21.557,0.847,Kwekwe,Zimbabwe,18.48S,30.42E
1892-03-01,21.526,0.802,Kwekwe,Zimbabwe,18.48S,30.42E
1892-04-01,19.477,0.723,Kwekwe,Zimbabwe,18.48S,30.42E
1892-05-01,17.724,0.7709999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1892-06-01,15.417,0.973,Kwekwe,Zimbabwe,18.48S,30.42E
1892-07-01,14.921,0.655,Kwekwe,Zimbabwe,18.48S,30.42E
1892-08-01,16.816000000000006,0.85,Kwekwe,Zimbabwe,18.48S,30.42E
1892-09-01,21.554,1.485,Kwekwe,Zimbabwe,18.48S,30.42E
1892-10-01,23.138,1.344,Kwekwe,Zimbabwe,18.48S,30.42E
1892-11-01,23.128,1.462,Kwekwe,Zimbabwe,18.48S,30.42E
1892-12-01,21.738000000000003,1.072,Kwekwe,Zimbabwe,18.48S,30.42E
1893-01-01,21.066,1.112,Kwekwe,Zimbabwe,18.48S,30.42E
1893-02-01,21.068,0.7559999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1893-03-01,21.172,1.167,Kwekwe,Zimbabwe,18.48S,30.42E
1893-04-01,19.709000000000003,0.754,Kwekwe,Zimbabwe,18.48S,30.42E
1893-05-01,16.987000000000002,0.9670000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1893-06-01,15.073,0.802,Kwekwe,Zimbabwe,18.48S,30.42E
1893-07-01,14.855,0.688,Kwekwe,Zimbabwe,18.48S,30.42E
1893-08-01,17.699,1.304,Kwekwe,Zimbabwe,18.48S,30.42E
1893-09-01,20.671,1.068,Kwekwe,Zimbabwe,18.48S,30.42E
1893-10-01,22.215,0.6459999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1893-11-01,23.01,0.894,Kwekwe,Zimbabwe,18.48S,30.42E
1893-12-01,21.576,0.956,Kwekwe,Zimbabwe,18.48S,30.42E
1894-01-01,20.936,0.722,Kwekwe,Zimbabwe,18.48S,30.42E
1894-02-01,21.83,0.9209999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1894-03-01,21.686,1.028,Kwekwe,Zimbabwe,18.48S,30.42E
1894-04-01,19.072000000000006,1.011,Kwekwe,Zimbabwe,18.48S,30.42E
1894-05-01,17.74,0.846,Kwekwe,Zimbabwe,18.48S,30.42E
1894-06-01,15.44,0.75,Kwekwe,Zimbabwe,18.48S,30.42E
1894-07-01,15.137,0.9690000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1894-08-01,17.551000000000002,0.917,Kwekwe,Zimbabwe,18.48S,30.42E
1894-09-01,20.589,1.258,Kwekwe,Zimbabwe,18.48S,30.42E
1894-10-01,23.116999999999997,0.9490000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1894-11-01,23.184,1.005,Kwekwe,Zimbabwe,18.48S,30.42E
1894-12-01,20.916,1.6380000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1895-01-01,20.868000000000002,1.085,Kwekwe,Zimbabwe,18.48S,30.42E
1895-02-01,21.276999999999997,0.82,Kwekwe,Zimbabwe,18.48S,30.42E
1895-03-01,21.661,0.71,Kwekwe,Zimbabwe,18.48S,30.42E
1895-04-01,20.016,1.0270000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1895-05-01,17.767,0.715,Kwekwe,Zimbabwe,18.48S,30.42E
1895-06-01,14.925,0.6609999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1895-07-01,15.727,1.151,Kwekwe,Zimbabwe,18.48S,30.42E
1895-08-01,17.765,0.892,Kwekwe,Zimbabwe,18.48S,30.42E
1895-09-01,20.576,1.011,Kwekwe,Zimbabwe,18.48S,30.42E
1895-10-01,23.339,0.84,Kwekwe,Zimbabwe,18.48S,30.42E
1895-11-01,23.605,0.877,Kwekwe,Zimbabwe,18.48S,30.42E
1895-12-01,22.023000000000003,0.968,Kwekwe,Zimbabwe,18.48S,30.42E
1896-01-01,21.545,1.065,Kwekwe,Zimbabwe,18.48S,30.42E
1896-02-01,21.941999999999997,0.8809999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1896-03-01,22.144000000000002,1.026,Kwekwe,Zimbabwe,18.48S,30.42E
1896-04-01,19.908,0.9490000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1896-05-01,17.387,0.915,Kwekwe,Zimbabwe,18.48S,30.42E
1896-06-01,15.989,0.889,Kwekwe,Zimbabwe,18.48S,30.42E
1896-07-01,15.26,0.746,Kwekwe,Zimbabwe,18.48S,30.42E
1896-08-01,18.239,0.902,Kwekwe,Zimbabwe,18.48S,30.42E
1896-09-01,21.55,0.862,Kwekwe,Zimbabwe,18.48S,30.42E
1896-10-01,23.584,0.856,Kwekwe,Zimbabwe,18.48S,30.42E
1896-11-01,22.33,1.432,Kwekwe,Zimbabwe,18.48S,30.42E
1896-12-01,22.63,0.934,Kwekwe,Zimbabwe,18.48S,30.42E
1897-01-01,20.227,1.105,Kwekwe,Zimbabwe,18.48S,30.42E
1897-02-01,21.276,0.8340000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1897-03-01,21.315,0.5479999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1897-04-01,19.628,1.181,Kwekwe,Zimbabwe,18.48S,30.42E
1897-05-01,17.535,0.616,Kwekwe,Zimbabwe,18.48S,30.42E
1897-06-01,15.142000000000001,0.601,Kwekwe,Zimbabwe,18.48S,30.42E
1897-07-01,16.208,0.705,Kwekwe,Zimbabwe,18.48S,30.42E
1897-08-01,17.742,0.978,Kwekwe,Zimbabwe,18.48S,30.42E
1897-09-01,21.543000000000003,0.88,Kwekwe,Zimbabwe,18.48S,30.42E
1897-10-01,25.122,1.261,Kwekwe,Zimbabwe,18.48S,30.42E
1897-11-01,24.564,0.67,Kwekwe,Zimbabwe,18.48S,30.42E
1897-12-01,20.868000000000002,0.88,Kwekwe,Zimbabwe,18.48S,30.42E
1898-01-01,22.063000000000002,0.726,Kwekwe,Zimbabwe,18.48S,30.42E
1898-02-01,20.871,0.537,Kwekwe,Zimbabwe,18.48S,30.42E
1898-03-01,21.816,0.86,Kwekwe,Zimbabwe,18.48S,30.42E
1898-04-01,19.912000000000006,1.206,Kwekwe,Zimbabwe,18.48S,30.42E
1898-05-01,17.482,0.522,Kwekwe,Zimbabwe,18.48S,30.42E
1898-06-01,14.89,0.375,Kwekwe,Zimbabwe,18.48S,30.42E
1898-07-01,14.335,0.69,Kwekwe,Zimbabwe,18.48S,30.42E
1898-08-01,15.05,1.541,Kwekwe,Zimbabwe,18.48S,30.42E
1898-09-01,20.445999999999998,0.484,Kwekwe,Zimbabwe,18.48S,30.42E
1898-10-01,23.064,0.5379999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1898-11-01,23.486,1.13,Kwekwe,Zimbabwe,18.48S,30.42E
1898-12-01,21.648000000000003,0.9079999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1899-01-01,22.752,0.7340000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1899-02-01,21.1,0.67,Kwekwe,Zimbabwe,18.48S,30.42E
1899-03-01,21.306,0.6890000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1899-04-01,19.628,0.79,Kwekwe,Zimbabwe,18.48S,30.42E
1899-05-01,16.418,1.143,Kwekwe,Zimbabwe,18.48S,30.42E
1899-06-01,14.568,1.051,Kwekwe,Zimbabwe,18.48S,30.42E
1899-07-01,16.035999999999998,1.307,Kwekwe,Zimbabwe,18.48S,30.42E
1899-08-01,17.951,0.821,Kwekwe,Zimbabwe,18.48S,30.42E
1899-09-01,20.973000000000003,0.774,Kwekwe,Zimbabwe,18.48S,30.42E
1899-10-01,23.101999999999997,0.653,Kwekwe,Zimbabwe,18.48S,30.42E
1899-11-01,22.16,0.847,Kwekwe,Zimbabwe,18.48S,30.42E
1899-12-01,21.451,0.8740000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1900-01-01,21.972,0.483,Kwekwe,Zimbabwe,18.48S,30.42E
1900-02-01,21.259,0.759,Kwekwe,Zimbabwe,18.48S,30.42E
1900-03-01,22.294,0.5660000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1900-04-01,20.631999999999998,0.616,Kwekwe,Zimbabwe,18.48S,30.42E
1900-05-01,17.918,0.361,Kwekwe,Zimbabwe,18.48S,30.42E
1900-06-01,15.335,0.51,Kwekwe,Zimbabwe,18.48S,30.42E
1900-07-01,15.51,0.615,Kwekwe,Zimbabwe,18.48S,30.42E
1900-08-01,18.267000000000003,0.738,Kwekwe,Zimbabwe,18.48S,30.42E
1900-09-01,20.555,1.002,Kwekwe,Zimbabwe,18.48S,30.42E
1900-10-01,24.506999999999998,0.7140000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1900-11-01,23.555,0.7340000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1900-12-01,22.024,0.695,Kwekwe,Zimbabwe,18.48S,30.42E
1901-01-01,22.031,0.995,Kwekwe,Zimbabwe,18.48S,30.42E
1901-02-01,22.205,0.925,Kwekwe,Zimbabwe,18.48S,30.42E
1901-03-01,22.275,0.349,Kwekwe,Zimbabwe,18.48S,30.42E
1901-04-01,20.292,0.624,Kwekwe,Zimbabwe,18.48S,30.42E
1901-05-01,17.705,0.429,Kwekwe,Zimbabwe,18.48S,30.42E
1901-06-01,14.558,0.385,Kwekwe,Zimbabwe,18.48S,30.42E
1901-07-01,14.616,0.519,Kwekwe,Zimbabwe,18.48S,30.42E
1901-08-01,17.35,0.368,Kwekwe,Zimbabwe,18.48S,30.42E
1901-09-01,20.252,0.93,Kwekwe,Zimbabwe,18.48S,30.42E
1901-10-01,21.543000000000003,0.8320000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1901-11-01,22.383000000000003,0.655,Kwekwe,Zimbabwe,18.48S,30.42E
1901-12-01,21.601999999999997,0.638,Kwekwe,Zimbabwe,18.48S,30.42E
1902-01-01,21.814,0.765,Kwekwe,Zimbabwe,18.48S,30.42E
1902-02-01,21.612,0.44799999999999995,Kwekwe,Zimbabwe,18.48S,30.42E
1902-03-01,21.241,0.247,Kwekwe,Zimbabwe,18.48S,30.42E
1902-04-01,20.98,0.37200000000000005,Kwekwe,Zimbabwe,18.48S,30.42E
1902-05-01,17.342,1.136,Kwekwe,Zimbabwe,18.48S,30.42E
1902-06-01,15.498,0.88,Kwekwe,Zimbabwe,18.48S,30.42E
1902-07-01,16.051,0.982,Kwekwe,Zimbabwe,18.48S,30.42E
1902-08-01,18.312,1.3630000000000002,Kwekwe,Zimbabwe,18.48S,30.42E
1902-09-01,21.574,0.961,Kwekwe,Zimbabwe,18.48S,30.42E
1902-10-01,20.971999999999998,0.462,Kwekwe,Zimbabwe,18.48S,30.42E
1902-11-01,22.964000000000002,0.474,Kwekwe,Zimbabwe,18.48S,30.42E
1902-12-01,22.47,0.603,Kwekwe,Zimbabwe,18.48S,30.42E
1903-01-01,21.825,0.634,Kwekwe,Zimbabwe,18.48S,30.42E
1903-02-01,22.328000000000003,0.532,Kwekwe,Zimbabwe,18.48S,30.42E
1903-03-01,22.162,0.423,Kwekwe,Zimbabwe,18.48S,30.42E
1903-04-01,21.285,0.7,Kwekwe,Zimbabwe,18.48S,30.42E
1903-05-01,18.945,0.768,Kwekwe,Zimbabwe,18.48S,30.42E
1903-06-01,15.532,0.5429999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1903-07-01,15.103,0.96,Kwekwe,Zimbabwe,18.48S,30.42E
1903-08-01,18.023000000000003,0.512,Kwekwe,Zimbabwe,18.48S,30.42E
1903-09-01,20.125999999999998,4.756,Kwekwe,Zimbabwe,18.48S,30.42E
1903-10-01,22.894,2.066,Kwekwe,Zimbabwe,18.48S,30.42E
1903-11-01,22.464000000000002,0.632,Kwekwe,Zimbabwe,18.48S,30.42E
1903-12-01,21.115,0.5479999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1904-01-01,20.786,0.619,Kwekwe,Zimbabwe,18.48S,30.42E
1904-02-01,20.555,0.698,Kwekwe,Zimbabwe,18.48S,30.42E
1904-03-01,19.979,0.483,Kwekwe,Zimbabwe,18.48S,30.42E
1904-04-01,18.531,2.4619999999999997,Kwekwe,Zimbabwe,18.48S,30.42E
1904-05-01,16.683,1.057,Kwekwe,Zimbabwe,18.48S,30.42E
1904-06-01,15.975,0.426,Kwekwe,Zimbabwe,18.48S,30.42E
1904-07-01,14.396,0.672,Kwekwe,Zimbabwe,18.48S,30.42E
1904-08-01,16.963,0.5760000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1904-09-01,18.803,0.665,Kwekwe,Zimbabwe,18.48S,30.42E
1904-10-01,22.205,0.425,Kwekwe,Zimbabwe,18.48S,30.42E
1904-11-01,23.197,0.444,Kwekwe,Zimbabwe,18.48S,30.42E
1904-12-01,20.385,0.614,Kwekwe,Zimbabwe,18.48S,30.42E
1905-01-01,21.796,0.748,Kwekwe,Zimbabwe,18.48S,30.42E
1905-02-01,21.577,0.371,Kwekwe,Zimbabwe,18.48S,30.42E
1905-03-01,20.333,0.925,Kwekwe,Zimbabwe,18.48S,30.42E
1905-04-01,19.437,0.77,Kwekwe,Zimbabwe,18.48S,30.42E
1905-05-01,17.18,0.628,Kwekwe,Zimbabwe,18.48S,30.42E
1905-06-01,16.745,2.696,Kwekwe,Zimbabwe,18.48S,30.42E
1905-07-01,14.377,0.883,Kwekwe,Zimbabwe,18.48S,30.42E
1905-08-01,18.107000000000006,1.026,Kwekwe,Zimbabwe,18.48S,30.42E
1905-09-01,21.734,1.2990000000000002,Kwekwe,Zimbabwe,18.48S,30.42E
1905-10-01,24.176,0.917,Kwekwe,Zimbabwe,18.48S,30.42E
1905-11-01,22.839000000000002,0.5539999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1905-12-01,22.385,0.445,Kwekwe,Zimbabwe,18.48S,30.42E
1906-01-01,22.966,1.002,Kwekwe,Zimbabwe,18.48S,30.42E
1906-02-01,21.105,0.693,Kwekwe,Zimbabwe,18.48S,30.42E
1906-03-01,21.401,0.7559999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1906-04-01,19.541,0.319,Kwekwe,Zimbabwe,18.48S,30.42E
1906-05-01,18.026,0.49200000000000005,Kwekwe,Zimbabwe,18.48S,30.42E
1906-06-01,15.322000000000001,0.325,Kwekwe,Zimbabwe,18.48S,30.42E
1906-07-01,15.008,0.36700000000000005,Kwekwe,Zimbabwe,18.48S,30.42E
1906-08-01,16.914,0.425,Kwekwe,Zimbabwe,18.48S,30.42E
1906-09-01,20.521,0.24100000000000002,Kwekwe,Zimbabwe,18.48S,30.42E
1906-10-01,21.759,0.36,Kwekwe,Zimbabwe,18.48S,30.42E
1906-11-01,21.464000000000002,0.524,Kwekwe,Zimbabwe,18.48S,30.42E
1906-12-01,21.698,0.5760000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1907-01-01,22.075,0.349,Kwekwe,Zimbabwe,18.48S,30.42E
1907-02-01,21.305999999999997,0.5660000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1907-03-01,21.207,0.26899999999999996,Kwekwe,Zimbabwe,18.48S,30.42E
1907-04-01,19.635,0.418,Kwekwe,Zimbabwe,18.48S,30.42E
1907-05-01,17.285,0.287,Kwekwe,Zimbabwe,18.48S,30.42E
1907-06-01,14.725,0.27899999999999997,Kwekwe,Zimbabwe,18.48S,30.42E
1907-07-01,13.380999999999998,0.5,Kwekwe,Zimbabwe,18.48S,30.42E
1907-08-01,15.539,1.109,Kwekwe,Zimbabwe,18.48S,30.42E
1907-09-01,19.851,0.6859999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1907-10-01,22.274,0.39299999999999996,Kwekwe,Zimbabwe,18.48S,30.42E
1907-11-01,22.414,0.44799999999999995,Kwekwe,Zimbabwe,18.48S,30.42E
1907-12-01,21.631,0.9079999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1908-01-01,21.642,0.49200000000000005,Kwekwe,Zimbabwe,18.48S,30.42E
1908-02-01,21.481,0.851,Kwekwe,Zimbabwe,18.48S,30.42E
1908-03-01,21.35,1.05,Kwekwe,Zimbabwe,18.48S,30.42E
1908-04-01,20.067,1.36,Kwekwe,Zimbabwe,18.48S,30.42E
1908-05-01,16.406,0.6629999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1908-06-01,15.952,0.628,Kwekwe,Zimbabwe,18.48S,30.42E
1908-07-01,15.503,1.27,Kwekwe,Zimbabwe,18.48S,30.42E
1908-08-01,18.296000000000006,0.7290000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1908-09-01,21.601999999999997,0.772,Kwekwe,Zimbabwe,18.48S,30.42E
1908-10-01,23.831,0.664,Kwekwe,Zimbabwe,18.48S,30.42E
1908-11-01,23.252,1.24,Kwekwe,Zimbabwe,18.48S,30.42E
1908-12-01,22.073,0.504,Kwekwe,Zimbabwe,18.48S,30.42E
1909-01-01,21.73,0.385,Kwekwe,Zimbabwe,18.48S,30.42E
1909-02-01,21.885,0.7040000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1909-03-01,21.406999999999996,0.74,Kwekwe,Zimbabwe,18.48S,30.42E
1909-04-01,19.732000000000006,1.5090000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1909-05-01,17.503999999999998,0.498,Kwekwe,Zimbabwe,18.48S,30.42E
1909-06-01,14.575999999999999,0.596,Kwekwe,Zimbabwe,18.48S,30.42E
1909-07-01,15.483,0.429,Kwekwe,Zimbabwe,18.48S,30.42E
1909-08-01,18.17,0.6629999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1909-09-01,20.358,0.94,Kwekwe,Zimbabwe,18.48S,30.42E
1909-10-01,22.843000000000004,0.516,Kwekwe,Zimbabwe,18.48S,30.42E
1909-11-01,23.162,0.747,Kwekwe,Zimbabwe,18.48S,30.42E
1909-12-01,22.944000000000003,0.613,Kwekwe,Zimbabwe,18.48S,30.42E
1910-01-01,21.824,0.6609999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1910-02-01,21.856,0.40299999999999997,Kwekwe,Zimbabwe,18.48S,30.42E
1910-03-01,21.324,0.53,Kwekwe,Zimbabwe,18.48S,30.42E
1910-04-01,19.125999999999998,0.529,Kwekwe,Zimbabwe,18.48S,30.42E
1910-05-01,16.555999999999997,0.433,Kwekwe,Zimbabwe,18.48S,30.42E
1910-06-01,15.107000000000001,0.324,Kwekwe,Zimbabwe,18.48S,30.42E
1910-07-01,14.587,0.462,Kwekwe,Zimbabwe,18.48S,30.42E
1910-08-01,17.682000000000006,0.605,Kwekwe,Zimbabwe,18.48S,30.42E
1910-09-01,20.064,0.598,Kwekwe,Zimbabwe,18.48S,30.42E
1910-10-01,21.682,0.434,Kwekwe,Zimbabwe,18.48S,30.42E
1910-11-01,21.201,0.55,Kwekwe,Zimbabwe,18.48S,30.42E
1910-12-01,21.723000000000003,0.38799999999999996,Kwekwe,Zimbabwe,18.48S,30.42E
1911-01-01,21.138,0.36200000000000004,Kwekwe,Zimbabwe,18.48S,30.42E
1911-02-01,21.068,0.45,Kwekwe,Zimbabwe,18.48S,30.42E
1911-03-01,20.525,0.602,Kwekwe,Zimbabwe,18.48S,30.42E
1911-04-01,19.132,0.54,Kwekwe,Zimbabwe,18.48S,30.42E
1911-05-01,17.293,0.9309999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1911-06-01,14.186,1.045,Kwekwe,Zimbabwe,18.48S,30.42E
1911-07-01,14.181,1.181,Kwekwe,Zimbabwe,18.48S,30.42E
1911-08-01,17.144000000000002,1.278,Kwekwe,Zimbabwe,18.48S,30.42E
1911-09-01,19.365,0.909,Kwekwe,Zimbabwe,18.48S,30.42E
1911-10-01,23.445999999999998,0.34600000000000003,Kwekwe,Zimbabwe,18.48S,30.42E
1911-11-01,23.569000000000003,0.531,Kwekwe,Zimbabwe,18.48S,30.42E
1911-12-01,24.194000000000003,0.433,Kwekwe,Zimbabwe,18.48S,30.42E
1912-01-01,23.22,0.816,Kwekwe,Zimbabwe,18.48S,30.42E
1912-02-01,23.232,0.687,Kwekwe,Zimbabwe,18.48S,30.42E
1912-03-01,21.207,0.626,Kwekwe,Zimbabwe,18.48S,30.42E
1912-04-01,21.636999999999997,0.485,Kwekwe,Zimbabwe,18.48S,30.42E
1912-05-01,20.232,1.348,Kwekwe,Zimbabwe,18.48S,30.42E
1912-06-01,15.366,1.053,Kwekwe,Zimbabwe,18.48S,30.42E
1912-07-01,14.392000000000001,0.495,Kwekwe,Zimbabwe,18.48S,30.42E
1912-08-01,16.519000000000002,0.42700000000000005,Kwekwe,Zimbabwe,18.48S,30.42E
1912-09-01,20.783,0.355,Kwekwe,Zimbabwe,18.48S,30.42E
1912-10-01,22.276999999999997,0.574,Kwekwe,Zimbabwe,18.48S,30.42E
1912-11-01,25.549,0.66,Kwekwe,Zimbabwe,18.48S,30.42E
1912-12-01,21.831999999999997,0.763,Kwekwe,Zimbabwe,18.48S,30.42E
1913-01-01,22.386,0.578,Kwekwe,Zimbabwe,18.48S,30.42E
1913-02-01,22.448,0.5429999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1913-03-01,21.498,0.748,Kwekwe,Zimbabwe,18.48S,30.42E
1913-04-01,20.380000000000006,0.406,Kwekwe,Zimbabwe,18.48S,30.42E
1913-05-01,18.054000000000002,0.5820000000000001,Kwekwe,Zimbabwe,18.48S,30.42E
1913-06-01,14.669,0.585,Kwekwe,Zimbabwe,18.48S,30.42E
1913-07-01,16.293,1.031,Kwekwe,Zimbabwe,18.48S,30.42E
1913-08-01,18.160999999999998,0.8079999999999999,Kwekwe,Zimbabwe,18.48S,30.42E
1913-09-01,21.301,0.735,Kwekwe,Zimbabwe,18.48S,30.42E
1913-10-01,23.747,0.873,Kwekwe,Zimbabwe,18.48S,30.42E
1913-11-01,23.566,0.615,Kwekwe,Zimbabwe,18.48S,30.42E
1913-12-01,24.132,1.8630000000000002,Kwekwe,Zimbabwe,18.48S,30.42E
1914-01-01,23.02,0.762,Kwekwe,Zimbabwe,18.48S,30.42E
1914-02-01,21.626,0.569,Kwekwe,Zimbabwe,18.48S,30.42E
1914-03-01,22.232,0.838,Kwekwe,Zimbabwe,18.48S,30.42E
1914-04-01,21.791999999999998,0.69,Kwekwe,Zimbabwe,18.48S,30.42E
1914-05-01,18.346,0.47200000000000003,Kwekwe,Zimbabwe,18.48S,30.42E
1914-06-01,16.342,0.439,Kwekwe,Zimbabwe,18.48S,30.42E
1914-07-01,14.746,0.379,Kwekwe,Zimbabwe,18.48S,30.42E
1914-08-01,17.492,1.12,Kwekwe,Zimbabwe,18.48S,30.42E
