36,0.5920000000000001,Junagadh,India,21.70N,70.10E
1976-11-01,26.515,0.525,Junagadh,India,21.70N,70.10E
1976-12-01,21.601999999999997,0.653,Junagadh,India,21.70N,70.10E
1977-01-01,20.018,0.5870000000000001,Junagadh,India,21.70N,70.10E
1977-02-01,23.064,0.536,Junagadh,India,21.70N,70.10E
1977-03-01,28.19,0.579,Junagadh,India,21.70N,70.10E
1977-04-01,29.241999999999997,0.483,Junagadh,India,21.70N,70.10E
1977-05-01,30.753,0.397,Junagadh,India,21.70N,70.10E
1977-06-01,30.441999999999997,0.617,Junagadh,India,21.70N,70.10E
1977-07-01,28.548,0.46799999999999997,Junagadh,India,21.70N,70.10E
1977-08-01,28.075,0.43799999999999994,Junagadh,India,21.70N,70.10E
1977-09-01,27.149,0.358,Junagadh,India,21.70N,70.10E
1977-10-01,28.346,0.7020000000000001,Junagadh,India,21.70N,70.10E
1977-11-01,26.544,0.601,Junagadh,India,21.70N,70.10E
1977-12-01,22.398000000000003,0.5720000000000001,Junagadh,India,21.70N,70.10E
1978-01-01,20.342,0.39899999999999997,Junagadh,India,21.70N,70.10E
1978-02-01,22.438000000000002,0.5539999999999999,Junagadh,India,21.70N,70.10E
1978-03-01,25.087,0.349,Junagadh,India,21.70N,70.10E
1978-04-01,28.831999999999997,0.40399999999999997,Junagadh,India,21.70N,70.10E
1978-05-01,30.901999999999997,0.581,Junagadh,India,21.70N,70.10E
1978-06-01,30.214,0.8079999999999999,Junagadh,India,21.70N,70.10E
1978-07-01,28.58,0.47,Junagadh,India,21.70N,70.10E
1978-08-01,27.556,0.5529999999999999,Junagadh,India,21.70N,70.10E
1978-09-01,27.108,0.551,Junagadh,India,21.70N,70.10E
1978-10-01,27.471,0.7190000000000001,Junagadh,India,21.70N,70.10E
1978-11-01,25.435,0.434,Junagadh,India,21.70N,70.10E
1978-12-01,22.27,0.5720000000000001,Junagadh,India,21.70N,70.10E
1979-01-01,20.395,0.425,Junagadh,India,21.70N,70.10E
1979-02-01,21.483,0.48100000000000004,Junagadh,India,21.70N,70.10E
1979-03-01,24.773000000000003,0.508,Junagadh,India,21.70N,70.10E
1979-04-01,28.764,0.298,Junagadh,India,21.70N,70.10E
1979-05-01,30.164,0.40399999999999997,Junagadh,India,21.70N,70.10E
1979-06-01,31.046999999999997,0.508,Junagadh,India,21.70N,70.10E
1979-07-01,29.643,0.359,Junagadh,India,21.70N,70.10E
1979-08-01,27.156,0.41200000000000003,Junagadh,India,21.70N,70.10E
1979-09-01,27.881999999999998,0.541,Junagadh,India,21.70N,70.10E
1979-10-01,26.798,0.59,Junagadh,India,21.70N,70.10E
1979-11-01,25.386999999999997,0.639,Junagadh,India,21.70N,70.10E
1979-12-01,21.878,0.40700000000000003,Junagadh,India,21.70N,70.10E
1980-01-01,20.048,0.631,Junagadh,India,21.70N,70.10E
1980-02-01,23.054000000000002,0.518,Junagadh,India,21.70N,70.10E
1980-03-01,26.148000000000003,0.371,Junagadh,India,21.70N,70.10E
1980-04-01,29.906,0.6829999999999999,Junagadh,India,21.70N,70.10E
1980-05-01,31.014,0.609,Junagadh,India,21.70N,70.10E
1980-06-01,30.265,0.379,Junagadh,India,21.70N,70.10E
1980-07-01,28.436,0.677,Junagadh,India,21.70N,70.10E
1980-08-01,27.467,0.721,Junagadh,India,21.70N,70.10E
1980-09-01,27.328000000000003,0.821,Junagadh,India,21.70N,70.10E
1980-10-01,27.445999999999998,1.255,Junagadh,India,21.70N,70.10E
1980-11-01,24.92,0.708,Junagadh,India,21.70N,70.10E
1980-12-01,20.595,1.012,Junagadh,India,21.70N,70.10E
1981-01-01,20.471,0.9620000000000001,Junagadh,India,21.70N,70.10E
1981-02-01,22.531,1.1179999999999999,Junagadh,India,21.70N,70.10E
1981-03-01,26.104,0.818,Junagadh,India,21.70N,70.10E
1981-04-01,28.625999999999998,1.016,Junagadh,India,21.70N,70.10E
1981-05-01,30.609,1.183,Junagadh,India,21.70N,70.10E
1981-06-01,31.267000000000003,0.613,Junagadh,India,21.70N,70.10E
1981-07-01,28.768,0.29,Junagadh,India,21.70N,70.10E
1981-08-01,27.333000000000002,0.324,Junagadh,India,21.70N,70.10E
1981-09-01,27.928,0.474,Junagadh,India,21.70N,70.10E
1981-10-01,27.521,0.513,Junagadh,India,21.70N,70.10E
1981-11-01,22.84,0.39,Junagadh,India,21.70N,70.10E
1981-12-01,20.972,0.446,Junagadh,India,21.70N,70.10E
1982-01-01,20.261,0.409,Junagadh,India,21.70N,70.10E
1982-02-01,22.171999999999997,0.307,Junagadh,India,21.70N,70.10E
1982-03-01,25.336,0.547,Junagadh,India,21.70N,70.10E
1982-04-01,28.234,0.213,Junagadh,India,21.70N,70.10E
1982-05-01,30.111,0.6579999999999999,Junagadh,India,21.70N,70.10E
1982-06-01,31.208,0.518,Junagadh,India,21.70N,70.10E
1982-07-01,29.362,0.35600000000000004,Junagadh,India,21.70N,70.10E
1982-08-01,28.008000000000003,0.302,Junagadh,India,21.70N,70.10E
1982-09-01,28.04,0.23600000000000002,Junagadh,India,21.70N,70.10E
1982-10-01,28.392000000000003,0.373,Junagadh,India,21.70N,70.10E
1982-11-01,24.614,0.503,Junagadh,India,21.70N,70.10E
1982-12-01,21.995,0.509,Junagadh,India,21.70N,70.10E
1983-01-01,20.225,0.44799999999999995,Junagadh,India,21.70N,70.10E
1983-02-01,21.589000000000002,0.642,Junagadh,India,21.70N,70.10E
1983-03-01,24.825,0.38799999999999996,Junagadh,India,21.70N,70.10E
1983-04-01,26.932,0.8059999999999999,Junagadh,India,21.70N,70.10E
1983-05-01,30.7,0.18899999999999997,Junagadh,India,21.70N,70.10E
1983-06-01,30.730999999999998,0.659,Junagadh,India,21.70N,70.10E
1983-07-01,29.343000000000004,0.419,Junagadh,India,21.70N,70.10E
1983-08-01,27.986,0.324,Junagadh,India,21.70N,70.10E
1983-09-01,28.191999999999997,0.237,Junagadh,India,21.70N,70.10E
1983-10-01,26.828000000000007,0.33299999999999996,Junagadh,India,21.70N,70.10E
1983-11-01,23.694000000000006,0.489,Junagadh,India,21.70N,70.10E
1983-12-01,20.502,0.433,Junagadh,India,21.70N,70.10E
1984-01-01,19.151,0.42,Junagadh,India,21.70N,70.10E
1984-02-01,21.015,0.499,Junagadh,India,21.70N,70.10E
1984-03-01,27.276999999999997,0.9059999999999999,Junagadh,India,21.70N,70.10E
1984-04-01,30.145,0.611,Junagadh,India,21.70N,70.10E
1984-05-01,30.97,0.545,Junagadh,India,21.70N,70.10E
1984-06-01,30.685,0.272,Junagadh,India,21.70N,70.10E
1984-07-01,28.385,0.506,Junagadh,India,21.70N,70.10E
1984-08-01,26.728,0.325,Junagadh,India,21.70N,70.10E
1984-09-01,26.776,0.225,Junagadh,India,21.70N,70.10E
1984-10-01,26.645,0.47100000000000003,Junagadh,India,21.70N,70.10E
1984-11-01,24.343000000000004,0.503,Junagadh,India,21.70N,70.10E
1984-12-01,21.458000000000002,0.486,Junagadh,India,21.70N,70.10E
1985-01-01,19.993,0.23800000000000002,Junagadh,India,21.70N,70.10E
1985-02-01,22.701,0.33299999999999996,Junagadh,India,21.70N,70.10E
1985-03-01,27.389,0.41200000000000003,Junagadh,India,21.70N,70.10E
1985-04-01,28.599,0.395,Junagadh,India,21.70N,70.10E
1985-05-01,30.865,0.552,Junagadh,India,21.70N,70.10E
1985-06-01,30.831000000000003,0.273,Junagadh,India,21.70N,70.10E
1985-07-01,28.811999999999998,0.32799999999999996,Junagadh,India,21.70N,70.10E
1985-08-01,27.381,0.15,Junagadh,India,21.70N,70.10E
1985-09-01,27.668000000000003,0.475,Junagadh,India,21.70N,70.10E
1985-10-01,27.054,0.562,Junagadh,India,21.70N,70.10E
1985-11-01,24.805999999999997,0.316,Junagadh,India,21.70N,70.10E
1985-12-01,21.726999999999997,0.32,Junagadh,India,21.70N,70.10E
1986-01-01,20.394,0.369,Junagadh,India,21.70N,70.10E
1986-02-01,22.33,0.353,Junagadh,India,21.70N,70.10E
1986-03-01,26.215,0.5920000000000001,Junagadh,India,21.70N,70.10E
1986-04-01,29.264,0.43799999999999994,Junagadh,India,21.70N,70.10E
1986-05-01,31.151,0.267,Junagadh,India,21.70N,70.10E
1986-06-01,30.816000000000006,0.5579999999999999,Junagadh,India,21.70N,70.10E
1986-07-01,29.177000000000003,0.39799999999999996,Junagadh,India,21.70N,70.10E
1986-08-01,27.183000000000003,0.6940000000000001,Junagadh,India,21.70N,70.10E
1986-09-01,27.47,0.348,Junagadh,India,21.70N,70.10E
1986-10-01,27.073,0.7390000000000001,Junagadh,India,21.70N,70.10E
1986-11-01,25.569000000000006,0.528,Junagadh,India,21.70N,70.10E
1986-12-01,20.536,0.444,Junagadh,India,21.70N,70.10E
1987-01-01,20.721999999999998,0.28800000000000003,Junagadh,India,21.70N,70.10E
1987-02-01,23.249000000000002,0.518,Junagadh,India,21.70N,70.10E
1987-03-01,26.660999999999998,0.344,Junagadh,India,21.70N,70.10E
1987-04-01,28.912,0.574,Junagadh,India,21.70N,70.10E
1987-05-01,30.814,0.5770000000000001,Junagadh,India,21.70N,70.10E
1987-06-01,31.631999999999998,0.366,Junagadh,India,21.70N,70.10E
1987-07-01,30.766,0.723,Junagadh,India,21.70N,70.10E
1987-08-01,29.393,0.419,Junagadh,India,21.70N,70.10E
1987-09-01,29.096999999999998,0.657,Junagadh,India,21.70N,70.10E
1987-10-01,28.913,0.607,Junagadh,India,21.70N,70.10E
1987-11-01,26.203000000000007,0.304,Junagadh,India,21.70N,70.10E
1987-12-01,22.12,0.61,Junagadh,India,21.70N,70.10E
1988-01-01,22.046999999999997,0.484,Junagadh,India,21.70N,70.10E
1988-02-01,24.125,0.39899999999999997,Junagadh,India,21.70N,70.10E
1988-03-01,26.033,0.376,Junagadh,India,21.70N,70.10E
1988-04-01,29.843000000000004,0.397,Junagadh,India,21.70N,70.10E
1988-05-01,31.581999999999997,0.495,Junagadh,India,21.70N,70.10E
1988-06-01,31.522,0.259,Junagadh,India,21.70N,70.10E
1988-07-01,29.103,0.48200000000000004,Junagadh,India,21.70N,70.10E
1988-08-01,28.47,0.377,Junagadh,India,21.70N,70.10E
1988-09-01,28.618,0.45899999999999996,Junagadh,India,21.70N,70.10E
1988-10-01,27.406,0.379,Junagadh,India,21.70N,70.10E
1988-11-01,24.42,0.488,Junagadh,India,21.70N,70.10E
1988-12-01,21.961,0.491,Junagadh,India,21.70N,70.10E
1989-01-01,19.404,0.475,Junagadh,India,21.70N,70.10E
1989-02-01,22.225,0.306,Junagadh,India,21.70N,70.10E
1989-03-01,25.596,0.52,Junagadh,India,21.70N,70.10E
1989-04-01,28.454,0.6759999999999999,Junagadh,India,21.70N,70.10E
1989-05-01,30.571,0.568,Junagadh,India,21.70N,70.10E
1989-06-01,30.025,0.284,Junagadh,India,21.70N,70.10E
1989-07-01,28.557,0.405,Junagadh,India,21.70N,70.10E
1989-08-01,27.738000000000003,0.531,Junagadh,India,21.70N,70.10E
1989-09-01,28.125,0.664,Junagadh,India,21.70N,70.10E
1989-10-01,27.209,0.311,Junagadh,India,21.70N,70.10E
1989-11-01,25.643,0.43200000000000005,Junagadh,India,21.70N,70.10E
1989-12-01,21.646,0.462,Junagadh,India,21.70N,70.10E
1990-01-01,21.566000000000006,0.516,Junagadh,India,21.70N,70.10E
1990-02-01,23.044,0.38,Junagadh,India,21.70N,70.10E
1990-03-01,25.166,0.42200000000000004,Junagadh,India,21.70N,70.10E
1990-04-01,28.683000000000003,0.507,Junagadh,India,21.70N,70.10E
1990-05-01,31.28,0.366,Junagadh,India,21.70N,70.10E
1990-06-01,31.104000000000006,0.501,Junagadh,India,21.70N,70.10E
1990-07-01,29.179,0.456,Junagadh,India,21.70N,70.10E
1990-08-01,27.457,0.375,Junagadh,India,21.70N,70.10E
1990-09-01,27.628,0.457,Junagadh,India,21.70N,70.10E
1990-10-01,27.313,0.723,Junagadh,India,21.70N,70.10E
1990-11-01,25.225,0.53,Junagadh,India,21.70N,70.10E
1990-12-01,21.485,0.349,Junagadh,India,21.70N,70.10E
1991-01-01,19.405,0.335,Junagadh,India,21.70N,70.10E
1991-02-01,21.76,0.602,Junagadh,India,21.70N,70.10E
1991-03-01,26.017,1.09,Junagadh,India,21.70N,70.10E
1991-04-01,28.829,0.5920000000000001,Junagadh,India,21.70N,70.10E
1991-05-01,30.976,0.941,Junagadh,India,21.70N,70.10E
1991-06-01,31.096999999999998,0.509,Junagadh,India,21.70N,70.10E
1991-07-01,29.011999999999997,0.596,Junagadh,India,21.70N,70.10E
1991-08-01,27.71,0.26,Junagadh,India,21.70N,70.10E
1991-09-01,27.414,0.262,Junagadh,India,21.70N,70.10E
1991-10-01,26.862,0.915,Junagadh,India,21.70N,70.10E
1991-11-01,25.197000000000006,0.521,Junagadh,India,21.70N,70.10E
1991-12-01,21.794,0.6709999999999999,Junagadh,India,21.70N,70.10E
1992-01-01,20.405,0.434,Junagadh,India,21.70N,70.10E
1992-02-01,22.105,0.722,Junagadh,India,21.70N,70.10E
1992-03-01,25.761,0.474,Junagadh,India,21.70N,70.10E
1992-04-01,27.709,0.45899999999999996,Junagadh,India,21.70N,70.10E
1992-05-01,30.713,0.489,Junagadh,India,21.70N,70.10E
1992-06-01,31.149,0.633,Junagadh,India,21.70N,70.10E
1992-07-01,29.255000000000006,0.39,Junagadh,India,21.70N,70.10E
1992-08-01,28.055,0.34600000000000003,Junagadh,India,21.70N,70.10E
1992-09-01,27.284,0.341,Junagadh,India,21.70N,70.10E
1992-10-01,27.153,0.381,Junagadh,India,21.70N,70.10E
1992-11-01,24.496,0.8420000000000001,Junagadh,India,21.70N,70.10E
1992-12-01,22.408,0.836,Junagadh,India,21.70N,70.10E
1993-01-01,21.325,0.326,Junagadh,India,21.70N,70.10E
1993-02-01,23.774,0.478,Junagadh,India,21.70N,70.10E
1993-03-01,26.043000000000003,0.5670000000000001,Junagadh,India,21.70N,70.10E
1993-04-01,28.633000000000003,0.40399999999999997,Junagadh,India,21.70N,70.10E
1993-05-01,30.925,0.528,Junagadh,India,21.70N,70.10E
1993-06-01,31.164,0.42,Junagadh,India,21.70N,70.10E
1993-07-01,29.628,0.265,Junagadh,India,21.70N,70.10E
1993-08-01,29.098000000000003,0.322,Junagadh,India,21.70N,70.10E
1993-09-01,28.1,0.47100000000000003,Junagadh,India,21.70N,70.10E
1993-10-01,28.0,0.691,Junagadh,India,21.70N,70.10E
1993-11-01,25.851999999999997,0.762,Junagadh,India,21.70N,70.10E
1993-12-01,22.316999999999997,0.653,Junagadh,India,21.70N,70.10E
1994-01-01,21.155,0.382,Junagadh,India,21.70N,70.10E
1994-02-01,22.416999999999998,0.6709999999999999,Junagadh,India,21.70N,70.10E
1994-03-01,27.615,0.35100000000000003,Junagadh,India,21.70N,70.10E
1994-04-01,28.745,0.326,Junagadh,India,21.70N,70.10E
1994-05-01,31.257,0.526,Junagadh,India,21.70N,70.10E
1994-06-01,30.693,0.39899999999999997,Junagadh,India,21.70N,70.10E
1994-07-01,28.0,0.212,Junagadh,India,21.70N,70.10E
1994-08-01,27.246,0.348,Junagadh,India,21.70N,70.10E
1994-09-01,26.724,0.627,Junagadh,India,21.70N,70.10E
1994-10-01,27.488000000000003,0.873,Junagadh,India,21.70N,70.10E
1994-11-01,25.368,0.991,Junagadh,India,21.70N,70.10E
1994-12-01,20.867,0.715,Junagadh,India,21.70N,70.10E
1995-01-01,19.759,0.386,Junagadh,India,21.70N,70.10E
1995-02-01,22.941,0.46,Junagadh,India,21.70N,70.10E
1995-03-01,25.41,0.613,Junagadh,India,21.70N,70.10E
1995-04-01,28.476999999999997,0.32899999999999996,Junagadh,India,21.70N,70.10E
1995-05-01,31.176,0.435,Junagadh,India,21.70N,70.10E
1995-06-01,31.706999999999997,0.345,Junagadh,India,21.70N,70.10E
1995-07-01,29.409,0.23399999999999999,Junagadh,India,21.70N,70.10E
1995-08-01,28.584,0.27899999999999997,Junagadh,India,21.70N,70.10E
1995-09-01,28.225,0.225,Junagadh,India,21.70N,70.10E
1995-10-01,28.416,0.21,Junagadh,India,21.70N,70.10E
1995-11-01,24.658,0.568,Junagadh,India,21.70N,70.10E
1995-12-01,21.904,0.271,Junagadh,India,21.70N,70.10E
1996-01-01,20.442999999999998,0.735,Junagadh,India,21.70N,70.10E
1996-02-01,23.355,0.67,Junagadh,India,21.70N,70.10E
1996-03-01,27.526999999999997,0.442,Junagadh,India,21.70N,70.10E
1996-04-01,29.162,0.27,Junagadh,India,21.70N,70.10E
1996-05-01,30.89,0.245,Junagadh,India,21.70N,70.10E
1996-06-01,31.09,0.423,Junagadh,India,21.70N,70.10E
1996-07-01,29.511999999999997,0.226,Junagadh,India,21.70N,70.10E
1996-08-01,27.53,0.327,Junagadh,India,21.70N,70.10E
1996-09-01,27.598000000000006,0.486,Junagadh,India,21.70N,70.10E
1996-10-01,27.272,0.439,Junagadh,India,21.70N,70.10E
1996-11-01,23.754,0.639,Junagadh,India,21.70N,70.10E
1996-12-01,21.585,0.853,Junagadh,India,21.70N,70.10E
1997-01-01,19.913,0.5920000000000001,Junagadh,India,21.70N,70.10E
1997-02-01,22.35,0.546,Junagadh,India,21.70N,70.10E
1997-03-01,26.843000000000004,0.253,Junagadh,India,21.70N,70.10E
1997-04-01,27.889,0.428,Junagadh,India,21.70N,70.10E
1997-05-01,30.469,0.297,Junagadh,India,21.70N,70.10E
1997-06-01,30.243,0.32,Junagadh,India,21.70N,70.10E
1997-07-01,29.738000000000003,0.18,Junagadh,India,21.70N,70.10E
1997-08-01,28.441,0.212,Junagadh,India,21.70N,70.10E
1997-09-01,28.105,0.581,Junagadh,India,21.70N,70.10E
1997-10-01,27.269,0.387,Junagadh,India,21.70N,70.10E
1997-11-01,25.156999999999996,0.21899999999999997,Junagadh,India,21.70N,70.10E
1997-12-01,20.101,0.268,Junagadh,India,21.70N,70.10E
1998-01-01,20.534000000000002,0.402,Junagadh,India,21.70N,70.10E
1998-02-01,22.713,0.579,Junagadh,India,21.70N,70.10E
1998-03-01,26.519000000000002,0.318,Junagadh,India,21.70N,70.10E
1998-04-01,29.758000000000003,0.397,Junagadh,India,21.70N,70.10E
1998-05-01,32.085,0.617,Junagadh,India,21.70N,70.10E
1998-06-01,31.886999999999997,0.485,Junagadh,India,21.70N,70.10E
1998-07-01,29.730999999999998,0.28300000000000003,Junagadh,India,21.70N,70.10E
1998-08-01,28.8,0.244,Junagadh,India,21.70N,70.10E
1998-09-01,28.291999999999998,0.6809999999999999,Junagadh,India,21.70N,70.10E
1998-10-01,27.714,0.306,Junagadh,India,21.70N,70.10E
1998-11-01,24.881,0.7559999999999999,Junagadh,India,21.70N,70.10E
1998-12-01,22.213,0.5479999999999999,Junagadh,India,21.70N,70.10E
1999-01-01,20.524,0.655,Junagadh,India,21.70N,70.10E
1999-02-01,23.703000000000003,0.358,Junagadh,India,21.70N,70.10E
1999-03-01,26.783,0.38299999999999995,Junagadh,India,21.70N,70.10E
1999-04-01,29.305,0.498,Junagadh,India,21.70N,70.10E
1999-05-01,30.51,0.5820000000000001,Junagadh,India,21.70N,70.10E
1999-06-01,30.564,0.552,Junagadh,India,21.70N,70.10E
1999-07-01,29.173,0.19399999999999998,Junagadh,India,21.70N,70.10E
1999-08-01,28.251,0.255,Junagadh,India,21.70N,70.10E
1999-09-01,28.57,0.327,Junagadh,India,21.70N,70.10E
1999-10-01,27.511999999999997,0.39799999999999996,Junagadh,India,21.70N,70.10E
1999-11-01,25.375999999999998,0.257,Junagadh,India,21.70N,70.10E
1999-12-01,21.905,0.682,Junagadh,India,21.70N,70.10E
2000-01-01,21.36,0.449,Junagadh,India,21.70N,70.10E
2000-02-01,22.375,0.524,Junagadh,India,21.70N,70.10E
2000-03-01,26.502,0.537,Junagadh,India,21.70N,70.10E
2000-04-01,29.84,0.358,Junagadh,India,21.70N,70.10E
2000-05-01,30.795,0.439,Junagadh,India,21.70N,70.10E
2000-06-01,31.248,0.337,Junagadh,India,21.70N,70.10E
2000-07-01,28.706999999999997,0.266,Junagadh,India,21.70N,70.10E
2000-08-01,28.582,0.736,Junagadh,India,21.70N,70.10E
2000-09-01,28.424,0.436,Junagadh,India,21.70N,70.10E
2000-10-01,28.636000000000006,0.537,Junagadh,India,21.70N,70.10E
2000-11-01,25.909,0.46299999999999997,Junagadh,India,21.70N,70.10E
2000-12-01,22.551,0.46,Junagadh,India,21.70N,70.10E
2001-01-01,20.67,0.648,Junagadh,India,21.70N,70.10E
2001-02-01,22.6,0.425,Junagadh,India,21.70N,70.10E
2001-03-01,26.476999999999997,0.415,Junagadh,India,21.70N,70.10E
2001-04-01,29.451,0.747,Junagadh,India,21.70N,70.10E
2001-05-01,31.132,0.325,Junagadh,India,21.70N,70.10E
2001-06-01,30.419,0.446,Junagadh,India,21.70N,70.10E
2001-07-01,28.264000000000006,0.359,Junagadh,India,21.70N,70.10E
2001-08-01,28.092,0.27899999999999997,Junagadh,India,21.70N,70.10E
2001-09-01,28.511,0.349,Junagadh,India,21.70N,70.10E
2001-10-01,28.315,0.639,Junagadh,India,21.70N,70.10E
2001-11-01,26.043000000000006,0.391,Junagadh,India,21.70N,70.10E
2001-12-01,22.93,0.335,Junagadh,India,21.70N,70.10E
2002-01-01,20.811999999999998,0.33,Junagadh,India,21.70N,70.10E
2002-02-01,23.254,0.501,Junagadh,India,21.70N,70.10E
2002-03-01,27.72,0.499,Junagadh,India,21.70N,70.10E
2002-04-01,29.701,0.29,Junagadh,India,21.70N,70.10E
2002-05-01,31.698,0.41,Junagadh,India,21.70N,70.10E
2002-06-01,31.07,0.23800000000000002,Junagadh,India,21.70N,70.10E
2002-07-01,29.349,0.259,Junagadh,India,21.70N,70.10E
2002-08-01,27.53,0.205,Junagadh,India,21.70N,70.10E
2002-09-01,27.375999999999998,0.332,Junagadh,India,21.70N,70.10E
2002-10-01,28.72,0.6970000000000001,Junagadh,India,21.70N,70.10E
2002-11-01,25.781,0.239,Junagadh,India,21.70N,70.10E
2002-12-01,22.779,0.325,Junagadh,India,21.70N,70.10E
2003-01-01,21.906999999999996,0.348,Junagadh,India,21.70N,70.10E
2003-02-01,23.811,0.28300000000000003,Junagadh,India,21.70N,70.10E
2003-03-01,26.883000000000003,0.5,Junagadh,India,21.70N,70.10E
2003-04-01,29.668000000000003,0.425,Junagadh,India,21.70N,70.10E
2003-05-01,30.855,0.402,Junagadh,India,21.70N,70.10E
2003-06-01,31.12,0.5379999999999999,Junagadh,India,21.70N,70.10E
2003-07-01,28.994,0.5429999999999999,Junagadh,India,21.70N,70.10E
2003-08-01,27.961,0.442,Junagadh,India,21.70N,70.10E
2003-09-01,27.776,0.446,Junagadh,India,21.70N,70.10E
2003-10-01,27.954,0.434,Junagadh,India,21.70N,70.10E
2003-11-01,25.348000000000006,0.525,Junagadh,India,21.70N,70.10E
2003-12-01,21.326,0.602,Junagadh,India,21.70N,70.10E
2004-01-01,20.699,0.29,Junagadh,India,21.70N,70.10E
2004-02-01,23.25,0.322,Junagadh,India,21.70N,70.10E
2004-03-01,28.309,0.498,Junagadh,India,21.70N,70.10E
2004-04-01,29.783,0.33,Junagadh,India,21.70N,70.10E
2004-05-01,31.253,0.7,Junagadh,India,21.70N,70.10E
2004-06-01,30.73,0.5710000000000001,Junagadh,India,21.70N,70.10E
2004-07-01,29.443,0.473,Junagadh,India,21.70N,70.10E
2004-08-01,27.484,0.415,Junagadh,India,21.70N,70.10E
2004-09-01,28.006,0.32,Junagadh,India,21.70N,70.10E
2004-10-01,27.305,0.368,Junagadh,India,21.70N,70.10E
2004-11-01,26.526999999999997,0.527,Junagadh,India,21.70N,70.10E
2004-12-01,23.159000000000002,0.389,Junagadh,India,21.70N,70.10E
2005-01-01,20.029,0.5529999999999999,Junagadh,India,21.70N,70.10E
2005-02-01,22.394000000000002,0.326,Junagadh,India,21.70N,70.10E
2005-03-01,26.489,0.319,Junagadh,India,21.70N,70.10E
2005-04-01,29.599,0.43799999999999994,Junagadh,India,21.70N,70.10E
2005-05-01,30.759,0.282,Junagadh,India,21.70N,70.10E
2005-06-01,30.754,0.33899999999999997,Junagadh,India,21.70N,70.10E
2005-07-01,29.160999999999998,0.22399999999999998,Junagadh,India,21.70N,70.10E
2005-08-01,27.69,0.133,Junagadh,India,21.70N,70.10E
2005-09-01,27.351999999999997,0.45299999999999996,Junagadh,India,21.70N,70.10E
2005-10-01,27.715,0.435,Junagadh,India,21.70N,70.10E
2005-11-01,25.209,0.635,Junagadh,India,21.70N,70.10E
2005-12-01,20.929000000000002,0.9359999999999999,Junagadh,India,21.70N,70.10E
2006-01-01,20.951999999999998,0.61,Junagadh,India,21.70N,70.10E
2006-02-01,25.186999999999998,0.381,Junagadh,India,21.70N,70.10E
2006-03-01,26.379,0.23,Junagadh,India,21.70N,70.10E
2006-04-01,28.721999999999998,0.5539999999999999,Junagadh,India,21.70N,70.10E
2006-05-01,31.154,0.57,Junagadh,India,21.70N,70.10E
2006-06-01,30.829,0.5870000000000001,Junagadh,India,21.70N,70.10E
2006-07-01,28.860000000000007,0.27899999999999997,Junagadh,India,21.70N,70.10E
2006-08-01,26.977,0.466,Junagadh,India,21.70N,70.10E
2006-09-01,27.932,0.273,Junagadh,India,21.70N,70.10E
2006-10-01,28.063,0.43200000000000005,Junagadh,India,21.70N,70.10E
2006-11-01,25.947000000000006,0.516,Junagadh,India,21.70N,70.10E
2006-12-01,22.242,0.5870000000000001,Junagadh,India,21.70N,70.10E
2007-01-01,21.363000000000003,0.39399999999999996,Junagadh,India,21.70N,70.10E
2007-02-01,24.241,0.265,Junagadh,India,21.70N,70.10E
2007-03-01,27.151999999999997,0.336,Junagadh,India,21.70N,70.10E
2007-04-01,30.0,0.385,Junagadh,India,21.70N,70.10E
2007-05-01,31.57,0.526,Junagadh,India,21.70N,70.10E
2007-06-01,31.023000000000003,0.306,Junagadh,India,21.70N,70.10E
2007-07-01,29.673,0.35,Junagadh,India,21.70N,70.10E
2007-08-01,28.142,0.564,Junagadh,India,21.70N,70.10E
2007-09-01,28.298,0.511,Junagadh,India,21.70N,70.10E
2007-10-01,27.599,0.21100000000000002,Junagadh,India,21.70N,70.10E
2007-11-01,25.872,0.7020000000000001,Junagadh,India,21.70N,70.10E
2007-12-01,21.879,0.591,Junagadh,India,21.70N,70.10E
2008-01-01,19.587,0.635,Junagadh,India,21.70N,70.10E
2008-02-01,20.910999999999998,0.316,Junagadh,India,21.70N,70.10E
2008-03-01,26.785999999999998,0.498,Junagadh,India,21.70N,70.10E
2008-04-01,29.105,0.226,Junagadh,India,21.70N,70.10E
2008-05-01,30.884,0.654,Junagadh,India,21.70N,70.10E
2008-06-01,30.354000000000006,0.43700000000000006,Junagadh,India,21.70N,70.10E
2008-07-01,28.948,0.18600000000000003,Junagadh,India,21.70N,70.10E
2008-08-01,27.333000000000002,0.409,Junagadh,India,21.70N,70.10E
2008-09-01,27.706,0.44299999999999995,Junagadh,India,21.70N,70.10E
2008-10-01,28.0,0.485,Junagadh,India,21.70N,70.10E
2008-11-01,25.451999999999998,0.732,Junagadh,India,21.70N,70.10E
2008-12-01,23.091,0.659,Junagadh,India,21.70N,70.10E
2009-01-01,22.023000000000003,0.425,Junagadh,India,21.70N,70.10E
2009-02-01,24.497,0.515,Junagadh,India,21.70N,70.10E
2009-03-01,27.813000000000002,0.4,Junagadh,India,21.70N,70.10E
2009-04-01,30.333000000000002,0.679,Junagadh,India,21.70N,70.10E
2009-05-01,31.478,0.59,Junagadh,India,21.70N,70.10E
2009-06-01,31.388,0.268,Junagadh,India,21.70N,70.10E
2009-07-01,28.863000000000003,0.273,Junagadh,India,21.70N,70.10E
2009-08-01,28.882,0.456,Junagadh,India,21.70N,70.10E
