36,0.5920000000000001,Junagadh,India,21.70N,70.10E
1923-07-01,28.558000000000003,0.316,Junagadh,India,21.70N,70.10E
1923-08-01,27.091,0.34600000000000003,Junagadh,India,21.70N,70.10E
1923-09-01,27.64,0.391,Junagadh,India,21.70N,70.10E
1923-10-01,26.676,0.426,Junagadh,India,21.70N,70.10E
1923-11-01,23.482000000000006,0.303,Junagadh,India,21.70N,70.10E
1923-12-01,20.755,0.713,Junagadh,India,21.70N,70.10E
1924-01-01,19.704,0.474,Junagadh,India,21.70N,70.10E
1924-02-01,22.035,0.738,Junagadh,India,21.70N,70.10E
1924-03-01,27.603,0.364,Junagadh,India,21.70N,70.10E
1924-04-01,28.978,0.693,Junagadh,India,21.70N,70.10E
1924-05-01,30.47,0.943,Junagadh,India,21.70N,70.10E
1924-06-01,31.040000000000006,0.273,Junagadh,India,21.70N,70.10E
1924-07-01,28.94,0.775,Junagadh,India,21.70N,70.10E
1924-08-01,27.569000000000003,0.373,Junagadh,India,21.70N,70.10E
1924-09-01,27.236,0.28800000000000003,Junagadh,India,21.70N,70.10E
1924-10-01,26.116,0.674,Junagadh,India,21.70N,70.10E
1924-11-01,23.544,0.59,Junagadh,India,21.70N,70.10E
1924-12-01,21.194000000000003,0.5870000000000001,Junagadh,India,21.70N,70.10E
1925-01-01,18.701,0.473,Junagadh,India,21.70N,70.10E
1925-02-01,20.559,0.32,Junagadh,India,21.70N,70.10E
1925-03-01,26.94,1.214,Junagadh,India,21.70N,70.10E
1925-04-01,29.706999999999997,0.46,Junagadh,India,21.70N,70.10E
1925-05-01,30.712,0.37200000000000005,Junagadh,India,21.70N,70.10E
1925-06-01,29.949,0.248,Junagadh,India,21.70N,70.10E
1925-07-01,28.23,0.385,Junagadh,India,21.70N,70.10E
1925-08-01,27.646,0.307,Junagadh,India,21.70N,70.10E
1925-09-01,27.487,0.251,Junagadh,India,21.70N,70.10E
1925-10-01,28.218000000000004,0.774,Junagadh,India,21.70N,70.10E
1925-11-01,25.124,0.565,Junagadh,India,21.70N,70.10E
1925-12-01,21.765,1.295,Junagadh,India,21.70N,70.10E
1926-01-01,20.980999999999998,1.0290000000000001,Junagadh,India,21.70N,70.10E
1926-02-01,24.162,0.556,Junagadh,India,21.70N,70.10E
1926-03-01,26.268,0.406,Junagadh,India,21.70N,70.10E
1926-04-01,27.648000000000003,0.833,Junagadh,India,21.70N,70.10E
1926-05-01,29.996,0.381,Junagadh,India,21.70N,70.10E
1926-06-01,31.302,0.33,Junagadh,India,21.70N,70.10E
1926-07-01,29.362,0.38799999999999996,Junagadh,India,21.70N,70.10E
1926-08-01,27.931,0.42,Junagadh,India,21.70N,70.10E
1926-09-01,26.776,0.45,Junagadh,India,21.70N,70.10E
1926-10-01,26.441000000000006,0.578,Junagadh,India,21.70N,70.10E
1926-11-01,23.361,0.491,Junagadh,India,21.70N,70.10E
1926-12-01,20.429000000000002,0.642,Junagadh,India,21.70N,70.10E
1927-01-01,18.66,0.488,Junagadh,India,21.70N,70.10E
1927-02-01,21.441,0.5920000000000001,Junagadh,India,21.70N,70.10E
1927-03-01,25.006999999999998,0.525,Junagadh,India,21.70N,70.10E
1927-04-01,28.364,1.0859999999999999,Junagadh,India,21.70N,70.10E
1927-05-01,30.132,0.326,Junagadh,India,21.70N,70.10E
1927-06-01,30.680999999999997,0.34,Junagadh,India,21.70N,70.10E
1927-07-01,28.293000000000006,0.23199999999999998,Junagadh,India,21.70N,70.10E
1927-08-01,27.306,0.344,Junagadh,India,21.70N,70.10E
1927-09-01,27.83,0.319,Junagadh,India,21.70N,70.10E
1927-10-01,27.259,0.5489999999999999,Junagadh,India,21.70N,70.10E
1927-11-01,23.59,0.43,Junagadh,India,21.70N,70.10E
1927-12-01,21.022,0.535,Junagadh,India,21.70N,70.10E
1928-01-01,20.346,0.907,Junagadh,India,21.70N,70.10E
1928-02-01,21.903000000000002,0.648,Junagadh,India,21.70N,70.10E
1928-03-01,26.232,0.599,Junagadh,India,21.70N,70.10E
1928-04-01,29.156999999999996,0.593,Junagadh,India,21.70N,70.10E
1928-05-01,30.522,0.302,Junagadh,India,21.70N,70.10E
1928-06-01,30.343000000000004,0.303,Junagadh,India,21.70N,70.10E
1928-07-01,28.401,0.35,Junagadh,India,21.70N,70.10E
1928-08-01,27.286,0.375,Junagadh,India,21.70N,70.10E
1928-09-01,26.975,0.384,Junagadh,India,21.70N,70.10E
1928-10-01,27.131,0.8240000000000001,Junagadh,India,21.70N,70.10E
1928-11-01,24.32,0.884,Junagadh,India,21.70N,70.10E
1928-12-01,19.977,1.067,Junagadh,India,21.70N,70.10E
1929-01-01,19.596,0.836,Junagadh,India,21.70N,70.10E
1929-02-01,21.588,1.061,Junagadh,India,21.70N,70.10E
1929-03-01,27.276,0.7929999999999999,Junagadh,India,21.70N,70.10E
1929-04-01,29.250999999999998,0.516,Junagadh,India,21.70N,70.10E
1929-05-01,31.122,0.728,Junagadh,India,21.70N,70.10E
1929-06-01,30.706000000000003,0.535,Junagadh,India,21.70N,70.10E
1929-07-01,28.613000000000003,1.047,Junagadh,India,21.70N,70.10E
1929-08-01,27.136,0.419,Junagadh,India,21.70N,70.10E
1929-09-01,27.438,0.565,Junagadh,India,21.70N,70.10E
1929-10-01,27.329,0.424,Junagadh,India,21.70N,70.10E
1929-11-01,26.129,0.626,Junagadh,India,21.70N,70.10E
1929-12-01,19.885,0.504,Junagadh,India,21.70N,70.10E
1930-01-01,19.814,0.48200000000000004,Junagadh,India,21.70N,70.10E
1930-02-01,21.698,0.637,Junagadh,India,21.70N,70.10E
1930-03-01,26.015,0.245,Junagadh,India,21.70N,70.10E
1930-04-01,28.748,0.405,Junagadh,India,21.70N,70.10E
1930-05-01,30.578000000000003,0.303,Junagadh,India,21.70N,70.10E
1930-06-01,30.680999999999997,0.20600000000000002,Junagadh,India,21.70N,70.10E
1930-07-01,27.92,0.441,Junagadh,India,21.70N,70.10E
1930-08-01,26.943,0.196,Junagadh,India,21.70N,70.10E
1930-09-01,27.54,0.451,Junagadh,India,21.70N,70.10E
1930-10-01,27.781999999999996,0.217,Junagadh,India,21.70N,70.10E
1930-11-01,24.186999999999998,0.397,Junagadh,India,21.70N,70.10E
1930-12-01,21.143,0.385,Junagadh,India,21.70N,70.10E
1931-01-01,20.749,0.512,Junagadh,India,21.70N,70.10E
1931-02-01,21.465,0.7090000000000001,Junagadh,India,21.70N,70.10E
1931-03-01,25.493000000000002,0.552,Junagadh,India,21.70N,70.10E
1931-04-01,29.415,0.5539999999999999,Junagadh,India,21.70N,70.10E
1931-05-01,31.014,0.6729999999999999,Junagadh,India,21.70N,70.10E
1931-06-01,31.453000000000007,0.284,Junagadh,India,21.70N,70.10E
1931-07-01,29.558000000000003,0.281,Junagadh,India,21.70N,70.10E
1931-08-01,28.232,0.239,Junagadh,India,21.70N,70.10E
1931-09-01,27.578000000000003,0.33799999999999997,Junagadh,India,21.70N,70.10E
1931-10-01,26.628,0.31,Junagadh,India,21.70N,70.10E
1931-11-01,24.954,0.35200000000000004,Junagadh,India,21.70N,70.10E
1931-12-01,21.696,0.314,Junagadh,India,21.70N,70.10E
1932-01-01,21.596999999999998,0.76,Junagadh,India,21.70N,70.10E
1932-02-01,22.647,0.48200000000000004,Junagadh,India,21.70N,70.10E
1932-03-01,26.401,0.42100000000000004,Junagadh,India,21.70N,70.10E
1932-04-01,28.708000000000002,0.41600000000000004,Junagadh,India,21.70N,70.10E
1932-05-01,30.827,0.512,Junagadh,India,21.70N,70.10E
1932-06-01,30.419,0.257,Junagadh,India,21.70N,70.10E
1932-07-01,28.555999999999997,0.295,Junagadh,India,21.70N,70.10E
1932-08-01,27.33,0.266,Junagadh,India,21.70N,70.10E
1932-09-01,27.633000000000003,0.23199999999999998,Junagadh,India,21.70N,70.10E
1932-10-01,28.076,0.322,Junagadh,India,21.70N,70.10E
1932-11-01,24.558000000000003,0.6990000000000001,Junagadh,India,21.70N,70.10E
1932-12-01,21.595,0.565,Junagadh,India,21.70N,70.10E
1933-01-01,20.144,0.782,Junagadh,India,21.70N,70.10E
1933-02-01,22.374000000000002,0.466,Junagadh,India,21.70N,70.10E
1933-03-01,25.906,0.478,Junagadh,India,21.70N,70.10E
1933-04-01,28.826,0.33299999999999996,Junagadh,India,21.70N,70.10E
1933-05-01,29.802,0.517,Junagadh,India,21.70N,70.10E
1933-06-01,30.49,0.317,Junagadh,India,21.70N,70.10E
