21.308000000000003,1.117,Jos,Nigeria,10.45N,9.00E
1891-01-01,20.925,1.2770000000000001,Jos,Nigeria,10.45N,9.00E
1891-02-01,23.035,1.1840000000000002,Jos,Nigeria,10.45N,9.00E
1891-03-01,25.564,1.159,Jos,Nigeria,10.45N,9.00E
1891-04-01,26.868000000000002,1.052,Jos,Nigeria,10.45N,9.00E
1891-05-01,25.854000000000006,0.932,Jos,Nigeria,10.45N,9.00E
1891-06-01,24.058000000000003,0.884,Jos,Nigeria,10.45N,9.00E
1891-07-01,22.47,0.883,Jos,Nigeria,10.45N,9.00E
1891-08-01,21.828000000000003,1.046,Jos,Nigeria,10.45N,9.00E
1891-09-01,23.259,0.7929999999999999,Jos,Nigeria,10.45N,9.00E
1891-10-01,23.412,0.8540000000000001,Jos,Nigeria,10.45N,9.00E
1891-11-01,23.044,0.9420000000000001,Jos,Nigeria,10.45N,9.00E
1891-12-01,21.526,1.001,Jos,Nigeria,10.45N,9.00E
1892-01-01,21.539,1.0490000000000002,Jos,Nigeria,10.45N,9.00E
1892-02-01,23.539,1.041,Jos,Nigeria,10.45N,9.00E
1892-03-01,26.741,1.1179999999999999,Jos,Nigeria,10.45N,9.00E
1892-04-01,26.921,0.726,Jos,Nigeria,10.45N,9.00E
1892-05-01,25.488000000000003,0.7809999999999999,Jos,Nigeria,10.45N,9.00E
1892-06-01,24.28,0.868,Jos,Nigeria,10.45N,9.00E
1892-07-01,22.335,0.851,Jos,Nigeria,10.45N,9.00E
1892-08-01,22.529,0.7290000000000001,Jos,Nigeria,10.45N,9.00E
1892-09-01,22.936999999999998,0.8590000000000001,Jos,Nigeria,10.45N,9.00E
1892-10-01,23.701,1.06,Jos,Nigeria,10.45N,9.00E
1892-11-01,22.866999999999997,0.9670000000000001,Jos,Nigeria,10.45N,9.00E
1892-12-01,21.51,1.3419999999999999,Jos,Nigeria,10.45N,9.00E
1893-01-01,21.125999999999998,1.22,Jos,Nigeria,10.45N,9.00E
1893-02-01,23.025,1.162,Jos,Nigeria,10.45N,9.00E
1893-03-01,25.952,1.005,Jos,Nigeria,10.45N,9.00E
1893-04-01,26.077,0.775,Jos,Nigeria,10.45N,9.00E
1893-05-01,26.462,0.963,Jos,Nigeria,10.45N,9.00E
1893-06-01,23.750999999999998,1.499,Jos,Nigeria,10.45N,9.00E
1893-07-01,22.995,1.375,Jos,Nigeria,10.45N,9.00E
1893-08-01,22.695,0.7170000000000001,Jos,Nigeria,10.45N,9.00E
1893-09-01,23.098000000000003,0.978,Jos,Nigeria,10.45N,9.00E
1893-10-01,23.684,0.914,Jos,Nigeria,10.45N,9.00E
1893-11-01,23.769000000000002,1.0090000000000001,Jos,Nigeria,10.45N,9.00E
1893-12-01,21.119,0.9670000000000001,Jos,Nigeria,10.45N,9.00E
1894-01-01,21.104,1.131,Jos,Nigeria,10.45N,9.00E
1894-02-01,23.752,1.195,Jos,Nigeria,10.45N,9.00E
1894-03-01,26.412,0.934,Jos,Nigeria,10.45N,9.00E
1894-04-01,26.845,0.779,Jos,Nigeria,10.45N,9.00E
1894-05-01,26.548,0.835,Jos,Nigeria,10.45N,9.00E
1894-06-01,24.445999999999998,0.7809999999999999,Jos,Nigeria,10.45N,9.00E
1894-07-01,22.826,0.932,Jos,Nigeria,10.45N,9.00E
1894-08-01,22.307,0.816,Jos,Nigeria,10.45N,9.00E
1894-09-01,23.48,0.8240000000000001,Jos,Nigeria,10.45N,9.00E
1894-10-01,23.955,0.772,Jos,Nigeria,10.45N,9.00E
1894-11-01,23.171999999999997,0.941,Jos,Nigeria,10.45N,9.00E
1894-12-01,21.363000000000003,0.9840000000000001,Jos,Nigeria,10.45N,9.00E
1895-01-01,21.178,1.19,Jos,Nigeria,10.45N,9.00E
1895-02-01,24.182,1.147,Jos,Nigeria,10.45N,9.00E
1895-03-01,26.064,1.238,Jos,Nigeria,10.45N,9.00E
1895-04-01,27.755,0.9540000000000001,Jos,Nigeria,10.45N,9.00E
1895-05-01,26.55,0.893,Jos,Nigeria,10.45N,9.00E
1895-06-01,24.448,0.8059999999999999,Jos,Nigeria,10.45N,9.00E
1895-07-01,22.808000000000003,0.855,Jos,Nigeria,10.45N,9.00E
1895-08-01,22.686,0.93,Jos,Nigeria,10.45N,9.00E
1895-09-01,23.226999999999997,0.726,Jos,Nigeria,10.45N,9.00E
1895-10-01,24.101999999999997,0.856,Jos,Nigeria,10.45N,9.00E
1895-11-01,23.835,1.021,Jos,Nigeria,10.45N,9.00E
1895-12-01,21.94,1.088,Jos,Nigeria,10.45N,9.00E
1896-01-01,21.250999999999998,1.193,Jos,Nigeria,10.45N,9.00E
1896-02-01,23.814,1.26,Jos,Nigeria,10.45N,9.00E
1896-03-01,25.471,1.0959999999999999,Jos,Nigeria,10.45N,9.00E
1896-04-01,26.929000000000002,1.175,Jos,Nigeria,10.45N,9.00E
1896-05-01,26.081999999999997,1.204,Jos,Nigeria,10.45N,9.00E
1896-06-01,24.360000000000007,1.004,Jos,Nigeria,10.45N,9.00E
1896-07-01,22.906999999999996,0.88,Jos,Nigeria,10.45N,9.00E
1896-08-01,22.479,0.953,Jos,Nigeria,10.45N,9.00E
1896-09-01,23.726999999999997,1.105,Jos,Nigeria,10.45N,9.00E
1896-10-01,24.436,1.058,Jos,Nigeria,10.45N,9.00E
1896-11-01,23.481,1.185,Jos,Nigeria,10.45N,9.00E
1896-12-01,21.866999999999997,0.992,Jos,Nigeria,10.45N,9.00E
1897-01-01,21.712,1.148,Jos,Nigeria,10.45N,9.00E
1897-02-01,23.544,1.301,Jos,Nigeria,10.45N,9.00E
1897-03-01,26.221,1.579,Jos,Nigeria,10.45N,9.00E
1897-04-01,27.096999999999998,1.844,Jos,Nigeria,10.45N,9.00E
1897-05-01,27.205,1.505,Jos,Nigeria,10.45N,9.00E
1897-06-01,24.451999999999998,1.455,Jos,Nigeria,10.45N,9.00E
1897-07-01,23.685,0.943,Jos,Nigeria,10.45N,9.00E
1897-08-01,23.75,1.2209999999999999,Jos,Nigeria,10.45N,9.00E
1897-09-01,24.406,1.3230000000000002,Jos,Nigeria,10.45N,9.00E
1897-10-01,25.15,1.2819999999999998,Jos,Nigeria,10.45N,9.00E
1897-11-01,23.204,1.524,Jos,Nigeria,10.45N,9.00E
1897-12-01,21.500999999999998,1.187,Jos,Nigeria,10.45N,9.00E
1898-01-01,21.348000000000003,1.32,Jos,Nigeria,10.45N,9.00E
1898-02-01,22.808000000000003,1.07,Jos,Nigeria,10.45N,9.00E
1898-03-01,26.376,0.9179999999999999,Jos,Nigeria,10.45N,9.00E
1898-04-01,27.19,1.0070000000000001,Jos,Nigeria,10.45N,9.00E
1898-05-01,26.725,0.757,Jos,Nigeria,10.45N,9.00E
1898-06-01,25.19,0.9670000000000001,Jos,Nigeria,10.45N,9.00E
1898-07-01,23.226,0.687,Jos,Nigeria,10.45N,9.00E
1898-08-01,22.108,1.175,Jos,Nigeria,10.45N,9.00E
1898-09-01,23.209,0.7879999999999999,Jos,Nigeria,10.45N,9.00E
1898-10-01,23.548000000000002,0.9840000000000001,Jos,Nigeria,10.45N,9.00E
1898-11-01,24.114,1.262,Jos,Nigeria,10.45N,9.00E
1898-12-01,20.726999999999997,1.176,Jos,Nigeria,10.45N,9.00E
1899-01-01,20.643,0.914,Jos,Nigeria,10.45N,9.00E
1899-02-01,24.113000000000003,1.661,Jos,Nigeria,10.45N,9.00E
1899-03-01,26.205,1.466,Jos,Nigeria,10.45N,9.00E
1899-04-01,26.83,1.23,Jos,Nigeria,10.45N,9.00E
1899-05-01,27.186,1.1,Jos,Nigeria,10.45N,9.00E
1899-06-01,24.631999999999998,1.129,Jos,Nigeria,10.45N,9.00E
1899-07-01,23.93,0.909,Jos,Nigeria,10.45N,9.00E
1899-08-01,23.399,1.229,Jos,Nigeria,10.45N,9.00E
1899-09-01,24.406,0.982,Jos,Nigeria,10.45N,9.00E
1899-10-01,24.382,1.123,Jos,Nigeria,10.45N,9.00E
1899-11-01,23.482,1.213,Jos,Nigeria,10.45N,9.00E
1899-12-01,21.396,1.156,Jos,Nigeria,10.45N,9.00E
1900-01-01,20.546,1.202,Jos,Nigeria,10.45N,9.00E
1900-02-01,24.534,1.5919999999999999,Jos,Nigeria,10.45N,9.00E
1900-03-01,27.967,1.307,Jos,Nigeria,10.45N,9.00E
1900-04-01,27.595,0.75,Jos,Nigeria,10.45N,9.00E
1900-05-01,26.78,0.9109999999999999,Jos,Nigeria,10.45N,9.00E
1900-06-01,25.166,1.031,Jos,Nigeria,10.45N,9.00E
1900-07-01,23.006,1.087,Jos,Nigeria,10.45N,9.00E
1900-08-01,23.197,0.993,Jos,Nigeria,10.45N,9.00E
1900-09-01,23.741999999999997,0.7809999999999999,Jos,Nigeria,10.45N,9.00E
1900-10-01,24.191,0.8140000000000001,Jos,Nigeria,10.45N,9.00E
1900-11-01,23.484,0.9,Jos,Nigeria,10.45N,9.00E
1900-12-01,21.711,1.129,Jos,Nigeria,10.45N,9.00E
1901-01-01,21.094,1.361,Jos,Nigeria,10.45N,9.00E
1901-02-01,24.026999999999997,1.117,Jos,Nigeria,10.45N,9.00E
1901-03-01,26.601999999999997,0.9490000000000001,Jos,Nigeria,10.45N,9.00E
1901-04-01,27.344,0.9,Jos,Nigeria,10.45N,9.00E
1901-05-01,27.151,0.7609999999999999,Jos,Nigeria,10.45N,9.00E
1901-06-01,24.846,0.693,Jos,Nigeria,10.45N,9.00E
1901-07-01,23.693,1.065,Jos,Nigeria,10.45N,9.00E
1901-08-01,23.625999999999998,0.9690000000000001,Jos,Nigeria,10.45N,9.00E
1901-09-01,24.494,1.168,Jos,Nigeria,10.45N,9.00E
1901-10-01,24.154,0.774,Jos,Nigeria,10.45N,9.00E
1901-11-01,23.588,2.244,Jos,Nigeria,10.45N,9.00E
1901-12-01,20.871,2.396,Jos,Nigeria,10.45N,9.00E
1902-01-01,19.458,2.87,Jos,Nigeria,10.45N,9.00E
1902-02-01,23.993,1.276,Jos,Nigeria,10.45N,9.00E
1902-03-01,26.705,0.975,Jos,Nigeria,10.45N,9.00E
1902-04-01,28.179000000000002,0.9109999999999999,Jos,Nigeria,10.45N,9.00E
1902-05-01,26.894,0.9890000000000001,Jos,Nigeria,10.45N,9.00E
1902-06-01,25.875,1.426,Jos,Nigeria,10.45N,9.00E
1902-07-01,24.073,1.203,Jos,Nigeria,10.45N,9.00E
1902-08-01,23.633000000000003,1.03,Jos,Nigeria,10.45N,9.00E
1902-09-01,23.334,1.6580000000000001,Jos,Nigeria,10.45N,9.00E
1902-10-01,22.68,2.58,Jos,Nigeria,10.45N,9.00E
1902-11-01,23.18,1.087,Jos,Nigeria,10.45N,9.00E
1902-12-01,19.834,3.654,Jos,Nigeria,10.45N,9.00E
1903-01-01,20.711,1.022,Jos,Nigeria,10.45N,9.00E
1903-02-01,21.808000000000003,1.755,Jos,Nigeria,10.45N,9.00E
1903-03-01,26.355,1.0190000000000001,Jos,Nigeria,10.45N,9.00E
1903-04-01,27.408,0.887,Jos,Nigeria,10.45N,9.00E
1903-05-01,27.191000000000006,0.599,Jos,Nigeria,10.45N,9.00E
1903-06-01,25.328000000000007,1.126,Jos,Nigeria,10.45N,9.00E
1903-07-01,23.058000000000003,1.4869999999999999,Jos,Nigeria,10.45N,9.00E
1903-08-01,22.703000000000003,1.3219999999999998,Jos,Nigeria,10.45N,9.00E
1903-09-01,24.061999999999998,3.304,Jos,Nigeria,10.45N,9.00E
1903-10-01,23.841,0.813,Jos,Nigeria,10.45N,9.00E
1903-11-01,22.759,1.075,Jos,Nigeria,10.45N,9.00E
1903-12-01,21.898000000000003,1.3719999999999999,Jos,Nigeria,10.45N,9.00E
1904-01-01,20.622,1.3330000000000002,Jos,Nigeria,10.45N,9.00E
1904-02-01,21.653,0.9590000000000001,Jos,Nigeria,10.45N,9.00E
1904-03-01,24.793000000000003,1.01,Jos,Nigeria,10.45N,9.00E
1904-04-01,25.656999999999996,0.8059999999999999,Jos,Nigeria,10.45N,9.00E
1904-05-01,25.448,0.865,Jos,Nigeria,10.45N,9.00E
1904-06-01,24.525,1.014,Jos,Nigeria,10.45N,9.00E
1904-07-01,22.838,1.817,Jos,Nigeria,10.45N,9.00E
1904-08-01,22.976,1.548,Jos,Nigeria,10.45N,9.00E
1904-09-01,24.33,1.054,Jos,Nigeria,10.45N,9.00E
1904-10-01,23.766,0.9179999999999999,Jos,Nigeria,10.45N,9.00E
1904-11-01,23.456,1.115,Jos,Nigeria,10.45N,9.00E
1904-12-01,21.569000000000003,0.6709999999999999,Jos,Nigeria,10.45N,9.00E
1905-01-01,20.186,2.805,Jos,Nigeria,10.45N,9.00E
1905-02-01,22.421,0.6509999999999999,Jos,Nigeria,10.45N,9.00E
1905-03-01,25.001,2.358,Jos,Nigeria,10.45N,9.00E
1905-04-01,26.884,1.349,Jos,Nigeria,10.45N,9.00E
1905-05-01,26.445999999999998,0.622,Jos,Nigeria,10.45N,9.00E
1905-06-01,24.385,0.9079999999999999,Jos,Nigeria,10.45N,9.00E
1905-07-01,22.923000000000002,0.603,Jos,Nigeria,10.45N,9.00E
1905-08-01,22.41,0.7759999999999999,Jos,Nigeria,10.45N,9.00E
1905-09-01,23.081,1.5630000000000002,Jos,Nigeria,10.45N,9.00E
1905-10-01,23.257,1.374,Jos,Nigeria,10.45N,9.00E
1905-11-01,23.998,0.736,Jos,Nigeria,10.45N,9.00E
1905-12-01,22.666,2.101,Jos,Nigeria,10.45N,9.00E
1906-01-01,21.395,0.878,Jos,Nigeria,10.45N,9.00E
1906-02-01,24.541999999999998,0.7609999999999999,Jos,Nigeria,10.45N,9.00E
1906-03-01,26.301,0.639,Jos,Nigeria,10.45N,9.00E
1906-04-01,27.108,1.587,Jos,Nigeria,10.45N,9.00E
1906-05-01,25.855999999999998,1.2309999999999999,Jos,Nigeria,10.45N,9.00E
1906-06-01,24.441999999999997,0.61,Jos,Nigeria,10.45N,9.00E
1906-07-01,23.209,1.96,Jos,Nigeria,10.45N,9.00E
1906-08-01,23.026,0.83,Jos,Nigeria,10.45N,9.00E
1906-09-01,23.74,0.46399999999999997,Jos,Nigeria,10.45N,9.00E
1906-10-01,24.511999999999997,1.1640000000000001,Jos,Nigeria,10.45N,9.00E
1906-11-01,22.339000000000002,1.817,Jos,Nigeria,10.45N,9.00E
1906-12-01,21.416,3.0839999999999996,Jos,Nigeria,10.45N,9.00E
1907-01-01,20.554,1.449,Jos,Nigeria,10.45N,9.00E
1907-02-01,22.62,0.705,Jos,Nigeria,10.45N,9.00E
1907-03-01,25.471,0.753,Jos,Nigeria,10.45N,9.00E
1907-04-01,26.684,0.536,Jos,Nigeria,10.45N,9.00E
1907-05-01,25.944000000000006,0.9420000000000001,Jos,Nigeria,10.45N,9.00E
1907-06-01,24.028,1.121,Jos,Nigeria,10.45N,9.00E
1907-07-01,23.49,0.539,Jos,Nigeria,10.45N,9.00E
1907-08-01,22.441999999999997,0.526,Jos,Nigeria,10.45N,9.00E
1907-09-01,23.851999999999997,1.389,Jos,Nigeria,10.45N,9.00E
1907-10-01,24.872,0.9129999999999999,Jos,Nigeria,10.45N,9.00E
1907-11-01,23.019000000000002,1.308,Jos,Nigeria,10.45N,9.00E
1907-12-01,20.443,0.698,Jos,Nigeria,10.45N,9.00E
1908-01-01,21.136,0.6809999999999999,Jos,Nigeria,10.45N,9.00E
1908-02-01,23.381999999999998,0.856,Jos,Nigeria,10.45N,9.00E
1908-03-01,26.455,0.669,Jos,Nigeria,10.45N,9.00E
1908-04-01,27.28,0.531,Jos,Nigeria,10.45N,9.00E
1908-05-01,26.686,0.725,Jos,Nigeria,10.45N,9.00E
1908-06-01,25.273000000000003,0.71,Jos,Nigeria,10.45N,9.00E
1908-07-01,23.622,0.495,Jos,Nigeria,10.45N,9.00E
1908-08-01,22.741999999999997,0.512,Jos,Nigeria,10.45N,9.00E
1908-09-01,23.646,1.119,Jos,Nigeria,10.45N,9.00E
1908-10-01,24.095,1.012,Jos,Nigeria,10.45N,9.00E
1908-11-01,22.896,0.784,Jos,Nigeria,10.45N,9.00E
1908-12-01,21.148000000000003,0.56,Jos,Nigeria,10.45N,9.00E
1909-01-01,21.316999999999997,0.732,Jos,Nigeria,10.45N,9.00E
1909-02-01,24.748,0.631,Jos,Nigeria,10.45N,9.00E
1909-03-01,27.651,0.20800000000000002,Jos,Nigeria,10.45N,9.00E
1909-04-01,26.691999999999997,0.912,Jos,Nigeria,10.45N,9.00E
1909-05-01,26.287000000000006,0.43200000000000005,Jos,Nigeria,10.45N,9.00E
1909-06-01,24.061999999999998,0.335,Jos,Nigeria,10.45N,9.00E
1909-07-01,23.138,1.1320000000000001,Jos,Nigeria,10.45N,9.00E
1909-08-01,22.607,0.53,Jos,Nigeria,10.45N,9.00E
1909-09-01,23.570999999999998,0.873,Jos,Nigeria,10.45N,9.00E
1909-10-01,24.596,0.7759999999999999,Jos,Nigeria,10.45N,9.00E
1909-11-01,24.28,0.935,Jos,Nigeria,10.45N,9.00E
1909-12-01,21.578000000000003,1.47,Jos,Nigeria,10.45N,9.00E
1910-01-01,20.831,0.838,Jos,Nigeria,10.45N,9.00E
1910-02-01,23.194000000000006,0.727,Jos,Nigeria,10.45N,9.00E
1910-03-01,25.507,0.9129999999999999,Jos,Nigeria,10.45N,9.00E
1910-04-01,27.087,1.268,Jos,Nigeria,10.45N,9.00E
1910-05-01,26.664,1.3840000000000001,Jos,Nigeria,10.45N,9.00E
1910-06-01,25.298,0.841,Jos,Nigeria,10.45N,9.00E
1910-07-01,23.658,0.243,Jos,Nigeria,10.45N,9.00E
1910-08-01,23.195,0.381,Jos,Nigeria,10.45N,9.00E
1910-09-01,24.308000000000003,0.6659999999999999,Jos,Nigeria,10.45N,9.00E
1910-10-01,23.934,0.456,Jos,Nigeria,10.45N,9.00E
1910-11-01,22.673000000000002,0.67,Jos,Nigeria,10.45N,9.00E
1910-12-01,21.625999999999998,0.753,Jos,Nigeria,10.45N,9.00E
1911-01-01,23.008000000000003,1.048,Jos,Nigeria,10.45N,9.00E
1911-02-01,23.392000000000003,0.518,Jos,Nigeria,10.45N,9.00E
1911-03-01,26.651,0.9840000000000001,Jos,Nigeria,10.45N,9.00E
1911-04-01,27.16,0.8109999999999999,Jos,Nigeria,10.45N,9.00E
1911-05-01,25.211,0.441,Jos,Nigeria,10.45N,9.00E
1911-06-01,23.99,0.5529999999999999,Jos,Nigeria,10.45N,9.00E
1911-07-01,23.839000000000002,0.498,Jos,Nigeria,10.45N,9.00E
1911-08-01,22.768,0.493,Jos,Nigeria,10.45N,9.00E
1911-09-01,23.888,0.513,Jos,Nigeria,10.45N,9.00E
1911-10-01,24.217,0.45799999999999996,Jos,Nigeria,10.45N,9.00E
1911-11-01,23.107,0.531,Jos,Nigeria,10.45N,9.00E
1911-12-01,21.135,0.772,Jos,Nigeria,10.45N,9.00E
1912-01-01,21.15,0.6890000000000001,Jos,Nigeria,10.45N,9.00E
1912-02-01,23.040000000000006,1.751,Jos,Nigeria,10.45N,9.00E
1912-03-01,25.226999999999997,0.9520000000000001,Jos,Nigeria,10.45N,9.00E
1912-04-01,27.675,0.6629999999999999,Jos,Nigeria,10.45N,9.00E
1912-05-01,27.201,0.848,Jos,Nigeria,10.45N,9.00E
1912-06-01,25.479000000000006,0.319,Jos,Nigeria,10.45N,9.00E
1912-07-01,23.895,0.691,Jos,Nigeria,10.45N,9.00E
1912-08-01,23.081999999999997,0.991,Jos,Nigeria,10.45N,9.00E
1912-09-01,23.175,0.49200000000000005,Jos,Nigeria,10.45N,9.00E
1912-10-01,23.802,0.7609999999999999,Jos,Nigeria,10.45N,9.00E
1912-11-01,23.361,0.813,Jos,Nigeria,10.45N,9.00E
1912-12-01,20.267,0.747,Jos,Nigeria,10.45N,9.00E
1913-01-01,21.57,0.524,Jos,Nigeria,10.45N,9.00E
1913-02-01,24.151,0.47100000000000003,Jos,Nigeria,10.45N,9.00E
1913-03-01,24.52,0.358,Jos,Nigeria,10.45N,9.00E
1913-04-01,27.66,0.632,Jos,Nigeria,10.45N,9.00E
1913-05-01,27.585,0.27,Jos,Nigeria,10.45N,9.00E
1913-06-01,26.82,0.20600000000000002,Jos,Nigeria,10.45N,9.00E
1913-07-01,24.931,0.6779999999999999,Jos,Nigeria,10.45N,9.00E
1913-08-01,24.48,0.353,Jos,Nigeria,10.45N,9.00E
1913-09-01,24.575,0.46399999999999997,Jos,Nigeria,10.45N,9.00E
1913-10-01,25.399,0.9109999999999999,Jos,Nigeria,10.45N,9.00E
1913-11-01,22.979,0.6779999999999999,Jos,Nigeria,10.45N,9.00E
1913-12-01,21.159000000000002,0.748,Jos,Nigeria,10.45N,9.00E
1914-01-01,23.646,0.9329999999999999,Jos,Nigeria,10.45N,9.00E
1914-02-01,24.103,0.603,Jos,Nigeria,10.45N,9.00E
1914-03-01,26.436,0.33399999999999996,Jos,Nigeria,10.45N,9.00E
1914-04-01,27.526999999999997,0.58,Jos,Nigeria,10.45N,9.00E
1914-05-01,27.903,0.349,Jos,Nigeria,10.45N,9.00E
1914-06-01,26.079,0.56,Jos,Nigeria,10.45N,9.00E
1914-07-01,24.649,0.736,Jos,Nigeria,10.45N,9.00E
1914-08-01,23.275,0.7190000000000001,Jos,Nigeria,10.45N,9.00E
1914-09-01,24.276999999999997,0.562,Jos,Nigeria,10.45N,9.00E
1914-10-01,25.177,0.621,Jos,Nigeria,10.45N,9.00E
1914-11-01,25.432,0.8170000000000001,Jos,Nigeria,10.45N,9.00E
1914-12-01,21.844,0.7829999999999999,Jos,Nigeria,10.45N,9.00E
1915-01-01,21.818,0.479,Jos,Nigeria,10.45N,9.00E
1915-02-01,24.138,0.613,Jos,Nigeria,10.45N,9.00E
1915-03-01,27.694000000000003,0.489,Jos,Nigeria,10.45N,9.00E
1915-04-01,28.835,1.2,Jos,Nigeria,10.45N,9.00E
1915-05-01,27.355999999999998,0.54,Jos,Nigeria,10.45N,9.00E
1915-06-01,24.961,0.512,Jos,Nigeria,10.45N,9.00E
1915-07-01,23.651,0.679,Jos,Nigeria,10.45N,9.00E
1915-08-01,23.62,0.6679999999999999,Jos,Nigeria,10.45N,9.00E
1915-09-01,24.164,0.862,Jos,Nigeria,10.45N,9.00E
1915-10-01,24.635,0.799,Jos,Nigeria,10.45N,9.00E
1915-11-01,24.36,0.917,Jos,Nigeria,10.45N,9.00E
1915-12-01,21.433000000000003,1.157,Jos,Nigeria,10.45N,9.00E
1916-01-01,21.445,0.494,Jos,Nigeria,10.45N,9.00E
1916-02-01,24.258000000000006,0.797,Jos,Nigeria,10.45N,9.00E
1916-03-01,28.17,1.242,Jos,Nigeria,10.45N,9.00E
1916-04-01,27.615,0.466,Jos,Nigeria,10.45N,9.00E
1916-05-01,26.432,0.307,Jos,Nigeria,10.45N,9.00E
1916-06-01,24.607000000000006,0.426,Jos,Nigeria,10.45N,9.00E
1916-07-01,23.197,0.622,Jos,Nigeria,10.45N,9.00E
1916-08-01,22.611,0.49700000000000005,Jos,Nigeria,10.45N,9.00E
1916-09-01,23.084,0.396,Jos,Nigeria,10.45N,9.00E
1916-10-01,23.502,0.8009999999999999,Jos,Nigeria,10.45N,9.00E
1916-11-01,24.3,1.139,Jos,Nigeria,10.45N,9.00E
1916-12-01,21.568,1.413,Jos,Nigeria,10.45N,9.00E
1917-01-01,23.962,1.0859999999999999,Jos,Nigeria,10.45N,9.00E
1917-02-01,25.656,1.032,Jos,Nigeria,10.45N,9.00E
1917-03-01,28.123,1.5759999999999998,Jos,Nigeria,10.45N,9.00E
1917-04-01,27.160999999999998,0.763,Jos,Nigeria,10.45N,9.00E
1917-05-01,25.941999999999997,0.496,Jos,Nigeria,10.45N,9.00E
1917-06-01,25.415000000000006,0.426,Jos,Nigeria,10.45N,9.00E
1917-07-01,24.348000000000003,0.625,Jos,Nigeria,10.45N,9.00E
1917-08-01,23.441000000000006,0.402,Jos,Nigeria,10.45N,9.00E
1917-09-01,23.594,0.462,Jos,Nigeria,10.45N,9.00E
1917-10-01,24.712,0.5539999999999999,Jos,Nigeria,10.45N,9.00E
1917-11-01,24.714000000000002,0.8140000000000001,Jos,Nigeria,10.45N,9.00E
1917-12-01,22.905,0.59,Jos,Nigeria,10.45N,9.00E
1918-01-01,20.223,0.847,Jos,Nigeria,10.45N,9.00E
1918-02-01,23.380000000000006,0.804,Jos,Nigeria,10.45N,9.00E
1918-03-01,27.031999999999996,1.845,Jos,Nigeria,10.45N,9.00E
1918-04-01,27.569000000000003,0.591,Jos,Nigeria,10.45N,9.00E
1918-05-01,27.623,0.503,Jos,Nigeria,10.45N,9.00E
1918-06-01,24.805999999999997,0.601,Jos,Nigeria,10.45N,9.00E
1918-07-01,23.788,0.888,Jos,Nigeria,10.45N,9.00E
1918-08-01,23.159,0.39399999999999996,Jos,Nigeria,10.45N,9.00E
1918-09-01,24.545,0.568,Jos,Nigeria,10.45N,9.00E
1918-10-01,25.062,0.26899999999999996,Jos,Nigeria,10.45N,9.00E
1918-11-01,24.531999999999996,0.545,Jos,Nigeria,10.45N,9.00E
1918-12-01,21.076,0.9740000000000001,Jos,Nigeria,10.45N,9.00E
1919-01-01,22.881999999999998,0.743,Jos,Nigeria,10.45N,9.00E
1919-02-01,24.52,0.5720000000000001,Jos,Nigeria,10.45N,9.00E
1919-03-01,27.265,1.2309999999999999,Jos,Nigeria,10.45N,9.00E
1919-04-01,28.658,0.583,Jos,Nigeria,10.45N,9.00E
1919-05-01,26.794,0.446,Jos,Nigeria,10.45N,9.00E
1919-06-01,26.204,0.375,Jos,Nigeria,10.45N,9.00E
1919-07-01,24.026,0.39299999999999996,Jos,Nigeria,10.45N,9.00E
1919-08-01,23.989,0.8170000000000001,Jos,Nigeria,10.45N,9.00E
1919-09-01,24.237,0.522,Jos,Nigeria,10.45N,9.00E
1919-10-01,25.416,1.1059999999999999,Jos,Nigeria,10.45N,9.00E
1919-11-01,23.232,1.068,Jos,Nigeria,10.45N,9.00E
1919-12-01,21.142,0.503,Jos,Nigeria,10.45N,9.00E
1920-01-01,21.02,1.239,Jos,Nigeria,10.45N,9.00E
1920-02-01,22.675,1.805,Jos,Nigeria,10.45N,9.00E
1920-03-01,24.859,1.834,Jos,Nigeria,10.45N,9.00E
1920-04-01,28.171,0.713,Jos,Nigeria,10.45N,9.00E
1920-05-01,26.158,0.552,Jos,Nigeria,10.45N,9.00E
1920-06-01,25.186,0.616,Jos,Nigeria,10.45N,9.00E
1920-07-01,23.566999999999997,0.593,Jos,Nigeria,10.45N,9.00E
1920-08-01,22.389,0.7120000000000001,Jos,Nigeria,10.45N,9.00E
1920-09-01,23.929,0.414,Jos,Nigeria,10.45N,9.00E
1920-10-01,24.933000000000003,0.47,Jos,Nigeria,10.45N,9.00E
1920-11-01,24.619,0.9570000000000001,Jos,Nigeria,10.45N,9.00E
1920-12-01,20.671999999999997,0.601,Jos,Nigeria,10.45N,9.00E
1921-01-01,20.234,1.162,Jos,Nigeria,10.45N,9.00E
1921-02-01,24.144,0.9079999999999999,Jos,Nigeria,10.45N,9.00E
1921-03-01,25.788,2.025,Jos,Nigeria,10.45N,9.00E
1921-04-01,27.783,0.42700000000000005,Jos,Nigeria,10.45N,9.00E
1921-05-01,26.519,0.574,Jos,Nigeria,10.45N,9.00E
1921-06-01,25.326999999999998,0.8270000000000001,Jos,Nigeria,10.45N,9.00E
1921-07-01,24.267,0.831,Jos,Nigeria,10.45N,9.00E
1921-08-01,22.935,0.39,Jos,Nigeria,10.45N,9.00E
1921-09-01,23.93,0.45799999999999996,Jos,Nigeria,10.45N,9.00E
1921-10-01,24.726,0.5479999999999999,Jos,Nigeria,10.45N,9.00E
1921-11-01,25.135,0.633,Jos,Nigeria,10.45N,9.00E
