1.937,0.584,Ilhéus,Brazil,15.27S,39.17W
1959-11-01,26.971,0.268,Ilobu,Nigeria,7.23N,4.05E
1959-12-01,26.54,0.247,Ilobu,Nigeria,7.23N,4.05E
1960-01-01,26.851,0.273,Ilobu,Nigeria,7.23N,4.05E
1960-02-01,28.384,0.39299999999999996,Ilobu,Nigeria,7.23N,4.05E
1960-03-01,28.069000000000003,0.28600000000000003,Ilobu,Nigeria,7.23N,4.05E
1960-04-01,26.718000000000004,0.302,Ilobu,Nigeria,7.23N,4.05E
1960-05-01,26.906999999999996,0.332,Ilobu,Nigeria,7.23N,4.05E
1960-06-01,25.787,0.363,Ilobu,Nigeria,7.23N,4.05E
1960-07-01,24.87,0.19,Ilobu,Nigeria,7.23N,4.05E
1960-08-01,24.779,0.39399999999999996,Ilobu,Nigeria,7.23N,4.05E
1960-09-01,25.16,0.14,Ilobu,Nigeria,7.23N,4.05E
1960-10-01,25.701,0.185,Ilobu,Nigeria,7.23N,4.05E
1960-11-01,26.713,0.423,Ilobu,Nigeria,7.23N,4.05E
1960-12-01,27.2,0.253,Ilobu,Nigeria,7.23N,4.05E
1961-01-01,27.231,0.312,Ilobu,Nigeria,7.23N,4.05E
1961-02-01,27.171999999999997,0.6609999999999999,Ilobu,Nigeria,7.23N,4.05E
1961-03-01,28.917,0.153,Ilobu,Nigeria,7.23N,4.05E
1961-04-01,27.215,0.294,Ilobu,Nigeria,7.23N,4.05E
1961-05-01,27.226000000000006,0.344,Ilobu,Nigeria,7.23N,4.05E
1961-06-01,25.395,0.322,Ilobu,Nigeria,7.23N,4.05E
1961-07-01,24.212,0.522,Ilobu,Nigeria,7.23N,4.05E
1961-08-01,23.779,0.27399999999999997,Ilobu,Nigeria,7.23N,4.05E
1961-09-01,24.744,0.23399999999999999,Ilobu,Nigeria,7.23N,4.05E
1961-10-01,25.581,0.522,Ilobu,Nigeria,7.23N,4.05E
1961-11-01,27.256999999999998,0.39799999999999996,Ilobu,Nigeria,7.23N,4.05E
1961-12-01,26.339000000000002,0.312,Ilobu,Nigeria,7.23N,4.05E
1962-01-01,26.842,0.23800000000000002,Ilobu,Nigeria,7.23N,4.05E
1962-02-01,28.7,0.667,Ilobu,Nigeria,7.23N,4.05E
1962-03-01,28.351,0.276,Ilobu,Nigeria,7.23N,4.05E
1962-04-01,27.402,0.348,Ilobu,Nigeria,7.23N,4.05E
1962-05-01,26.886999999999997,0.29,Ilobu,Nigeria,7.23N,4.05E
1962-06-01,25.104,0.488,Ilobu,Nigeria,7.23N,4.05E
1962-07-01,24.73,0.322,Ilobu,Nigeria,7.23N,4.05E
1962-08-01,24.124,0.2,Ilobu,Nigeria,7.23N,4.05E
1962-09-01,24.569000000000003,0.327,Ilobu,Nigeria,7.23N,4.05E
1962-10-01,25.666,0.451,Ilobu,Nigeria,7.23N,4.05E
1962-11-01,26.575000000000006,0.486,Ilobu,Nigeria,7.23N,4.05E
1962-12-01,26.746,0.237,Ilobu,Nigeria,7.23N,4.05E
1963-01-01,27.5,0.615,Ilobu,Nigeria,7.23N,4.05E
1963-02-01,28.526,0.307,Ilobu,Nigeria,7.23N,4.05E
1963-03-01,27.97,0.126,Ilobu,Nigeria,7.23N,4.05E
1963-04-01,27.412,0.249,Ilobu,Nigeria,7.23N,4.05E
1963-05-01,27.088,0.392,Ilobu,Nigeria,7.23N,4.05E
1963-06-01,26.291,0.685,Ilobu,Nigeria,7.23N,4.05E
1963-07-01,25.366,0.249,Ilobu,Nigeria,7.23N,4.05E
1963-08-01,25.061999999999998,0.20800000000000002,Ilobu,Nigeria,7.23N,4.05E
1963-09-01,25.976,0.21899999999999997,Ilobu,Nigeria,7.23N,4.05E
1963-10-01,26.028,0.151,Ilobu,Nigeria,7.23N,4.05E
1963-11-01,26.738000000000003,0.44299999999999995,Ilobu,Nigeria,7.23N,4.05E
1963-12-01,27.222,0.39799999999999996,Ilobu,Nigeria,7.23N,4.05E
1964-01-01,26.894000000000002,1.005,Ilobu,Nigeria,7.23N,4.05E
1964-02-01,28.711,0.204,Ilobu,Nigeria,7.23N,4.05E
1964-03-01,28.851999999999997,0.315,Ilobu,Nigeria,7.23N,4.05E
1964-04-01,27.531999999999996,0.18600000000000003,Ilobu,Nigeria,7.23N,4.05E
1964-05-01,26.596,0.23399999999999999,Ilobu,Nigeria,7.23N,4.05E
1964-06-01,25.993000000000002,0.598,Ilobu,Nigeria,7.23N,4.05E
1964-07-01,24.156,0.233,Ilobu,Nigeria,7.23N,4.05E
1964-08-01,23.93,0.514,Ilobu,Nigeria,7.23N,4.05E
1964-09-01,24.463,0.152,Ilobu,Nigeria,7.23N,4.05E
1964-10-01,25.12,0.298,Ilobu,Nigeria,7.23N,4.05E
1964-11-01,26.287000000000006,0.44299999999999995,Ilobu,Nigeria,7.23N,4.05E
1964-12-01,26.789,0.262,Ilobu,Nigeria,7.23N,4.05E
1965-01-01,27.149,0.317,Ilobu,Nigeria,7.23N,4.05E
1965-02-01,28.018,0.6409999999999999,Ilobu,Nigeria,7.23N,4.05E
1965-03-01,28.379,0.439,Ilobu,Nigeria,7.23N,4.05E
1965-04-01,27.021,0.28,Ilobu,Nigeria,7.23N,4.05E
1965-05-01,26.927,0.469,Ilobu,Nigeria,7.23N,4.05E
1965-06-01,25.634,0.527,Ilobu,Nigeria,7.23N,4.05E
1965-07-01,24.608,0.324,Ilobu,Nigeria,7.23N,4.05E
1965-08-01,24.204,0.134,Ilobu,Nigeria,7.23N,4.05E
1965-09-01,24.903000000000002,0.42100000000000004,Ilobu,Nigeria,7.23N,4.05E
1965-10-01,25.865,0.515,Ilobu,Nigeria,7.23N,4.05E
1965-11-01,26.944000000000006,0.276,Ilobu,Nigeria,7.23N,4.05E
1965-12-01,26.378,0.24,Ilobu,Nigeria,7.23N,4.05E
1966-01-01,27.13,0.332,Ilobu,Nigeria,7.23N,4.05E
1966-02-01,28.131,0.15,Ilobu,Nigeria,7.23N,4.05E
1966-03-01,28.947,0.252,Ilobu,Nigeria,7.23N,4.05E
1966-04-01,27.676,0.20199999999999999,Ilobu,Nigeria,7.23N,4.05E
1966-05-01,27.003,0.546,Ilobu,Nigeria,7.23N,4.05E
1966-06-01,25.92,0.297,Ilobu,Nigeria,7.23N,4.05E
1966-07-01,25.377,0.341,Ilobu,Nigeria,7.23N,4.05E
1966-08-01,24.673,0.382,Ilobu,Nigeria,7.23N,4.05E
1966-09-01,24.959,0.32299999999999995,Ilobu,Nigeria,7.23N,4.05E
1966-10-01,25.706999999999997,0.374,Ilobu,Nigeria,7.23N,4.05E
1966-11-01,26.267000000000003,1.205,Ilobu,Nigeria,7.23N,4.05E
1966-12-01,26.486,0.17800000000000002,Ilobu,Nigeria,7.23N,4.05E
1967-01-01,25.937,0.601,Ilobu,Nigeria,7.23N,4.05E
1967-02-01,28.73,0.272,Ilobu,Nigeria,7.23N,4.05E
1967-03-01,28.368000000000002,0.321,Ilobu,Nigeria,7.23N,4.05E
1967-04-01,27.422,0.345,Ilobu,Nigeria,7.23N,4.05E
1967-05-01,26.844,0.382,Ilobu,Nigeria,7.23N,4.05E
1967-06-01,24.811,0.7909999999999999,Ilobu,Nigeria,7.23N,4.05E
1967-07-01,24.191000000000006,0.363,Ilobu,Nigeria,7.23N,4.05E
1967-08-01,24.017,0.379,Ilobu,Nigeria,7.23N,4.05E
1967-09-01,24.861,0.41100000000000003,Ilobu,Nigeria,7.23N,4.05E
1967-10-01,25.471,0.13699999999999998,Ilobu,Nigeria,7.23N,4.05E
1967-11-01,26.604000000000006,0.166,Ilobu,Nigeria,7.23N,4.05E
1967-12-01,26.851,0.27899999999999997,Ilobu,Nigeria,7.23N,4.05E
1968-01-01,26.411,0.36700000000000005,Ilobu,Nigeria,7.23N,4.05E
1968-02-01,28.401999999999997,0.264,Ilobu,Nigeria,7.23N,4.05E
1968-03-01,28.01,0.262,Ilobu,Nigeria,7.23N,4.05E
1968-04-01,27.165,0.488,Ilobu,Nigeria,7.23N,4.05E
1968-05-01,26.728,0.32899999999999996,Ilobu,Nigeria,7.23N,4.05E
1968-06-01,25.408,0.385,Ilobu,Nigeria,7.23N,4.05E
1968-07-01,24.825,0.31,Ilobu,Nigeria,7.23N,4.05E
1968-08-01,25.16,0.45299999999999996,Ilobu,Nigeria,7.23N,4.05E
1968-09-01,25.087,0.17300000000000001,Ilobu,Nigeria,7.23N,4.05E
1968-10-01,26.017,0.252,Ilobu,Nigeria,7.23N,4.05E
1968-11-01,27.15,0.64,Ilobu,Nigeria,7.23N,4.05E
1968-12-01,27.258000000000003,0.59,Ilobu,Nigeria,7.23N,4.05E
1969-01-01,27.18,0.40299999999999997,Ilobu,Nigeria,7.23N,4.05E
1969-02-01,29.354,0.34700000000000003,Ilobu,Nigeria,7.23N,4.05E
1969-03-01,28.856,0.312,Ilobu,Nigeria,7.23N,4.05E
1969-04-01,27.812,0.491,Ilobu,Nigeria,7.23N,4.05E
1969-05-01,27.326999999999998,0.264,Ilobu,Nigeria,7.23N,4.05E
1969-06-01,26.168000000000003,0.461,Ilobu,Nigeria,7.23N,4.05E
1969-07-01,24.555999999999997,0.258,Ilobu,Nigeria,7.23N,4.05E
1969-08-01,24.468000000000004,0.317,Ilobu,Nigeria,7.23N,4.05E
1969-09-01,24.999000000000002,0.187,Ilobu,Nigeria,7.23N,4.05E
1969-10-01,25.656999999999996,0.282,Ilobu,Nigeria,7.23N,4.05E
1969-11-01,26.511000000000006,0.217,Ilobu,Nigeria,7.23N,4.05E
1969-12-01,27.383000000000003,0.562,Ilobu,Nigeria,7.23N,4.05E
1970-01-01,27.291,0.39299999999999996,Ilobu,Nigeria,7.23N,4.05E
1970-02-01,28.7,0.38,Ilobu,Nigeria,7.23N,4.05E
1970-03-01,28.89,0.337,Ilobu,Nigeria,7.23N,4.05E
1970-04-01,28.182,0.34600000000000003,Ilobu,Nigeria,7.23N,4.05E
1970-05-01,27.135,0.24,Ilobu,Nigeria,7.23N,4.05E
1970-06-01,26.138,0.316,Ilobu,Nigeria,7.23N,4.05E
1970-07-01,24.741,0.313,Ilobu,Nigeria,7.23N,4.05E
1970-08-01,24.46,0.20600000000000002,Ilobu,Nigeria,7.23N,4.05E
1970-09-01,25.14,0.27699999999999997,Ilobu,Nigeria,7.23N,4.05E
1970-10-01,26.072000000000006,0.324,Ilobu,Nigeria,7.23N,4.05E
1970-11-01,27.136999999999997,0.278,Ilobu,Nigeria,7.23N,4.05E
1970-12-01,26.54,0.265,Ilobu,Nigeria,7.23N,4.05E
1971-01-01,26.659000000000002,0.33399999999999996,Ilobu,Nigeria,7.23N,4.05E
1971-02-01,28.06,0.327,Ilobu,Nigeria,7.23N,4.05E
1971-03-01,28.293000000000003,0.366,Ilobu,Nigeria,7.23N,4.05E
1971-04-01,27.833000000000002,0.35200000000000004,Ilobu,Nigeria,7.23N,4.05E
1971-05-01,27.287000000000006,0.322,Ilobu,Nigeria,7.23N,4.05E
1971-06-01,25.627,0.125,Ilobu,Nigeria,7.23N,4.05E
1971-07-01,24.561999999999998,0.245,Ilobu,Nigeria,7.23N,4.05E
1971-08-01,24.147,0.299,Ilobu,Nigeria,7.23N,4.05E
1971-09-01,24.838,0.221,Ilobu,Nigeria,7.23N,4.05E
1971-10-01,26.031999999999996,0.298,Ilobu,Nigeria,7.23N,4.05E
1971-11-01,27.201,0.313,Ilobu,Nigeria,7.23N,4.05E
1971-12-01,26.167,0.41700000000000004,Ilobu,Nigeria,7.23N,4.05E
1972-01-01,27.277,0.331,Ilobu,Nigeria,7.23N,4.05E
1972-02-01,28.473000000000003,0.155,Ilobu,Nigeria,7.23N,4.05E
1972-03-01,28.234,0.237,Ilobu,Nigeria,7.23N,4.05E
1972-04-01,27.109,0.618,Ilobu,Nigeria,7.23N,4.05E
1972-05-01,26.83,0.21899999999999997,Ilobu,Nigeria,7.23N,4.05E
1972-06-01,25.340999999999998,0.345,Ilobu,Nigeria,7.23N,4.05E
1972-07-01,25.153,0.21600000000000003,Ilobu,Nigeria,7.23N,4.05E
1972-08-01,24.603,0.33799999999999997,Ilobu,Nigeria,7.23N,4.05E
1972-09-01,25.184,0.573,Ilobu,Nigeria,7.23N,4.05E
1972-10-01,26.24,0.522,Ilobu,Nigeria,7.23N,4.05E
1972-11-01,26.96,0.276,Ilobu,Nigeria,7.23N,4.05E
1972-12-01,27.195,0.317,Ilobu,Nigeria,7.23N,4.05E
1973-01-01,27.952,0.373,Ilobu,Nigeria,7.23N,4.05E
1973-02-01,29.622,0.292,Ilobu,Nigeria,7.23N,4.05E
1973-03-01,28.865,0.43700000000000006,Ilobu,Nigeria,7.23N,4.05E
1973-04-01,28.345,0.256,Ilobu,Nigeria,7.23N,4.05E
1973-05-01,27.313,0.499,Ilobu,Nigeria,7.23N,4.05E
1973-06-01,26.011,0.723,Ilobu,Nigeria,7.23N,4.05E
1973-07-01,25.48,0.233,Ilobu,Nigeria,7.23N,4.05E
1973-08-01,24.704,0.41200000000000003,Ilobu,Nigeria,7.23N,4.05E
1973-09-01,25.473000000000003,0.33899999999999997,Ilobu,Nigeria,7.23N,4.05E
1973-10-01,26.326,0.23399999999999999,Ilobu,Nigeria,7.23N,4.05E
1973-11-01,26.646,0.205,Ilobu,Nigeria,7.23N,4.05E
1973-12-01,26.64,0.493,Ilobu,Nigeria,7.23N,4.05E
1974-01-01,26.18,0.789,Ilobu,Nigeria,7.23N,4.05E
1974-02-01,28.2,0.24100000000000002,Ilobu,Nigeria,7.23N,4.05E
1974-03-01,28.356,0.664,Ilobu,Nigeria,7.23N,4.05E
1974-04-01,27.434,0.68,Ilobu,Nigeria,7.23N,4.05E
1974-05-01,26.539,0.23800000000000002,Ilobu,Nigeria,7.23N,4.05E
1974-06-01,25.686,0.223,Ilobu,Nigeria,7.23N,4.05E
1974-07-01,24.467,0.518,Ilobu,Nigeria,7.23N,4.05E
1974-08-01,24.353,0.48,Ilobu,Nigeria,7.23N,4.05E
1974-09-01,24.705,0.266,Ilobu,Nigeria,7.23N,4.05E
1974-10-01,25.267,0.7759999999999999,Ilobu,Nigeria,7.23N,4.05E
1974-11-01,26.581000000000003,0.68,Ilobu,Nigeria,7.23N,4.05E
1974-12-01,25.952,0.32799999999999996,Ilobu,Nigeria,7.23N,4.05E
1975-01-01,25.73,0.919,Ilobu,Nigeria,7.23N,4.05E
1975-02-01,27.976,0.201,Ilobu,Nigeria,7.23N,4.05E
1975-03-01,28.355,0.289,Ilobu,Nigeria,7.23N,4.05E
1975-04-01,27.213,0.272,Ilobu,Nigeria,7.23N,4.05E
1975-05-01,26.425,0.264,Ilobu,Nigeria,7.23N,4.05E
1975-06-01,25.342,0.20199999999999999,Ilobu,Nigeria,7.23N,4.05E
1975-07-01,24.186999999999998,0.41700000000000004,Ilobu,Nigeria,7.23N,4.05E
1975-08-01,23.745,0.685,Ilobu,Nigeria,7.23N,4.05E
1975-09-01,24.671999999999997,0.243,Ilobu,Nigeria,7.23N,4.05E
1975-10-01,25.566999999999997,0.314,Ilobu,Nigeria,7.23N,4.05E
1975-11-01,26.717,0.17,Ilobu,Nigeria,7.23N,4.05E
1975-12-01,26.085,0.37799999999999995,Ilobu,Nigeria,7.23N,4.05E
1976-01-01,26.775,0.75,Ilobu,Nigeria,7.23N,4.05E
1976-02-01,27.995,0.434,Ilobu,Nigeria,7.23N,4.05E
1976-03-01,28.086,0.552,Ilobu,Nigeria,7.23N,4.05E
1976-04-01,27.396,0.36,Ilobu,Nigeria,7.23N,4.05E
1976-05-01,26.748,0.297,Ilobu,Nigeria,7.23N,4.05E
1976-06-01,25.459,0.249,Ilobu,Nigeria,7.23N,4.05E
1976-07-01,24.279,0.581,Ilobu,Nigeria,7.23N,4.05E
1976-08-01,23.938,0.292,Ilobu,Nigeria,7.23N,4.05E
1976-09-01,25.095,0.23,Ilobu,Nigeria,7.23N,4.05E
1976-10-01,25.468000000000004,0.335,Ilobu,Nigeria,7.23N,4.05E
1976-11-01,26.505000000000006,0.48700000000000004,Ilobu,Nigeria,7.23N,4.05E
1976-12-01,27.098000000000003,0.765,Ilobu,Nigeria,7.23N,4.05E
1977-01-01,27.348000000000003,0.45299999999999996,Ilobu,Nigeria,7.23N,4.05E
1977-02-01,28.471999999999998,0.256,Ilobu,Nigeria,7.23N,4.05E
1977-03-01,29.386,0.621,Ilobu,Nigeria,7.23N,4.05E
1977-04-01,28.829,0.493,Ilobu,Nigeria,7.23N,4.05E
1977-05-01,27.584,0.451,Ilobu,Nigeria,7.23N,4.05E
1977-06-01,25.785,0.17600000000000002,Ilobu,Nigeria,7.23N,4.05E
1977-07-01,24.895,0.38299999999999995,Ilobu,Nigeria,7.23N,4.05E
1977-08-01,24.659,0.607,Ilobu,Nigeria,7.23N,4.05E
1977-09-01,25.361,0.292,Ilobu,Nigeria,7.23N,4.05E
1977-10-01,26.051,0.271,Ilobu,Nigeria,7.23N,4.05E
1977-11-01,27.182,0.38299999999999995,Ilobu,Nigeria,7.23N,4.05E
1977-12-01,26.483,0.266,Ilobu,Nigeria,7.23N,4.05E
1978-01-01,27.397,0.34600000000000003,Ilobu,Nigeria,7.23N,4.05E
1978-02-01,29.436,0.387,Ilobu,Nigeria,7.23N,4.05E
1978-03-01,28.279,0.282,Ilobu,Nigeria,7.23N,4.05E
1978-04-01,27.053,0.648,Ilobu,Nigeria,7.23N,4.05E
1978-05-01,26.654,0.302,Ilobu,Nigeria,7.23N,4.05E
1978-06-01,25.694000000000003,0.36,Ilobu,Nigeria,7.23N,4.05E
1978-07-01,24.337,0.204,Ilobu,Nigeria,7.23N,4.05E
1978-08-01,24.655,0.429,Ilobu,Nigeria,7.23N,4.05E
1978-09-01,24.996,0.32799999999999996,Ilobu,Nigeria,7.23N,4.05E
1978-10-01,25.736,0.439,Ilobu,Nigeria,7.23N,4.05E
1978-11-01,26.537000000000006,0.22399999999999998,Ilobu,Nigeria,7.23N,4.05E
1978-12-01,27.243000000000002,0.27399999999999997,Ilobu,Nigeria,7.23N,4.05E
1979-01-01,27.902,0.271,Ilobu,Nigeria,7.23N,4.05E
1979-02-01,28.964000000000002,0.598,Ilobu,Nigeria,7.23N,4.05E
1979-03-01,28.949,0.445,Ilobu,Nigeria,7.23N,4.05E
1979-04-01,28.016,0.423,Ilobu,Nigeria,7.23N,4.05E
1979-05-01,26.671,0.29,Ilobu,Nigeria,7.23N,4.05E
1979-06-01,25.545,0.258,Ilobu,Nigeria,7.23N,4.05E
1979-07-01,24.918000000000003,0.22399999999999998,Ilobu,Nigeria,7.23N,4.05E
1979-08-01,24.973000000000006,0.268,Ilobu,Nigeria,7.23N,4.05E
1979-09-01,25.410999999999998,0.28,Ilobu,Nigeria,7.23N,4.05E
1979-10-01,26.26,0.139,Ilobu,Nigeria,7.23N,4.05E
1979-11-01,27.35,0.225,Ilobu,Nigeria,7.23N,4.05E
1979-12-01,26.008000000000003,0.317,Ilobu,Nigeria,7.23N,4.05E
1980-01-01,28.158,0.32299999999999995,Ilobu,Nigeria,7.23N,4.05E
1980-02-01,28.843000000000004,0.22699999999999998,Ilobu,Nigeria,7.23N,4.05E
1980-03-01,28.955,0.408,Ilobu,Nigeria,7.23N,4.05E
1980-04-01,28.721,0.655,Ilobu,Nigeria,7.23N,4.05E
1980-05-01,26.338,0.34600000000000003,Ilobu,Nigeria,7.23N,4.05E
1980-06-01,25.951,0.22,Ilobu,Nigeria,7.23N,4.05E
1980-07-01,24.628,0.316,Ilobu,Nigeria,7.23N,4.05E
1980-08-01,24.515,0.27699999999999997,Ilobu,Nigeria,7.23N,4.05E
1980-09-01,25.374000000000002,0.242,Ilobu,Nigeria,7.23N,4.05E
1980-10-01,25.772,0.325,Ilobu,Nigeria,7.23N,4.05E
1980-11-01,26.730999999999998,0.4,Ilobu,Nigeria,7.23N,4.05E
1980-12-01,25.493000000000002,0.51,Ilobu,Nigeria,7.23N,4.05E
1981-01-01,26.41,0.32299999999999995,Ilobu,Nigeria,7.23N,4.05E
1981-02-01,28.805,0.308,Ilobu,Nigeria,7.23N,4.05E
1981-03-01,28.805,0.309,Ilobu,Nigeria,7.23N,4.05E
1981-04-01,28.141,0.312,Ilobu,Nigeria,7.23N,4.05E
1981-05-01,26.71,0.376,Ilobu,Nigeria,7.23N,4.05E
1981-06-01,25.845,0.353,Ilobu,Nigeria,7.23N,4.05E
1981-07-01,24.425,0.326,Ilobu,Nigeria,7.23N,4.05E
1981-08-01,24.529,0.248,Ilobu,Nigeria,7.23N,4.05E
1981-09-01,25.339000000000002,0.282,Ilobu,Nigeria,7.23N,4.05E
1981-10-01,26.195999999999998,0.239,Ilobu,Nigeria,7.23N,4.05E
1981-11-01,26.576999999999998,0.21899999999999997,Ilobu,Nigeria,7.23N,4.05E
1981-12-01,27.336,0.265,Ilobu,Nigeria,7.23N,4.05E
1982-01-01,27.19,0.35100000000000003,Ilobu,Nigeria,7.23N,4.05E
1982-02-01,28.291,0.267,Ilobu,Nigeria,7.23N,4.05E
1982-03-01,28.491999999999997,0.426,Ilobu,Nigeria,7.23N,4.05E
1982-04-01,27.896,0.21600000000000003,Ilobu,Nigeria,7.23N,4.05E
1982-05-01,26.543000000000003,0.303,Ilobu,Nigeria,7.23N,4.05E
1982-06-01,25.750999999999998,0.255,Ilobu,Nigeria,7.23N,4.05E
1982-07-01,24.613000000000003,0.265,Ilobu,Nigeria,7.23N,4.05E
1982-08-01,24.22,0.263,Ilobu,Nigeria,7.23N,4.05E
1982-09-01,25.349,0.322,Ilobu,Nigeria,7.23N,4.05E
1982-10-01,25.773000000000003,0.166,Ilobu,Nigeria,7.23N,4.05E
1982-11-01,26.576,0.366,Ilobu,Nigeria,7.23N,4.05E
1982-12-01,26.974,0.41700000000000004,Ilobu,Nigeria,7.23N,4.05E
1983-01-01,25.683000000000003,0.38,Ilobu,Nigeria,7.23N,4.05E
1983-02-01,29.151,0.287,Ilobu,Nigeria,7.23N,4.05E
1983-03-01,29.604,0.503,Ilobu,Nigeria,7.23N,4.05E
1983-04-01,29.054000000000002,0.523,Ilobu,Nigeria,7.23N,4.05E
1983-05-01,27.729,0.365,Ilobu,Nigeria,7.23N,4.05E
1983-06-01,25.649,0.318,Ilobu,Nigeria,7.23N,4.05E
1983-07-01,24.803,0.252,Ilobu,Nigeria,7.23N,4.05E
1983-08-01,24.423,0.373,Ilobu,Nigeria,7.23N,4.05E
1983-09-01,25.316,0.248,Ilobu,Nigeria,7.23N,4.05E
1983-10-01,26.355999999999998,0.336,Ilobu,Nigeria,7.23N,4.05E
1983-11-01,27.268,0.522,Ilobu,Nigeria,7.23N,4.05E
1983-12-01,26.967,0.361,Ilobu,Nigeria,7.23N,4.05E
1984-01-01,27.261999999999997,0.363,Ilobu,Nigeria,7.23N,4.05E
1984-02-01,28.608,0.301,Ilobu,Nigeria,7.23N,4.05E
1984-03-01,28.857,0.408,Ilobu,Nigeria,7.23N,4.05E
1984-04-01,27.735,0.22,Ilobu,Nigeria,7.23N,4.05E
1984-05-01,26.69,0.278,Ilobu,Nigeria,7.23N,4.05E
1984-06-01,25.936999999999998,0.303,Ilobu,Nigeria,7.23N,4.05E
1984-07-01,25.283,0.284,Ilobu,Nigeria,7.23N,4.05E
1984-08-01,25.595,0.22399999999999998,Ilobu,Nigeria,7.23N,4.05E
1984-09-01,25.237,0.298,Ilobu,Nigeria,7.23N,4.05E
1984-10-01,25.950000000000006,0.32,Ilobu,Nigeria,7.23N,4.05E
1984-11-01,27.338,0.34,Ilobu,Nigeria,7.23N,4.05E
1984-12-01,25.916,0.433,Ilobu,Nigeria,7.23N,4.05E
1985-01-01,27.767,0.348,Ilobu,Nigeria,7.23N,4.05E
1985-02-01,28.18,0.228,Ilobu,Nigeria,7.23N,4.05E
1985-03-01,28.898000000000003,0.218,Ilobu,Nigeria,7.23N,4.05E
1985-04-01,27.781,0.386,Ilobu,Nigeria,7.23N,4.05E
1985-05-01,26.880000000000006,0.35200000000000004,Ilobu,Nigeria,7.23N,4.05E
1985-06-01,25.726,0.43200000000000005,Ilobu,Nigeria,7.23N,4.05E
1985-07-01,24.506,0.305,Ilobu,Nigeria,7.23N,4.05E
1985-08-01,24.945,0.19699999999999998,Ilobu,Nigeria,7.23N,4.05E
1985-09-01,25.031999999999996,0.297,Ilobu,Nigeria,7.23N,4.05E
1985-10-01,26.178,0.264,Ilobu,Nigeria,7.23N,4.05E
1985-11-01,27.288,0.28600000000000003,Ilobu,Nigeria,7.23N,4.05E
1985-12-01,25.755,0.39799999999999996,Ilobu,Nigeria,7.23N,4.05E
1986-01-01,27.161,0.415,Ilobu,Nigeria,7.23N,4.05E
1986-02-01,28.951999999999998,0.34700000000000003,Ilobu,Nigeria,7.23N,4.05E
1986-03-01,28.33,0.39299999999999996,Ilobu,Nigeria,7.23N,4.05E
1986-04-01,28.276,0.313,Ilobu,Nigeria,7.23N,4.05E
1986-05-01,27.526,0.431,Ilobu,Nigeria,7.23N,4.05E
1986-06-01,25.814,0.379,Ilobu,Nigeria,7.23N,4.05E
1986-07-01,24.158,0.34,Ilobu,Nigeria,7.23N,4.05E
1986-08-01,24.228,0.237,Ilobu,Nigeria,7.23N,4.05E
1986-09-01,24.77,0.273,Ilobu,Nigeria,7.23N,4.05E
1986-10-01,25.700000000000006,0.215,Ilobu,Nigeria,7.23N,4.05E
1986-11-01,26.541,0.461,Ilobu,Nigeria,7.23N,4.05E
1986-12-01,25.985,0.32899999999999996,Ilobu,Nigeria,7.23N,4.05E
1987-01-01,27.88,0.40700000000000003,Ilobu,Nigeria,7.23N,4.05E
1987-02-01,28.945999999999998,0.254,Ilobu,Nigeria,7.23N,4.05E
1987-03-01,28.676,0.381,Ilobu,Nigeria,7.23N,4.05E
1987-04-01,29.082,0.373,Ilobu,Nigeria,7.23N,4.05E
1987-05-01,28.26,0.358,Ilobu,Nigeria,7.23N,4.05E
1987-06-01,26.63,0.192,Ilobu,Nigeria,7.23N,4.05E
1987-07-01,26.083,0.201,Ilobu,Nigeria,7.23N,4.05E
1987-08-01,25.593000000000004,0.314,Ilobu,Nigeria,7.23N,4.05E
1987-09-01,25.787,0.311,Ilobu,Nigeria,7.23N,4.05E
1987-10-01,26.401,0.294,Ilobu,Nigeria,7.23N,4.05E
1987-11-01,27.713,0.49200000000000005,Ilobu,Nigeria,7.23N,4.05E
1987-12-01,26.915,0.242,Ilobu,Nigeria,7.23N,4.05E
1988-01-01,27.429000000000002,0.258,Ilobu,Nigeria,7.23N,4.05E
1988-02-01,28.842,0.36,Ilobu,Nigeria,7.23N,4.05E
1988-03-01,29.119,0.507,Ilobu,Nigeria,7.23N,4.05E
1988-04-01,27.991,0.385,Ilobu,Nigeria,7.23N,4.05E
1988-05-01,27.655,0.47,Ilobu,Nigeria,7.23N,4.05E
1988-06-01,25.773000000000003,0.439,Ilobu,Nigeria,7.23N,4.05E
1988-07-01,24.8,0.43799999999999994,Ilobu,Nigeria,7.23N,4.05E
1988-08-01,24.289,0.387,Ilobu,Nigeria,7.23N,4.05E
1988-09-01,25.193,0.268,Ilobu,Nigeria,7.23N,4.05E
1988-10-01,26.368,0.29600000000000004,Ilobu,Nigeria,7.23N,4.05E
1988-11-01,27.320999999999998,0.265,Ilobu,Nigeria,7.23N,4.05E
1988-12-01,26.153000000000002,0.337,Ilobu,Nigeria,7.23N,4.05E
1989-01-01,25.634,0.48,Ilobu,Nigeria,7.23N,4.05E
1989-02-01,27.638,0.299,Ilobu,Nigeria,7.23N,4.05E
1989-03-01,28.180999999999997,0.4,Ilobu,Nigeria,7.23N,4.05E
1989-04-01,27.763,0.341,Ilobu,Nigeria,7.23N,4.05E
1989-05-01,26.89,0.32,Ilobu,Nigeria,7.23N,4.05E
1989-06-01,25.906,0.35600000000000004,Ilobu,Nigeria,7.23N,4.05E
