1.937,0.584,Ilhéus,Brazil,15.27S,39.17W
1929-06-01,21.813000000000002,0.41200000000000003,Ilhéus,Brazil,15.27S,39.17W
1929-07-01,20.791,0.5770000000000001,Ilhéus,Brazil,15.27S,39.17W
1929-08-01,22.048000000000002,1.037,Ilhéus,Brazil,15.27S,39.17W
1929-09-01,23.277,0.5479999999999999,Ilhéus,Brazil,15.27S,39.17W
1929-10-01,24.252,0.406,Ilhéus,Brazil,15.27S,39.17W
1929-11-01,24.863000000000003,0.98,Ilhéus,Brazil,15.27S,39.17W
1929-12-01,25.266,0.597,Ilhéus,Brazil,15.27S,39.17W
1930-01-01,25.874000000000002,0.763,Ilhéus,Brazil,15.27S,39.17W
1930-02-01,25.724,0.621,Ilhéus,Brazil,15.27S,39.17W
1930-03-01,25.669,0.613,Ilhéus,Brazil,15.27S,39.17W
1930-04-01,23.855999999999998,0.605,Ilhéus,Brazil,15.27S,39.17W
1930-05-01,23.133000000000003,0.845,Ilhéus,Brazil,15.27S,39.17W
1930-06-01,22.011,0.8690000000000001,Ilhéus,Brazil,15.27S,39.17W
1930-07-01,21.39,0.688,Ilhéus,Brazil,15.27S,39.17W
1930-08-01,22.113000000000003,0.518,Ilhéus,Brazil,15.27S,39.17W
1930-09-01,22.582,0.968,Ilhéus,Brazil,15.27S,39.17W
1930-10-01,23.701,1.354,Ilhéus,Brazil,15.27S,39.17W
1930-11-01,24.077,0.92,Ilhéus,Brazil,15.27S,39.17W
1930-12-01,24.561,0.841,Ilhéus,Brazil,15.27S,39.17W
1931-01-01,26.066,0.9890000000000001,Ilhéus,Brazil,15.27S,39.17W
1931-02-01,25.186,0.836,Ilhéus,Brazil,15.27S,39.17W
1931-03-01,25.711,0.769,Ilhéus,Brazil,15.27S,39.17W
1931-04-01,24.735,0.531,Ilhéus,Brazil,15.27S,39.17W
1931-05-01,23.503,0.38799999999999996,Ilhéus,Brazil,15.27S,39.17W
1931-06-01,22.334,0.45399999999999996,Ilhéus,Brazil,15.27S,39.17W
1931-07-01,21.248,0.479,Ilhéus,Brazil,15.27S,39.17W
1931-08-01,20.835,0.624,Ilhéus,Brazil,15.27S,39.17W
1931-09-01,22.527,0.41600000000000004,Ilhéus,Brazil,15.27S,39.17W
1931-10-01,23.638,0.47600000000000003,Ilhéus,Brazil,15.27S,39.17W
1931-11-01,24.423000000000002,0.494,Ilhéus,Brazil,15.27S,39.17W
1931-12-01,25.828000000000003,0.76,Ilhéus,Brazil,15.27S,39.17W
1932-01-01,24.875,0.6579999999999999,Ilhéus,Brazil,15.27S,39.17W
1932-02-01,25.91,0.6779999999999999,Ilhéus,Brazil,15.27S,39.17W
1932-03-01,25.365,0.738,Ilhéus,Brazil,15.27S,39.17W
1932-04-01,25.336,0.88,Ilhéus,Brazil,15.27S,39.17W
1932-05-01,23.854,0.5379999999999999,Ilhéus,Brazil,15.27S,39.17W
1932-06-01,22.871,1.335,Ilhéus,Brazil,15.27S,39.17W
1932-07-01,21.386,0.7040000000000001,Ilhéus,Brazil,15.27S,39.17W
1932-08-01,21.254,0.483,Ilhéus,Brazil,15.27S,39.17W
1932-09-01,23.068,0.489,Ilhéus,Brazil,15.27S,39.17W
1932-10-01,24.412,0.7609999999999999,Ilhéus,Brazil,15.27S,39.17W
1932-11-01,24.559,0.542,Ilhéus,Brazil,15.27S,39.17W
1932-12-01,25.502,0.675,Ilhéus,Brazil,15.27S,39.17W
