.9830000000000005,0.507,Puerto Montt,Chile,40.99S,72.43W
1957-02-01,14.21,1.262,Puerto Montt,Chile,40.99S,72.43W
1957-03-01,12.855,0.511,Puerto Montt,Chile,40.99S,72.43W
1957-04-01,8.195,0.579,Puerto Montt,Chile,40.99S,72.43W
1957-05-01,7.061,0.428,Puerto Montt,Chile,40.99S,72.43W
1957-06-01,4.059,0.7,Puerto Montt,Chile,40.99S,72.43W
1957-07-01,3.512,0.591,Puerto Montt,Chile,40.99S,72.43W
1957-08-01,4.1880000000000015,0.736,Puerto Montt,Chile,40.99S,72.43W
1957-09-01,5.885,0.879,Puerto Montt,Chile,40.99S,72.43W
1957-10-01,6.9830000000000005,0.674,Puerto Montt,Chile,40.99S,72.43W
1957-11-01,11.285,0.733,Puerto Montt,Chile,40.99S,72.43W
1957-12-01,12.593,0.473,Puerto Montt,Chile,40.99S,72.43W
1958-01-01,13.802,0.496,Puerto Montt,Chile,40.99S,72.43W
1958-02-01,12.889000000000001,0.552,Puerto Montt,Chile,40.99S,72.43W
1958-03-01,12.697000000000001,0.7170000000000001,Puerto Montt,Chile,40.99S,72.43W
1958-04-01,8.531,0.5329999999999999,Puerto Montt,Chile,40.99S,72.43W
1958-05-01,5.6979999999999995,0.55,Puerto Montt,Chile,40.99S,72.43W
1958-06-01,4.8020000000000005,0.5920000000000001,Puerto Montt,Chile,40.99S,72.43W
1958-07-01,6.443999999999999,0.524,Puerto Montt,Chile,40.99S,72.43W
1958-08-01,3.806,0.376,Puerto Montt,Chile,40.99S,72.43W
1958-09-01,5.792999999999999,0.431,Puerto Montt,Chile,40.99S,72.43W
1958-10-01,9.814,0.519,Puerto Montt,Chile,40.99S,72.43W
1958-11-01,9.869,0.244,Puerto Montt,Chile,40.99S,72.43W
1958-12-01,12.063,1.075,Puerto Montt,Chile,40.99S,72.43W
1959-01-01,13.585999999999999,0.8959999999999999,Puerto Montt,Chile,40.99S,72.43W
1959-02-01,14.058,0.703,Puerto Montt,Chile,40.99S,72.43W
1959-03-01,11.298,0.48,Puerto Montt,Chile,40.99S,72.43W
1959-04-01,6.4430000000000005,0.445,Puerto Montt,Chile,40.99S,72.43W
1959-05-01,6.4910000000000005,0.358,Puerto Montt,Chile,40.99S,72.43W
1959-06-01,4.876,0.6629999999999999,Puerto Montt,Chile,40.99S,72.43W
1959-07-01,4.3439999999999985,0.45399999999999996,Puerto Montt,Chile,40.99S,72.43W
1959-08-01,4.2860000000000005,0.648,Puerto Montt,Chile,40.99S,72.43W
1959-09-01,5.655,0.58,Puerto Montt,Chile,40.99S,72.43W
1959-10-01,7.642,0.386,Puerto Montt,Chile,40.99S,72.43W
1959-11-01,10.829,0.41200000000000003,Puerto Montt,Chile,40.99S,72.43W
1959-12-01,13.164000000000001,0.5870000000000001,Puerto Montt,Chile,40.99S,72.43W
1960-01-01,15.937,0.79,Puerto Montt,Chile,40.99S,72.43W
1960-02-01,14.715,0.611,Puerto Montt,Chile,40.99S,72.43W
1960-03-01,12.209000000000001,1.022,Puerto Montt,Chile,40.99S,72.43W
1960-04-01,8.887,0.69,Puerto Montt,Chile,40.99S,72.43W
1960-05-01,6.667000000000001,0.508,Puerto Montt,Chile,40.99S,72.43W
1960-06-01,4.6030000000000015,0.552,Puerto Montt,Chile,40.99S,72.43W
1960-07-01,2.879,0.23,Puerto Montt,Chile,40.99S,72.43W
1960-08-01,4.8069999999999995,0.304,Puerto Montt,Chile,40.99S,72.43W
1960-09-01,6.2090000000000005,0.516,Puerto Montt,Chile,40.99S,72.43W
1960-10-01,7.6190000000000015,0.639,Puerto Montt,Chile,40.99S,72.43W
1960-11-01,10.720999999999998,0.265,Puerto Montt,Chile,40.99S,72.43W
1960-12-01,12.357999999999999,0.475,Puerto Montt,Chile,40.99S,72.43W
1961-01-01,12.35,0.395,Puerto Montt,Chile,40.99S,72.43W
1961-02-01,12.814,0.41200000000000003,Puerto Montt,Chile,40.99S,72.43W
1961-03-01,10.934,0.413,Puerto Montt,Chile,40.99S,72.43W
1961-04-01,7.8370000000000015,0.8420000000000001,Puerto Montt,Chile,40.99S,72.43W
1961-05-01,5.977,0.33899999999999997,Puerto Montt,Chile,40.99S,72.43W
1961-06-01,3.5730000000000004,0.963,Puerto Montt,Chile,40.99S,72.43W
1961-07-01,4.034,0.5820000000000001,Puerto Montt,Chile,40.99S,72.43W
1961-08-01,6.206,0.48200000000000004,Puerto Montt,Chile,40.99S,72.43W
1961-09-01,5.2090000000000005,0.528,Puerto Montt,Chile,40.99S,72.43W
1961-10-01,8.075000000000001,0.503,Puerto Montt,Chile,40.99S,72.43W
1961-11-01,10.253,0.292,Puerto Montt,Chile,40.99S,72.43W
1961-12-01,12.442,0.6509999999999999,Puerto Montt,Chile,40.99S,72.43W
1962-01-01,13.725999999999999,0.613,Puerto Montt,Chile,40.99S,72.43W
1962-02-01,14.223,0.794,Puerto Montt,Chile,40.99S,72.43W
1962-03-01,12.806,0.664,Puerto Montt,Chile,40.99S,72.43W
1962-04-01,7.910000000000001,0.616,Puerto Montt,Chile,40.99S,72.43W
1962-05-01,6.652,0.541,Puerto Montt,Chile,40.99S,72.43W
1962-06-01,5.256,0.728,Puerto Montt,Chile,40.99S,72.43W
1962-07-01,3.019,0.325,Puerto Montt,Chile,40.99S,72.43W
1962-08-01,5.654,0.775,Puerto Montt,Chile,40.99S,72.43W
1962-09-01,6.08,0.309,Puerto Montt,Chile,40.99S,72.43W
1962-10-01,9.057,0.59,Puerto Montt,Chile,40.99S,72.43W
