1988-06-01,26.068,0.345,Teresina,Brazil,5.63S,43.59W
1988-07-01,26.026999999999997,0.21100000000000002,Teresina,Brazil,5.63S,43.59W
1988-08-01,26.959,0.19,Teresina,Brazil,5.63S,43.59W
1988-09-01,28.506999999999998,0.32899999999999996,Teresina,Brazil,5.63S,43.59W
1988-10-01,28.7,0.28300000000000003,Teresina,Brazil,5.63S,43.59W
1988-11-01,28.203000000000007,0.49,Teresina,Brazil,5.63S,43.59W
1988-12-01,25.898000000000003,0.299,Teresina,Brazil,5.63S,43.59W
1989-01-01,25.9,0.256,Teresina,Brazil,5.63S,43.59W
1989-02-01,25.776,0.272,Teresina,Brazil,5.63S,43.59W
1989-03-01,25.64,0.9520000000000001,Teresina,Brazil,5.63S,43.59W
1989-04-01,25.377,0.368,Teresina,Brazil,5.63S,43.59W
1989-05-01,25.701,0.205,Teresina,Brazil,5.63S,43.59W
1989-06-01,26.093000000000004,0.231,Teresina,Brazil,5.63S,43.59W
1989-07-01,26.142,0.434,Teresina,Brazil,5.63S,43.59W
1989-08-01,27.252,0.384,Teresina,Brazil,5.63S,43.59W
1989-09-01,28.583000000000002,0.251,Teresina,Brazil,5.63S,43.59W
1989-10-01,28.683000000000003,0.41100000000000003,Teresina,Brazil,5.63S,43.59W
1989-11-01,27.805999999999997,0.335,Teresina,Brazil,5.63S,43.59W
1989-12-01,25.983,0.467,Teresina,Brazil,5.63S,43.59W
1990-01-01,26.378,0.39899999999999997,Teresina,Brazil,5.63S,43.59W
1990-02-01,25.949,0.461,Teresina,Brazil,5.63S,43.59W
1990-03-01,26.353,0.252,Teresina,Brazil,5.63S,43.59W
1990-04-01,26.601999999999997,0.21100000000000002,Teresina,Brazil,5.63S,43.59W
1990-05-01,26.779,0.257,Teresina,Brazil,5.63S,43.59W
1990-06-01,26.756999999999998,0.327,Teresina,Brazil,5.63S,43.59W
1990-07-01,26.539,0.27399999999999997,Teresina,Brazil,5.63S,43.59W
1990-08-01,27.938000000000002,0.6609999999999999,Teresina,Brazil,5.63S,43.59W
1990-09-01,28.67,0.201,Teresina,Brazil,5.63S,43.59W
1990-10-01,28.61,0.254,Teresina,Brazil,5.63S,43.59W
1990-11-01,28.334000000000003,0.461,Teresina,Brazil,5.63S,43.59W
1990-12-01,27.596,0.26,Teresina,Brazil,5.63S,43.59W
1991-01-01,26.084,0.35200000000000004,Teresina,Brazil,5.63S,43.59W
1991-02-01,26.449,0.20800000000000002,Teresina,Brazil,5.63S,43.59W
1991-03-01,25.903000000000002,0.406,Teresina,Brazil,5.63S,43.59W
1991-04-01,26.155,0.349,Teresina,Brazil,5.63S,43.59W
1991-05-01,26.448,0.311,Teresina,Brazil,5.63S,43.59W
1991-06-01,26.555999999999997,0.195,Teresina,Brazil,5.63S,43.59W
1991-07-01,26.058000000000003,0.222,Teresina,Brazil,5.63S,43.59W
1991-08-01,27.206999999999997,0.353,Teresina,Brazil,5.63S,43.59W
1991-09-01,28.596,0.43799999999999994,Teresina,Brazil,5.63S,43.59W
1991-10-01,28.589000000000002,0.183,Teresina,Brazil,5.63S,43.59W
1991-11-01,28.238000000000003,0.336,Teresina,Brazil,5.63S,43.59W
1991-12-01,27.855999999999998,0.51,Teresina,Brazil,5.63S,43.59W
