9999999999998,0.426,Amol,Iran,36.17N,51.71E
1910-07-01,25.413,0.7070000000000001,Amol,Iran,36.17N,51.71E
1910-08-01,24.349,0.795,Amol,Iran,36.17N,51.71E
1910-09-01,19.609,0.5870000000000001,Amol,Iran,36.17N,51.71E
1910-10-01,14.404000000000002,0.695,Amol,Iran,36.17N,51.71E
1910-11-01,9.707,1.082,Amol,Iran,36.17N,51.71E
1910-12-01,0.6159999999999997,0.711,Amol,Iran,36.17N,51.71E
1911-01-01,-3.5540000000000003,1.043,Amol,Iran,36.17N,51.71E
1911-02-01,0.436,0.97,Amol,Iran,36.17N,51.71E
1911-03-01,3.693,1.193,Amol,Iran,36.17N,51.71E
1911-04-01,9.486,0.474,Amol,Iran,36.17N,51.71E
1911-05-01,15.909,1.319,Amol,Iran,36.17N,51.71E
1911-06-01,21.173,0.5760000000000001,Amol,Iran,36.17N,51.71E
1911-07-01,25.107,0.6679999999999999,Amol,Iran,36.17N,51.71E
1911-08-01,23.715,1.235,Amol,Iran,36.17N,51.71E
1911-09-01,19.696,0.857,Amol,Iran,36.17N,51.71E
1911-10-01,12.873,1.298,Amol,Iran,36.17N,51.71E
1911-11-01,7.6629999999999985,0.392,Amol,Iran,36.17N,51.71E
1911-12-01,2.293,0.807,Amol,Iran,36.17N,51.71E
1912-01-01,1.3089999999999995,1.389,Amol,Iran,36.17N,51.71E
1912-02-01,5.268,0.685,Amol,Iran,36.17N,51.71E
1912-03-01,7.2799999999999985,0.433,Amol,Iran,36.17N,51.71E
1912-04-01,10.436,0.591,Amol,Iran,36.17N,51.71E
1912-05-01,16.347,0.973,Amol,Iran,36.17N,51.71E
1912-06-01,23.349,0.693,Amol,Iran,36.17N,51.71E
1912-07-01,25.085,0.7390000000000001,Amol,Iran,36.17N,51.71E
1912-08-01,24.112,0.518,Amol,Iran,36.17N,51.71E
1912-09-01,20.099,2.255,Amol,Iran,36.17N,51.71E
1912-10-01,15.118,0.9570000000000001,Amol,Iran,36.17N,51.71E
1912-11-01,8.667,0.787,Amol,Iran,36.17N,51.71E
1912-12-01,2.3,0.292,Amol,Iran,36.17N,51.71E
1913-01-01,1.2830000000000001,0.718,Amol,Iran,36.17N,51.71E
1913-02-01,0.007000000000000117,0.5,Amol,Iran,36.17N,51.71E
1913-03-01,5.026999999999999,0.8490000000000001,Amol,Iran,36.17N,51.71E
1913-04-01,10.311,0.278,Amol,Iran,36.17N,51.71E
1913-05-01,18.212,0.5329999999999999,Amol,Iran,36.17N,51.71E
1913-06-01,21.211,0.782,Amol,Iran,36.17N,51.71E
1913-07-01,25.604,1.047,Amol,Iran,36.17N,51.71E
1913-08-01,24.351,1.614,Amol,Iran,36.17N,51.71E
1913-09-01,21.525,0.62,Amol,Iran,36.17N,51.71E
1913-10-01,13.946,1.149,Amol,Iran,36.17N,51.71E
1913-11-01,8.797999999999998,0.8909999999999999,Amol,Iran,36.17N,51.71E
1913-12-01,4.423,1.251,Amol,Iran,36.17N,51.71E
1914-01-01,5.0680000000000005,0.662,Amol,Iran,36.17N,51.71E
1914-02-01,3.337,0.968,Amol,Iran,36.17N,51.71E
1914-03-01,8.853,0.731,Amol,Iran,36.17N,51.71E
1914-04-01,11.544,0.867,Amol,Iran,36.17N,51.71E
1914-05-01,16.644000000000002,0.391,Amol,Iran,36.17N,51.71E
1914-06-01,22.043000000000006,0.838,Amol,Iran,36.17N,51.71E
1914-07-01,25.079,0.687,Amol,Iran,36.17N,51.71E
1914-08-01,24.066,0.36200000000000004,Amol,Iran,36.17N,51.71E
1914-09-01,20.277,0.9159999999999999,Amol,Iran,36.17N,51.71E
1914-10-01,15.539000000000001,0.48700000000000004,Amol,Iran,36.17N,51.71E
1914-11-01,7.1629999999999985,0.6559999999999999,Amol,Iran,36.17N,51.71E
1914-12-01,2.6659999999999995,0.66,Amol,Iran,36.17N,51.71E
1915-01-01,4.7010000000000005,1.1340000000000001,Amol,Iran,36.17N,51.71E
1915-02-01,3.502,0.8440000000000001,Amol,Iran,36.17N,51.71E
1915-03-01,9.379,0.544,Amol,Iran,36.17N,51.71E
1915-04-01,10.762,0.601,Amol,Iran,36.17N,51.71E
1915-05-01,17.287,0.46,Amol,Iran,36.17N,51.71E
1915-06-01,21.668000000000006,0.391,Amol,Iran,36.17N,51.71E
1915-07-01,24.304000000000002,0.6890000000000001,Amol,Iran,36.17N,51.71E
1915-08-01,24.667,0.8059999999999999,Amol,Iran,36.17N,51.71E
1915-09-01,21.445,0.841,Amol,Iran,36.17N,51.71E
1915-10-01,14.255,0.552,Amol,Iran,36.17N,51.71E
1915-11-01,10.588,0.6409999999999999,Amol,Iran,36.17N,51.71E
1915-12-01,5.63,0.897,Amol,Iran,36.17N,51.71E
1916-01-01,2.0140000000000002,0.915,Amol,Iran,36.17N,51.71E
1916-02-01,1.741,0.8009999999999999,Amol,Iran,36.17N,51.71E
1916-03-01,6.752000000000001,0.545,Amol,Iran,36.17N,51.71E
1916-04-01,10.993,0.732,Amol,Iran,36.17N,51.71E
1916-05-01,18.34,0.47600000000000003,Amol,Iran,36.17N,51.71E
1916-06-01,19.689,2.104,Amol,Iran,36.17N,51.71E
1916-07-01,24.555999999999997,0.633,Amol,Iran,36.17N,51.71E
1916-08-01,24.929000000000002,1.321,Amol,Iran,36.17N,51.71E
1916-09-01,19.47,1.067,Amol,Iran,36.17N,51.71E
1916-10-01,13.262,0.88,Amol,Iran,36.17N,51.71E
1916-11-01,7.229999999999999,0.633,Amol,Iran,36.17N,51.71E
1916-12-01,4.6869999999999985,0.573,Amol,Iran,36.17N,51.71E
1917-01-01,3.187,1.6980000000000002,Amol,Iran,36.17N,51.71E
1917-02-01,3.495,1.11,Amol,Iran,36.17N,51.71E
1917-03-01,7.398,0.81,Amol,Iran,36.17N,51.71E
1917-04-01,15.724,2.295,Amol,Iran,36.17N,51.71E
1917-05-01,18.086,2.108,Amol,Iran,36.17N,51.71E
1917-06-01,21.622,0.92,Amol,Iran,36.17N,51.71E
1917-07-01,25.8,0.774,Amol,Iran,36.17N,51.71E
1917-08-01,24.326,0.662,Amol,Iran,36.17N,51.71E
1917-09-01,21.034000000000002,0.63,Amol,Iran,36.17N,51.71E
1917-10-01,13.185,0.358,Amol,Iran,36.17N,51.71E
1917-11-01,9.828,0.888,Amol,Iran,36.17N,51.71E
1917-12-01,2.838,0.7340000000000001,Amol,Iran,36.17N,51.71E
1918-01-01,1.919,0.655,Amol,Iran,36.17N,51.71E
1918-02-01,2.672,1.008,Amol,Iran,36.17N,51.71E
1918-03-01,4.689,0.968,Amol,Iran,36.17N,51.71E
1918-04-01,9.279,0.727,Amol,Iran,36.17N,51.71E
1918-05-01,17.15,2.693,Amol,Iran,36.17N,51.71E
1918-06-01,21.014000000000006,1.2830000000000001,Amol,Iran,36.17N,51.71E
1918-07-01,24.964000000000002,1.6269999999999998,Amol,Iran,36.17N,51.71E
1918-08-01,23.883000000000003,0.569,Amol,Iran,36.17N,51.71E
1918-09-01,21.35,0.69,Amol,Iran,36.17N,51.71E
1918-10-01,16.112000000000002,0.649,Amol,Iran,36.17N,51.71E
