9999999999,0.47100000000000003,Hangu,China,39.38N,118.61E
1856-05-01,20.067,2.104,Hangzhou,China,29.74N,120.00E
1856-06-01,23.829,1.746,Hangzhou,China,29.74N,120.00E
1856-07-01,27.904,1.876,Hangzhou,China,29.74N,120.00E
1856-08-01,27.511,2.733,Hangzhou,China,29.74N,120.00E
1856-09-01,23.381,2.415,Hangzhou,China,29.74N,120.00E
1856-10-01,16.28,1.171,Hangzhou,China,29.74N,120.00E
1856-11-01,11.271999999999998,2.241,Hangzhou,China,29.74N,120.00E
1856-12-01,6.122999999999998,1.338,Hangzhou,China,29.74N,120.00E
1857-01-01,3.405,1.774,Hangzhou,China,29.74N,120.00E
1857-02-01,6.182,2.9419999999999997,Hangzhou,China,29.74N,120.00E
1857-03-01,10.082,1.5619999999999998,Hangzhou,China,29.74N,120.00E
1857-04-01,15.732999999999999,2.488,Hangzhou,China,29.74N,120.00E
1857-05-01,19.276000000000003,1.075,Hangzhou,China,29.74N,120.00E
1857-06-01,24.47,2.182,Hangzhou,China,29.74N,120.00E
1857-07-01,28.108,1.795,Hangzhou,China,29.74N,120.00E
1857-08-01,26.756,1.492,Hangzhou,China,29.74N,120.00E
1857-09-01,21.963,0.782,Hangzhou,China,29.74N,120.00E
1857-10-01,16.905,1.804,Hangzhou,China,29.74N,120.00E
1857-11-01,10.734000000000002,1.196,Hangzhou,China,29.74N,120.00E
1857-12-01,6.987,1.639,Hangzhou,China,29.74N,120.00E
1858-01-01,4.085,2.105,Hangzhou,China,29.74N,120.00E
1858-02-01,5.164,1.755,Hangzhou,China,29.74N,120.00E
1858-03-01,9.339,1.179,Hangzhou,China,29.74N,120.00E
1858-04-01,15.026,1.636,Hangzhou,China,29.74N,120.00E
1858-05-01,19.129,1.36,Hangzhou,China,29.74N,120.00E
1858-06-01,23.991,1.136,Hangzhou,China,29.74N,120.00E
1858-07-01,27.266,1.143,Hangzhou,China,29.74N,120.00E
1858-08-01,25.596999999999998,2.428,Hangzhou,China,29.74N,120.00E
1858-09-01,22.653,1.207,Hangzhou,China,29.74N,120.00E
1858-10-01,16.437,1.4469999999999998,Hangzhou,China,29.74N,120.00E
1858-11-01,10.736999999999998,1.419,Hangzhou,China,29.74N,120.00E
1858-12-01,6.204,1.456,Hangzhou,China,29.74N,120.00E
1859-01-01,3.408,1.266,Hangzhou,China,29.74N,120.00E
1859-02-01,4.791,1.272,Hangzhou,China,29.74N,120.00E
1859-03-01,8.786999999999999,0.9840000000000001,Hangzhou,China,29.74N,120.00E
1859-04-01,16.526,1.864,Hangzhou,China,29.74N,120.00E
1859-05-01,20.611,0.88,Hangzhou,China,29.74N,120.00E
1859-06-01,25.079,1.055,Hangzhou,China,29.74N,120.00E
1859-07-01,27.107,1.09,Hangzhou,China,29.74N,120.00E
1859-08-01,27.32,1.02,Hangzhou,China,29.74N,120.00E
1859-09-01,22.498,0.858,Hangzhou,China,29.74N,120.00E
1859-10-01,16.933,1.3980000000000001,Hangzhou,China,29.74N,120.00E
1859-11-01,10.299000000000001,2.0580000000000003,Hangzhou,China,29.74N,120.00E
1859-12-01,4.567,2.8539999999999996,Hangzhou,China,29.74N,120.00E
1860-01-01,3.142,1.3330000000000002,Hangzhou,China,29.74N,120.00E
1860-02-01,5.827999999999999,1.923,Hangzhou,China,29.74N,120.00E
1860-03-01,8.132,2.3890000000000002,Hangzhou,China,29.74N,120.00E
1860-04-01,14.732000000000001,1.199,Hangzhou,China,29.74N,120.00E
1860-05-01,18.441000000000006,0.847,Hangzhou,China,29.74N,120.00E
1860-06-01,23.919,0.797,Hangzhou,China,29.74N,120.00E
1860-07-01,26.601,1.047,Hangzhou,China,29.74N,120.00E
1860-08-01,27.069000000000006,0.9009999999999999,Hangzhou,China,29.74N,120.00E
1860-09-01,22.576999999999998,1.829,Hangzhou,China,29.74N,120.00E
1860-10-01,15.81,1.534,Hangzhou,China,29.74N,120.00E
1860-11-01,9.527000000000001,1.791,Hangzhou,China,29.74N,120.00E
1860-12-01,6.446000000000001,1.3530000000000002,Hangzhou,China,29.74N,120.00E
1861-01-01,2.256,1.65,Hangzhou,China,29.74N,120.00E
1861-02-01,3.389,0.9390000000000001,Hangzhou,China,29.74N,120.00E
1861-03-01,8.882,0.9640000000000001,Hangzhou,China,29.74N,120.00E
1861-04-01,15.280999999999999,1.3319999999999999,Hangzhou,China,29.74N,120.00E
1861-05-01,19.362,2.011,Hangzhou,China,29.74N,120.00E
1861-06-01,24.033,1.44,Hangzhou,China,29.74N,120.00E
1861-07-01,28.334,2.292,Hangzhou,China,29.74N,120.00E
1861-08-01,27.833,1.7369999999999999,Hangzhou,China,29.74N,120.00E
1861-09-01,21.479000000000006,1.075,Hangzhou,China,29.74N,120.00E
1861-10-01,16.558,0.977,Hangzhou,China,29.74N,120.00E
1861-11-01,11.129000000000001,1.851,Hangzhou,China,29.74N,120.00E
1861-12-01,5.542000000000001,1.7890000000000001,Hangzhou,China,29.74N,120.00E
1862-01-01,0.5369999999999999,2.865,Hangzhou,China,29.74N,120.00E
1862-02-01,2.427,2.978,Hangzhou,China,29.74N,120.00E
1862-03-01,7.571999999999999,2.019,Hangzhou,China,29.74N,120.00E
1862-04-01,14.274000000000001,1.2890000000000001,Hangzhou,China,29.74N,120.00E
1862-05-01,20.048,1.589,Hangzhou,China,29.74N,120.00E
1862-06-01,24.239,1.218,Hangzhou,China,29.74N,120.00E
1862-07-01,27.701999999999998,1.4040000000000001,Hangzhou,China,29.74N,120.00E
1862-08-01,25.761999999999997,2.485,Hangzhou,China,29.74N,120.00E
1862-09-01,22.371,1.4080000000000001,Hangzhou,China,29.74N,120.00E
1862-10-01,15.917000000000002,1.6640000000000001,Hangzhou,China,29.74N,120.00E
1862-11-01,9.107000000000001,2.509,Hangzhou,China,29.74N,120.00E
1862-12-01,3.935,1.8,Hangzhou,China,29.74N,120.00E
1863-01-01,4.114,2.267,Hangzhou,China,29.74N,120.00E
1863-02-01,6.417999999999999,3.1510000000000002,Hangzhou,China,29.74N,120.00E
1863-03-01,9.382,1.114,Hangzhou,China,29.74N,120.00E
1863-04-01,12.974,3.627,Hangzhou,China,29.74N,120.00E
1863-05-01,18.595,2.4130000000000003,Hangzhou,China,29.74N,120.00E
1863-06-01,23.872,1.715,Hangzhou,China,29.74N,120.00E
1863-07-01,29.041999999999998,2.8989999999999996,Hangzhou,China,29.74N,120.00E
1863-08-01,26.513,1.381,Hangzhou,China,29.74N,120.00E
1863-09-01,21.885,1.079,Hangzhou,China,29.74N,120.00E
1863-10-01,15.184,2.222,Hangzhou,China,29.74N,120.00E
1863-11-01,8.969,4.291,Hangzhou,China,29.74N,120.00E
1863-12-01,5.082,2.1180000000000003,Hangzhou,China,29.74N,120.00E
1864-01-01,1.3459999999999999,3.345,Hangzhou,China,29.74N,120.00E
1864-02-01,3.353,2.833,Hangzhou,China,29.74N,120.00E
1864-03-01,7.0889999999999995,4.0680000000000005,Hangzhou,China,29.74N,120.00E
1864-04-01,14.373,1.22,Hangzhou,China,29.74N,120.00E
1864-05-01,19.004,1.764,Hangzhou,China,29.74N,120.00E
1864-06-01,23.651,1.531,Hangzhou,China,29.74N,120.00E
1864-07-01,27.86,0.9490000000000001,Hangzhou,China,29.74N,120.00E
1864-08-01,26.553,1.3,Hangzhou,China,29.74N,120.00E
1864-09-01,22.066000000000006,1.355,Hangzhou,China,29.74N,120.00E
1864-10-01,17.547,1.9509999999999998,Hangzhou,China,29.74N,120.00E
1864-11-01,10.842,1.3230000000000002,Hangzhou,China,29.74N,120.00E
1864-12-01,4.957,1.419,Hangzhou,China,29.74N,120.00E
1865-01-01,4.78,1.82,Hangzhou,China,29.74N,120.00E
1865-02-01,5.454,3.4960000000000004,Hangzhou,China,29.74N,120.00E
1865-03-01,9.09,1.745,Hangzhou,China,29.74N,120.00E
1865-04-01,15.224,2.767,Hangzhou,China,29.74N,120.00E
1865-05-01,19.92,1.536,Hangzhou,China,29.74N,120.00E
1865-06-01,24.441,1.374,Hangzhou,China,29.74N,120.00E
1865-07-01,27.564,1.7469999999999999,Hangzhou,China,29.74N,120.00E
1865-08-01,27.489,1.564,Hangzhou,China,29.74N,120.00E
1865-09-01,23.143,1.3,Hangzhou,China,29.74N,120.00E
1865-10-01,16.752000000000002,1.28,Hangzhou,China,29.74N,120.00E
1865-11-01,10.640999999999998,1.929,Hangzhou,China,29.74N,120.00E
1865-12-01,4.981,2.081,Hangzhou,China,29.74N,120.00E
1866-01-01,4.027,1.7469999999999999,Hangzhou,China,29.74N,120.00E
1866-02-01,5.277,2.64,Hangzhou,China,29.74N,120.00E
1866-03-01,9.211,1.858,Hangzhou,China,29.74N,120.00E
1866-04-01,13.073,2.081,Hangzhou,China,29.74N,120.00E
1866-05-01,20.238000000000003,1.182,Hangzhou,China,29.74N,120.00E
1866-06-01,23.01,1.068,Hangzhou,China,29.74N,120.00E
1866-07-01,27.779,1.325,Hangzhou,China,29.74N,120.00E
1866-08-01,28.500999999999998,1.935,Hangzhou,China,29.74N,120.00E
1866-09-01,22.103,0.8740000000000001,Hangzhou,China,29.74N,120.00E
1866-10-01,16.599,0.773,Hangzhou,China,29.74N,120.00E
1866-11-01,10.470999999999998,1.7890000000000001,Hangzhou,China,29.74N,120.00E
1866-12-01,6.5379999999999985,1.459,Hangzhou,China,29.74N,120.00E
1867-01-01,3.272,1.3840000000000001,Hangzhou,China,29.74N,120.00E
1867-02-01,5.478,1.8319999999999999,Hangzhou,China,29.74N,120.00E
1867-03-01,10.773,2.245,Hangzhou,China,29.74N,120.00E
1867-04-01,15.473,1.4169999999999998,Hangzhou,China,29.74N,120.00E
1867-05-01,19.791,0.885,Hangzhou,China,29.74N,120.00E
1867-06-01,24.766,0.961,Hangzhou,China,29.74N,120.00E
1867-07-01,27.811999999999998,1.699,Hangzhou,China,29.74N,120.00E
1867-08-01,26.879,1.286,Hangzhou,China,29.74N,120.00E
1867-09-01,22.23,1.5959999999999999,Hangzhou,China,29.74N,120.00E
1867-10-01,17.752000000000006,0.736,Hangzhou,China,29.74N,120.00E
1867-11-01,10.384,3.0580000000000003,Hangzhou,China,29.74N,120.00E
1867-12-01,7.039,1.776,Hangzhou,China,29.74N,120.00E
1868-01-01,4.1930000000000005,2.228,Hangzhou,China,29.74N,120.00E
1868-02-01,5.5120000000000005,3.011,Hangzhou,China,29.74N,120.00E
1868-03-01,9.176,1.281,Hangzhou,China,29.74N,120.00E
1868-04-01,15.11,1.432,Hangzhou,China,29.74N,120.00E
1868-05-01,19.428,1.3159999999999998,Hangzhou,China,29.74N,120.00E
1868-06-01,23.708000000000002,1.1079999999999999,Hangzhou,China,29.74N,120.00E
1868-07-01,27.873,0.9229999999999999,Hangzhou,China,29.74N,120.00E
1868-08-01,27.076999999999998,1.168,Hangzhou,China,29.74N,120.00E
1868-09-01,22.854000000000006,1.198,Hangzhou,China,29.74N,120.00E
1868-10-01,17.701,0.9940000000000001,Hangzhou,China,29.74N,120.00E
1868-11-01,11.678,1.518,Hangzhou,China,29.74N,120.00E
1868-12-01,6.5859999999999985,2.233,Hangzhou,China,29.74N,120.00E
1869-01-01,4.229,2.1830000000000003,Hangzhou,China,29.74N,120.00E
1869-02-01,6.148,1.86,Hangzhou,China,29.74N,120.00E
1869-03-01,9.327,1.5819999999999999,Hangzhou,China,29.74N,120.00E
1869-04-01,14.265999999999998,1.556,Hangzhou,China,29.74N,120.00E
1869-05-01,20.576999999999998,1.249,Hangzhou,China,29.74N,120.00E
1869-06-01,24.475,1.1159999999999999,Hangzhou,China,29.74N,120.00E
1869-07-01,28.129,1.19,Hangzhou,China,29.74N,120.00E
1869-08-01,27.697,1.006,Hangzhou,China,29.74N,120.00E
1869-09-01,23.528,1.081,Hangzhou,China,29.74N,120.00E
1869-10-01,17.645,1.205,Hangzhou,China,29.74N,120.00E
1869-11-01,10.786,1.6219999999999999,Hangzhou,China,29.74N,120.00E
1869-12-01,6.194,1.824,Hangzhou,China,29.74N,120.00E
1870-01-01,3.583,1.545,Hangzhou,China,29.74N,120.00E
1870-02-01,4.668,1.896,Hangzhou,China,29.74N,120.00E
1870-03-01,10.372,2.6319999999999997,Hangzhou,China,29.74N,120.00E
1870-04-01,15.545,2.14,Hangzhou,China,29.74N,120.00E
1870-05-01,20.39,1.3880000000000001,Hangzhou,China,29.74N,120.00E
1870-06-01,25.079,1.839,Hangzhou,China,29.74N,120.00E
1870-07-01,28.05,1.517,Hangzhou,China,29.74N,120.00E
1870-08-01,27.238000000000003,1.181,Hangzhou,China,29.74N,120.00E
1870-09-01,23.151999999999997,1.689,Hangzhou,China,29.74N,120.00E
1870-10-01,17.621000000000006,2.1590000000000003,Hangzhou,China,29.74N,120.00E
1870-11-01,10.828,1.609,Hangzhou,China,29.74N,120.00E
1870-12-01,5.693,1.945,Hangzhou,China,29.74N,120.00E
1871-01-01,3.898,1.821,Hangzhou,China,29.74N,120.00E
1871-02-01,5.085,2.146,Hangzhou,China,29.74N,120.00E
1871-03-01,10.436,1.851,Hangzhou,China,29.74N,120.00E
1871-04-01,15.72,1.589,Hangzhou,China,29.74N,120.00E
1871-05-01,21.115,2.38,Hangzhou,China,29.74N,120.00E
1871-06-01,25.261,2.29,Hangzhou,China,29.74N,120.00E
1871-07-01,28.815,2.316,Hangzhou,China,29.74N,120.00E
1871-08-01,28.194000000000006,1.9609999999999999,Hangzhou,China,29.74N,120.00E
1871-09-01,24.164,3.617,Hangzhou,China,29.74N,120.00E
1871-10-01,18.32,2.31,Hangzhou,China,29.74N,120.00E
1871-11-01,10.96,1.3869999999999998,Hangzhou,China,29.74N,120.00E
1871-12-01,3.679,2.912,Hangzhou,China,29.74N,120.00E
1872-01-01,3.38,3.446,Hangzhou,China,29.74N,120.00E
1872-02-01,3.3680000000000003,1.1059999999999999,Hangzhou,China,29.74N,120.00E
1872-03-01,10.181000000000001,1.925,Hangzhou,China,29.74N,120.00E
1872-04-01,16.445,2.14,Hangzhou,China,29.74N,120.00E
1872-05-01,20.713,1.0759999999999998,Hangzhou,China,29.74N,120.00E
1872-06-01,23.136,2.01,Hangzhou,China,29.74N,120.00E
1872-07-01,29.416999999999998,3.4139999999999997,Hangzhou,China,29.74N,120.00E
1872-08-01,27.779,2.166,Hangzhou,China,29.74N,120.00E
1872-09-01,22.849,0.784,Hangzhou,China,29.74N,120.00E
1872-10-01,17.175,0.667,Hangzhou,China,29.74N,120.00E
1872-11-01,11.369000000000002,1.114,Hangzhou,China,29.74N,120.00E
1872-12-01,8.149,2.66,Hangzhou,China,29.74N,120.00E
1873-01-01,2.514,2.396,Hangzhou,China,29.74N,120.00E
1873-02-01,4.766,1.123,Hangzhou,China,29.74N,120.00E
1873-03-01,8.664,0.9670000000000001,Hangzhou,China,29.74N,120.00E
1873-04-01,16.268,3.7710000000000004,Hangzhou,China,29.74N,120.00E
1873-05-01,20.258000000000006,2.2319999999999998,Hangzhou,China,29.74N,120.00E
1873-06-01,23.263,1.4040000000000001,Hangzhou,China,29.74N,120.00E
1873-07-01,28.138,2.204,Hangzhou,China,29.74N,120.00E
1873-08-01,26.723000000000006,0.628,Hangzhou,China,29.74N,120.00E
1873-09-01,22.9,1.057,Hangzhou,China,29.74N,120.00E
1873-10-01,16.407,0.966,Hangzhou,China,29.74N,120.00E
1873-11-01,11.753,0.95,Hangzhou,China,29.74N,120.00E
1873-12-01,7.3660000000000005,1.848,Hangzhou,China,29.74N,120.00E
1874-01-01,1.7819999999999998,2.7319999999999998,Hangzhou,China,29.74N,120.00E
1874-02-01,4.819,1.446,Hangzhou,China,29.74N,120.00E
1874-03-01,8.269,2.27,Hangzhou,China,29.74N,120.00E
1874-04-01,15.475,1.2690000000000001,Hangzhou,China,29.74N,120.00E
1874-05-01,19.924000000000003,1.015,Hangzhou,China,29.74N,120.00E
1874-06-01,25.826,1.4769999999999999,Hangzhou,China,29.74N,120.00E
1874-07-01,27.566,1.705,Hangzhou,China,29.74N,120.00E
1874-08-01,27.386,0.787,Hangzhou,China,29.74N,120.00E
1874-09-01,23.165000000000006,0.8220000000000001,Hangzhou,China,29.74N,120.00E
1874-10-01,17.57,1.0270000000000001,Hangzhou,China,29.74N,120.00E
1874-11-01,9.904,1.9040000000000001,Hangzhou,China,29.74N,120.00E
1874-12-01,7.007000000000001,1.092,Hangzhou,China,29.74N,120.00E
1875-01-01,2.569,1.139,Hangzhou,China,29.74N,120.00E
1875-02-01,4.849,1.128,Hangzhou,China,29.74N,120.00E
1875-03-01,10.681,1.334,Hangzhou,China,29.74N,120.00E
1875-04-01,14.389000000000001,1.032,Hangzhou,China,29.74N,120.00E
1875-05-01,21.006,1.526,Hangzhou,China,29.74N,120.00E
1875-06-01,23.774,1.896,Hangzhou,China,29.74N,120.00E
1875-07-01,28.184,1.016,Hangzhou,China,29.74N,120.00E
1875-08-01,27.186,1.594,Hangzhou,China,29.74N,120.00E
1875-09-01,22.290000000000006,1.077,Hangzhou,China,29.74N,120.00E
1875-10-01,16.92,0.853,Hangzhou,China,29.74N,120.00E
1875-11-01,10.702,1.168,Hangzhou,China,29.74N,120.00E
1875-12-01,3.458,2.767,Hangzhou,China,29.74N,120.00E
1876-01-01,1.7009999999999998,1.879,Hangzhou,China,29.74N,120.00E
1876-02-01,5.525,1.475,Hangzhou,China,29.74N,120.00E
1876-03-01,9.842,2.299,Hangzhou,China,29.74N,120.00E
1876-04-01,14.675999999999998,0.924,Hangzhou,China,29.74N,120.00E
1876-05-01,20.372,1.567,Hangzhou,China,29.74N,120.00E
1876-06-01,23.127,2.358,Hangzhou,China,29.74N,120.00E
1876-07-01,26.986,1.6680000000000001,Hangzhou,China,29.74N,120.00E
1876-08-01,27.011999999999997,0.9590000000000001,Hangzhou,China,29.74N,120.00E
1876-09-01,22.840999999999998,0.852,Hangzhou,China,29.74N,120.00E
1876-10-01,17.394000000000002,1.335,Hangzhou,China,29.74N,120.00E
1876-11-01,10.327,1.32,Hangzhou,China,29.74N,120.00E
1876-12-01,6.574,3.38,Hangzhou,China,29.74N,120.00E
1877-01-01,3.43,1.859,Hangzhou,China,29.74N,120.00E
1877-02-01,3.327,1.6869999999999998,Hangzhou,China,29.74N,120.00E
1877-03-01,8.986,1.683,Hangzhou,China,29.74N,120.00E
1877-04-01,16.03,2.211,Hangzhou,China,29.74N,120.00E
1877-05-01,20.102999999999998,1.525,Hangzhou,China,29.74N,120.00E
1877-06-01,24.377,1.9780000000000002,Hangzhou,China,29.74N,120.00E
1877-07-01,27.19,2.272,Hangzhou,China,29.74N,120.00E
1877-08-01,26.201,2.952,Hangzhou,China,29.74N,120.00E
1877-09-01,22.855,0.7809999999999999,Hangzhou,China,29.74N,120.00E
1877-10-01,15.749,2.6489999999999996,Hangzhou,China,29.74N,120.00E
1877-11-01,11.634,2.102,Hangzhou,China,29.74N,120.00E
1877-12-01,6.192,2.873,Hangzhou,China,29.74N,120.00E
1878-01-01,0.8900000000000001,2.9410000000000003,Hangzhou,China,29.74N,120.00E
1878-02-01,3.674,2.0,Hangzhou,China,29.74N,120.00E
1878-03-01,10.044,1.723,Hangzhou,China,29.74N,120.00E
1878-04-01,15.28,1.598,Hangzhou,China,29.74N,120.00E
1878-05-01,19.711,1.382,Hangzhou,China,29.74N,120.00E
1878-06-01,23.827,1.369,Hangzhou,China,29.74N,120.00E
1878-07-01,27.941999999999997,1.286,Hangzhou,China,29.74N,120.00E
1878-08-01,26.927,1.214,Hangzhou,China,29.74N,120.00E
1878-09-01,23.379,1.949,Hangzhou,China,29.74N,120.00E
1878-10-01,17.819000000000006,1.135,Hangzhou,China,29.74N,120.00E
1878-11-01,11.719000000000001,1.1840000000000002,Hangzhou,China,29.74N,120.00E
1878-12-01,5.301,1.324,Hangzhou,China,29.74N,120.00E
1879-01-01,3.543,0.8590000000000001,Hangzhou,China,29.74N,120.00E
1879-02-01,6.257000000000001,1.178,Hangzhou,China,29.74N,120.00E
1879-03-01,8.837,0.802,Hangzhou,China,29.74N,120.00E
1879-04-01,14.511,1.05,Hangzhou,China,29.74N,120.00E
1879-05-01,20.594,1.052,Hangzhou,China,29.74N,120.00E
1879-06-01,24.132,0.779,Hangzhou,China,29.74N,120.00E
1879-07-01,28.765,2.572,Hangzhou,China,29.74N,120.00E
1879-08-01,28.511,2.076,Hangzhou,China,29.74N,120.00E
1879-09-01,23.267000000000003,0.955,Hangzhou,China,29.74N,120.00E
1879-10-01,16.972,0.865,Hangzhou,China,29.74N,120.00E
1879-11-01,12.166,1.7380000000000002,Hangzhou,China,29.74N,120.00E
1879-12-01,5.819,1.256,Hangzhou,China,29.74N,120.00E
1880-01-01,2.555,1.095,Hangzhou,China,29.74N,120.00E
1880-02-01,4.871,1.37,Hangzhou,China,29.74N,120.00E
1880-03-01,9.759,1.06,Hangzhou,China,29.74N,120.00E
1880-04-01,14.435,0.7090000000000001,Hangzhou,China,29.74N,120.00E
1880-05-01,20.65,1.383,Hangzhou,China,29.74N,120.00E
1880-06-01,23.536,0.698,Hangzhou,China,29.74N,120.00E
1880-07-01,26.430999999999997,1.585,Hangzhou,China,29.74N,120.00E
1880-08-01,25.921,1.425,Hangzhou,China,29.74N,120.00E
1880-09-01,23.412000000000006,1.176,Hangzhou,China,29.74N,120.00E
1880-10-01,18.09,1.52,Hangzhou,China,29.74N,120.00E
1880-11-01,9.815,2.2840000000000003,Hangzhou,China,29.74N,120.00E
1880-12-01,3.842,1.349,Hangzhou,China,29.74N,120.00E
1881-01-01,2.781,1.0270000000000001,Hangzhou,China,29.74N,120.00E
1881-02-01,6.019,1.8659999999999999,Hangzhou,China,29.74N,120.00E
1881-03-01,7.191,1.755,Hangzhou,China,29.74N,120.00E
1881-04-01,14.935,0.71,Hangzhou,China,29.74N,120.00E
1881-05-01,19.354000000000006,1.47,Hangzhou,China,29.74N,120.00E
1881-06-01,23.97,1.099,Hangzhou,China,29.74N,120.00E
1881-07-01,27.471,0.5720000000000001,Hangzhou,China,29.74N,120.00E
1881-08-01,27.261,0.623,Hangzhou,China,29.74N,120.00E
1881-09-01,22.969,0.657,Hangzhou,China,29.74N,120.00E
1881-10-01,17.343,1.037,Hangzhou,China,29.74N,120.00E
1881-11-01,11.962,0.976,Hangzhou,China,29.74N,120.00E
1881-12-01,6.335,1.248,Hangzhou,China,29.74N,120.00E
1882-01-01,4.847,1.327,Hangzhou,China,29.74N,120.00E
1882-02-01,4.8870000000000005,1.432,Hangzhou,China,29.74N,120.00E
1882-03-01,9.139,1.4909999999999999,Hangzhou,China,29.74N,120.00E
1882-04-01,14.747,0.647,Hangzhou,China,29.74N,120.00E
1882-05-01,19.753,1.196,Hangzhou,China,29.74N,120.00E
1882-06-01,23.419,0.7929999999999999,Hangzhou,China,29.74N,120.00E
1882-07-01,26.316,1.202,Hangzhou,China,29.74N,120.00E
1882-08-01,25.726,1.224,Hangzhou,China,29.74N,120.00E
1882-09-01,22.776999999999997,0.6579999999999999,Hangzhou,China,29.74N,120.00E
1882-10-01,18.24,0.833,Hangzhou,China,29.74N,120.00E
1882-11-01,10.717,0.9229999999999999,Hangzhou,China,29.74N,120.00E
1882-12-01,5.297000000000001,1.2229999999999999,Hangzhou,China,29.74N,120.00E
1883-01-01,2.64,1.4880000000000002,Hangzhou,China,29.74N,120.00E
1883-02-01,4.273,1.29,Hangzhou,China,29.74N,120.00E
1883-03-01,9.227,1.7469999999999999,Hangzhou,China,29.74N,120.00E
1883-04-01,15.19,0.983,Hangzhou,China,29.74N,120.00E
1883-05-01,19.229000000000006,1.219,Hangzhou,China,29.74N,120.00E
1883-06-01,24.554000000000002,1.3419999999999999,Hangzhou,China,29.74N,120.00E
1883-07-01,27.489,1.023,Hangzhou,China,29.74N,120.00E
1883-08-01,26.598000000000003,0.6990000000000001,Hangzhou,China,29.74N,120.00E
1883-09-01,22.721,1.787,Hangzhou,China,29.74N,120.00E
1883-10-01,17.387,0.556,Hangzhou,China,29.74N,120.00E
1883-11-01,10.771,0.6559999999999999,Hangzhou,China,29.74N,120.00E
1883-12-01,4.475,1.569,Hangzhou,China,29.74N,120.00E
1884-01-01,4.556,1.135,Hangzhou,China,29.74N,120.00E
1884-02-01,3.325,1.021,Hangzhou,China,29.74N,120.00E
1884-03-01,9.11,0.951,Hangzhou,China,29.74N,120.00E
1884-04-01,13.952,1.3130000000000002,Hangzhou,China,29.74N,120.00E
1884-05-01,18.945999999999998,1.605,Hangzhou,China,29.74N,120.00E
1884-06-01,23.311,0.7490000000000001,Hangzhou,China,29.74N,120.00E
1884-07-01,26.918000000000003,0.638,Hangzhou,China,29.74N,120.00E
1884-08-01,26.171,0.75,Hangzhou,China,29.74N,120.00E
1884-09-01,23.125,0.695,Hangzhou,China,29.74N,120.00E
1884-10-01,16.899,0.914,Hangzhou,China,29.74N,120.00E
1884-11-01,9.153,1.729,Hangzhou,China,29.74N,120.00E
1884-12-01,3.814,1.065,Hangzhou,China,29.74N,120.00E
1885-01-01,2.6710000000000003,1.139,Hangzhou,China,29.74N,120.00E
1885-02-01,2.6919999999999997,1.527,Hangzhou,China,29.74N,120.00E
1885-03-01,8.461,1.0759999999999998,Hangzhou,China,29.74N,120.00E
1885-04-01,13.687000000000001,2.406,Hangzhou,China,29.74N,120.00E
1885-05-01,19.445,0.851,Hangzhou,China,29.74N,120.00E
1885-06-01,23.191,1.837,Hangzhou,China,29.74N,120.00E
1885-07-01,26.159000000000002,1.598,Hangzhou,China,29.74N,120.00E
1885-08-01,27.158,0.988,Hangzhou,China,29.74N,120.00E
1885-09-01,22.269,0.8490000000000001,Hangzhou,China,29.74N,120.00E
1885-10-01,17.153000000000002,0.937,Hangzhou,China,29.74N,120.00E
1885-11-01,10.008,1.724,Hangzhou,China,29.74N,120.00E
1885-12-01,6.416,1.202,Hangzhou,China,29.74N,120.00E
1886-01-01,2.452,1.0490000000000002,Hangzhou,China,29.74N,120.00E
1886-02-01,1.6880000000000002,1.6769999999999998,Hangzhou,China,29.74N,120.00E
1886-03-01,9.106,0.7859999999999999,Hangzhou,China,29.74N,120.00E
1886-04-01,14.555,0.87,Hangzhou,China,29.74N,120.00E
1886-05-01,19.676,0.8320000000000001,Hangzhou,China,29.74N,120.00E
1886-06-01,22.88,1.3630000000000002,Hangzhou,China,29.74N,120.00E
1886-07-01,27.362,1.146,Hangzhou,China,29.74N,120.00E
1886-08-01,26.689,0.6809999999999999,Hangzhou,China,29.74N,120.00E
1886-09-01,21.764000000000006,1.505,Hangzhou,China,29.74N,120.00E
1886-10-01,17.852999999999998,0.894,Hangzhou,China,29.74N,120.00E
1886-11-01,11.268,0.94,Hangzhou,China,29.74N,120.00E
1886-12-01,4.96,1.319,Hangzhou,China,29.74N,120.00E
1887-01-01,3.1830000000000003,1.084,Hangzhou,China,29.74N,120.00E
1887-02-01,4.119,1.4809999999999999,Hangzhou,China,29.74N,120.00E
1887-03-01,9.21,1.186,Hangzhou,China,29.74N,120.00E
1887-04-01,15.755,2.577,Hangzhou,China,29.74N,120.00E
1887-05-01,19.499,0.966,Hangzhou,China,29.74N,120.00E
1887-06-01,23.311,1.396,Hangzhou,China,29.74N,120.00E
1887-07-01,27.109,0.914,Hangzhou,China,29.74N,120.00E
1887-08-01,27.418000000000003,1.588,Hangzhou,China,29.74N,120.00E
1887-09-01,23.35,0.7290000000000001,Hangzhou,China,29.74N,120.00E
1887-10-01,17.296,0.7759999999999999,Hangzhou,China,29.74N,120.00E
1887-11-01,11.305,1.158,Hangzhou,China,29.74N,120.00E
1887-12-01,6.127999999999999,0.946,Hangzhou,China,29.74N,120.00E
1888-01-01,4.394,1.166,Hangzhou,China,29.74N,120.00E
1888-02-01,3.035,1.9140000000000001,Hangzhou,China,29.74N,120.00E
1888-03-01,10.287,0.858,Hangzhou,China,29.74N,120.00E
