942999999999998,1.422,Tilburg,Netherlands,52.24N,5.26E
1861-10-01,11.187000000000001,0.478,Tilburg,Netherlands,52.24N,5.26E
1861-11-01,4.843,1.69,Tilburg,Netherlands,52.24N,5.26E
1861-12-01,2.688,2.0180000000000002,Tilburg,Netherlands,52.24N,5.26E
1862-01-01,1.012,1.382,Tilburg,Netherlands,52.24N,5.26E
1862-02-01,2.822,1.3130000000000002,Tilburg,Netherlands,52.24N,5.26E
1862-03-01,6.931,0.6920000000000001,Tilburg,Netherlands,52.24N,5.26E
1862-04-01,9.633,0.9940000000000001,Tilburg,Netherlands,52.24N,5.26E
1862-05-01,14.481000000000002,1.73,Tilburg,Netherlands,52.24N,5.26E
1862-06-01,14.032,1.148,Tilburg,Netherlands,52.24N,5.26E
1862-07-01,15.492,0.888,Tilburg,Netherlands,52.24N,5.26E
1862-08-01,16.079,1.158,Tilburg,Netherlands,52.24N,5.26E
1862-09-01,14.451,1.167,Tilburg,Netherlands,52.24N,5.26E
1862-10-01,11.183,1.3,Tilburg,Netherlands,52.24N,5.26E
1862-11-01,4.423,0.831,Tilburg,Netherlands,52.24N,5.26E
1862-12-01,4.013,1.6580000000000001,Tilburg,Netherlands,52.24N,5.26E
1863-01-01,4.102,2.201,Tilburg,Netherlands,52.24N,5.26E
1863-02-01,4.236000000000001,2.862,Tilburg,Netherlands,52.24N,5.26E
1863-03-01,5.726,0.504,Tilburg,Netherlands,52.24N,5.26E
1863-04-01,8.796000000000001,1.545,Tilburg,Netherlands,52.24N,5.26E
1863-05-01,11.633,1.112,Tilburg,Netherlands,52.24N,5.26E
1863-06-01,15.061,1.2790000000000001,Tilburg,Netherlands,52.24N,5.26E
1863-07-01,15.677,1.037,Tilburg,Netherlands,52.24N,5.26E
1863-08-01,17.217000000000002,0.826,Tilburg,Netherlands,52.24N,5.26E
1863-09-01,12.481,0.6829999999999999,Tilburg,Netherlands,52.24N,5.26E
1863-10-01,11.214,0.852,Tilburg,Netherlands,52.24N,5.26E
1863-11-01,5.6770000000000005,0.816,Tilburg,Netherlands,52.24N,5.26E
1863-12-01,4.647,1.445,Tilburg,Netherlands,52.24N,5.26E
1864-01-01,-1.589,0.919,Tilburg,Netherlands,52.24N,5.26E
1864-02-01,0.6519999999999997,1.5819999999999999,Tilburg,Netherlands,52.24N,5.26E
1864-03-01,5.1370000000000005,0.755,Tilburg,Netherlands,52.24N,5.26E
1864-04-01,7.334,0.902,Tilburg,Netherlands,52.24N,5.26E
1864-05-01,11.089,0.522,Tilburg,Netherlands,52.24N,5.26E
1864-06-01,14.318,1.064,Tilburg,Netherlands,52.24N,5.26E
1864-07-01,15.924000000000001,0.6509999999999999,Tilburg,Netherlands,52.24N,5.26E
1864-08-01,14.504,1.21,Tilburg,Netherlands,52.24N,5.26E
1864-09-01,13.679,1.295,Tilburg,Netherlands,52.24N,5.26E
1864-10-01,8.892000000000001,0.6779999999999999,Tilburg,Netherlands,52.24N,5.26E
1864-11-01,3.7,1.206,Tilburg,Netherlands,52.24N,5.26E
1864-12-01,-0.4470000000000001,1.406,Tilburg,Netherlands,52.24N,5.26E
1865-01-01,1.005,0.794,Tilburg,Netherlands,52.24N,5.26E
1865-02-01,-1.0100000000000002,0.794,Tilburg,Netherlands,52.24N,5.26E
1865-03-01,0.8250000000000002,0.42100000000000004,Tilburg,Netherlands,52.24N,5.26E
1865-04-01,10.948,1.496,Tilburg,Netherlands,52.24N,5.26E
1865-05-01,15.374,1.192,Tilburg,Netherlands,52.24N,5.26E
1865-06-01,14.384,0.836,Tilburg,Netherlands,52.24N,5.26E
1865-07-01,18.256,0.6809999999999999,Tilburg,Netherlands,52.24N,5.26E
1865-08-01,16.137,0.6,Tilburg,Netherlands,52.24N,5.26E
1865-09-01,16.758,0.449,Tilburg,Netherlands,52.24N,5.26E
1865-10-01,10.4,0.8740000000000001,Tilburg,Netherlands,52.24N,5.26E
1865-11-01,6.85,0.863,Tilburg,Netherlands,52.24N,5.26E
1865-12-01,2.569,1.476,Tilburg,Netherlands,52.24N,5.26E
1866-01-01,4.856,0.642,Tilburg,Netherlands,52.24N,5.26E
1866-02-01,4.455,0.9490000000000001,Tilburg,Netherlands,52.24N,5.26E
1866-03-01,3.8,0.821,Tilburg,Netherlands,52.24N,5.26E
1866-04-01,9.131,0.858,Tilburg,Netherlands,52.24N,5.26E
1866-05-01,9.817,1.026,Tilburg,Netherlands,52.24N,5.26E
1866-06-01,17.509,0.807,Tilburg,Netherlands,52.24N,5.26E
1866-07-01,15.906999999999998,0.777,Tilburg,Netherlands,52.24N,5.26E
1866-08-01,15.224000000000002,0.789,Tilburg,Netherlands,52.24N,5.26E
1866-09-01,14.242,0.5820000000000001,Tilburg,Netherlands,52.24N,5.26E
1866-10-01,9.134,0.511,Tilburg,Netherlands,52.24N,5.26E
1866-11-01,6.013,0.767,Tilburg,Netherlands,52.24N,5.26E
1866-12-01,3.963,1.09,Tilburg,Netherlands,52.24N,5.26E
1867-01-01,0.216,1.436,Tilburg,Netherlands,52.24N,5.26E
1867-02-01,5.949999999999998,0.644,Tilburg,Netherlands,52.24N,5.26E
1867-03-01,2.4970000000000003,0.982,Tilburg,Netherlands,52.24N,5.26E
1867-04-01,8.324,0.9229999999999999,Tilburg,Netherlands,52.24N,5.26E
1867-05-01,12.003,0.315,Tilburg,Netherlands,52.24N,5.26E
1867-06-01,14.959000000000001,0.584,Tilburg,Netherlands,52.24N,5.26E
