942999999999998,1.422,Tilburg,Netherlands,52.24N,5.26E
2013-06-01,19.357,0.396,Timisoara,Romania,45.81N,21.92E
2013-07-01,21.588,0.22699999999999998,Timisoara,Romania,45.81N,21.92E
2013-08-01,22.441999999999997,0.392,Timisoara,Romania,45.81N,21.92E
2013-09-01,,,Timisoara,Romania,45.81N,21.92E
1845-01-01,26.168000000000003,1.67,Timon,Brazil,5.63S,43.59W
1845-02-01,24.59,2.471,Timon,Brazil,5.63S,43.59W
1845-03-01,25.015,1.3259999999999998,Timon,Brazil,5.63S,43.59W
1845-04-01,25.099,1.367,Timon,Brazil,5.63S,43.59W
1845-05-01,25.113000000000003,1.466,Timon,Brazil,5.63S,43.59W
1845-06-01,25.049,1.355,Timon,Brazil,5.63S,43.59W
1845-07-01,25.901999999999997,1.29,Timon,Brazil,5.63S,43.59W
1845-08-01,26.756,1.193,Timon,Brazil,5.63S,43.59W
1845-09-01,27.434,1.181,Timon,Brazil,5.63S,43.59W
1845-10-01,,,Timon,Brazil,5.63S,43.59W
1845-11-01,,,Timon,Brazil,5.63S,43.59W
1845-12-01,,,Timon,Brazil,5.63S,43.59W
1846-01-01,27.099,1.6569999999999998,Timon,Brazil,5.63S,43.59W
1846-02-01,26.054,1.548,Timon,Brazil,5.63S,43.59W
1846-03-01,26.581999999999997,1.547,Timon,Brazil,5.63S,43.59W
1846-04-01,24.841,1.501,Timon,Brazil,5.63S,43.59W
1846-05-01,25.506,1.685,Timon,Brazil,5.63S,43.59W
1846-06-01,26.059,1.536,Timon,Brazil,5.63S,43.59W
1846-07-01,26.46,1.585,Timon,Brazil,5.63S,43.59W
1846-08-01,27.29,1.329,Timon,Brazil,5.63S,43.59W
1846-09-01,27.61,1.358,Timon,Brazil,5.63S,43.59W
1846-10-01,27.454,1.168,Timon,Brazil,5.63S,43.59W
1846-11-01,27.241999999999997,1.534,Timon,Brazil,5.63S,43.59W
1846-12-01,27.212,1.327,Timon,Brazil,5.63S,43.59W
1847-01-01,26.228,3.5669999999999997,Timon,Brazil,5.63S,43.59W
1847-02-01,25.819000000000006,1.361,Timon,Brazil,5.63S,43.59W
1847-03-01,24.184,1.92,Timon,Brazil,5.63S,43.59W
1847-04-01,25.027,1.3419999999999999,Timon,Brazil,5.63S,43.59W
1847-05-01,24.877,1.3090000000000002,Timon,Brazil,5.63S,43.59W
1847-06-01,24.881,1.46,Timon,Brazil,5.63S,43.59W
1847-07-01,25.845,1.368,Timon,Brazil,5.63S,43.59W
1847-08-01,26.590999999999998,1.239,Timon,Brazil,5.63S,43.59W
1847-09-01,27.601,1.114,Timon,Brazil,5.63S,43.59W
1847-10-01,27.675,1.135,Timon,Brazil,5.63S,43.59W
1847-11-01,27.711,1.228,Timon,Brazil,5.63S,43.59W
1847-12-01,25.386,1.719,Timon,Brazil,5.63S,43.59W
1848-01-01,24.452,1.683,Timon,Brazil,5.63S,43.59W
1848-02-01,26.105,1.4509999999999998,Timon,Brazil,5.63S,43.59W
1848-03-01,24.930999999999997,1.351,Timon,Brazil,5.63S,43.59W
1848-04-01,25.366,1.337,Timon,Brazil,5.63S,43.59W
1848-05-01,24.910999999999998,1.4409999999999998,Timon,Brazil,5.63S,43.59W
1848-06-01,25.26,1.632,Timon,Brazil,5.63S,43.59W
1848-07-01,26.055999999999997,1.724,Timon,Brazil,5.63S,43.59W
1848-08-01,26.572,1.504,Timon,Brazil,5.63S,43.59W
1848-09-01,27.149,1.338,Timon,Brazil,5.63S,43.59W
1848-10-01,27.89,1.203,Timon,Brazil,5.63S,43.59W
1848-11-01,27.235000000000007,1.2670000000000001,Timon,Brazil,5.63S,43.59W
1848-12-01,26.104,1.57,Timon,Brazil,5.63S,43.59W
1849-01-01,25.921,1.4,Timon,Brazil,5.63S,43.59W
1849-02-01,25.375,1.493,Timon,Brazil,5.63S,43.59W
1849-03-01,25.666,1.66,Timon,Brazil,5.63S,43.59W
1849-04-01,24.451,1.4709999999999999,Timon,Brazil,5.63S,43.59W
1849-05-01,24.576,1.238,Timon,Brazil,5.63S,43.59W
1849-06-01,25.410999999999998,1.531,Timon,Brazil,5.63S,43.59W
1849-07-01,26.143,1.42,Timon,Brazil,5.63S,43.59W
1849-08-01,26.831,1.33,Timon,Brazil,5.63S,43.59W
1849-09-01,27.325,1.2309999999999999,Timon,Brazil,5.63S,43.59W
1849-10-01,27.955,1.2329999999999999,Timon,Brazil,5.63S,43.59W
1849-11-01,27.581000000000003,1.473,Timon,Brazil,5.63S,43.59W
1849-12-01,25.335,1.391,Timon,Brazil,5.63S,43.59W
1850-01-01,24.773000000000003,1.5959999999999999,Timon,Brazil,5.63S,43.59W
1850-02-01,25.749,1.466,Timon,Brazil,5.63S,43.59W
1850-03-01,25.096999999999998,2.039,Timon,Brazil,5.63S,43.59W
1850-04-01,24.682,1.614,Timon,Brazil,5.63S,43.59W
1850-05-01,24.666999999999998,1.35,Timon,Brazil,5.63S,43.59W
1850-06-01,25.513,1.431,Timon,Brazil,5.63S,43.59W
1850-07-01,,,Timon,Brazil,5.63S,43.59W
1850-08-01,27.065,1.244,Timon,Brazil,5.63S,43.59W
1850-09-01,27.516,1.109,Timon,Brazil,5.63S,43.59W
1850-10-01,27.31,1.19,Timon,Brazil,5.63S,43.59W
1850-11-01,26.91,1.56,Timon,Brazil,5.63S,43.59W
1850-12-01,26.003,1.3780000000000001,Timon,Brazil,5.63S,43.59W
1851-01-01,26.041999999999998,1.141,Timon,Brazil,5.63S,43.59W
1851-02-01,25.188,1.192,Timon,Brazil,5.63S,43.59W
1851-03-01,24.475,1.284,Timon,Brazil,5.63S,43.59W
1851-04-01,24.84,1.545,Timon,Brazil,5.63S,43.59W
1851-05-01,25.305999999999997,1.217,Timon,Brazil,5.63S,43.59W
1851-06-01,25.612,1.207,Timon,Brazil,5.63S,43.59W
1851-07-01,26.215999999999998,1.379,Timon,Brazil,5.63S,43.59W
1851-08-01,26.991999999999997,1.315,Timon,Brazil,5.63S,43.59W
1851-09-01,27.519000000000002,0.998,Timon,Brazil,5.63S,43.59W
1851-10-01,27.879,1.585,Timon,Brazil,5.63S,43.59W
1851-11-01,26.941000000000006,1.281,Timon,Brazil,5.63S,43.59W
1851-12-01,26.268,2.3890000000000002,Timon,Brazil,5.63S,43.59W
1852-01-01,25.826,1.8969999999999998,Timon,Brazil,5.63S,43.59W
1852-02-01,24.864,1.167,Timon,Brazil,5.63S,43.59W
1852-03-01,24.579,1.567,Timon,Brazil,5.63S,43.59W
1852-04-01,25.106,1.492,Timon,Brazil,5.63S,43.59W
1852-05-01,25.855,1.22,Timon,Brazil,5.63S,43.59W
1852-06-01,25.424,1.185,Timon,Brazil,5.63S,43.59W
1852-07-01,26.108,1.2819999999999998,Timon,Brazil,5.63S,43.59W
1852-08-01,26.5,1.128,Timon,Brazil,5.63S,43.59W
1852-09-01,27.507,1.03,Timon,Brazil,5.63S,43.59W
1852-10-01,27.655,0.9690000000000001,Timon,Brazil,5.63S,43.59W
1852-11-01,26.848000000000006,1.256,Timon,Brazil,5.63S,43.59W
1852-12-01,26.954,1.4969999999999999,Timon,Brazil,5.63S,43.59W
1853-01-01,25.504,1.375,Timon,Brazil,5.63S,43.59W
1853-02-01,24.46,1.431,Timon,Brazil,5.63S,43.59W
1853-03-01,24.55,1.55,Timon,Brazil,5.63S,43.59W
1853-04-01,25.129,1.3530000000000002,Timon,Brazil,5.63S,43.59W
1853-05-01,25.435,1.224,Timon,Brazil,5.63S,43.59W
1853-06-01,25.526999999999997,1.278,Timon,Brazil,5.63S,43.59W
1853-07-01,26.320999999999998,1.23,Timon,Brazil,5.63S,43.59W
1853-08-01,27.286,1.268,Timon,Brazil,5.63S,43.59W
1853-09-01,27.932,1.129,Timon,Brazil,5.63S,43.59W
1853-10-01,27.8,1.171,Timon,Brazil,5.63S,43.59W
1853-11-01,27.136999999999997,1.5830000000000002,Timon,Brazil,5.63S,43.59W
1853-12-01,26.413,1.3719999999999999,Timon,Brazil,5.63S,43.59W
1854-01-01,24.9,1.589,Timon,Brazil,5.63S,43.59W
1854-02-01,24.59,1.496,Timon,Brazil,5.63S,43.59W
1854-03-01,25.008000000000003,1.421,Timon,Brazil,5.63S,43.59W
1854-04-01,25.312,1.272,Timon,Brazil,5.63S,43.59W
1854-05-01,25.630000000000006,1.236,Timon,Brazil,5.63S,43.59W
1854-06-01,25.331,1.3969999999999998,Timon,Brazil,5.63S,43.59W
1854-07-01,26.323,1.36,Timon,Brazil,5.63S,43.59W
1854-08-01,27.103,1.325,Timon,Brazil,5.63S,43.59W
1854-09-01,27.779,1.071,Timon,Brazil,5.63S,43.59W
1854-10-01,28.813000000000002,1.23,Timon,Brazil,5.63S,43.59W
1854-11-01,27.574,1.253,Timon,Brazil,5.63S,43.59W
1854-12-01,26.643,1.913,Timon,Brazil,5.63S,43.59W
1855-01-01,26.494,1.735,Timon,Brazil,5.63S,43.59W
1855-02-01,25.641,1.555,Timon,Brazil,5.63S,43.59W
1855-03-01,25.233,1.308,Timon,Brazil,5.63S,43.59W
1855-04-01,26.08,1.4380000000000002,Timon,Brazil,5.63S,43.59W
1855-05-01,25.984,1.433,Timon,Brazil,5.63S,43.59W
1855-06-01,25.738000000000003,1.47,Timon,Brazil,5.63S,43.59W
1855-07-01,25.878,1.3630000000000002,Timon,Brazil,5.63S,43.59W
1855-08-01,27.015,1.232,Timon,Brazil,5.63S,43.59W
1855-09-01,27.484,1.074,Timon,Brazil,5.63S,43.59W
1855-10-01,27.754,1.3719999999999999,Timon,Brazil,5.63S,43.59W
1855-11-01,27.17,1.249,Timon,Brazil,5.63S,43.59W
1855-12-01,25.39,1.829,Timon,Brazil,5.63S,43.59W
1856-01-01,25.679000000000002,1.358,Timon,Brazil,5.63S,43.59W
1856-02-01,24.433000000000003,1.585,Timon,Brazil,5.63S,43.59W
1856-03-01,24.590999999999998,1.401,Timon,Brazil,5.63S,43.59W
1856-04-01,25.323,1.262,Timon,Brazil,5.63S,43.59W
1856-05-01,25.229000000000006,1.4980000000000002,Timon,Brazil,5.63S,43.59W
1856-06-01,25.638,1.4780000000000002,Timon,Brazil,5.63S,43.59W
1856-07-01,,,Timon,Brazil,5.63S,43.59W
1856-08-01,26.375,1.46,Timon,Brazil,5.63S,43.59W
1856-09-01,27.011,1.2890000000000001,Timon,Brazil,5.63S,43.59W
1856-10-01,27.039,1.1440000000000001,Timon,Brazil,5.63S,43.59W
1856-11-01,26.853,1.295,Timon,Brazil,5.63S,43.59W
1856-12-01,26.129,1.555,Timon,Brazil,5.63S,43.59W
1857-01-01,,,Timon,Brazil,5.63S,43.59W
1857-02-01,,,Timon,Brazil,5.63S,43.59W
1857-03-01,,,Timon,Brazil,5.63S,43.59W
1857-04-01,,,Timon,Brazil,5.63S,43.59W
1857-05-01,,,Timon,Brazil,5.63S,43.59W
1857-06-01,,,Timon,Brazil,5.63S,43.59W
1857-07-01,,,Timon,Brazil,5.63S,43.59W
1857-08-01,,,Timon,Brazil,5.63S,43.59W
1857-09-01,,,Timon,Brazil,5.63S,43.59W
1857-10-01,,,Timon,Brazil,5.63S,43.59W
1857-11-01,,,Timon,Brazil,5.63S,43.59W
1857-12-01,,,Timon,Brazil,5.63S,43.59W
1858-01-01,,,Timon,Brazil,5.63S,43.59W
1858-02-01,,,Timon,Brazil,5.63S,43.59W
1858-03-01,,,Timon,Brazil,5.63S,43.59W
1858-04-01,,,Timon,Brazil,5.63S,43.59W
1858-05-01,,,Timon,Brazil,5.63S,43.59W
1858-06-01,,,Timon,Brazil,5.63S,43.59W
1858-07-01,,,Timon,Brazil,5.63S,43.59W
1858-08-01,,,Timon,Brazil,5.63S,43.59W
1858-09-01,,,Timon,Brazil,5.63S,43.59W
1858-10-01,,,Timon,Brazil,5.63S,43.59W
1858-11-01,,,Timon,Brazil,5.63S,43.59W
1858-12-01,,,Timon,Brazil,5.63S,43.59W
1859-01-01,,,Timon,Brazil,5.63S,43.59W
1859-02-01,,,Timon,Brazil,5.63S,43.59W
1859-03-01,,,Timon,Brazil,5.63S,43.59W
1859-04-01,,,Timon,Brazil,5.63S,43.59W
1859-05-01,,,Timon,Brazil,5.63S,43.59W
1859-06-01,,,Timon,Brazil,5.63S,43.59W
1859-07-01,,,Timon,Brazil,5.63S,43.59W
1859-08-01,,,Timon,Brazil,5.63S,43.59W
1859-09-01,,,Timon,Brazil,5.63S,43.59W
1859-10-01,,,Timon,Brazil,5.63S,43.59W
1859-11-01,,,Timon,Brazil,5.63S,43.59W
1859-12-01,,,Timon,Brazil,5.63S,43.59W
1860-01-01,,,Timon,Brazil,5.63S,43.59W
1860-02-01,,,Timon,Brazil,5.63S,43.59W
1860-03-01,,,Timon,Brazil,5.63S,43.59W
1860-04-01,,,Timon,Brazil,5.63S,43.59W
1860-05-01,,,Timon,Brazil,5.63S,43.59W
1860-06-01,,,Timon,Brazil,5.63S,43.59W
1860-07-01,,,Timon,Brazil,5.63S,43.59W
1860-08-01,,,Timon,Brazil,5.63S,43.59W
1860-09-01,,,Timon,Brazil,5.63S,43.59W
1860-10-01,,,Timon,Brazil,5.63S,43.59W
1860-11-01,,,Timon,Brazil,5.63S,43.59W
1860-12-01,,,Timon,Brazil,5.63S,43.59W
1861-01-01,24.354,1.541,Timon,Brazil,5.63S,43.59W
1861-02-01,24.693,1.421,Timon,Brazil,5.63S,43.59W
1861-03-01,24.872,1.392,Timon,Brazil,5.63S,43.59W
1861-04-01,25.18,1.3530000000000002,Timon,Brazil,5.63S,43.59W
1861-05-01,25.325000000000006,1.349,Timon,Brazil,5.63S,43.59W
1861-06-01,25.337,1.5430000000000001,Timon,Brazil,5.63S,43.59W
1861-07-01,25.539,1.4369999999999998,Timon,Brazil,5.63S,43.59W
1861-08-01,,,Timon,Brazil,5.63S,43.59W
1861-09-01,27.667,1.131,Timon,Brazil,5.63S,43.59W
1861-10-01,27.535,1.167,Timon,Brazil,5.63S,43.59W
1861-11-01,27.346,1.5819999999999999,Timon,Brazil,5.63S,43.59W
1861-12-01,25.835,1.77,Timon,Brazil,5.63S,43.59W
1862-01-01,24.276999999999997,1.524,Timon,Brazil,5.63S,43.59W
1862-02-01,24.186,1.5830000000000002,Timon,Brazil,5.63S,43.59W
1862-03-01,24.745,1.349,Timon,Brazil,5.63S,43.59W
1862-04-01,24.879,1.347,Timon,Brazil,5.63S,43.59W
1862-05-01,25.628,1.53,Timon,Brazil,5.63S,43.59W
1862-06-01,25.185,1.393,Timon,Brazil,5.63S,43.59W
1862-07-01,25.569000000000003,1.39,Timon,Brazil,5.63S,43.59W
1862-08-01,26.342,1.3119999999999998,Timon,Brazil,5.63S,43.59W
1862-09-01,27.132,1.329,Timon,Brazil,5.63S,43.59W
1862-10-01,27.514,1.443,Timon,Brazil,5.63S,43.59W
1862-11-01,26.704,1.369,Timon,Brazil,5.63S,43.59W
1862-12-01,25.089000000000002,1.528,Timon,Brazil,5.63S,43.59W
1863-01-01,26.57,1.925,Timon,Brazil,5.63S,43.59W
1863-02-01,25.471999999999998,2.074,Timon,Brazil,5.63S,43.59W
1863-03-01,25.003,1.358,Timon,Brazil,5.63S,43.59W
1863-04-01,25.557,1.514,Timon,Brazil,5.63S,43.59W
1863-05-01,25.511999999999997,1.406,Timon,Brazil,5.63S,43.59W
1863-06-01,25.338,1.42,Timon,Brazil,5.63S,43.59W
1863-07-01,25.555999999999997,1.361,Timon,Brazil,5.63S,43.59W
1863-08-01,26.348000000000003,1.268,Timon,Brazil,5.63S,43.59W
1863-09-01,26.996,1.222,Timon,Brazil,5.63S,43.59W
1863-10-01,27.319000000000003,1.215,Timon,Brazil,5.63S,43.59W
1863-11-01,26.924000000000003,1.287,Timon,Brazil,5.63S,43.59W
1863-12-01,26.063000000000002,1.493,Timon,Brazil,5.63S,43.59W
1864-01-01,25.13,1.399,Timon,Brazil,5.63S,43.59W
1864-02-01,24.660999999999998,1.6230000000000002,Timon,Brazil,5.63S,43.59W
1864-03-01,24.633000000000003,1.405,Timon,Brazil,5.63S,43.59W
1864-04-01,25.01,1.338,Timon,Brazil,5.63S,43.59W
1864-05-01,25.59,1.321,Timon,Brazil,5.63S,43.59W
1864-06-01,25.647,1.383,Timon,Brazil,5.63S,43.59W
1864-07-01,25.913,1.294,Timon,Brazil,5.63S,43.59W
1864-08-01,26.627,1.321,Timon,Brazil,5.63S,43.59W
1864-09-01,27.69,1.348,Timon,Brazil,5.63S,43.59W
1864-10-01,27.721,1.173,Timon,Brazil,5.63S,43.59W
1864-11-01,26.964,1.368,Timon,Brazil,5.63S,43.59W
1864-12-01,25.588,1.545,Timon,Brazil,5.63S,43.59W
1865-01-01,26.399,1.3619999999999999,Timon,Brazil,5.63S,43.59W
1865-02-01,24.316999999999997,1.504,Timon,Brazil,5.63S,43.59W
1865-03-01,24.13,1.3530000000000002,Timon,Brazil,5.63S,43.59W
1865-04-01,24.819000000000003,1.379,Timon,Brazil,5.63S,43.59W
1865-05-01,25.473000000000006,1.409,Timon,Brazil,5.63S,43.59W
1865-06-01,25.465999999999998,1.367,Timon,Brazil,5.63S,43.59W
1865-07-01,25.823,1.2930000000000001,Timon,Brazil,5.63S,43.59W
1865-08-01,26.82,1.2670000000000001,Timon,Brazil,5.63S,43.59W
1865-09-01,27.689,1.21,Timon,Brazil,5.63S,43.59W
1865-10-01,27.946,1.194,Timon,Brazil,5.63S,43.59W
1865-11-01,27.706000000000003,1.405,Timon,Brazil,5.63S,43.59W
1865-12-01,25.772,1.591,Timon,Brazil,5.63S,43.59W
1866-01-01,26.241,1.349,Timon,Brazil,5.63S,43.59W
1866-02-01,24.426,1.4780000000000002,Timon,Brazil,5.63S,43.59W
1866-03-01,24.378,1.6230000000000002,Timon,Brazil,5.63S,43.59W
1866-04-01,25.097,1.325,Timon,Brazil,5.63S,43.59W
1866-05-01,25.509,1.419,Timon,Brazil,5.63S,43.59W
1866-06-01,25.075,1.287,Timon,Brazil,5.63S,43.59W
1866-07-01,26.156999999999996,1.329,Timon,Brazil,5.63S,43.59W
1866-08-01,26.943,1.337,Timon,Brazil,5.63S,43.59W
1866-09-01,27.792,1.136,Timon,Brazil,5.63S,43.59W
1866-10-01,27.489,1.148,Timon,Brazil,5.63S,43.59W
1866-11-01,27.653,1.3090000000000002,Timon,Brazil,5.63S,43.59W
1866-12-01,27.049,1.429,Timon,Brazil,5.63S,43.59W
1867-01-01,25.603,1.71,Timon,Brazil,5.63S,43.59W
1867-02-01,24.962,1.42,Timon,Brazil,5.63S,43.59W
1867-03-01,24.776,1.4240000000000002,Timon,Brazil,5.63S,43.59W
1867-04-01,25.743000000000002,1.455,Timon,Brazil,5.63S,43.59W
1867-05-01,25.246,1.275,Timon,Brazil,5.63S,43.59W
1867-06-01,25.689,1.298,Timon,Brazil,5.63S,43.59W
1867-07-01,25.891,1.307,Timon,Brazil,5.63S,43.59W
1867-08-01,26.927,1.2770000000000001,Timon,Brazil,5.63S,43.59W
1867-09-01,27.89,1.146,Timon,Brazil,5.63S,43.59W
1867-10-01,28.078000000000003,1.1740000000000002,Timon,Brazil,5.63S,43.59W
1867-11-01,28.276000000000003,1.712,Timon,Brazil,5.63S,43.59W
1867-12-01,27.095,1.65,Timon,Brazil,5.63S,43.59W
1868-01-01,25.449,1.3840000000000001,Timon,Brazil,5.63S,43.59W
1868-02-01,24.434,1.665,Timon,Brazil,5.63S,43.59W
1868-03-01,24.94,1.3969999999999998,Timon,Brazil,5.63S,43.59W
1868-04-01,25.354,1.339,Timon,Brazil,5.63S,43.59W
1868-05-01,25.894,1.368,Timon,Brazil,5.63S,43.59W
1868-06-01,25.771,1.4580000000000002,Timon,Brazil,5.63S,43.59W
1868-07-01,26.487,1.4280000000000002,Timon,Brazil,5.63S,43.59W
1868-08-01,27.251,1.32,Timon,Brazil,5.63S,43.59W
1868-09-01,27.934,1.178,Timon,Brazil,5.63S,43.59W
1868-10-01,28.428,1.229,Timon,Brazil,5.63S,43.59W
1868-11-01,27.249,1.341,Timon,Brazil,5.63S,43.59W
1868-12-01,26.726999999999997,1.518,Timon,Brazil,5.63S,43.59W
1869-01-01,25.94,1.5659999999999998,Timon,Brazil,5.63S,43.59W
1869-02-01,26.121,1.544,Timon,Brazil,5.63S,43.59W
1869-03-01,24.921999999999997,1.422,Timon,Brazil,5.63S,43.59W
1869-04-01,25.528000000000002,1.465,Timon,Brazil,5.63S,43.59W
1869-05-01,26.061,1.3730000000000002,Timon,Brazil,5.63S,43.59W
1869-06-01,26.15,1.5590000000000002,Timon,Brazil,5.63S,43.59W
1869-07-01,26.301,1.3459999999999999,Timon,Brazil,5.63S,43.59W
1869-08-01,27.208000000000002,1.266,Timon,Brazil,5.63S,43.59W
1869-09-01,28.285999999999998,1.124,Timon,Brazil,5.63S,43.59W
1869-10-01,28.084,1.167,Timon,Brazil,5.63S,43.59W
1869-11-01,27.665000000000006,1.26,Timon,Brazil,5.63S,43.59W
1869-12-01,25.958,1.3869999999999998,Timon,Brazil,5.63S,43.59W
1870-01-01,25.644000000000002,1.386,Timon,Brazil,5.63S,43.59W
1870-02-01,24.71,1.505,Timon,Brazil,5.63S,43.59W
1870-03-01,24.98,1.402,Timon,Brazil,5.63S,43.59W
1870-04-01,25.343000000000004,1.3769999999999998,Timon,Brazil,5.63S,43.59W
1870-05-01,26.021,1.347,Timon,Brazil,5.63S,43.59W
1870-06-01,26.151999999999997,1.276,Timon,Brazil,5.63S,43.59W
1870-07-01,26.398000000000003,1.284,Timon,Brazil,5.63S,43.59W
1870-08-01,26.869,1.236,Timon,Brazil,5.63S,43.59W
1870-09-01,28.023000000000003,1.198,Timon,Brazil,5.63S,43.59W
1870-10-01,28.306,1.225,Timon,Brazil,5.63S,43.59W
1870-11-01,27.471,1.432,Timon,Brazil,5.63S,43.59W
1870-12-01,25.691,1.53,Timon,Brazil,5.63S,43.59W
1871-01-01,25.206999999999997,1.3719999999999999,Timon,Brazil,5.63S,43.59W
1871-02-01,24.493,1.5330000000000001,Timon,Brazil,5.63S,43.59W
1871-03-01,25.343000000000004,1.351,Timon,Brazil,5.63S,43.59W
1871-04-01,25.881,1.296,Timon,Brazil,5.63S,43.59W
1871-05-01,25.570999999999998,1.33,Timon,Brazil,5.63S,43.59W
1871-06-01,25.475,1.274,Timon,Brazil,5.63S,43.59W
1871-07-01,25.897,1.287,Timon,Brazil,5.63S,43.59W
1871-08-01,27.185,1.228,Timon,Brazil,5.63S,43.59W
1871-09-01,27.943,1.122,Timon,Brazil,5.63S,43.59W
1871-10-01,28.289,1.169,Timon,Brazil,5.63S,43.59W
1871-11-01,26.921999999999997,1.3,Timon,Brazil,5.63S,43.59W
1871-12-01,26.28,1.328,Timon,Brazil,5.63S,43.59W
1872-01-01,25.519000000000002,2.077,Timon,Brazil,5.63S,43.59W
1872-02-01,25.031999999999996,1.564,Timon,Brazil,5.63S,43.59W
1872-03-01,25.428,1.516,Timon,Brazil,5.63S,43.59W
1872-04-01,25.114,1.3880000000000001,Timon,Brazil,5.63S,43.59W
1872-05-01,25.712,1.298,Timon,Brazil,5.63S,43.59W
1872-06-01,25.234,1.329,Timon,Brazil,5.63S,43.59W
1872-07-01,25.862,1.374,Timon,Brazil,5.63S,43.59W
1872-08-01,27.115,1.2670000000000001,Timon,Brazil,5.63S,43.59W
1872-09-01,28.236,1.192,Timon,Brazil,5.63S,43.59W
1872-10-01,28.1,1.167,Timon,Brazil,5.63S,43.59W
1872-11-01,27.151999999999997,1.327,Timon,Brazil,5.63S,43.59W
1872-12-01,25.872,1.831,Timon,Brazil,5.63S,43.59W
1873-01-01,25.593000000000004,1.435,Timon,Brazil,5.63S,43.59W
1873-02-01,25.499,1.511,Timon,Brazil,5.63S,43.59W
1873-03-01,24.971999999999998,1.374,Timon,Brazil,5.63S,43.59W
1873-04-01,25.054000000000002,1.4909999999999999,Timon,Brazil,5.63S,43.59W
1873-05-01,26.022,1.3980000000000001,Timon,Brazil,5.63S,43.59W
1873-06-01,25.8,1.296,Timon,Brazil,5.63S,43.59W
1873-07-01,26.201,1.288,Timon,Brazil,5.63S,43.59W
1873-08-01,27.2,1.2109999999999999,Timon,Brazil,5.63S,43.59W
1873-09-01,27.809,1.238,Timon,Brazil,5.63S,43.59W
1873-10-01,28.316999999999997,1.1540000000000001,Timon,Brazil,5.63S,43.59W
1873-11-01,27.461,1.251,Timon,Brazil,5.63S,43.59W
1873-12-01,26.910999999999998,1.3619999999999999,Timon,Brazil,5.63S,43.59W
1874-01-01,26.211,1.4780000000000002,Timon,Brazil,5.63S,43.59W
1874-02-01,25.519,1.401,Timon,Brazil,5.63S,43.59W
1874-03-01,24.759,1.379,Timon,Brazil,5.63S,43.59W
1874-04-01,25.616,1.268,Timon,Brazil,5.63S,43.59W
1874-05-01,25.809,1.319,Timon,Brazil,5.63S,43.59W
1874-06-01,25.541999999999998,1.4409999999999998,Timon,Brazil,5.63S,43.59W
1874-07-01,25.685,1.341,Timon,Brazil,5.63S,43.59W
1874-08-01,26.848000000000003,1.426,Timon,Brazil,5.63S,43.59W
1874-09-01,28.213,1.111,Timon,Brazil,5.63S,43.59W
1874-10-01,28.342,1.141,Timon,Brazil,5.63S,43.59W
1874-11-01,27.245,1.413,Timon,Brazil,5.63S,43.59W
1874-12-01,26.244,1.4380000000000002,Timon,Brazil,5.63S,43.59W
1875-01-01,25.108,1.338,Timon,Brazil,5.63S,43.59W
1875-02-01,24.756,1.4240000000000002,Timon,Brazil,5.63S,43.59W
1875-03-01,24.533,1.3940000000000001,Timon,Brazil,5.63S,43.59W
1875-04-01,24.891,1.3530000000000002,Timon,Brazil,5.63S,43.59W
1875-05-01,25.226000000000006,1.344,Timon,Brazil,5.63S,43.59W
1875-06-01,25.378,1.35,Timon,Brazil,5.63S,43.59W
1875-07-01,25.658,1.4569999999999999,Timon,Brazil,5.63S,43.59W
1875-08-01,26.528000000000002,1.25,Timon,Brazil,5.63S,43.59W
1875-09-01,27.377,1.141,Timon,Brazil,5.63S,43.59W
1875-10-01,27.683000000000003,1.148,Timon,Brazil,5.63S,43.59W
1875-11-01,26.373,1.2919999999999998,Timon,Brazil,5.63S,43.59W
1875-12-01,26.279,1.6340000000000001,Timon,Brazil,5.63S,43.59W
1876-01-01,25.459,1.3530000000000002,Timon,Brazil,5.63S,43.59W
1876-02-01,24.813,1.415,Timon,Brazil,5.63S,43.59W
1876-03-01,25.109,1.472,Timon,Brazil,5.63S,43.59W
1876-04-01,25.353,1.27,Timon,Brazil,5.63S,43.59W
1876-05-01,25.271,1.35,Timon,Brazil,5.63S,43.59W
1876-06-01,25.331999999999997,1.317,Timon,Brazil,5.63S,43.59W
1876-07-01,25.699,1.421,Timon,Brazil,5.63S,43.59W
1876-08-01,26.592,1.24,Timon,Brazil,5.63S,43.59W
1876-09-01,27.746,1.178,Timon,Brazil,5.63S,43.59W
1876-10-01,27.98,1.168,Timon,Brazil,5.63S,43.59W
1876-11-01,26.883000000000006,1.358,Timon,Brazil,5.63S,43.59W
1876-12-01,25.516,1.51,Timon,Brazil,5.63S,43.59W
1877-01-01,25.331,1.5319999999999998,Timon,Brazil,5.63S,43.59W
1877-02-01,25.19,1.4769999999999999,Timon,Brazil,5.63S,43.59W
1877-03-01,25.447,1.482,Timon,Brazil,5.63S,43.59W
1877-04-01,25.445,1.3119999999999998,Timon,Brazil,5.63S,43.59W
1877-05-01,25.688,1.296,Timon,Brazil,5.63S,43.59W
1877-06-01,25.565,1.4980000000000002,Timon,Brazil,5.63S,43.59W
1877-07-01,26.579,1.357,Timon,Brazil,5.63S,43.59W
1877-08-01,27.465,1.212,Timon,Brazil,5.63S,43.59W
1877-09-01,28.296,1.112,Timon,Brazil,5.63S,43.59W
1877-10-01,28.269000000000002,1.232,Timon,Brazil,5.63S,43.59W
